,ASIN,product,brand,name,date,score,title,comment
0,リリカ,2017年3月1日,5.0,とても美味しいです,以前生協で購入して美味しかったので、たくさん入っているこちらの商品を再度購入しました。特に中学３年の娘が「美味しいから、学校に持っていく水筒の中身をルイボスティーにして」と言う程お気に入りです。他のメーカーのルイボスティーは飲んだことがないので比較できませんが、苦みもほとんどなく飲みやすいです。,,,
1,Amazon カスタマー,2018年11月7日,5.0,安心安全美味しい！！,色々な種類がありますが、安心安全なものを探してこちらにしました。コープで出会って買っていたのですが、今は売っていないのでアマゾンで購入しています。他のものより飲みやすくて美味しいと思います！,,,
2,starseed,2019年9月18日,5.0,美味しいです,年中こちらのお茶です。夏場は水出しで作れます。クセもなくて子供も好んでいます。かなりリピート続けています。時々麦茶を買いますが、やはり、これに戻ります。美味しく頂いています。,,,
3,Dream,2019年6月23日,5.0,常用しているルイボスティー,小川生薬の商品なので、安全性などは大丈夫だろうと考えて使っています。水出しで飲んでますが、使いやすくリピートしています。,,,
4,ふー,2021年3月21日,5.0,香りが良くて美味しいです,ミントみたいな香りがしてリラックスできます。美味しくて手軽でかなり気に入ってます。もう何回かリピートしました。,,,
5,kanani,2018年9月24日,5.0,クセがなくて美味しい！,このルイボスティーは友人から頂いて初めて飲みましたが、クセがなくて本当に美味しいです！嫌な渋みもなく子どもでも飲みやすい様です！ルイボスティーが苦手な人でもこれなら大丈夫という人もいます(^-^),,,
6,Amazon カスタマー,2019年7月23日,5.0,夏は、サッパリとして良い☺️,口の中がスッキリとします。飲みなれてないと、匂いの違和感などありますが今は、美味しく頂けます。またリピートします☺️,,,
7,がもさん,2019年5月20日,5.0,一年中飲んでいます,ここ数年、我が家はこのルイボス茶を毎日飲んでいます。毎日飲んでも飽きないし、水出しで作るので簡単というのも気に入っている理由です。美味しいです。,,,
8,でびでび,2017年2月21日,5.0,毎日飲んでます,値段と量ともに気に入っています。このほんのり苦いのがクセになり、飲みやすくてリピしています。,,,
9,常田　季久代,2019年11月9日,4.0,安心で飲みやすい,毎日、会社で仕事前に飲んでいます。くせが無くとても飲みやすいです。会社ではホットで飲んでいますが、家ではアイスで飲んでいます。親類の子が遊びにきても、小さな子でも安心して飲ませられます。,,,
10,Amazon カスタマー,2019年7月6日,5.0,飲み易いです。,使い易くて飲み易いと思います。（慣れたからか？）変な独特な風味は感じません。ホットもアイスも美味しいです。有機と書いてあるので安心して何度もリピしています。,,,
11,ドーン,2018年10月9日,5.0,クセなく飲みやすい,クセがなく飲みやすいです。今年の夏は冷蔵庫に冷たいルイボスティーを常備で、大量消費しました。,,,
