,ASIN,product,brand,name,date,score,title,comment
0,B017XAJSGG,NEW やさしいデカフェ紅茶６種類セット,やさしいデカフェ紅茶,Amazon カスタマー,2020年3月5日,2.0,セット内容が違った,10袋×6のセットを注文したのに発送までに勝手にセット内容が変わって違うセットが届いた注文確定した時点のセットを送って欲しかった
1,B017XAJSGG,NEW やさしいデカフェ紅茶６種類セット,やさしいデカフェ紅茶,プライム会員のお客様,2020年3月22日,5.0,妊産婦にオススメ,ノンカフェイン紅茶を探してて、こちらを見つけたので購入しました。6種のフレーバーがあるので選ぶ楽しさもあって良いと思います。アールグレイ、ノンカフェインですけど美味しいです。
2,B017XAJSGG,NEW やさしいデカフェ紅茶６種類セット,やさしいデカフェ紅茶,ふくまま,2019年10月26日,5.0,勝手にセット内容を変えられた,香りは良い感じですが、冷めて来ると鼻も慣れているのか匂いはあまり感じなくなってしまいますが、お湯を入れた時などはとてもフレッシュな果実のいい香りがして癒されます。このお値段でこの数が買えるというのもとても良い。お得感すごいです！
3,B017XAJSGG,NEW やさしいデカフェ紅茶６種類セット,やさしいデカフェ紅茶,Amazon カスタマー,2020年4月17日,5.0,美味しい,どのフレーバーも、とても香りがよく、思った通りの味です。色々な種類があるのでその時の気分で楽しめます。
4,B017XAJSGG,NEW やさしいデカフェ紅茶６種類セット,やさしいデカフェ紅茶,Amazon カスタマー,2021年2月6日,1.0,果実の香り,商品写真1枚目に7種類ありますが届くのは6種類です。写真4枚目5枚目は、その一部は違う味になっていました。味は選べない、アソートです、などの注意書きがなし。購入の動機となった味がなく非常にガッカリ。
5,B017XAJSGG,NEW やさしいデカフェ紅茶６種類セット,やさしいデカフェ紅茶,ヒカ,2020年8月21日,3.0,とてもいい香り,フルーツティーは私には合わなかったかなと思いますがおいしいです
6,B017XAJSGG,NEW やさしいデカフェ紅茶６種類セット,やさしいデカフェ紅茶,Amazon カスタマー,2019年4月30日,5.0,写真と届いた物とは味違いもあります,膵炎になった、紅茶好きの母に。色々なフレイバーがあって喜んでくれました。
7,B017XAJSGG,NEW やさしいデカフェ紅茶６種類セット,やさしいデカフェ紅茶,よこ,2020年6月11日,3.0,今度頼むときはフルーツティーなしで,ノンカフェインは仕方ないのがもしれないですが味がなんか普通の紅茶と違う…薄いというか…
8,B017XAJSGG,NEW やさしいデカフェ紅茶６種類セット,やさしいデカフェ紅茶,meg,2021年4月28日,1.0,美味しい,6種類セットと書いてあるのに来た商品は全てアップルのみ。味などは問題ないが、画像と違う商品があって支払ったのに残念な感じ。
9,B017XAJSGG,NEW やさしいデカフェ紅茶６種類セット,やさしいデカフェ紅茶,Amazonユーザー,2020年7月4日,5.0,味の感じ方によると思います,日頃カフェインレスを飲むようにしているので、助かりました。味も美味しかったです。
10,B017XAJSGG,NEW やさしいデカフェ紅茶６種類セット,やさしいデカフェ紅茶,匿名,2020年5月21日,4.0,画像と違う,色んなフレーバーがあり、飽きずに楽しめます。
11,B017XAJSGG,NEW やさしいデカフェ紅茶６種類セット,やさしいデカフェ紅茶,福島桃子,2020年4月15日,4.0,美味しいカフェインレス紅茶♪,とても良い香り。娘のお気に入りです。
12,B017XAJSGG,NEW やさしいデカフェ紅茶６種類セット,やさしいデカフェ紅茶,じゃんぼ,2020年5月26日,5.0,ノンカフェインがありがたい,子供が紅茶好きなのですが、カフェインが気になるので、こちらにしました。たくさんフレーバーがあり、味もとても美味しいとのことです。特に、マスカットとアールグレイが香りが良く、また飲みたいとのこと。
