,ASIN,product,brand,name,date,score,title,comment
0,B018TNWKZC,ばんどう紅茶 ノンカフェイン 生姜紅茶 60ティーバッグ入,ばんどう紅茶,ばななん,2019年3月6日,4.0,寝る前でも安心,秋から春までいつも家の中でも水筒に入れて温かい生姜紅茶を飲んでいました。最初はすりおろし生姜、そのうち乾燥させた生姜の方があたたまると知り、粉末の生姜を。でもこのカフェインレスの生姜紅茶を知り、もうこれに決定。美味しいしカフェインレスだから寝る前まで飲める。最近インフルエンザ予防に紅茶が良いと知り、そういえばインフルエンザにかかった事ないなと気付きました。代謝を高める為に飲み始めた生姜紅茶ですが、良いことばかり。これからもずっと私の水筒はばんどう紅茶さんの生姜紅茶です。
1,B018TNWKZC,ばんどう紅茶 ノンカフェイン 生姜紅茶 60ティーバッグ入,ばんどう紅茶,琥珀,2019年3月17日,4.0,ステインが・・・,何年も愛飲しています。飲みやすくて美味しいし体も温まります。毎日飲んでもけっこうもちます。冷え性や虚弱体質の特に女性にはおすすめです！前はもっと濃かったのですが、最近ちょっと薄い感じがます。
2,B018TNWKZC,ばんどう紅茶 ノンカフェイン 生姜紅茶 60ティーバッグ入,ばんどう紅茶,Amazon カスタマー,2019年12月7日,5.0,カフェインレスが決め手,生姜が身体に良いというので、温活の一環に生姜紅茶を探していました。こちらはノンカフェイン、無農薬ということで気に入っています。もう2度ほどリピートしてますし、これからもすると思います。しっかり生姜の風味や香りが感じられます。ありがとうございます！
3,B018TNWKZC,ばんどう紅茶 ノンカフェイン 生姜紅茶 60ティーバッグ入,ばんどう紅茶,阿部,2019年1月8日,5.0,温まる！,乾燥した生姜が紅茶の葉と一緒に入っています。生姜の辛さが物足りない時は少し長くティーパックをつけておくと辛くなります。冬は身体が温まって良いですね。これを毎日飲み、昨年も全然風邪をひきませんでした。生姜紅茶のパワーを感じました。
4,B018TNWKZC,ばんどう紅茶 ノンカフェイン 生姜紅茶 60ティーバッグ入,ばんどう紅茶,chacha,2017年6月11日,5.0,温活に！リピートしてます,最初20パックを買っていたのですが、なんだか60パックと味が違うような気がしました。それから、60パックを買うより20パックを3つ買ったほうが言いのかなとも思っています。いずれにせよ、おいしいので毎日飲んでいます。
5,B018TNWKZC,ばんどう紅茶 ノンカフェイン 生姜紅茶 60ティーバッグ入,ばんどう紅茶,M,2020年10月25日,5.0,風邪予防,授乳中である事と、寝る前にも飲みたくてノンカフェインを選びました。しっかりとした紅茶の味に、生姜のピリッとした辛み。とても美味しいです。好きな紅茶の味です。
6,B018TNWKZC,ばんどう紅茶 ノンカフェイン 生姜紅茶 60ティーバッグ入,ばんどう紅茶,monks_f,2021年6月30日,3.0,リピーターです,紅茶とルイボスのブレンドがあいます。ホットもアイスも美味しいです。ミルクティーもデカフェなのでよく飲んでます。
7,B018TNWKZC,ばんどう紅茶 ノンカフェイン 生姜紅茶 60ティーバッグ入,ばんどう紅茶,みーママ,2017年3月5日,5.0,とても美味しい！！,妊娠中で購入しました（＾∇＾）ノンカフェインなのに味もしっかりしていて美味しいです！
8,B018TNWKZC,ばんどう紅茶 ノンカフェイン 生姜紅茶 60ティーバッグ入,ばんどう紅茶,菊地綾乃,2016年11月18日,5.0,まずい！,とても満足しました。生姜の風味もちょうど良く、美味しい。お値段も安くて嬉しい！ 抽出時間は長めがオススメです。
9,B018TNWKZC,ばんどう紅茶 ノンカフェイン 生姜紅茶 60ティーバッグ入,ばんどう紅茶,みけママ,2017年3月28日,4.0,くせがなくおいしい,ノンカフェインの紅茶をお探していました。紅茶の風味のするジンジャーティです。個人的には物足りません。好みに個人差がありますが、他の人は喜んでいたので4としました。
10,B018TNWKZC,ばんどう紅茶 ノンカフェイン 生姜紅茶 60ティーバッグ入,ばんどう紅茶,Amazon カスタマー,2016年10月7日,5.0,当たりでした！,スッゴク美味しいです(*'ー｀*)初めはカップで入れて飲んでいましたがとても葉っぱがいい紅茶なのが分かったので紅茶ポットにティパックの中身を出して茶葉がお湯で踊る様にして入れて見ました。すると生姜の風味も味もよく出るし紅茶も香る感じ(*'ー｀*)面倒でなければ紅茶ポットで煎れるのもオススメです(*'ー｀*)
11,B018TNWKZC,ばんどう紅茶 ノンカフェイン 生姜紅茶 60ティーバッグ入,ばんどう紅茶,Amazon カスタマー,2016年8月9日,3.0,喜んでもらいました。,ノンカフェインで安心して飲めます。生姜の味もしっかりとします。難点は歯にステインがつきやすい。
12,B018TNWKZC,ばんどう紅茶 ノンカフェイン 生姜紅茶 60ティーバッグ入,ばんどう紅茶,Amazon カスタマー,2020年10月19日,5.0,紅茶ポットで煎れて見ました,しっかりと生姜の効いた、でも刺激が控えめで飲みやすい紅茶です。付属で付いてくる持ち運び用のzip bagも会社や旅行先に持って行くのに重宝してます。
13,B018TNWKZC,ばんどう紅茶 ノンカフェイン 生姜紅茶 60ティーバッグ入,ばんどう紅茶,Amazon カスタマー,2020年3月13日,5.0,美味しい,コストといい、味といい、私は満足
