,ASIN,product,brand,name,date,score,title,comment
0,あま,2017年2月14日,4.0,おいしく飲んでいます,妊娠がわかり、毎日コーヒーを飲まないとやっていけない性分なので、カフェインを控えるために購入。職場で、午前中にネスカフェのコーヒー、午後はこちらのカフェインレスのコーヒーを飲んでいます。7本入りですが、箱がとても小さく(マクドナルドのポテトの容器Ｍサイズぐらいの大きさ)、カバンに入れてもかさばりにくいです。味も香りも一般的なスティックコーヒーとそこまで大差無く、カフェインレスであることを忘れてしまうぐらいです。カフェインレスのスティックコーヒーって、なかなかスーパーなどで見かけないので、Amazonで買えて良かったです。定期便があると嬉しいです。,,,
1,ミーモ,2018年3月24日,5.0,牛乳に溶けやすい！,インスタントのネスカフェゴールドブレンドと似ています。温めた牛乳にすぐ溶けるのが嬉しい！実は、ブレンディカフェインレスみたいにミルクと砂糖が入っている商品だと勘違いして買っちゃいました。カフェオレのレビューが混ざっていますね。これはお湯を注ぐとブラックになる商品なので気をつけてください。まあ普通は間違えたりしないか（笑）,,,
2,boribori2,2017年12月30日,5.0,寝酒ならぬ寝コーヒーも可,年を取って味覚が変わるというけれど、自分がブラックコーヒーを愛飲するとは思わなかったｗ仕事が終わってホッと一息のときは脳にも優しいカフェオレを飲んでいましたが、最近はミルクさえ苦痛に。カフェインレスなので、夕食後の一杯でも入浴後でも就寝前でも愉しめます。ドリップ式は片付けが面倒で、時間に余裕があるときはいいけれど・・・インスタントは簡単早い！今のところ、自分の味覚にベストマッチしています。家族からはお父さん専用と言われてる(^^ゞ,,,
3,Amazon カスタマー,2018年11月28日,4.0,甘めのカフェオレ,妊娠中のため、初めてカフェインレスのコーヒーにチャレンジしてみました。妊娠前は甘めのカフェ・ラテが大好きだったので、こちらのレビューを見て、甘めで美味しそうかな〜と思い購入してみましたが、思っていた以上に甘さがあり、飲んでいて糖分がとても気になります(苦笑)。なので毎日は怖くて飲めませんが、時々飲んで楽しんでいます。味は牛乳○さんの珈琲に似たような感じですが、つわり開けの味覚のせいか、甘さがどうしても気になるので、お湯を若干多めに牛乳もプラスして、飲みやすくアレンジして飲んでいます。味は悪くないので、甘めが好みの方にはそのままでも美味しいと思います。,,,
4,ベリー,2021年5月9日,4.0,おいしい,週末自宅で頭痛がおきる原因が、平日職場でのコーヒーの飲み過ぎ（カフェイン取りすぎ）が関係しているとわかり、職場ではなるべくカフェインなしのコーヒーを飲むようにしています。気をつけるようにしてからは頭痛は軽減したし、味もおいしいです。同じシリーズ（？）のドリップコーヒーも飲んでいます。ドリップ時の香りに癒されますが、仕事が忙しい時は、断然こっちです！！,,,
5,peach,2019年11月7日,5.0,授乳中なのでこれをリピートしてます,リピートしています。授乳中なので、ノンカフェインしか飲めません。最初はこの商品のドリップタイプを飲んでいましたが忙しい朝にほんの少しでも早く作れたら、とインスタントに切り替えました。味の違いはないように感じます。,,,
6,こちょうらん1231,2019年12月13日,5.0,デカフェ,カフェインレスなので夜でも安心して飲めます。夏は同じＵＣＣのカフエインレスアイスコーヒーを飲んでいたので、秋冬、同商品をホットで飲めるで嬉しい限りです。ただ私は１本ではカップ１杯は薄すぎるので本いれています。味の濃さは個人差があると思います。お得な買い物ができて良かったです。リピ中。,,,
7,けいえむじぇー,2021年4月24日,4.0,味が良いです,そこまで味にこだわりはないのですがいくつか比べた結果これが一番かなと思いました一番クセが少ない気がしますだからなのか飲みやすいです,,,
8,興津,2018年5月6日,5.0,ノンシュガー,夜用に購入。甘くないことも必須の条件。水でも大体溶けるのも良い。豆乳や牛乳で割って飲んでいる。,,,
9,こいちゃん,2018年4月22日,5.0,カフェインレスでないものも作って欲しい。,普通に美味しい。インスタント独特の粉っぽい味がまったくしない。言われなければドっリップと間違えそうなくらい。カフェイン入りでも作って欲しい。,,,
10,Amazon カスタマー,2016年4月27日,5.0,旅行に便利です。,旅行先でディカフェのコーヒーが簡単に入手できるか不安だったので調べたところ、1回分ずつ使える商品がこちらしかなかったので購入しました。味は、マウントバーゲンディカフェの深煎り酸味なし好きとしては少し浅めですが、酸味もなく深煎り寄りでまずまずです。瓶入りのほうは購入しないと思いますが、なくなったらこちらを買うと思います。,,,
11,なな,2017年4月16日,5.0,よいですね,ブラックで飲みたいときが多いのでよいです。コーヒーだけのカフェインレスで小分けになっているのは今のところこれだけだと思います。お店ではなかなか置いているところが少ないのでアマゾンで買えるのは便利です。,,,
12,meme,2018年10月29日,4.0,カヒェインレスコーヒーでも美味しい！,砂糖入れなくてもそのまま頂けます 美味しいですよ！,,,
13,chocopapa,2019年4月6日,5.0,毎朝の必需品,毎朝の散歩後いただいております。飲みやすく満足しています。,,,
14,AMAZ0N CUST0MER,2017年11月6日,5.0,酸味が少なく飲みやすい,他社のカフェインレスコーヒーと比べると、酸味が強くなく、甘みと風味がしっかりしているように思います。夕食後の一杯として愛飲しています。,,,
15,θ,2018年2月16日,5.0,ノンカフェインとは思えない,他のメーカーの物といくつか飲み比べましたが、これはノンカフェインとは思えないほど美味しいです。,,,
16,よっちゃん,2021年4月11日,4.0,カフェインレスコーヒー,カフェインがダメなので購入しました。もう少しコーヒーの香りがあったらな思いました。,,,
17,Amazon カスタマー,2021年4月9日,5.0,飲める,人によるだろうけど普通に飲める,,,
18,Amazon カスタマー,2018年12月27日,5.0,おいしいカフェインレス,授乳中のためカフェインが取れず、このカフェインレスにはかなりお世話になっている。その名の通りカフェインレスコーヒーの中ではおいしい方。42杯分あるので、しばらく買わなくて良いのがグッド！,,,
19,ひろこ,2019年1月20日,4.0,甘めが好きな人にはいいかも,他のカフェインレスのカフェオレに比べると甘いし、薄く感じます。授乳中で甘いものがほしくなるので、飲むとホッとします,,,
20,Amazon カスタマー,2017年2月17日,5.0,おいしいー！,すごーーーーーくおいしいです！インスタントで、さらに、カフェインレスで、こんなにおいしいのは、素晴らしい,,,
21,kaz☆,2018年1月19日,5.0,授乳中の息抜きです,妊娠中でも毎日コーヒー飲んでいたので、授乳中困ってました。一気にたくさん買えるので、毎食後や夜中の授乳後にホッとひと息ついています。,,,
22,つぐみ,2017年9月17日,5.0,甘いカフェオレ,カフェインレスなので、甘いカフェオレが好きな妊婦さんにお勧め。お湯を注ぐだけで便利です。UCCのコーヒークーポン対象外なのが残念。,,,
23,なのはな,2017年7月7日,4.0,美味しいけど、近所のドラッグストアの方が安かった,インスタントのデカフェとしては一番美味しいと思いました。コクや甘みが感じられて個人的にお気に入りで定期便で購入していましたが近所のお店の方が安くなっていたので残念ながら定期便卒業…そこだけ残念なので☆マイナス１にさせてもらいました。商品は好きです！,,,
