,ASIN,product,brand,name,date,score,title,comment
0,B01BM0AY16,UCC おいしいカフェインレスコーヒー ドリップコーヒー 7g×50袋 デカフェ・ノンカフェイン レギュラー(ドリップ),お・い・し・いカフェインレス,りんご3,2018年12月18日,5.0,なんか…消費期限が短い,今まで色々なカフェインレスコーヒーを飲みました。一番リピートしたのは、辻本珈琲ですが他のも飲みたくなったのと、コスパの関係で、uccを購入。こちらは、安いのに、ほどよくおいしく、苦みも少なく飲みやすいです。軽い感じで、何杯でも飲めます。ドトールカフェインレスと味は似ていますが、それよりもコスパが良いと感じます。カフェインレスインスタントでは、マウントハーゲンがベストですし、ドリップでは、こちらかコープのカフェインレスが味とコスパ総合してベストかなと思います。
1,B01BM0AY16,UCC おいしいカフェインレスコーヒー ドリップコーヒー 7g×50袋 デカフェ・ノンカフェイン レギュラー(ドリップ),お・い・し・いカフェインレス,Amazonカスタマー,2018年9月22日,3.0,美味しいですね。,普通のコーヒーから切り替えた時は薄いなあと思いましたが、飲んでいるうちに慣れました。何よりもカフェインを減らした事で夜寝るときにでる足のムズムズが凄く減りました。私は夜布団に入ると足がムズムズしてなかなか寝付けません。ある時ネットでムズムズ病という言葉を目にして調べたところ、原因不明の病気だがカフェイン摂取や鉄分不足に関係があると書いてありました。のでさっそく1日に２～３杯は飲むコーヒーをこのカフェインレスに変え鉄分のサプリメントを飲み始めました。3日過ぎた頃からムズムズ感が減り布団に入ってから足をあちこち動かすことが少なくなりました。寝つきの速さはあまり代わりませんが、効果を感じてます。素人判断は危険だし、個人差もあると思いますが、コーヒーとサプリメントなので体に害はないと思い試しています。
2,B01BM0AY16,UCC おいしいカフェインレスコーヒー ドリップコーヒー 7g×50袋 デカフェ・ノンカフェイン レギュラー(ドリップ),お・い・し・いカフェインレス,Amazon customer,2018年3月31日,4.0,味も程よく飲みやすくコスパが良い,これまでAGF ちょっと贅沢な珈琲店 レギュラー・コーヒー コーヒーバッグ を愛飲していましたが、一日に飲む量が多いのか、他の原因か頭痛がするようになってきました。ある書籍でカフェインが体を枯れさせるのでよくないというものを目にし、またそれまでにもカフェイン摂取が血管収縮につながるのを知っていたので、今回ノンカフェドリップに切り替えました。やはり、前述のAGFのものより味も風味もやや劣ってしまいますが、そこまでわるくありません。これからも買っていきたいと思います。1ヶ月単位の定期便で買っているのですが、まだ余裕かなと思って一回キャンセルしたら、すぐになくなって困ったという事態に陥ったことがあります。特にそれまで100Pの別のコーヒーを定期便をされていた方は、50Pの減り方があまりわからないかもですので、ご注意ください。
3,B01BM0AY16,UCC おいしいカフェインレスコーヒー ドリップコーヒー 7g×50袋 デカフェ・ノンカフェイン レギュラー(ドリップ),お・い・し・いカフェインレス,メクリマクリン,2019年11月22日,5.0,カフェインレスとしてはまあまあだと思います,無くなるとリピしております。沢山入っているし、本格的なコーヒーの感覚でカフェインレスは嬉しい。味もこれで慣れているので自分は満足。外で飲んだからといって残念ながらいつも美味しいコーヒーにあたる訳でもない。毎朝安定の一杯。パッケージもなんだか可愛くなって入れる度に気持ちがほぐれる感じ。これからも買い続けますよ。
4,B01BM0AY16,UCC おいしいカフェインレスコーヒー ドリップコーヒー 7g×50袋 デカフェ・ノンカフェイン レギュラー(ドリップ),お・い・し・いカフェインレス,まちのくまさん,2018年1月19日,4.0,カフェインレスでそこそこの味、風味,"コーヒーが大好きで1日何杯も飲んでいたら胃を痛めてしまいました。そこでカフェインレスを飲むようになったのですが、どれも""コーヒーを飲んだ""という満足感が足りなくて結局あとで普通のコーヒーを飲んでしまいます。でも、このコーヒーは満足感が高くて飲まずにすむことが多いです。素敵。味覚に自信はありませんが、僕は美味しいと思います。"
5,B01BM0AY16,UCC おいしいカフェインレスコーヒー ドリップコーヒー 7g×50袋 デカフェ・ノンカフェイン レギュラー(ドリップ),お・い・し・いカフェインレス,Amazon カスタマー,2019年2月23日,4.0,ドリップカフェインレスをお手軽に,月経前や中はカフェインを摂取すると月経痛が重くなるので、周期に合わせて取り入れています。コーヒーから深みや苦味、酸味などを取り除いた軽やかな味わいです。コーヒーもどきといった感じでしょうか。ですがノンカフェインなので、こんなものだと思います。コーヒーが飲みたいけど飲めない！って状況にはピッタリです。とりあえずこれで我慢..（笑）たくさん入ってこの価格でコスパはいいです。ドリッパー出すのも面倒な時に最適です。個人的に酸味のないのは嬉しいのですが、もう少し苦味や深みのある味わいが出せると文句なしです。ですがそれはノンカフェインに求めるものではないですよね。
6,B01BM0AY16,UCC おいしいカフェインレスコーヒー ドリップコーヒー 7g×50袋 デカフェ・ノンカフェイン レギュラー(ドリップ),お・い・し・いカフェインレス,味噌の国,2020年12月20日,4.0,"ちゃんと""コーヒーを飲んだ""という満足感があります。",普段は　スーパーで買える　8パック　300円程度の品で一杯あたり　40円弱こちらは　今回　30パック1500円だったので一杯あたり30円程度は他のドリップカフェインレスに比べダントツ安いと思い購入。有名メーカーへの信頼もある。パッケージも　可愛い。5色あるので違う味なのかと思ってしまうけどｗ消費期限は　2020。12月購入で　2021年11月でした。鮮度が大事な品なので購入前にわかると良いですよねカフェイン経ちで　体調不良が良くなるらしいので昼間からも飲もうと思う。カフェインレスだと　コーヒーも紅茶も美味しくなくなるがこちらは　色々なメーカーを試しましたが不味く無い部類です　(^_^) （上からｗ）
7,B01BM0AY16,UCC おいしいカフェインレスコーヒー ドリップコーヒー 7g×50袋 デカフェ・ノンカフェイン レギュラー(ドリップ),お・い・し・いカフェインレス,さしすせそ,2018年3月21日,5.0,コスパよし！,コーヒーは好きなのですが、ミルクや砂糖を入れないと飲めないので、糖分のとり過ぎを避けるため、あまりコーヒーは飲んでいませんでした。近くのお店でこちらの小さなパックを買って飲んでみたところ、とても飲みやすく、砂糖なしで飲めるようになりました。これなら毎日でも飲めると、Amazonさんでお徳用を見つけて購入しました。たっぷりあって嬉しいです。
8,B01BM0AY16,UCC おいしいカフェインレスコーヒー ドリップコーヒー 7g×50袋 デカフェ・ノンカフェイン レギュラー(ドリップ),お・い・し・いカフェインレス,y,2019年8月22日,2.0,薄いが、長めに浸けると美味しくなる。,定期便で購入していましたが、先日購入した物がなんだかすえた臭いがし味も変質していて気持ち悪かったので購入をとりやめました。それまではわりと好きだったのにUCCさんの商品はムラがあるんでしょうか？それともamazonさんの管理のせい？そう言えば、同じく定期便で購入しているオリーブオイルのふたが２回連続して不良品で（開封後にふたがしまらず）味も少し変っていたような気がしました。今後はamazonさんで食品を購入するのは控えようと思いました。
9,B01BM0AY16,UCC おいしいカフェインレスコーヒー ドリップコーヒー 7g×50袋 デカフェ・ノンカフェイン レギュラー(ドリップ),お・い・し・いカフェインレス,坊っちゃん,2021年5月1日,3.0,くつろぎのひとときに☕️,美味しくはないです。以前、UCCの美味しいコーヒーを買って今いちだなあと思ったのですが、こちらがUCCと知らずに買いました。大容量で安価ですが、大量に残ってしまいそうです。同価格帯なら（8杯入り300円位）ブレンディが美味しいと思います。お湯を注いだ時のお湯の通過速度も良く、ストレスがありません。最近見つけて意外だったのはセブンイレブンのカフェインレスです。味も価格もブレンディと同等かなと思います。
