,ASIN,product,brand,name,date,score,title,comment
0,B01DCZJ1R2,日東紅茶 カフェインレスアールグレイ 20袋入り×2個,日東紅茶,ごうだたけし,2017年10月28日,4.0,ノンカフェイン。,いつもは、ルイボスティーを飲んでいるのですが、ときどき気分を変えるために、カフェインレス紅茶を飲みます。カフェインレスの紅茶は、実店舗で、トワイニングのアールグレイを購入していました。パッケージが変わったのと同時期に、実店舗から消えてしまい、困っていたところ、アマゾンでトワイニングよりも安価のこちらを見つけて、購入してみました。ほかの方のレビューでもありますが、トワイニングと比べて、ホントに香りが弱いです。紅茶の色は暗い色、味は良いです。
1,B01DCZJ1R2,日東紅茶 カフェインレスアールグレイ 20袋入り×2個,日東紅茶,グリーンカレー,2019年1月20日,5.0,苦いのが好みの方に,インフルエンザにいいと、テレビでやっていたため、家族で飲めるようカフェインレスを探していました。私自身はあまり紅茶は好きではなかったのですが、これを飲んでみて認識を改めました。美味しいです‼️家族も飲んでくれています。また、リピートします！
2,B01DCZJ1R2,日東紅茶 カフェインレスアールグレイ 20袋入り×2個,日東紅茶,みくらす,2019年1月3日,3.0,お気に入りです,大の紅茶好きです。キャンプで飲むために購入しました。普段はティーバッグは使わず、必ず茶葉で紅茶をいれています。毎朝、紅茶を飲まないと１日が始まらないくらい紅茶が好きです。このティーバッグの味と香りですが、人工的で少しきついです。でも、飲めないほどひどくまずいわけではありません。何よりカフェインレスなのがありがたいです。キャンプの時はトイレになるべく行きたくないので、カフェインを控えるためずっと紅茶は我慢していました。キャンプでトイレを気にせず紅茶を飲める嬉しさといったら！毎日は飲むならやはり茶葉でいれたいですが、あくまでキャンプ用で大満足です。
3,B01DCZJ1R2,日東紅茶 カフェインレスアールグレイ 20袋入り×2個,日東紅茶,uniuni,2020年12月15日,3.0,美味しい‼️,妊婦のためカフェインレス買いましたが、やはり少しは入っているよう。あとポリフェノールもダメだということであんまり飲まなくなりました。味は普通です。妊婦でなく、眠れないことを気にする人向けですね。
4,B01DCZJ1R2,日東紅茶 カフェインレスアールグレイ 20袋入り×2個,日東紅茶,共犯者,2018年9月28日,5.0,味と香りが少しきついですが,これは美味しいです。他社のカフェインレスも飲みましたが、不味くて飲めませんでした。本製品は美味です。これからも購入を続けます。
5,B01DCZJ1R2,日東紅茶 カフェインレスアールグレイ 20袋入り×2個,日東紅茶,Suzie,2021年1月16日,3.0,妊婦向けではなさそう,すっきりとして飲みやすく、美味しいです。ただ、アールグレイかと言われると騙されたな、という気持ちがしてしまいます。アールグレイのあの香りはあんまりないですね。授乳中のためカフェインレスの紅茶を色々試していますが、トワイニングの方がまだ多少香りがするかも。ただ、まずいカフェインレスの紅茶が多い中、こちらの優しくすっきりとした味は悪くないので、アールグレイにこだわらず、さわやかなカフェインレスの紅茶が飲みたいな、という方にはオススメします。値段的にもしばらくリピートする予定です。
6,B01DCZJ1R2,日東紅茶 カフェインレスアールグレイ 20袋入り×2個,日東紅茶,hichasaburou,2019年6月16日,5.0,美味しいです,子供が生まれる歳に、いろいろなカフェインレスの飲料を買っていて、その中の一つでした。あれからだいぶ経ちますが本品は未だに購入し続けています。２Ｌのペットボトル入りの水の中に直接本品を入れています。たぶん、規定の濃度よりもずっと薄いんだと思いますが飽きが来ず、家族４人でゴクゴク飲んでいます。
7,B01DCZJ1R2,日東紅茶 カフェインレスアールグレイ 20袋入り×2個,日東紅茶,mayuko,2019年3月9日,5.0,アールグレイではないが美味しい,何度もリピート買いしています。他の製品も試しましたが、これが一番美味しかったです。カフェインレスとなると結構高いものが多いですが、これは安くて美味しいです。通常のものと比べると渋みや味はやはり薄いですが、香りが強いので飲んでいる感じが十分します。薄い分、ミルクや砂糖を入れなくても美味しく飲めます。ティーバッグの紐の留め具に金属を使っていないので、電子レンジにかけられるのも地味に便利です。
8,B01DCZJ1R2,日東紅茶 カフェインレスアールグレイ 20袋入り×2個,日東紅茶,ほし,2020年12月15日,5.0,普通の紅茶と変わらない美味しさ,ノンカフェインですが普通のアールグレイと思って美味しく飲めます。トワイニングと比較して香りにスパイシーなパンチがあります。どちらも美味しいので好みの問題かな。パッケージはトワイニングの方がオサレですが笑
9,B01DCZJ1R2,日東紅茶 カフェインレスアールグレイ 20袋入り×2個,日東紅茶,Amazon Customer,2021年1月13日,4.0,おいしいです,味については、カフェインレスとしては美味しいと思います。紅茶が大好きでつい飲みすぎてしまうと胃が痛くなったりしましたが、こちらの商品にしたら改善されたと感じています。
10,B01DCZJ1R2,日東紅茶 カフェインレスアールグレイ 20袋入り×2個,日東紅茶,あまぞんかすたまー,2020年4月6日,5.0,香りにパンチがある,いくつかAmazonで売られている同価格帯のカフェインレスの紅茶を試しましたが、ミルクティーにはこれがいいかなという印象です。
