,ASIN,product,brand,name,date,score,title,comment
0,B01DLQMWZA,[5218] MUSCAT ティーバッグ10個 パック入,ルピシア,アマゾンカスタマー,2019年10月26日,5.0,カフェイン入ってますよ！,産後の水分補給用に購入しました。これとグレープフルーツの緑茶を購入しました。どちらも爽やかな香りで、作りたてはキッチン全体が良い香りに包まれとてもリラックスできました。飲むときもマスカットの甘い香りでとても癒されました。カフェインは紅茶なので多目に入っていると思われます。カフェイン苦手な方や妊婦さんへのプレゼントとして探されてる方には向いてないです。
1,B01DLQMWZA,[5218] MUSCAT ティーバッグ10個 パック入,ルピシア,ほーりー,2021年6月9日,5.0,プレゼントにもおすすめ,ここのブランドではこのマスカット味が大好きです。香りも鼻にマスカットが抜けて癒されます。本当美味しい。何度もリピートしています♡
2,B01DLQMWZA,[5218] MUSCAT ティーバッグ10個 パック入,ルピシア,白玉,2020年1月16日,5.0,マスカットの甘くて爽やかな香りに癒されます。,お友達に貰ったのが美味しかったので自分でも購入。やっぱりルピシアなので美味しいです。
3,B01DLQMWZA,[5218] MUSCAT ティーバッグ10個 パック入,ルピシア,おつかれんちゃん,2019年2月28日,4.0,美味しすぎる♡,飲みやすく、香りが良いです。フルーツ系の紅茶は香りが、いまいちなのが多いですがとても良い香りがします。
4,B01DLQMWZA,[5218] MUSCAT ティーバッグ10個 パック入,ルピシア,ta❥︎:❥︎cco,2018年1月23日,3.0,美味しいです,カフェインレスなので、妊娠中でも…と書かれている方がいらっしゃいますが、こちらはカフェイン入ってる、普通の紅茶です。（カフェイン抜いてるものは、商品名に「デカフェ」表記があります）私も間違えて注文してしまったので、デカフェの紅茶をお探しの方はお間違えないように。
5,B01DLQMWZA,[5218] MUSCAT ティーバッグ10個 パック入,ルピシア,みー,2018年10月17日,4.0,オススメ,淹れたときはマスカットの匂いがしますが少し薄い感じがしました。コンブチャを作るので香りがある紅茶を探してました。
6,B01DLQMWZA,[5218] MUSCAT ティーバッグ10個 パック入,ルピシア,本読み,2018年3月27日,4.0,カフェイン入ってますよー,普通においしいと言ってくれておりました。今度は自身の物も購入しようと思います。
7,B01DLQMWZA,[5218] MUSCAT ティーバッグ10個 パック入,ルピシア,まりあ,2017年10月26日,5.0,いい匂いですが…。,マスカットの香りがとても良く、香りだけで少し甘く感じて美味しい。リピートします。
8,B01DLQMWZA,[5218] MUSCAT ティーバッグ10個 パック入,ルピシア,さい・ころ,2017年9月5日,4.0,味わいが優しいです。,美味しい。カフェインレスなので、妊娠中授乳中でも気にせず飲めるのがよかったです。ただ、値段がはるので★−１で。
9,B01DLQMWZA,[5218] MUSCAT ティーバッグ10個 パック入,ルピシア,うほっ☆,2017年10月1日,4.0,堂々の星5！,ルピシア Muscatほのかに マスカットの香りが漂い☕︎今の時期だったら ギリギリで 昼間の汗ばんだ日にはアイスで いただくと なお美味しい〜❣️
