,ASIN,product,brand,name,date,score,title,comment
0,B01DLQMZ48,[5404] DECAF MOMO ティーバッグ10個 パック入,ルピシア,rayraggg,2021年3月28日,4.0,プレゼントに最適,お試しで自分用に購入。夜ごはんのあとに。どんな感じなのかな～といちど買えたので満足です。味は気に入りましたが、お高いので飲むのがもったいないです。あわてて買わなくてもよかったかな。
1,B01DLQMZ48,[5404] DECAF MOMO ティーバッグ10個 パック入,ルピシア,もちもち小太郎,2019年6月6日,5.0,桃の葉が使われています,沖縄に行く機内で飲んで、香りの良さにハマり、購入しました。小さなカップで作ると香りも良く甘みもあって美味しいです。
2,B01DLQMZ48,[5404] DECAF MOMO ティーバッグ10個 パック入,ルピシア,三浦章彦,2020年4月9日,4.0,美味しいです！,ルピシアの紅茶、おいしい。はずれなしで、いいですょ。
3,B01DLQMZ48,[5404] DECAF MOMO ティーバッグ10個 パック入,ルピシア,テソ,2019年4月23日,5.0,美味しい、香り良し,美味しい紅茶が飲みたいという彼女のために買いました。甘すぎない上品な桃の香りで、彼女も大喜びでした。
4,B01DLQMZ48,[5404] DECAF MOMO ティーバッグ10個 パック入,ルピシア,とむきゃと,2018年12月9日,3.0,さわやか,美味しいですが、少し高いですノンカフェインなら、カルディのシナモンティーが安くて美味しいです
5,B01DLQMZ48,[5404] DECAF MOMO ティーバッグ10個 パック入,ルピシア,HT,2017年1月31日,5.0,上品な香り,妊娠中の友人にプレゼントして喜んでもらえました。自分用にも購入し、飲んでいます。とても良い香りです。
6,B01DLQMZ48,[5404] DECAF MOMO ティーバッグ10個 パック入,ルピシア,AmazonといえばAWSだと思ってしまう,2019年9月14日,4.0,少し高いです,やはり、香りが良いです。
7,B01DLQMZ48,[5404] DECAF MOMO ティーバッグ10個 パック入,ルピシア,Amazon カスタマー,2017年3月16日,5.0,良い香りです,引っ越しして、近くにルピシアがない為こちらで見つけて購入しました。妊娠中からのお気に入りで、クセがなく飲みやすいですよ(^-^)
8,B01DLQMZ48,[5404] DECAF MOMO ティーバッグ10個 パック入,ルピシア,Amazon カスタマー,2018年10月11日,4.0,飲みやすいです,白桃のフルーティーな香りで、リラックスタイムに最適です。ちょっと高いから普段はトワイニングのアールグレイを飲んで、たまにこちらをお砂糖なしで味わって飲みます♪
9,B01DLQMZ48,[5404] DECAF MOMO ティーバッグ10個 パック入,ルピシア,うめ,2018年5月3日,5.0,使いやすい,で夕食後デザート代わりにも飲めますし、美味しくてリピートしています。
10,B01DLQMZ48,[5404] DECAF MOMO ティーバッグ10個 パック入,ルピシア,yachu,2017年12月25日,3.0,ちょっとリッチな気分♪,2～3分の抽出で香り・色は出るが、風味はやや少ないか？桃の香りは良いが、リピートはしないかも。。
11,B01DLQMZ48,[5404] DECAF MOMO ティーバッグ10個 パック入,ルピシア,ampm,2017年12月4日,5.0,デカフェ,香りは非常に魅力的で、味は良いです。 ホワイトピーチと紅茶は一緒に完璧です、買い続けるだろう
