,ASIN,product,brand,name,date,score,title,comment
0,B01E4VWE2M,● カモミール ● ハーブティー ● ティーバッグ ● 夜の寝る前に、リラックスできる香り ● ノンカフェイン・無香料・無着色 ● 原料＝,紅茶専門店 京都セレクトショップ,Milkzero,2018年11月28日,5.0,睡眠の質が良かったかも,最近、夜中にぱっちりと目が覚め明け方まで眠れなくなりました、テレビのcmを見てサプリを試しましたが効き目なし。それが、夜、ゆっくりとカモミールティーを飲みますとぐっすり眠れるようになりました。旅先にも持っていきました。私にはすごくあっていてうれしいです。当然ﾘﾋﾟしました。
1,B01E4VWE2M,● カモミール ● ハーブティー ● ティーバッグ ● 夜の寝る前に、リラックスできる香り ● ノンカフェイン・無香料・無着色 ● 原料＝,紅茶専門店 京都セレクトショップ,エリック・カール,2020年4月29日,5.0,新鮮❗,ストレスから入眠しにくいことに悩んでいて、薬に頼る前にまず試してみようと購入しました。過去に凄く青臭いカモミールティーを飲んでから苦手意識があったのですが、このカモミールティーは青臭くないし癖のないさっぱり(あっさり？)とした味でとても飲みやすく感じました。
2,B01E4VWE2M,● カモミール ● ハーブティー ● ティーバッグ ● 夜の寝る前に、リラックスできる香り ● ノンカフェイン・無香料・無着色 ● 原料＝,紅茶専門店 京都セレクトショップ,くろ　まめこ,2018年2月2日,5.0,安眠できました,美味しいカモミ―ルティーです。私は、お風呂上がりのスキンケアの後にゆっくり飲むのが好きです。薄いのや、味がもうひとつのも有りますが、このお店の物はきちんと作られていて今のところ一番のお気に入りです。
3,B01E4VWE2M,● カモミール ● ハーブティー ● ティーバッグ ● 夜の寝る前に、リラックスできる香り ● ノンカフェイン・無香料・無着色 ● 原料＝,紅茶専門店 京都セレクトショップ,モリーユ茸,2019年12月6日,5.0,癖のない美味しいハーブティー,夕食後のリラックスタイムに飲むと、よく眠れるように思います。もう少し価格が安いと尚良いです。
4,B01E4VWE2M,● カモミール ● ハーブティー ● ティーバッグ ● 夜の寝る前に、リラックスできる香り ● ノンカフェイン・無香料・無着色 ● 原料＝,紅茶専門店 京都セレクトショップ,たえ,2020年11月22日,2.0,とても美味しいです。,夜がすっきり寝れていない感じがして色々検索した結果、カモミールティいいよ、知りお試しで購入した結果。元々ハーブティーは未経験で口コミで花のような香りがする、と書いていたので「いけるんじゃなかろうか」と買ってみました。けど、想像とは全く違う香りで封を開けた時になんとも言えない草の匂い。いやいや、お湯に蒸らしたらおいしいんだろう考え直し試し飲みしたら匂いは苦手で味も口の中に草の香りが広がるだけ...。本来の味がどんなものかを知らないのでこれが正解なのか不正解なのかもわかりません。ミルクティにするといいとも書いていましたが、私には残念なことに合わなかったみたいです😱こちらのカモミールティに限らず、匂いが苦手な人とかは控えた方がいいんじゃないかな。いい製品なだけに星少なくて申し訳ないですm(_ _)mまるっきり主観の感想でした
5,B01E4VWE2M,● カモミール ● ハーブティー ● ティーバッグ ● 夜の寝る前に、リラックスできる香り ● ノンカフェイン・無香料・無着色 ● 原料＝,紅茶専門店 京都セレクトショップ,ぷりんのママ,2018年11月17日,5.0,ノンカフェインなので、夜にも安心して飲めます,寝つきが極端に悪く、又最近は17歳の犬が認知症❓になり不眠症で困っていました。睡眠薬等1ヶ月に2〜3回使用する事もありましたが、これを飲むと自然と寝れて快適です。薬はやはり抵抗があるので早く知ってると良かったのにと思っています。
6,B01E4VWE2M,● カモミール ● ハーブティー ● ティーバッグ ● 夜の寝る前に、リラックスできる香り ● ノンカフェイン・無香料・無着色 ● 原料＝,紅茶専門店 京都セレクトショップ,miyo,2020年3月3日,4.0,苦手だけど挑戦した結果...,最近は余程眠気が強くならないと熟睡できなくなってきた為、就寝前のひと時ゆっくりお茶の時間を楽しむという事も含めて、初めてカモミールを購入してみました。気が向いた時だけ飲んでいるので、正直安眠効果があるのかどうかまではわかりませんが、紅茶の茶葉と違い、濃い味・香りではなく優しくほのかな風味なので、その点は夜就寝前に、という意味がわかるなぁと思いました。私はお茶は香りを楽しみたい人なので、このカモミールもゆっくり抽出して飲んでいます。
7,B01E4VWE2M,● カモミール ● ハーブティー ● ティーバッグ ● 夜の寝る前に、リラックスできる香り ● ノンカフェイン・無香料・無着色 ● 原料＝,紅茶専門店 京都セレクトショップ,lalareo,2020年3月24日,4.0,不眠症改善,最近カフェイン抜きにしているので頼みました。ちょっとクセがあるのですがこんなものかと思って飲んでいます。赤い方が発酵させていて値段が安いと知ったので今度は赤い方を頼んでみようと思います。就寝前に飲むと安眠と書いてあったのでしばらく様子をみます。
8,B01E4VWE2M,● カモミール ● ハーブティー ● ティーバッグ ● 夜の寝る前に、リラックスできる香り ● ノンカフェイン・無香料・無着色 ● 原料＝,紅茶専門店 京都セレクトショップ,Amazon カスタマー,2018年11月5日,5.0,美味しい！安眠効果！,美味しいけどティーパックの紐が短い。
9,B01E4VWE2M,● カモミール ● ハーブティー ● ティーバッグ ● 夜の寝る前に、リラックスできる香り ● ノンカフェイン・無香料・無着色 ● 原料＝,紅茶専門店 京都セレクトショップ,Amazon カスタマー,2020年11月8日,5.0,美味しい,喉風邪が長引いたので喉に優しい飲み物を探してみることに。いくつか試してこれが自分に合っているなと感じた。ティーバック時は香りが強いなと思っていたものの、飲むときには丁度いい香りになっている。味にクセもない。安眠効果もあるからか飲むと眠りやすくなる印象。今後、定期的に購入したい。
