,ASIN,product,variant,brand,name,date,score,title,comment
0,B01EEI2WK4,pukka(パッカ) ハーバルコレクション 有機ハーブティー デカフェ・ノンカフェイン ティーバッグ 20個 1箱,Pukka Herbs(パッカハーブス),フレーバー名: バニラチャイ,jasmine27,2023年4月25日,4.0,もっとハーブ感が強くほしい,少し甘さがあって、飲みやすいです！わたしはシナモンが大好きなのでもっと強めでほしいので、追いシナモンして飲んでます！
1,B01EEI2WK4,pukka(パッカ) ハーバルコレクション 有機ハーブティー デカフェ・ノンカフェイン ティーバッグ 20個 1箱,Pukka Herbs(パッカハーブス),フレーバー名: ナイトタイムベリー,misaki,2023年5月20日,5.0,ベリーです,パッカはどれも香料きつい感じですが、これは正にベリーでした。何にも入れてないのに甘い…
2,B01EEI2WK4,pukka(パッカ) ハーバルコレクション 有機ハーブティー デカフェ・ノンカフェイン ティーバッグ 20個 1箱,Pukka Herbs(パッカハーブス),フレーバー名: スリーシナモン,ナオミ,2023年5月12日,5.0,とても美味しいです,毎日飲んでも飽きないです。
3,B01EEI2WK4,pukka(パッカ) ハーバルコレクション 有機ハーブティー デカフェ・ノンカフェイン ティーバッグ 20個 1箱,Pukka Herbs(パッカハーブス),フレーバー名: ナイトタイム,Yutaka@,2023年5月11日,5.0,良いです。,高いですが、良いです。
4,B01EEI2WK4,pukka(パッカ) ハーバルコレクション 有機ハーブティー デカフェ・ノンカフェイン ティーバッグ 20個 1箱,Pukka Herbs(パッカハーブス),フレーバー名: バニラチャイ,babigi,2023年5月21日,3.0,ちょっと甘くピリピリします,チャイだからと言われればそれまでなのですが、甘くてジンジャーのピリッとした辛さが喉を若干刺激するので、パックをあまり長く浸し置くと、良い意味でも悪い意味でもよりはっきりこのお茶の個性が出ます。
5,B01EEI2WK4,pukka(パッカ) ハーバルコレクション 有機ハーブティー デカフェ・ノンカフェイン ティーバッグ 20個 1箱,Pukka Herbs(パッカハーブス),フレーバー名: スリーミント,Amazon顧客,2023年4月29日,5.0,ミントの味を楽しめます,ハッカ、ミント、好きなかたにはお勧めの香りです。食べ過ぎた後の消化も助けてくれます。
6,B01EEI2WK4,pukka(パッカ) ハーバルコレクション 有機ハーブティー デカフェ・ノンカフェイン ティーバッグ 20個 1箱,Pukka Herbs(パッカハーブス),フレーバー名: リラックス,ジャックン,2023年3月3日,4.0,好きなタイプの お茶です,カモミールを中心とした お茶でリラックス効果が本当にあります。寝る前によく飲んでいます。しかしアールグレイを飲んでから少し物足りなくなりました。定期購入にしてありましたが外しました。多分今後購入しないと思います。決して悪いお茶ではないと思います。
7,B01EEI2WK4,pukka(パッカ) ハーバルコレクション 有機ハーブティー デカフェ・ノンカフェイン ティーバッグ 20個 1箱,Pukka Herbs(パッカハーブス),フレーバー名: ラブ,新井理愛,2023年4月24日,5.0,美味しい！,ハーブティー探しててパッケージの可愛さに惹かれて購入しましたが期待以上に美味しいハーブティーでした
8,B01EEI2WK4,pukka(パッカ) ハーバルコレクション 有機ハーブティー デカフェ・ノンカフェイン ティーバッグ 20個 1箱,Pukka Herbs(パッカハーブス),フレーバー名: レモングラス&ジンジャー,さくら,2023年3月7日,4.0,美味しいです。,思ってた味とは違ってましたが、香りはよく、飲んだ感じはスッキリした感じです。私はどちらかと言うと夏向きのハーブティーかなぁーと思いました。少し、ハチミツを加えても美味しかったです。
9,B01EEI2WK4,pukka(パッカ) ハーバルコレクション 有機ハーブティー デカフェ・ノンカフェイン ティーバッグ 20個 1箱,Pukka Herbs(パッカハーブス),フレーバー名: スリーミント,ありあん♪,2023年2月21日,4.0,ミントの香りが気分を整えてくれます。,毎朝、カップ一杯のミントティーで目が覚めます。サッパリとしていてミントの香りが気分を整えてくれます。
10,B01EEI2WK4,pukka(パッカ) ハーバルコレクション 有機ハーブティー デカフェ・ノンカフェイン ティーバッグ 20個 1箱,Pukka Herbs(パッカハーブス),フレーバー名: スリーシナモン,tupyon,2023年4月8日,5.0,美味し過ぎる,パッカの商品もシナモンティーも初めて購入します。それまで紅茶にシナモンスティックを入れて飲んだりしてましたが、こちらの方が断然美味しいです。冷めてしまうけど時間が経つと味も甘みもしっかり出て美味しくなります。これを飲み始めてからコーヒーの出番が減りました。ただシナモンは飲みすぎは良くないようなので注意ですね。
11,B01EEI2WK4,pukka(パッカ) ハーバルコレクション 有機ハーブティー デカフェ・ノンカフェイン ティーバッグ 20個 1箱,Pukka Herbs(パッカハーブス),フレーバー名: バニラチャイ,Amazon カスタマー,2023年4月2日,5.0,甘くてスパイシー,水筒に入れて職場へ持っていきます。最初甘み、仕事後半になるとジンジャーのスパイシーな感じで頑張れます。
12,B01EEI2WK4,pukka(パッカ) ハーバルコレクション 有機ハーブティー デカフェ・ノンカフェイン ティーバッグ 20個 1箱,Pukka Herbs(パッカハーブス),フレーバー名: スリーシナモン,Amazon カスタマー,2023年4月3日,5.0,寝る前に飲むとホッとします,穏やかな味で、ハーブティに慣れている方ならとてもリラックスできる味です。ほのかなラベンダーが香るのも○
