,ASIN,product,brand,name,date,score,title,comment
0,B01EEI2WK4,pukka(パッカ) ハーバルコレクション 有機ハーブティー デカフェ・ノンカフェイン ティーバッグ,PUKKA(パッカ),山庵,2017年3月27日,5.0,スリーシナモン,私の中でのベストオブミントティーです。すべてのバランスがいいです。しっかりメントールなのに味わいもあって、嫌味がありません。=====ミントティーレート=====メントール度　★★★★☆味わい度　★★★★☆香り　★★★★☆===========================
1,B01EEI2WK4,pukka(パッカ) ハーバルコレクション 有機ハーブティー デカフェ・ノンカフェイン ティーバッグ,PUKKA(パッカ),Poyo,2019年9月5日,4.0,深い味わい,私は自律神経失調症なので、効果があると聞いたので購入しました。効果は個人的な部分なので差し控えますが、美味しいです。後、気分を落ち着かせる時や寝る前に飲むのも良いかと思います。夏場は水出しして飲んでいましたが、とてもスッキリした味がしてお勧めです。
2,B01EEI2WK4,pukka(パッカ) ハーバルコレクション 有機ハーブティー デカフェ・ノンカフェイン ティーバッグ,PUKKA(パッカ),みぃーの,2019年12月20日,5.0,ベストオブミントティー,シナモンが濃厚。リコリスでしっかり甘みがあるのでこれをぐびぐび飲んでいると間食が減ります(笑)！ただ英文には「1日に4杯以上は飲まないでください」と書いてあります。なぜか日本語ラベルには書いていないので注意です。ほかにもバニラチャイを試してみましたが、バニラもシナモンもあまり感じられませんでした。まろやかなものがお好きな方には合うかもしれませんが、濃厚なものをお探しの方はこちらのスリーシナモンがおすすめです！
3,B01EEI2WK4,pukka(パッカ) ハーバルコレクション 有機ハーブティー デカフェ・ノンカフェイン ティーバッグ,PUKKA(パッカ),Amazon カスタマー,2019年1月16日,5.0,美味しい,リコリスで甘味が付けられたハーブティは苦手な物が多いのですが、こちらはジンジャーの微かな辛みとシナモンの香りで、独特の甘味が気になりませんでした。寒い日に飲むと、指先から温かくなってきます。同じメーカーのスリーシナモンもお気に入りで常備しているので、気分に合わせて楽しんでいます。古内一絵さんの小説「マカン・マラン」シリーズを読んで、シナモンティーやジンジャーティーが気になっている方、pukkaのスリーシナモンとアップル&シナモン、お薦めです。
4,B01EEI2WK4,pukka(パッカ) ハーバルコレクション 有機ハーブティー デカフェ・ノンカフェイン ティーバッグ,PUKKA(パッカ),K,2020年8月28日,1.0,大好き！,色、香りなど、美味しくてきれいでよく飲んでいます。普段店舗購入なのですが、コロナ渦で外出が減ったので今回ネット購入しました。開けたらティーバックに糸の先の紙（ティーバックをカップから出すときつまむ）の部分がくっついていました。ひとつだけかと思い、それは捨てて他のを使おうとしたら他も同じ状態。。つまり湿気ってる。。包装が外も中も紙。湿度が高い時期は要注意かもしれません。料金が高いので、せめて包装には配慮してほしいです。
5,B01EEI2WK4,pukka(パッカ) ハーバルコレクション 有機ハーブティー デカフェ・ノンカフェイン ティーバッグ,PUKKA(パッカ),smc,2019年8月27日,5.0,身体が温まります,ペパーミント100%ほどの刺激はありませんが、のどや鼻をおだやかに癒してくれました。葉に変な癖がないので、長めの抽出でもえぐみが出ないし、水出しでじっくり出しても美味しくいただけます。「フリスクなどの、刺激の強いものは食べられない」という方でも、これなら安心。寝る前でも飲めて、適度にすっきりさせてくれる、一押しのミントです。ポンパドールのペパーミントとは別物と思った方がいいです。（お値段も別物ですけど……）
6,B01EEI2WK4,pukka(パッカ) ハーバルコレクション 有機ハーブティー デカフェ・ノンカフェイン ティーバッグ,PUKKA(パッカ),yurun,2018年4月28日,2.0,お気に入りなのに残念。。,English Tea Shopのチョコレートルイボスが好きだったのに取り扱いが無くなってしまったようなので、ざっくり分けると似てるかなと思いこちらの商品を購入しました。ナチュラル系の食品なので、いわゆる普通のチャイを想像すると全く違うと思います。自然食品慣れしていない人にはお勧めできません。あくまでチャイ風の「ブレンドハーブティー」です。pukkaのものは大抵好きですが...私はリコリスを苦手だと思ったことはありませんが、これを飲んでとても苦手だと思いました。後味が特に。ナチュラルなものに関心がない夫もやはり苦手だと言っていました。
7,B01EEI2WK4,pukka(パッカ) ハーバルコレクション 有機ハーブティー デカフェ・ノンカフェイン ティーバッグ,PUKKA(パッカ),Laylah,2020年4月22日,4.0,穏やかでくせのないミントです,甘みが強いお茶です。砂糖にはないじんわりとした甘さが優しくて癒されます。生姜のピリッと感も僅かに感じます。香りはほんのりスパイシー。インド料理店で出てくるようなミルクでいれる濃厚なチャイを思い浮かべていると肩透かしにあいますが、ハーブティーとしては美味しいと思います。体もしっかり温まりますし、エキゾチックな香りがいい感じ。紅茶で割っても面白そうな味です。蛇足ですが、箱から出した瞬間「葛根湯の匂いだ…！」と驚きました。お湯を注いだらそんな印象は薄れましたが、成分がいくつか被ってるからかなと変に納得してしまいました。そういう意味でも面白いお茶です。体に良さそう！テレワークのお供にします！
8,B01EEI2WK4,pukka(パッカ) ハーバルコレクション 有機ハーブティー デカフェ・ノンカフェイン ティーバッグ,PUKKA(パッカ),いく,2017年2月6日,5.0,美味しくなかったです。,pukkaクレンズはなかなか売ってる店がないのでamazonで購入できるのは本当に助かります。味はほどよくミントの風味のさっぱりとしたハーブティーで、寝る前に飲むと鼻の通りもスッキリしリラックスもできるので寝つきが良くなる感じがします。カモミールティーよりクセがなくて飲みやすいかも。ネトルというのがアレルギーに効果があるハーブだそうで花粉症や風邪の予防に飲んでいます。
9,B01EEI2WK4,pukka(パッカ) ハーバルコレクション 有機ハーブティー デカフェ・ノンカフェイン ティーバッグ,PUKKA(パッカ),jin,2018年3月19日,2.0,届いた状態はもう中身飲みたくない,ポンパドール ペパーミントリーフハーブティー を飲んでいました。それよりも濃い味、濃い風味を期待し、まｔ日仏さんのでパッケージもよく、購入しました．個人差はあるでしょうが、ミント風味も含めてすべて前者の勝ち。
