,ASIN,product,brand,name,date,score,title,comment
0,B01GYQBZAW,フォートナム&メイソン Lapsang Souchong ティーバッグ 25個入り 個包装 ラプサンスーチョン (正山小種) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),アレンデイル,2018年11月30日,5.0,相性が合えば一生の友となるお茶です。,紅茶やお茶より断然コーヒー党なのですが、このラプサンスーチョンは私の中でコーヒーの上を行く嗜好品です。燻しの効いた深い香りと味わい、このお茶を飲むと本当に癒されます。ティーバッグは主に職場で飲むのに便利なのでリピート中です。
1,B01GYQBZAW,フォートナム&メイソン Lapsang Souchong ティーバッグ 25個入り 個包装 ラプサンスーチョン (正山小種) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),austor,2017年10月22日,5.0,気分はジェーン,初めてこのお紅茶をいただきました。正露丸のような香りと聞いていましたので楽しみにしていました。いわゆるスコッチウイスキーのラフロイグ10のような香りで、結構いけました。ミルクティー独特の後味のしつこさがなく、どちらかと言えばさっぱりとしていてピートのような香りが楽しめて、美味しくいただきました。
2,B01GYQBZAW,フォートナム&メイソン Lapsang Souchong ティーバッグ 25個入り 個包装 ラプサンスーチョン (正山小種) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),もふもふニャン太郎,2018年4月9日,4.0,リピートです,甘ったるくないいぶした香が気に入っています。しばらく老いても、苦みなどなく、飲みやすいです。店頭で手に入らないのが難点ですが、試してみて下さい。
3,B01GYQBZAW,フォートナム&メイソン Lapsang Souchong ティーバッグ 25個入り 個包装 ラプサンスーチョン (正山小種) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),にゃんたま,2020年9月28日,5.0,クセになりそうな香り,独特の香りと穏やかな風味がとても美味しかったです。
4,B01GYQBZAW,フォートナム&メイソン Lapsang Souchong ティーバッグ 25個入り 個包装 ラプサンスーチョン (正山小種) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),さすけ,2018年1月18日,4.0,燻製のようにいぶした香,いろいろラプサンスーチョンは試しました。これは美味しいです。いいお茶だなと感じました。
5,B01GYQBZAW,フォートナム&メイソン Lapsang Souchong ティーバッグ 25個入り 個包装 ラプサンスーチョン (正山小種) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),syaimi,2019年7月27日,4.0,美味しかった,ドラマの影響で飲んでみましたが好みが分かれると思います。不思議な香りですが慣れると美味しいです。
6,B01GYQBZAW,フォートナム&メイソン Lapsang Souchong ティーバッグ 25個入り 個包装 ラプサンスーチョン (正山小種) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),草だんご,2020年8月29日,5.0,美味しい。でも高い。,ドラマの主人公が好んで飲んでいたので気になり購入。最初は正に正露丸の匂い！とびっくりしましたが、三杯目でクセになりました。飲み込むと深い香りが鼻を抜け、とても落ち着きます。燻製が好きな人は気にいるかも。
7,B01GYQBZAW,フォートナム&メイソン Lapsang Souchong ティーバッグ 25個入り 個包装 ラプサンスーチョン (正山小種) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),流星,2017年7月11日,5.0,半分くらいの量の物が欲しい,NHK漢詩紀行を観ながら飲みたい紅茶です。ラプサンスーチョン久々に飲みましたがやっぱりいいです。たぶんまたこちらで注文します。
8,B01GYQBZAW,フォートナム&メイソン Lapsang Souchong ティーバッグ 25個入り 個包装 ラプサンスーチョン (正山小種) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),木村幹治,2020年3月10日,5.0,正露丸好きな人は買うべき。,薫香がしっかりついていて、望み通りの品でした♪( '▽｀)日本のお店では売っているのをあまり見かけないので、手に入れられてよかったです。
9,B01GYQBZAW,フォートナム&メイソン Lapsang Souchong ティーバッグ 25個入り 個包装 ラプサンスーチョン (正山小種) [並行輸入品],FORTNUM & MASON(フォートナム＆メイソン),okuni,2017年6月28日,1.0,The mentalistより,これまでの好みの味と違い、薬草のにおいが強烈でした。味わいとかおりは大きく、好きか違いにわかれるとおもます？
