,ASIN,product,brand,name,date,score,title,comment
0,B01LCDO8YM,日東紅茶 オーガニック ルイボスティー 20袋入り×3個,日東紅茶,ユーザー,2018年2月16日,5.0,外装フィルムが無く、輸送中のニオイが付く,イオンに売ってたので飲んでみると変なにおい、癖がなくとても飲みやすかった！こちらで見つけてお値段も安く早々に2パック注文しました。ダージリンと言っても変なにおい、癖があって一個でやめてしまう品があって困っていました。オーガニックかどうかより風味優先で選んだいい商品です。１分ほど浸す・・と案内がありますが、あまり長くお湯に浸していると苦味が出てしまうので、私は早めに出して飲んでます。
1,B01LCDO8YM,日東紅茶 オーガニック ルイボスティー 20袋入り×3個,日東紅茶,水色おくまさん,2018年5月12日,4.0,レベル低下,何種類か購入した中でもしっかりした味だと思いました。私は渋みの極力ないようなストレートで飲むタイプが好きですが夫は、甘みよりもしっかりした味の方が好みでこちらを好んでよく飲んでます。夫の入れたものは、ミルクがないと私には‥‥笑家族みんなの好みが違うのでティーバッグだらけのキッチンです。
2,B01LCDO8YM,日東紅茶 オーガニック ルイボスティー 20袋入り×3個,日東紅茶,tewaza,2020年12月28日,5.0,試しに・・・,気軽に普段使う価格帯で買えるオーガニックは、希少かもしれないね。安いラインの日東紅茶よりは深みはあるが、決して高級品では無い。然し、オーガニック。話題性は有るので気軽に人に差し上げると喜ばれる。
3,B01LCDO8YM,日東紅茶 オーガニック ルイボスティー 20袋入り×3個,日東紅茶,ニャームズ,2018年5月13日,4.0,家族の好みの違い,一時期はかなり高い茶葉をわざわざ買いに行くほど紅茶好きでしたが、仕事が忙しいのでティーバッグで気軽に飲める物をずっと探していました。下手なブランドの有機紅茶より優秀です。
4,B01LCDO8YM,日東紅茶 オーガニック ルイボスティー 20袋入り×3個,日東紅茶,価格com,2021年5月11日,5.0,普段使いに耐える価格帯のオーガニック,淹れ方で味は変わるので言及しませんが、やはり自分で淹れた紅茶は美味しいですね。ペットボトルの紅茶などは飲む気にもなれないです。やはりネットが一番安価なので、良く利用しています。イオンよりはるかに安い！
5,B01LCDO8YM,日東紅茶 オーガニック ルイボスティー 20袋入り×3個,日東紅茶,PM,2019年1月19日,5.0,手軽で美味しい。,美味しいです。リプトンやトワイニングなどのティーバッグよりは遥かに美味しい。味がしっかりあるし、深みもある。オーガニックだし、高すぎないし、お気に入りでリピートしてます。
6,B01LCDO8YM,日東紅茶 オーガニック ルイボスティー 20袋入り×3個,日東紅茶,TN,2018年8月2日,5.0,安くて美味しい！,色々買ってはみていますが、これより美味しいオーガニック紅茶が見つからないので、ティーバッグは苦手ですがずっとこれです。
7,B01LCDO8YM,日東紅茶 オーガニック ルイボスティー 20袋入り×3個,日東紅茶,海子,2020年12月28日,1.0,好きです,外のビニールの中に入っているのに、中の品の箱が、ぼこってと開いて、なかの隙間から紅茶がみえてるの、1．5センチは穴が開いてるの、外ビニールに入れる？。酷い。
8,B01LCDO8YM,日東紅茶 オーガニック ルイボスティー 20袋入り×3個,日東紅茶,いくらの肉球,2021年1月19日,3.0,安くて、おいしい、しかもオーガニック,オーガニックということで、とびつきましたが、紅茶の香りがあまりしないです。
9,B01LCDO8YM,日東紅茶 オーガニック ルイボスティー 20袋入り×3個,日東紅茶,テルくん,2017年8月26日,5.0,濃く出ます♬,健康に良いと言われているので購入しました。頑張って飲んでいます。日東紅茶さんが作っているためしっかりしている品です。私的には味になれたら≪定期購入≫にする予定です。
10,B01LCDO8YM,日東紅茶 オーガニック ルイボスティー 20袋入り×3個,日東紅茶,Amazon カスタマー,2017年1月5日,5.0,期待しすぎ？,ルイボスティーは何となく埃っぽいような香りがしたり、いかにも豆っぽい味がしたりするものもあるのですが、これはとてもナチュラルな風味で飲みやすく仕上げています。なかなか美味しいです。
11,B01LCDO8YM,日東紅茶 オーガニック ルイボスティー 20袋入り×3個,日東紅茶,グレコの父28,2019年6月17日,4.0,美味しくないけど健康に良いお茶,素直に飲みやすく、なんら嫌な後味などない、美味しい紅茶です。安心の一品。オススメできます。
12,B01LCDO8YM,日東紅茶 オーガニック ルイボスティー 20袋入り×3個,日東紅茶,まず買ってみよ！,2021年6月3日,1.0,クセがなくて美味しい,味が普通安いだけ
13,B01LCDO8YM,日東紅茶 オーガニック ルイボスティー 20袋入り×3個,日東紅茶,rotas,2017年8月18日,5.0,美味しいです,ルイボスティーが好きで紐付きのティーバッグを探していて購入。マグカップ2杯くらいなら出ます。値段も手頃で買って良かったです。
14,B01LCDO8YM,日東紅茶 オーガニック ルイボスティー 20袋入り×3個,日東紅茶,蓬莱↫武↬聖人,2016年3月1日,4.0,普通,味はティーバックとしては普通。値段はオーガニックとしては安めではないでしょうか。1個づつアルミで包装されています。
15,B01LCDO8YM,日東紅茶 オーガニック ルイボスティー 20袋入り×3個,日東紅茶,棗,2020年5月6日,3.0,美味しい！,癖なく飲みやすいです。ルイボスティーとしての効果はあまり感じられませんでしたが、美味しく毎日飲んでいます。価格も安価なので手に取りやすいと思います。
16,B01LCDO8YM,日東紅茶 オーガニック ルイボスティー 20袋入り×3個,日東紅茶,やきいもやさん,2018年6月2日,5.0,美味しいです,さすが日東紅茶ですね。香りも良く飲みやすいルイボスティです。
17,B01LCDO8YM,日東紅茶 オーガニック ルイボスティー 20袋入り×3個,日東紅茶,MasMusics,2017年9月1日,5.0,これからはアマゾンで,オーガニックで飲みやすくて美味しいです。また注文したいです。
18,B01LCDO8YM,日東紅茶 オーガニック ルイボスティー 20袋入り×3個,日東紅茶,kokosaigo,2018年9月2日,5.0,良い香りです,ミルクティにして飲んでいます。かれこれ、5年以上、続けて購入するほど好きです。
19,B01LCDO8YM,日東紅茶 オーガニック ルイボスティー 20袋入り×3個,日東紅茶,momo,2019年10月28日,3.0,オーガニックで安心,普通の紅茶。
20,B01LCDO8YM,日東紅茶 オーガニック ルイボスティー 20袋入り×3個,日東紅茶,そらいろ,2018年7月2日,4.0,デイリーユースのミルクティに。,紅茶の味は微妙で、その違いが判るのは私はほんの数種類に過ぎない。ダージリンは難しいものの一つ。なのでメーカー名とか値段とかに思いを乗せて飲んだりしている。昔から「日本のメーカー頑張れ」といった気持。
21,B01LCDO8YM,日東紅茶 オーガニック ルイボスティー 20袋入り×3個,日東紅茶,ゆっち。,2018年2月1日,5.0,普通,とても濃く出て、香りも良く、美味しい おまけにオーガニックなくなるとすぐリピしていますお友だちにあげても喜ばれます
22,B01LCDO8YM,日東紅茶 オーガニック ルイボスティー 20袋入り×3個,日東紅茶,昭和生まれの者,2020年4月26日,4.0,紅茶大好き,ティーポット使用でサイズ的にも夫婦で飲むのに丁度よいです味も気に入ってます
23,B01LCDO8YM,日東紅茶 オーガニック ルイボスティー 20袋入り×3個,日東紅茶,Amazon カスタマー,2017年9月2日,5.0,おすすめです！,お値段お手頃ですが、美味しかったです。水だしでアイスティにしました。
24,B01LCDO8YM,日東紅茶 オーガニック ルイボスティー 20袋入り×3個,日東紅茶,Amazon カスタマー,2015年9月2日,5.0,お得に買えてよかったです,有機紅茶で個別アルミ包装のものは初めてで､湿度の高かった時期にも鮮度が保てて､とてもよかったです｡一般の店で探すのは大変なこともあり､助かっています｡味も良いです｡
25,B01LCDO8YM,日東紅茶 オーガニック ルイボスティー 20袋入り×3個,日東紅茶,うなぎ,2015年11月11日,5.0,味は美味しい,コーヒーは体を冷やすので辞めました。紅茶は大好きので、色々と試しました。これが一番うまいと思います。ここ数年、毎朝飲んでいます。
26,B01LCDO8YM,日東紅茶 オーガニック ルイボスティー 20袋入り×3個,日東紅茶,Amazon カスタマー,2016年9月2日,5.0,キャサリン,美味しいのに近所のスーパーで取扱いが無くなって残念に思っていましたがこちらで買えて助かりました。同じシリーズのルイボスティーも美味しいです。
27,B01LCDO8YM,日東紅茶 オーガニック ルイボスティー 20袋入り×3個,日東紅茶,辛口レビュアーかなぁ,2016年8月24日,4.0,毎朝飲んでいます,オーガニックで美味しいから常備しているのですが、近くに売ってなくてAmazonで見つかってよかったです。ただ2000円以上じゃないと送料がかかってしまうので…星4
