,ASIN,product,brand,name,date,score,title,comment
0,B01LMWCLX8,AGF ブレンディ レギュラーコーヒー やすらぎのカフェインレス 150g 【 カフェインレスコーヒー 】【 デカフェ 】【 コーヒー 粉 】,AGF(エージーエフ),panko,2016年11月17日,5.0,飲み比べ、1番好きなカフェインレスコーヒー,コーヒーは毎日手放せない人ですが、夜の寝つきを気にして飲まなかったり、飲んだら眠れなかったり(笑)。それでもインスタントのカフェインレスは、どうも許せませんでした。このコーヒーは、価格的には通常のブレンドのレギュラーコーヒーに比べ、やや割高ではあると思いますが、カフェインレスでこの味なら、納得です。ただ苦いだけじゃなく、コーヒーのテイストはしっかり存在しており、同じ価格の高級ブレンドにはかなわないまでも、コーヒー好きの心が暖まるレベルではあると思います。で、飲んでも寝つきが悪かったり、夜に何回もトイレに起きたり、なんてことはありませんでした。これなら罪悪感なしに、夜の一杯をドリップできそうです(笑)。さすがに、カフェインがどのくらいカットされたかを目で見ることはできませんが、カフェイン97％オフの文字が本物ならば、何らかの理由でカフェインを控えなければならない方にも、これはいい選択になるかも知れません。最近、スーパーの売り場でも、同じようなカフェインレスのレギュラーコーヒーをいくつか見かけました。今は「カフェインレスか否か」という選択が先にあって、「カフェインレスの〇〇ブレンド」が選べるというところまではまだ至らないと思われますが、いずれ、すべてのコーヒーで、通常とカフェインレスの選択ができるようになったらベストですね。そんな意味もこめて、ぜひ頑張ってほしい製品です。それだけ、この製品の味には満足できたということです。
1,B01LMWCLX8,AGF ブレンディ レギュラーコーヒー やすらぎのカフェインレス 150g 【 カフェインレスコーヒー 】【 デカフェ 】【 コーヒー 粉 】,AGF(エージーエフ),platinox,2021年7月20日,3.0,他のカフェインレスより、多少高くてもこれがよいと思いました！,おいしいデカフェ・コーヒー粉を求めて、長らく彷徨っています。そんな中で評判が高かったのが、この「やすらぎのカフェインレス」です。他のデカフェ・コーヒーが味の芯が抜けてしまったような中、こちらの商品は味がありました。それで喜んで一日中飲んでいたところ、寝られない状態に。原因究明のために念のためこちらの包装を確認すると、カフェイン除去率97%とのこと。カフェインが3%でも残っていれば、大量に夜まで飲んでいると、累積摂取量は結構多いはず。輸入コーヒー粉でも、カフェイン除去率が隅っこに小さく90%以上と書かれていたり、デカフェやカフェインレスと商品名に付けておきながらカフェイン除去率は無表示のものも有ります。また、この商品は中身が150gと少なめでも値段は高めで、コストパフォーマンスはよくありませんでした。デカフェとレギュラーはキッチリ別々に分けたいので、結局この商品を買うのはとめました。現在は、カフェイン除去率99.7% の商品を使っています。これを濃くして飲むのがコーヒーとしての味はギリギリかな、と感じています。スタバのディカフェも99%ですね。スタバのディカフェを店頭で飲むと結構おいしいのですが、自分で粉から入れると今ひとつになります。いろいろなデカフェ・コーヒーで競い合ってほしいものです。
2,B01LMWCLX8,AGF ブレンディ レギュラーコーヒー やすらぎのカフェインレス 150g 【 カフェインレスコーヒー 】【 デカフェ 】【 コーヒー 粉 】,AGF(エージーエフ),4NX boy,2021年3月2日,4.0,価格的にはやや割高ながら、カフェインレスでこの味なら納得。,医者にカフェインレスを飲むように、とご指示をいただき、はじめはインスタントを飲んでいたのですが、やっぱりちゃんと飲んでる感が欲しい…と思いこちらを購入。結果、味は自分の好みではなかったのですが（酸味がきつめ）、コーヒーを飲んでる感がちゃんと感じられて、その意味で美味しい。これで酸味少なめでズッシリ系があれば欲しいのだけど、カフェインレスではそこまでバリエーションは出してもらえないかな…。他にも色々試したいが、酸味が好きな方にはかなりお勧めしたいカフェインレスコーヒー。
3,B01LMWCLX8,AGF ブレンディ レギュラーコーヒー やすらぎのカフェインレス 150g 【 カフェインレスコーヒー 】【 デカフェ 】【 コーヒー 粉 】,AGF(エージーエフ),Amazonカスタマー,2018年12月2日,5.0,この商品はカフェイン除去率97%と書いてあります。他のカフェイン99.7%除去などよりおいしいはずです,自分はアトピーがありカフェイン入りのものを飲むとすぐ痒みがでます。しかも牛乳のカゼインでお腹を壊すのでカフェオレは諦めていました。いろいろカフェインレスを試しましたが、こちらのカフェインレスはなかなかのコーヒーの味を感じます、そしてこれに豆乳を入れてソイラテにしてよく飲んでおります。個人の判断ですがアトピーも出ずこれで楽しめております。ありがたいですね。
4,B01LMWCLX8,AGF ブレンディ レギュラーコーヒー やすらぎのカフェインレス 150g 【 カフェインレスコーヒー 】【 デカフェ 】【 コーヒー 粉 】,AGF(エージーエフ),Dawn,2020年4月27日,4.0,酸味がやや強いが、カフェインレスとは思えないコーヒーを飲んでる感,珈琲大好きで一日に3～5杯飲むのですが最近眠りの質が悪いのを悩んでいて朝の一杯以外をｶﾌｪｲﾝﾚｽにしようかなとこちらを購入しました。ｶﾌｪｲﾝﾚｽ珈琲高いものが多いのでこの値段で購入できたのは嬉しかったです。味は…悪くはないけど、やっぱりｶﾌｪｲﾝﾚｽだと落ちるかなという印象。でも、肝心の眠れないという悩みが改善されつつあるのでやっぱりｶﾌｪｲﾝのせいだったのかなと思ってます。買って正解でした(^^)
5,B01LMWCLX8,AGF ブレンディ レギュラーコーヒー やすらぎのカフェインレス 150g 【 カフェインレスコーヒー 】【 デカフェ 】【 コーヒー 粉 】,AGF(エージーエフ),Yontarou,2021年4月2日,4.0,カフェインレスコーヒーの中では一番おいしい,デカフェ、いつもはスタバのものを購入してましたが初めてこちらを購入。スタバはちょっと濃くて美味しいのですが夜は負担に。ブレンディは軽めですがミルクにも合い飲みやすかったです。優しいコーヒーになります。リピしようと思ってます。カフェイン断ちを目指しているので、価格は気持ち高いですがスタバよりコスパ良し。このデカフェオススメです。パッケージも好きです。
6,B01LMWCLX8,AGF ブレンディ レギュラーコーヒー やすらぎのカフェインレス 150g 【 カフェインレスコーヒー 】【 デカフェ 】【 コーヒー 粉 】,AGF(エージーエフ),mam,2020年10月15日,5.0,安くてよかったです。,レビューにあるように、カフェインレスでは、味は一番かも知れません。イタリアのデカフェも美味しい。コスパはこちらの方がいいかなぁ。ミルク入れるならこちら。ストレートで飲むなら、AGF！
7,B01LMWCLX8,AGF ブレンディ レギュラーコーヒー やすらぎのカフェインレス 150g 【 カフェインレスコーヒー 】【 デカフェ 】【 コーヒー 粉 】,AGF(エージーエフ),かみこ,2017年11月19日,5.0,スタバよりおすすめのデカフェ,最近、コーヒーを飲むとふらつき感が出るようになってきたのでカフェインレスに変えると高濃度でも平気になった。他社品と比べてみたところ、味だけでなく香りに大きな差が感じられるので本品を続けて飲んでいる。
8,B01LMWCLX8,AGF ブレンディ レギュラーコーヒー やすらぎのカフェインレス 150g 【 カフェインレスコーヒー 】【 デカフェ 】【 コーヒー 粉 】,AGF(エージーエフ),薔薇ネコ,2021年2月6日,3.0,味はちょっと違うかも。,カフェインの含まれた物と比べると、味は薄いような気がします。カフェインレスはどうしてもこんな感じでしょうか…？ちょっと物足りなさが有ります。
9,B01LMWCLX8,AGF ブレンディ レギュラーコーヒー やすらぎのカフェインレス 150g 【 カフェインレスコーヒー 】【 デカフェ 】【 コーヒー 粉 】,AGF(エージーエフ),Amazon カスタマー,2020年11月22日,5.0,言う程濃く無い,コーヒーが☕️好きでよく飲んでいたのですが、胃が弱ってると痛くなるので、デカフェにしてみました。胃に優しく普通に美味しいです。カフェインレスなのでお風呂上がりなど寝る前に飲んでも安心です。
