,ASIN,product,brand,name,date,score,title,comment
0,B01LWMYLMQ,トワイニング アールグレイ 50P,トワイニング,Megara,2021年1月5日,3.0,どうした？トワイニングは何処に…,通常イギリスから直輸入で、四角いイギリス風ティーバッグ100個パックを買っていたのですが、コロナ禍で海外直輸入には不安があり、こちらに。個別包装は必要ないのですが、お手軽に注文できるので助かります。私は濃い方が好きなので、ティーバッグが小さい、飲む度にいちいち開けるのが面倒、味、香り共に弱めに感じるので、マイナス2としました。でも、リーフティーより手間が省けるので、良しとします。箱が若干邪魔なのと、産地が中国ってどうかな？とは思います。最近のは缶入りも中国なので、普通なのでしょうか？
1,B01LWMYLMQ,トワイニング アールグレイ 50P,トワイニング,オガワ,2020年4月21日,5.0,以前と違う！,ぜひそのまま飲んで欲しい紅茶です。ベルガモットの香りが爽やかで、最初の一口目には紅茶自体に少し甘みを感じました。水筒に入れて暖かい紅茶を持ち歩く時には、ティーバッグを入れたままでも大丈夫です。紅茶が苦くなりすぎず最後まで美味しく飲めます。ただし、ロイヤルミルクティーにしたい方には、もっと紅茶が強い商品が合うと思います。このトワイニングは是非そのまま飲まれることをお勧めします。すごく美味しいです。
2,B01LWMYLMQ,トワイニング アールグレイ 50P,トワイニング,らばーだっきー,2017年11月12日,4.0,手軽に手に入る代替品、リーフより扱いやすい,職場に持って行く水筒に入れるお茶に使ってます。香りもよく、苦味もなく、飲みやすいです。近所のスーパーには小包装しかないので、amazonさんにお世話になってます。自分用なので、小さめのティーポットにお水とティーバッグ入れて2分レンチンしたものを水筒に入れています。
3,B01LWMYLMQ,トワイニング アールグレイ 50P,トワイニング,いいもの探すの好き,2021年1月11日,5.0,優しいベルガモットの香り　すごく美味しい,お茶が好きで散々いろんなものを試しましたが、ミルクティーには、トワイニング アールグレイが最高に美味しいです！これはほとんどミルクティーで、時々ストレートで飲んでます。夏とかだとストレートで冷やして飲むと涼しくて最高！
4,B01LWMYLMQ,トワイニング アールグレイ 50P,トワイニング,go_go_suica,2020年11月8日,5.0,毎日の水筒用に,香りが、好きで癒されてます。寝る前、職場でホッとしたいときに。イエローラベルのように安価でではないですが、まとめ買いで少々お得かと。コロナで隔離されても大丈夫なように、入院グッズとして購入しましたが、なくなったので、またリピします。
5,B01LWMYLMQ,トワイニング アールグレイ 50P,トワイニング,てる,2021年3月9日,5.0,ミルクティーにはトワイニング アールグレイで決定！,ずっと何十年も飲んでおりますが、この製品以外の紅茶は受け入れなくなりました。アメリカで売っているのと同じ味です。
6,B01LWMYLMQ,トワイニング アールグレイ 50P,トワイニング,Amazon カスタマー,2020年8月15日,4.0,使いやすいです、ちょっと贅沢なひととき,箱の中身も、5個か10個入りでも、小分けして袋に入れてあったら、良かったです。
7,B01LWMYLMQ,トワイニング アールグレイ 50P,トワイニング,使い捨てカイロに勝った,2020年7月13日,5.0,疑いなく美味しいです,コスパはいいですよただ、新鮮かとかはあんまり・・・・日東紅茶に飽きたらこれかもね夏は私は煮出して麦茶かわりに飲んでます
8,B01LWMYLMQ,トワイニング アールグレイ 50P,トワイニング,ジャンギャバン,2020年7月13日,5.0,顕微鏡的多発血管炎（指定難病43）を患っています,値段も味も香りも丁度いい香りが弱いと言われてますが、これ以上香りが強いとストレートで飲むのは微妙かと思います
9,B01LWMYLMQ,トワイニング アールグレイ 50P,トワイニング,ちく,2020年9月20日,5.0,ティーパックでも香りがいい！,アイスティーを いれるには、やっぱりアルグレイが一番合っていると思う。
10,B01LWMYLMQ,トワイニング アールグレイ 50P,トワイニング,アマゾン太郎,2018年7月4日,3.0,丁度いい,個包装してあるのが嬉しいです。香りがちょっと弱く、がっつりアールグレイを感じたい私にとってはちょっと物足りなかったです。リピはしません。
11,B01LWMYLMQ,トワイニング アールグレイ 50P,トワイニング,Amazon カスタマー,2020年5月17日,5.0,Good !,アイスティーを気軽にごくごく飲むのにちょうど良いです。茶葉に強いこだわりはないので、十分です。
12,B01LWMYLMQ,トワイニング アールグレイ 50P,トワイニング,くろがね,2019年11月11日,4.0,個包装,味、香り共に(๑•̀ㅂ•́)و✧よし。ただ、開け口が面倒くさい。日本の某紅茶みたいになってると楽なんですがねぇ。
13,B01LWMYLMQ,トワイニング アールグレイ 50P,トワイニング,山本山,2021年3月30日,5.0,手軽でおいしい,美味しかった
14,B01LWMYLMQ,トワイニング アールグレイ 50P,トワイニング,コーヒー命,2020年8月22日,4.0,安いのの中では最高！,たくさん入っているし、価格もスーパーと変わりません。
15,B01LWMYLMQ,トワイニング アールグレイ 50P,トワイニング,ある,2019年8月25日,5.0,美味しい,スーパーで買ってもすぐなくなって割高ですが、これ一つで１ヶ月もつかもたないか。ありがたい、定期便なら持ってきてくれて割引まで嬉しい。
16,B01LWMYLMQ,トワイニング アールグレイ 50P,トワイニング,Amazon 007,2020年4月28日,5.0,娘の依頼です。,お手頃ですしアールグレイ好きなんです新鮮さはわかりません
17,B01LWMYLMQ,トワイニング アールグレイ 50P,トワイニング,ちゃ,2018年12月14日,5.0,いいかおり！,トワイニングのアールグレイが一番美味しいと思います
18,B01LWMYLMQ,トワイニング アールグレイ 50P,トワイニング,松隅,2018年3月4日,5.0,アールグレイ好きだから,アールグレイはケーキの時や食事後の一杯に欠かせません。トワイニングは優雅な香りを漂わせてくれます。
19,B01LWMYLMQ,トワイニング アールグレイ 50P,トワイニング,poizon pink,2018年7月4日,5.0,とても美味しいです,アールグレイは、香りと気品が大事だと思います。トワイニングアールグレイは、それらを満たしてくれる・心豊かにしてくれる・優れた紅茶だと思います。
20,B01LWMYLMQ,トワイニング アールグレイ 50P,トワイニング,ちさ,2019年3月26日,2.0,満足です。,前回は、別のメーカーのアールグレイを飲んでいました。今回は、香りがイマイチでした。
21,B01LWMYLMQ,トワイニング アールグレイ 50P,トワイニング,Amazon カスタマー,2019年6月8日,4.0,香り良く美味しい。,いつも茶葉で入れているけど、ちょっと手間なく飲みたい時のために購入しました。　フレーバーが少し弱い気もしますが、リーズナブルな量と価格に満足したいます。
22,B01LWMYLMQ,トワイニング アールグレイ 50P,トワイニング,numo007,2021年1月1日,5.0,残念,香りが良く、とても美味しかったです。
23,B01LWMYLMQ,トワイニング アールグレイ 50P,トワイニング,sadamex,2020年4月29日,5.0,リーズナブル,トワイニングなので安心して飲めました。
24,B01LWMYLMQ,トワイニング アールグレイ 50P,トワイニング,Vivianhere,2019年7月15日,5.0,いいです,私は、携帯用のホットな飲み物は、アールグレーを飲んでいます。とても気にいっています。
25,B01LWMYLMQ,トワイニング アールグレイ 50P,トワイニング,むい,2019年1月10日,5.0,美味しい‼️,定期購入しています。家族が紅茶好きなので、量が多く助かります。
26,B01LWMYLMQ,トワイニング アールグレイ 50P,トワイニング,日沼,2019年10月6日,5.0,香りと、スッキリした飲みごごちが好きです。,毎日美味しく頂いてます。
27,B01LWMYLMQ,トワイニング アールグレイ 50P,トワイニング,momo,2017年12月4日,2.0,量が多いので、助かります,箱のデザインが変わっただけでなく、中身もブレンド内容が変わったようで、薫り高い（少し強めの）フレーバーが好みだったため、香りの少なくなった紅茶をこの後購入するかどうか思案しているところです。残念です。
28,B01LWMYLMQ,トワイニング アールグレイ 50P,トワイニング,鬼頭史郎,2017年8月16日,4.0,お買い得です。,今まで100pを購入していたせいか、品物は同じだけど、すごく箱が小さく感じました。近くのスーパーで買ってもいいかなって思いました。100pがあったいいのに。
29,B01LWMYLMQ,トワイニング アールグレイ 50P,トワイニング,mikity,2018年4月15日,1.0,フレーバーが弱くなった,昔は常用していて久しぶりに購入しました。香りはするものの味は全く違います。薄くて2パック入れましたが、ほとんど変化なくとてもがっかりしました。もう二度と買いません。
30,B01LWMYLMQ,トワイニング アールグレイ 50P,トワイニング,グミ嫌い,2020年10月26日,3.0,50pはamazon買う必要はないです…,香り、味は良い。だけど産地がダメ。ウーロン茶なら良いが、紅茶はダメでしょ。商品説明に書いてなくて、届いてから箱に書いてあるのも詐欺臭い。
31,B01LWMYLMQ,トワイニング アールグレイ 50P,トワイニング,シングス大好き,2018年5月20日,5.0,薄くて飲めません,大好きなトワイニング。おいしいです。ミルクと合わせて飲むのもおすすめです。
