,ASIN,product,brand,name,date,score,title,comment
0,B01LWW7P3B,リプトン ミックスベリーティー ティーバッグ 12袋×6箱,リプトン,ネオなめこ。,2021年3月15日,5.0,フレーバーにしては甘く飲みやすい,今までティーパックを入れたまま紅茶を飲んでいて、紅茶は苦いもの何だなと勘違いしてましたがパッケージの裏に作り方が載っていて試したら美味しかったです。良い香りで、気分がほっこりして個人的に満足です。
1,B01LWW7P3B,リプトン ミックスベリーティー ティーバッグ 12袋×6箱,リプトン,Amazonレビュー,2020年8月10日,3.0,とてもおいしい,コールドブリューのを飲んでいて、美味しかったので買いました。いい香りです。(香料ですが)蜂蜜を入れたりすると美味しいですよ。定期便でやすく買えました。
2,B01LWW7P3B,リプトン ミックスベリーティー ティーバッグ 12袋×6箱,リプトン,雪だるま,2021年5月15日,5.0,幸せな一杯,フレーバーティを色々なメーカーさんで買わせて頂いてますBerry系の中でも特にこのミックスベリーはとても良い香りで気に入ってリピートしています最寄りのスーパーには無いのでなくなる前に買い足す位のお気に入りです！
3,B01LWW7P3B,リプトン ミックスベリーティー ティーバッグ 12袋×6箱,リプトン,Ya,2020年6月17日,5.0,飲みやすい,美味しいし、香りも好きです。だいたい砂糖抜きでいただきますが、砂糖より蜂蜜の方が合うと思います。まとめ買いしましたが、在庫はずっとあってほしいです。
4,B01LWW7P3B,リプトン ミックスベリーティー ティーバッグ 12袋×6箱,リプトン,Amazon カスタマー,2021年2月15日,4.0,Berry好きにはお勧めです,飲みやすくて美味しいです。安く購入できて嬉しいです。アップルの香りがいいです
5,B01LWW7P3B,リプトン ミックスベリーティー ティーバッグ 12袋×6箱,リプトン,じゃりんこミカ,2021年2月4日,5.0,美味しいです！,この味、めちゃめちゃ美味しいです！基本はアールグレイやアップルティーが好きですが、それよりもこの紅茶の味が１番好きです！！でも、店頭にはもう全然売ってないので今回安く買えて嬉しかったです。毎日飲んでいます♪
6,B01LWW7P3B,リプトン ミックスベリーティー ティーバッグ 12袋×6箱,リプトン,Amazonカスタマー,2021年3月3日,4.0,いつでも飲みたい,好みな味で、気に入りました
7,B01LWW7P3B,リプトン ミックスベリーティー ティーバッグ 12袋×6箱,リプトン,kaori_y,2021年4月16日,5.0,味が最高！,美味しかったです
8,B01LWW7P3B,リプトン ミックスベリーティー ティーバッグ 12袋×6箱,リプトン,みけねこまる,2021年4月1日,4.0,甘い香りがいいです,ミックスベリーの香りがとても良くてフレーバーティーの中ではイチ押しです、私はストレートで飲むので、ティータイムだけではなく食事と一緒でもとても合いますよー
9,B01LWW7P3B,リプトン ミックスベリーティー ティーバッグ 12袋×6箱,リプトン,yukiっち,2017年9月16日,5.0,マンゴー&ピーチ,値段の割にしっかりとした紅茶の味と、ほのかなベリーの香りが楽しめました。パッケージが開封後も密封できるので香りが長持ちすると思います。
10,B01LWW7P3B,リプトン ミックスベリーティー ティーバッグ 12袋×6箱,リプトン,nori,2020年4月26日,4.0,とってもいい香りです！,費用対効果で納得して購入しましたが、マンゴー関連ではお勧めですね。
