,ASIN,product,brand,name,date,score,title,comment
0,B01LZRRA4L,ナチュラルショップなごみ ルイボスティー オーガニック なごみ ×100個,ナチュラルショップ なごみ,なまけぐま,2019年3月29日,1.0,煮だしてもOK,星もつけたくない！！2割くらい、紙パックが破れて、茶葉がでていた！！ほんとにありえない！！最悪の品質でした！！
1,B01LZRRA4L,ナチュラルショップなごみ ルイボスティー オーガニック なごみ ×100個,ナチュラルショップ なごみ,てなもんや,2019年9月23日,5.0,高騰注意！,普段、コーヒーばかり飲んでいて、カフェインを取り過ぎなので、ノンカフェインの飲み物を探していました。ルイボスティーなら、味や臭いに強いクセがないので、いいかな？と思って購入しました。よく言われている効果効能もあるようですが、その辺りはあまり拘らず気にせずに、取りあえず、水分補給の飲み物の一つとして考えています。この品は一つが小さいけれど、煮だしすると色が結構出ます。一日飲むには十分は量が出来ます。又、簡単に飲みたい時は熱いお湯を注ぐだけで飲んだりと簡単にも飲むことができて満足しています。思っていた通り。味も臭いもクセがなくサッパリしているので、続けられそうです。
2,B01LZRRA4L,ナチュラルショップなごみ ルイボスティー オーガニック なごみ ×100個,ナチュラルショップ なごみ,U.,2018年10月27日,5.0,品質最悪！！！,最近ルイボスティーにはまり近所のお店でを買うより安いのでこちらを購入しました。他メーカーのと比べると圧倒的に飲みやすいです。ルイボス独特の風味がいい意味で強すぎなくて、初めて飲む人にも受け入れ易い感じがしました
3,B01LZRRA4L,ナチュラルショップなごみ ルイボスティー オーガニック なごみ ×100個,ナチュラルショップ なごみ,枡魅,2019年2月4日,5.0,続けられそう。,画像のように煮出して飲んでいます。飲みきれないものは翌朝ペットボトルに。3日に一回の作業です。体調が良く美味しいのでずっと続けたいですね。クセのある味なので、駄目な人もいるかもですね。
4,B01LZRRA4L,ナチュラルショップなごみ ルイボスティー オーガニック なごみ ×100個,ナチュラルショップ なごみ,栃木の人,2018年6月22日,1.0,飲みやすい味,これまでに同じような価格帯のルイボスティーを、何袋か購入してきましたが1番薄かったです。残念です。
5,B01LZRRA4L,ナチュラルショップなごみ ルイボスティー オーガニック なごみ ×100個,ナチュラルショップ なごみ,サーベルタイガー,2019年10月4日,5.0,美味しいと思います。,オーガニックのルイボスティーが店舗でなかなか見つからないのと、あったとしてもめちゃくちゃ高いので、こちらで購入しました。100パックは毎日使うと3ヶ月でなくなるので、自宅用に購入しました。夏場の保管は室温が高くなりすぎていたので、冷蔵庫にいれておきました。水出しだと1.5リットルに2パック使用、お湯だしだと1パック使用で十分の濃さと味がでます。本当はお湯で煎じるといいのでしょうが面倒なのでお湯をわかして冷蔵庫にいれる瓶にパックを１ついれておきお湯を注いでつくっていました。できれば50個くらいのパックであればより鮮度よく使えるのでありがたいと思い使いやすさは星3つにしました
6,B01LZRRA4L,ナチュラルショップなごみ ルイボスティー オーガニック なごみ ×100個,ナチュラルショップ なごみ,パルム,2020年9月18日,2.0,薄いです,ティーバッグタイプのルイボスティを購入するのがはじめてなので他との比較はできないのですが、ティーバッグに紐がついていませんでした、ルイボスティは麦茶のように紐付きでないティーバッグであることが一般的なのでしょうか？よくみるとお客さんのアップロードしてる写真だと紐がついていないことが判別出来ましたが、メーカー（あるいはショップ）からの情報ではそのことに触れていないこと、また特にティーバックに使用されている不織布が非常に廉価なレベルのものであることを公開していないことに故意を感じ、印象が悪いです。廉価なところが売りの商品ですから、廉価である理由は（他の方が触れていますが、使用している茶葉についての詳細を明かさないところなども含め）例えばクズ葉を使用しているだとか、しっかりとした理由をむしろ全てきっちりと示していただいたほうが印象が良いと思います。味、品質については特別評価すべきところはありませんが値段が値段なので納得はあり★３かなというところ、ですが商品説明の姿勢に誠意のなさを感じるためー１です。
7,B01LZRRA4L,ナチュラルショップなごみ ルイボスティー オーガニック なごみ ×100個,ナチュラルショップ なごみ,Kayo,2017年4月15日,5.0,オーガニックのもの,毎日会社にお茶持っていっています。これは入れっぱなしにしても渋くならないのでなくなったら会社のお湯を入れて飲んでます。とっても美味しいお茶です。
8,B01LZRRA4L,ナチュラルショップなごみ ルイボスティー オーガニック なごみ ×100個,ナチュラルショップ なごみ,Amazon カスタマー,2018年4月28日,5.0,美味しいルイボスティー⸜( ' ᵕ ' )⸝*,オーガニック商品は価格が割高なことが多いですが、これは個別包装とティーパックのタグ（？）を付けないことで低価格を実現しているようです。ティーパック１つでマグカップ1杯には十分（2杯は無理）で1日1杯でも3カ月以上もちますが、今回分を使い切ったらまた購入しようと思います。
9,B01LZRRA4L,ナチュラルショップなごみ ルイボスティー オーガニック なごみ ×100個,ナチュラルショップ なごみ,だえそ,2020年11月22日,5.0,コスパ味よし,南アフリカに旅行に行って以来ルイボスティーが好きになりました。カフェイン（テイン）フリーなので一日中時間を気にしなくて飲めるが良いです。私は２リットル弱の魔法瓶にルイボスティーバック１個入れて熱湯を注いでそれを一日かけて飲んでいます。一個でも十分抽出されていて気軽に飲めるお茶としてとても重宝しています。
10,B01LZRRA4L,ナチュラルショップなごみ ルイボスティー オーガニック なごみ ×100個,ナチュラルショップ なごみ,成田屋古漫堂,2020年9月25日,5.0,コストパフォーマンスが最高,クセがなくてほんのり甘くとても美味しいです。ティーバッグも紙ではないため、紙の臭いもないのかも。パッケージには煮出しと書いてありますが、いつも1リットルのお湯を沸かしてから保冷ポットにうつしてティーバッグを突っ込んでいますが、それだけで充分に美味しいです。しかも翌朝までティーバッグを出すのを忘れていても渋くならない。100パックは多いかなと思いましたが、結果美味しすぎて毎日淹れるのですぐなくなりそうです。
11,B01LZRRA4L,ナチュラルショップなごみ ルイボスティー オーガニック なごみ ×100個,ナチュラルショップ なごみ,Saramin,2017年10月25日,5.0,気軽に飲めます,カフェインは一日に二杯までと決めており、食事時や水分が欲しい時にのんでいます。癖がないので、食事時でも味を邪魔しません。毎日飲むものなので、オーガニックでこの値段なら言うことありません！ごくごく飲めておいしいです。
12,B01LZRRA4L,ナチュラルショップなごみ ルイボスティー オーガニック なごみ ×100個,ナチュラルショップ なごみ,sazanami,2019年1月12日,5.0,すごく美味しい,口コミがいいもの納得。味が変な癖もなく飲みやすい。部屋で飲む時は小さめの水筒に入れて、直接だと熱いのでカップで飲む。400mlくらいのサイズだと思うけど、2回目までは余裕で飲める。少し置いてしまうとすごく濃くなっちゃうけど、それはそれで。安いし、意外と美味しくて飽きないお茶はないから、また買うと思う。気に入らないお茶だと消費がつらいから。
13,B01LZRRA4L,ナチュラルショップなごみ ルイボスティー オーガニック なごみ ×100個,ナチュラルショップ なごみ,らーい,2020年6月1日,4.0,安い！,チャック付きなのはもちろんですが、大きくて薄い袋に詰まってるので嵩張らず、戸棚にしまいやすいです。２０分弱火で濃いめに煮出したものを冷やして飲んでます。好みによると思うのですが、１リットルに一袋だとちょっと薄い感じがするので…。でも１袋10円と考えれば半分の割合で煮出しても十分お得だと思います。
14,B01LZRRA4L,ナチュラルショップなごみ ルイボスティー オーガニック なごみ ×100個,ナチュラルショップ なごみ,はわいちょこ,2018年11月19日,5.0,また買う,とっても美味しくいただいてます。紐がついてないので、良い！水筒に入れて持ち歩くのに便利です。出やすいのか、500mlの水筒2回くらいで、味が薄くなります。
15,B01LZRRA4L,ナチュラルショップなごみ ルイボスティー オーガニック なごみ ×100個,ナチュラルショップ なごみ,はち,2020年6月6日,4.0,保管しやすい,様々なルイボスティーを飲んできましたが、このルイボスティーは全体的に、柔らかい感じです。香りも味も癖もなく、飲みやすいです。ルイボスティーを初めて飲む方に、ちょうど良いのではないかなと思います。ルイボスティーの強めの風味を好む方には、物足りなく感じるかもしれないです。
16,B01LZRRA4L,ナチュラルショップなごみ ルイボスティー オーガニック なごみ ×100個,ナチュラルショップ なごみ,ホットケーキさん,2019年4月8日,4.0,今の時代に合ったオーガニックルイボスティー,オーガニックで、お手頃なの価格なので、らこちらを初購入しました。本当に飲みやすいです。ルイボスティーは身体に良いのは、わかっているのですが、市販のものだとなかなか独特の癖があり苦手でしたが、これなら続けられそうです。まだ飲み始めた所ですので、今後の期待を込め、星4です。
17,B01LZRRA4L,ナチュラルショップなごみ ルイボスティー オーガニック なごみ ×100個,ナチュラルショップ なごみ,Amazon カスタマー,2020年1月8日,5.0,以外と美味しいです。,ルイボスティーを飲んだことがありませんでしたが、とても飲みやすくて美味しいです。初めはティーバックに紐が付いていなくて不便だと思いましたが、ティーバックを出さなくても美味しく飲める、むしろ出さない方が味に深みが出ると気付いて納得しました。すっかり気に入って、1年以上リピートしています。これまで1日5個くらいの消費で、破れていたティーバックは1個だけありました。
18,B01LZRRA4L,ナチュラルショップなごみ ルイボスティー オーガニック なごみ ×100個,ナチュラルショップ なごみ,Amazon カスタマー,2019年7月28日,5.0,飲みやすい♪,１つで２杯分作ってます。かなり濃いめにできるので調整してますが、やろうと思えば４杯分くらい作れそうです。全然減りません！！コスパ最強です！！！それゆえチャックがあるとはいえ品質や保存とか考える少し不安なので半分の量のとか欲しいです。味は雑に作ってるので普通です。ちゃんと入れたらとっても美味しくなりそうです。
19,B01LZRRA4L,ナチュラルショップなごみ ルイボスティー オーガニック なごみ ×100個,ナチュラルショップ なごみ,恵里佳,2020年6月27日,5.0,初めてでも飲みやすい,1バックあたり１０円おいしい、ノンカフェイン、飲むサラダと聞いたので気分がいい水対バック量増減試してないけど、３バックを２Lで沸かして薄くなくともておいしいです。それと、紅茶などのTパックの場合、やかんで沸かすのにいちいち紙のタグ取って沸かしてましたが、そんな取っ手ついてない為非常に使いやすいです。
20,B01LZRRA4L,ナチュラルショップなごみ ルイボスティー オーガニック なごみ ×100個,ナチュラルショップ なごみ,orange,2021年4月7日,5.0,初めて買ったルイボスティー,白髪がポツポツあるので白髪に効くという理由からルイボスティーを購入した。財布に優しい価格なのがまず嬉しい。味も継続できそう。それなりの期間で継続後効果があったかは追記予定です。
21,B01LZRRA4L,ナチュラルショップなごみ ルイボスティー オーガニック なごみ ×100個,ナチュラルショップ なごみ,cat women,2019年12月30日,5.0,毎日ゴクゴク飲めます！,友達が飲んでいて美味しさとお得さに驚いた商品。煮出すのが手間な方はあまりお得でないのかもしれません。鍋いっぱいの水(2リットルくらいいけると思います。)を沸騰させたら1パックポンと入れて弱火で20分ほど煮出したあとほっとけばいいです。たまにある癖の強いルイボスティーとちがい、非常に飲みやすく、カフェインレスでどんな方でも美味しく飲めると思います。
22,B01LZRRA4L,ナチュラルショップなごみ ルイボスティー オーガニック なごみ ×100個,ナチュラルショップ なごみ,chariot,2020年3月13日,3.0,白髪がポツポツあるので,健康のために家のお茶をルイボスティーにしてから色んなオーガニックルイボスティーを飲みましたが、なごみルイボスティーはとにかくクセがなく飲みやすいです！そして、このお値段で100包入、オーガニックなので常用茶として重宝しています。
23,B01LZRRA4L,ナチュラルショップなごみ ルイボスティー オーガニック なごみ ×100個,ナチュラルショップ なごみ,ﾅﾓｰ,2019年3月28日,1.0,お得、美味しい、カフェインレス！,安さから飛びついたものの、とてもおいしくない。次からは値段に飛びつかないようにしようと思う。一番薄いし、おいしくないですね。ルイボスティー本来のうまみが全くありません。
24,B01LZRRA4L,ナチュラルショップなごみ ルイボスティー オーガニック なごみ ×100個,ナチュラルショップ なごみ,m99,2020年8月16日,4.0,しばらく買い続けます,1リットルに1袋、沸騰してから5分煮出しました。色も濃く味も普通です。ただ、1袋足りなかった。99袋でした。缶に入れ替えるのに何気なく数えたら足りなかったのでもう一度数えても足りなかった。今まで数えたことがなく数多い場合は仕方がないのでしょうか。
25,B01LZRRA4L,ナチュラルショップなごみ ルイボスティー オーガニック なごみ ×100個,ナチュラルショップ なごみ,みゅん,2018年4月3日,5.0,速い,カフェイン無いものでコスパが優れていることが嬉しい。味は好みがあるかも知れませんが、ハーブティーの様なクセはないので飲みやすいと思います。添付写真は、中身のティーバッグ。テトラタイプってやつかな。
