,ASIN,product,brand,name,date,score,title,comment
0,コサ,2018年7月21日,4.0,美容に良い,ルイボスティーというものを初めて飲んだのですが美味しいですね！飲み続けて1年になりますが、明らかに肌が綺麗になりました。水出しで作ってますが、割と溶けやすいです,,,
1,三十路OL,2017年10月8日,5.0,とにかく美味しい,他のルイボスティーと比べ物にならないくらい美味しいです。義母から始めプレゼントされて、それまでドラッグストアで安いものを購入していましたが味の違いに驚きました。こちらは紅茶が苦手な友人も、初めてルイボスティー飲む友人も皆、美味しい美味しいと何杯も飲んでました。,,,
2,いち,2020年11月11日,5.0,飲みやすくオススメ。,クセが少なく飲みやすい。リピートしています。,,,
3,Amazon カスタマー,2020年1月2日,5.0,もう数年,飲み続けています。　家族からそろそろ注文しないとって感じで、我が家の常用茶です。義理の母はホットで、私は冷茶で会社に毎日年中持って行ってます。我が家にとって欠かせないお茶です。,,,
4,isshan,2018年6月9日,4.0,毎日楽しんでます,このお茶を飲み出してから、特に夏場は手放せません。非常に飲みやすく、水代わりに毎日飲用してます。,,,
5,osereito,2018年3月10日,5.0,おいしい,別メーカーのものを使ってましたが手に入れにくくなったのでこちらを購入麦茶代わりに毎日飲んでますが使いやすくおいしく頂けるので重宝してます,,,
6,ちびたのこ,2020年3月11日,5.0,美味い,クセがなくとても飲みやすい。友達も美味しいって言ってamazonで買ってたので万人受けすると思う。,,,
7,大澤　優,2017年8月24日,5.0,リピです,以前に、河村農園の100入りを頼みました。毎日飲んで飽きずに飲めたので再度注文・この時期、水分補充にはもってこいのしょうひんだと思います。,,,
8,とも,2019年11月28日,5.0,飲みやすさ,いつも飲んでいたルイボスティーが売り切れで購入できなかったため、初購入しました。非常に飲みやすく、ルイボスティーが苦手な友人に振舞った時も美味しいと言ってくれました^_^友人曰く、ルイボスティー独特のくせが少ないそうです。,,,
9,SYRio,2020年7月24日,5.0,美味しい、飲みやすい。,とても美味しいです。熱湯で煮出し、冷蔵庫で冷やして飲んでいます。おすすめです。,,,
10,吾郎,2017年8月23日,5.0,作り方が簡単・・・,他商品より　安く購入でき良かったです・・・また　作る時も簡単で　助かります。,,,
11,メイ,2019年6月11日,5.0,毎日飲みます。,味は許容範囲です、何しろ毎日たくさん飲みますので価格もありがたいです。,,,
12,hana,2017年7月27日,5.0,２度目の購入です,すっかり我が家に定着しました。今ではなくてはならない物です。,,,
13,無差坊,2017年6月23日,5.0,初めて飲んだ、ルイボスティー,初めて飲んだ、ルイボスティー意外とほのかな甘みと紅茶のような渋みがあって大変飲みやすい.。ＴＶでは一日に一杯でいいと言われていましたが，つい２杯飲んでしまいます。梱包もよし、包装パックもよし安心して保存できます。,,,
14,みえりん418,2017年5月30日,5.0,薄め,初心者にはちょうど良いかなと思いますが、慣れてる人には薄めで物足りないなのかなと思います。子供たちには これくらいが続けて飲んでくれてます。,,,
15,miecha,2017年6月9日,5.0,美味しい❗,香りもよく、美味しいので、もう何度もリピートしています🎵🎵⤴️,,,
16,ニコちゃん,2019年12月12日,5.0,有機栽培で安心,早い対応でした！とても美味しく有機栽培ということで安心してのめます,,,
17,honmonno,2017年9月10日,4.0,ホカホカ！,個人的感想です。飲むとホカホカしてきます。自分だけでしょうか？血流が良くなっているのでしょうか？国内製品なので安心して飲めました。,,,
18,バオバブ,2017年3月11日,4.0,オーガニックというのが気に入って購入しました。,たっぷりあるので惜し気く毎日飲むことができます。味は雑味がなくて飲みやすいですが、たくさん飲むと飽きるかも。まだ試していませんが、お砂糖や蜂蜜を入れてもおいしく飲めそうです。,,,
19,Amazon カスタマー,2020年3月7日,5.0,クセがない味,このルイボスティーにはまって、他のは無理でした,,,
20,Amazon カスタマー,2017年5月21日,4.0,満足(^^),以前からルイボスティーは愛飲してます。こちらの商品は初めてですがスッキリした味わいで家族皆で愛飲してます。ボリュームがあるので満足してます。,,,
21,ä»,2018年8月20日,5.0,安定した良い品,このルイボステーは安定した品で飲みやすく、商品の管理がとても良く感じました。,,,
22,Amazon カスタマー,2017年6月18日,4.0,25年愛飲してます！,ルイボスティーを、25年愛飲しております！有機栽培の商品なので、安心して飲んでおります！,,,
23,松倉圭吾,2017年5月28日,5.0,麦茶代わりに,私がルイボスティに出会ったのは、フラっと寄ったラーメン屋さんで、お茶を飲んだら麦茶とも紅茶とも違う味にびっくりしてラーメンも美味しいのに店員さんにお茶ばかり褒めてしましました！きっと変な奴と思われたでしょう。。で、すぐさまアマゾンなどネットショップを探しました初めは１００包１袋を何度か購入していましたが、最後まで使い切るのにかなり期間がかかるので５５包は助かりますいくらチャックが丈夫とは言え、かなりの回数だったので最後はヘタっていたのでそれで、味ですが色々なメーカーのルイボスティの中でラーメン屋さんで飲んだ感動の出会いのルイボスティに一番近く継続して飲み続けています値段は、他のメーカーと比べると割高ですが、ペットボトルのお茶や１回飲むのにヤカンで沸かすので相当飲めます水を少なめで沸かせばとても濃い味のルイボスティになりますし、私は薄味が好きなので多めの水を沸かして飲んでいますアイスはまだ試していませんが、お湯が冷めたのを飲んでいる限りでは味はとてもバランスよく毎日飲み続けても飽きのこない癖も少ないので、とてもオススメです奥さんが妊娠中や、今は授乳期なのですが、もっと高いルイボスハーブティを飲んでいますが、ゴクゴク飲めるのはコチラだとも言っております有機栽培なので安心して飲むことが出来てます出会えたラーメン屋さんに感謝そして、この美味しいルイボスティを作り続けてくれている河村農園さんにも感謝です,,,
24,関　　博,2017年2月20日,4.0,お茶の代わりに飲んでます,カフェイン無しとのことなので、お茶の代わりに飲んでます。口の中はさっぱりします。,,,
25,chibi,2019年7月14日,5.0,定番のお茶です,初めての購入はドラッグストアでした。選んだポイントは有機栽培。それまでプアール茶でしたがノンカフェインであるルイボスティーを試しに買って飲んだところ、まろやかな味で苦味はなく、とても美味しいです！そのあと、他のルイボスティーも試しましたが、河村農園さんのルイボスティーの味が一番好きです。お茶はティーパック、袋はチャックで密閉できるものなので使いやすいです。冬はポットに1包入れ、お湯を継ぎ足しながら飲んでいます。夏は冷たく冷やして！もう2年くらい飲んでいます。アマゾンさんで取り扱いがあり、価格も安くて本当に助かっています。,,,
