,ASIN,product,brand,name,date,score,title,comment
0,B01M34SY02,AHMAD TEA デカフェフルーツセレクション 40g,AHMAD TEA (アーマッドティー),miyako,2020年11月17日,5.0,常にリピート,もったいなくてしばらく飾っておいたのですがコーヒーが切れたので、思い出して飲んでみたら、なんと想像以上においしく香りもあっていまはすっかり夜のテータイムは手作りデザートとともに主人と楽しんでいます。味が変に濃くなくて飲みやすいです。すてるのがもったいないほどティバッグの袋がしっかりしていて美しいパッケージが気に入りました。
1,B01M34SY02,AHMAD TEA デカフェフルーツセレクション 40g,AHMAD TEA (アーマッドティー),Amazon Customer,2021年2月2日,5.0,こういうのもたまには楽しい。,いろんなフルーツが入っています。フルーツの味というよりは、やはり香りを楽しむものです。少し甘みもあり飲みやすいですが、他社のフルーツティーより紅茶感が強いと思います。デカフェだけどね。スライスした果物を足すとより楽しめますよ＾＾
2,B01M34SY02,AHMAD TEA デカフェフルーツセレクション 40g,AHMAD TEA (アーマッドティー),ＴＡＭＭＹ,2019年10月21日,5.0,味が上品でパッケージがかわいい。,子どもが私の紅茶を飲みたがるのでノンカフェインで味がいくつかあるものを選びましたどれも美味しく頂いてます日々いろんな味が試せて飽きずに良いです
3,B01M34SY02,AHMAD TEA デカフェフルーツセレクション 40g,AHMAD TEA (アーマッドティー),いつものふーちゃん,2020年11月27日,5.0,香りを楽しむ紅茶,カフェインの苦手なものにとっては貴重なヴァリエーションを提供してくれる。ありがたい商品です。
4,B01M34SY02,AHMAD TEA デカフェフルーツセレクション 40g,AHMAD TEA (アーマッドティー),jet,2021年6月5日,4.0,美味しい,プレゼント用に購入し、ついでに自分用にも購入。カフェイン苦手な人もいるので、カフェインレスなのはかなりありがたい。味が色々楽しめるのもありがたい。味によってはそこまで美味しくないものもありましたが、普通に飲めるレベルですので、好きな味を探してみてはいかがでしょうか。
5,B01M34SY02,AHMAD TEA デカフェフルーツセレクション 40g,AHMAD TEA (アーマッドティー),Amazon カスタマー,2020年4月8日,5.0,デカフェ,夜カフェインを摂ると睡眠に影響を及ぼすので、この紅茶は最高です！どの香りも美味しく飽きません。近所の店には置いていません。
6,B01M34SY02,AHMAD TEA デカフェフルーツセレクション 40g,AHMAD TEA (アーマッドティー),太郎,2018年5月21日,5.0,カフェインレスなのがいい,大手ベビー用品店でも、キレイな外装のアップルティーは売っていますが、高コスパでいろいろな味が楽しめる。
7,B01M34SY02,AHMAD TEA デカフェフルーツセレクション 40g,AHMAD TEA (アーマッドティー),昼食のおばちゃん,2020年1月30日,4.0,夜の寛ぎ,美味しいです。香りもよいです。レスなのがすごい
8,B01M34SY02,AHMAD TEA デカフェフルーツセレクション 40g,AHMAD TEA (アーマッドティー),鈴木　伸子,2017年4月2日,5.0,フルーツティーです,ノンカフェインの紅茶なのに、美味してく香りも良いです。どの味もフルーティで気に入っています。寝る前に飲めるのが嬉しいです。
9,B01M34SY02,AHMAD TEA デカフェフルーツセレクション 40g,AHMAD TEA (アーマッドティー),回転寿司,2020年7月23日,5.0,良さげ,香りが自然なフルーティ感で喫茶店の紅茶の様でした。取ってつけた香りではなく、上品なお味でした。
10,B01M34SY02,AHMAD TEA デカフェフルーツセレクション 40g,AHMAD TEA (アーマッドティー),買い物大好き,2018年6月16日,5.0,美味しい,授乳中で一応カフェインを控えています。コーヒーも紅茶も大好きでたくさん飲むので色んな味が楽しめるこの商品はすごい嬉しいです。どのフレーバーもおいしかったです。
11,B01M34SY02,AHMAD TEA デカフェフルーツセレクション 40g,AHMAD TEA (アーマッドティー),Pook a poko,2020年12月13日,5.0,香りが良い,コーヒーに少し飽きたときに、疲れがたまって休憩したいとき等にアロマみたいな癒しを与えてくれる飲み物？味も薄くなくちょうどよい感じです。
12,B01M34SY02,AHMAD TEA デカフェフルーツセレクション 40g,AHMAD TEA (アーマッドティー),ポンタ,2020年6月13日,5.0,おいしい！,とてもお気に入りですお値段もお手頃でこれからリピート購入する予定です
