,ASIN,product,brand,name,date,score,title,comment
0,B01MTUBCD3,【12時まで当日出荷！】カフェインレス オーガニックルイボスティー 有機ルイボス ティーパック 2g×100個入り ゼロカロリー,なでしこ すっきり茶,victoria2020,2018年7月7日,5.0,麦茶代わりに,リピです。1リットルに2個入れて15分くらい煮立て作ってます。おいしくで、毎日2リットル飲んでます。沸かしたあとは袋は入れっぱなしでもいいようですが、入れっぱなしだと少し沈殿物のようなものができちゃうので、私は沸かしたら袋は取り出してます。このクオリティーでこの価格はおすすめです。パッケージもかわいい～　:)
1,B01MTUBCD3,【12時まで当日出荷！】カフェインレス オーガニックルイボスティー 有機ルイボス ティーパック 2g×100個入り ゼロカロリー,なでしこ すっきり茶,c-pole,2017年6月20日,5.0,万人向けの美味しいルイボス,味も癖がなくて、香りもいいです。飲んだ次の日、スムーズに便が出ました。この手の飲み物はお腹がウッてなったり、便が出すぎてお尻が痛かったりしますが、この商品は自然と出ました。便秘が解消され、肌の調子もいいです。肌のエイジングケアにも良いそうなので、続けていきたいと思います。なくなったらまた購入します。
2,B01MTUBCD3,【12時まで当日出荷！】カフェインレス オーガニックルイボスティー 有機ルイボス ティーパック 2g×100個入り ゼロカロリー,なでしこ すっきり茶,MU,2020年9月25日,5.0,リピです。,基本水出しで冷やして飲むのですが、美しい色とルイボスティーの特徴的な香りはTHEルイボスティーだと思っています。これは無くなったら即注文です。ティーバックなので便利ですし内容量も多めなのでオススメです！
3,B01MTUBCD3,【12時まで当日出荷！】カフェインレス オーガニックルイボスティー 有機ルイボス ティーパック 2g×100個入り ゼロカロリー,なでしこ すっきり茶,Amazon カスタマー,2017年7月9日,5.0,飲みやすい味にお手頃価格で大変満足です。,おいしいです。先日買った「なごみ」よりも香りが良くて気に入っています。
4,B01MTUBCD3,【12時まで当日出荷！】カフェインレス オーガニックルイボスティー 有機ルイボス ティーパック 2g×100個入り ゼロカロリー,なでしこ すっきり茶,GurisGuris,2019年11月18日,5.0,これはルイボスティーの中のルイボスティー,大容量パックに小分けのティーバッグなので、取り出しやすく使いやすいのが気に入ってます。また水出しでも煮出しでもどちらでも美味しくいただけるので、年中愛飲しています。時間のない朝でもボトルにティーバッグと水を入れておけばしばらく置くとしっかり味がでます。しかもティーバッグは入れっぱなしでも渋くなったりしないので楽です。
5,B01MTUBCD3,【12時まで当日出荷！】カフェインレス オーガニックルイボスティー 有機ルイボス ティーパック 2g×100個入り ゼロカロリー,なでしこ すっきり茶,dhia,2020年8月26日,5.0,リピートしたいです,家族皆で、ホットやアイスで飲んでいます。子供の水筒にも入れて持たせています。他のルイボスティーだと、胃がいたくなることがあり…いろいろ試してやっと見つけました。
6,B01MTUBCD3,【12時まで当日出荷！】カフェインレス オーガニックルイボスティー 有機ルイボス ティーパック 2g×100個入り ゼロカロリー,なでしこ すっきり茶,Amazon カスタマー,2018年3月25日,5.0,楽で美味しい,500ミリリットルの水筒に、最初は５パック入れていましたが、苦すぎて飲めませんでしたが、２～３パック入れたら、ちょうどよい苦さで美味しかったです。毎日飲んでます。
7,B01MTUBCD3,【12時まで当日出荷！】カフェインレス オーガニックルイボスティー 有機ルイボス ティーパック 2g×100個入り ゼロカロリー,なでしこ すっきり茶,ミカン,2020年3月22日,5.0,美味しいです！,いい意味でルイボスっぽくなく、とても飲みやすい。
8,B01MTUBCD3,【12時まで当日出荷！】カフェインレス オーガニックルイボスティー 有機ルイボス ティーパック 2g×100個入り ゼロカロリー,なでしこ すっきり茶,順子高城,2017年9月1日,4.0,普通においしいですが,友人のおすすめで主人が毎日　飲んでます　ティーバックなので　乾かして茶葉を植木にまいています植物さんも嬉しいみたいで元気になっているのかきれいな花を咲かせてくれています
9,B01MTUBCD3,【12時まで当日出荷！】カフェインレス オーガニックルイボスティー 有機ルイボス ティーパック 2g×100個入り ゼロカロリー,なでしこ すっきり茶,あらきん,2018年5月7日,1.0,もっとコクが欲しい,非常に薄いです。マグカップに２袋入れても香りはしますが、味はほとんどしません。とっても残念です。
