,ASIN,product,brand,name,date,score,title,comment
0,B01N4DUIMX,オーガニック ルイボスティー 特級エクストラファイン 有機JAS ティーバッグ 3g×50包,Angel bean,Amazon カスタマー,2018年11月2日,2.0,飲みやすい,オーガニックルイボスティーはiHerbで茶葉を買っていますが、エクストラファインがどんな味なのか知りたくて購入しましたがこちらの商品をやかんで煮出して飲みました。２リットルに２袋入れてみましたがすごく色が濃く香りがあるなんてことは無かったです。端的に言うと薄い、、ティースプーン４杯くらいたっぷり入れれば変わるのでしょうが、耐熱不織布に包まれていて、この商品は携帯できるポットに熱湯を入れその中にティーパックを入れ外出先で飲むにはすごく便利だと思います。ただ、私はそういうことをする必要が無いし、日本の製品は割高なのでリピートは無いと思います。
1,B01N4DUIMX,オーガニック ルイボスティー 特級エクストラファイン 有機JAS ティーバッグ 3g×50包,Angel bean,kanatani,2018年12月19日,3.0,包装がもろくやぶけ手茶葉がすぐ出てしまう,ノンカフェインで体に良さそうなものが飲みたくて購入しました。私はカップにお湯とルイボスティー1つを入れて10分くらい放置してから飲んでいますが味がほとんどしません。良く言えば飲みやすい、悪く言えば飲んだ気がしない、そんなかんじです。なのでルイボスティー独特の味が苦手な人には良いと思います。珈琲もそうですけどオーガニックのものは味が薄いことが多いので私はあまり気になりません。
2,B01N4DUIMX,オーガニック ルイボスティー 特級エクストラファイン 有機JAS ティーバッグ 3g×50包,Angel bean,オレゴン100%遺伝子組み換えでない,2019年7月21日,4.0,味はよく分からない,以前、3gが100パックで1000円ちょっとの商品を買っていましたが、いつのまにか2gに変更されていたので、他の商品を探していてこちらを購入しました。2リットルくらいのボトルに、お湯で出していますが、1つ入れればよいので以前買っていたものとコストはあまり変わらないでいいです。飲んだ感じは以前の商品よりクセがなくて飲みやすいです。一番良かったのは、ボトルにお湯を入れて作った時に、以前使っていた商品では少し漏れているのか最後の方は茶葉が沈んでいたのですが、こちらの商品ではそれがほとんどありません。
3,B01N4DUIMX,オーガニック ルイボスティー 特級エクストラファイン 有機JAS ティーバッグ 3g×50包,Angel bean,AN,2018年10月9日,5.0,味が薄い,繰り返し 購入してます。風味 味 、いろんな ルイボス飲みましたがこれが一番美味しいです。夏場でも ホットで 汗流しながら飲み続けてました。アイスも 美味しいのですがホットで 飲むのが 一番おいしいです。毎回袋をあけて おもいっきり香りを すいこんでから 取り出して 飲んでます。飲み終わった パックは 流し台の掃除や 食器の荒洗いに使い 最後は かわかして 中身を取り出して 花壇の肥料として つかってます。
4,B01N4DUIMX,オーガニック ルイボスティー 特級エクストラファイン 有機JAS ティーバッグ 3g×50包,Angel bean,ねこ元気さん,2019年3月25日,3.0,こぼれなくていい,ルイボスティーは伊藤園から始まり数種類を飲んできましたがこれはちょっとクセがありました。飲んだときの香りはイソジンに似ています。またちょっと喉にヒリっとする感じもします。4ｇで2Ｌで煮出していますが説明にあるほど濃い色は出ません。濃さを求める人には物足りないかも知れません。コスパは悪くないと思います。
5,B01N4DUIMX,オーガニック ルイボスティー 特級エクストラファイン 有機JAS ティーバッグ 3g×50包,Angel bean,Amazon カスタマー,2018年7月14日,3.0,これが一番美味しい！,いつも、3g 80パック 1
6,B01N4DUIMX,オーガニック ルイボスティー 特級エクストラファイン 有機JAS ティーバッグ 3g×50包,Angel bean,かえる,2019年8月10日,4.0,ちょっとクセがある,これはなかなかに飲みやすくおいしい商品です。ルイボスティーは冷やしても熱くてもおいしいお茶なので　どの季節にも合うのが良いですねただ開封してすぐ使い切れる量ではないので　最近お湯で煮出していると苦みが強く出てくるような気がします飲めないほどではなく　ふつうのお茶の範囲の苦みなのでおいしく飲ませてもらっていますただ少し高めなので　それだけですね。　毎日飲むと考えればコスパもいいのでお勧めです
7,B01N4DUIMX,オーガニック ルイボスティー 特級エクストラファイン 有機JAS ティーバッグ 3g×50包,Angel bean,Paradise,2018年11月1日,2.0,違いがあまり分からず・・,特級ということで期待していましたが、一口飲んで不味いと思ってしまいました。上に抜けるような風味が全くなくて、下の方にどろーんという重たさだけを感じてしまいました。これが人によっては飲みやすいということなのでしょうか。
8,B01N4DUIMX,オーガニック ルイボスティー 特級エクストラファイン 有機JAS ティーバッグ 3g×50包,Angel bean,JOHN,2021年3月12日,4.0,本当に美味しいです,いろいろな会社のルイボスティーを飲んでいますが、これ、フレーバーティーなんじゃないの？と思うぐらい甘いです。一般的なルイボスティーは若干クセがあり、好き嫌いが分かれるほうだと思います。この商品は、後味がマスカットのフルーツフレーバーティーのようなねっとりとした甘みが舌の上に残ります。びっくりしました。水出しもおすすめです。
9,B01N4DUIMX,オーガニック ルイボスティー 特級エクストラファイン 有機JAS ティーバッグ 3g×50包,Angel bean,斎藤 タカシ,2018年11月8日,4.0,リピートです,ルイボスティーに含まれる成分によってアンチエイジング効果やむくみ、生理痛などなど女性にとって嬉しい様々効能があると聞いたので飲み始めました。ノンカフェインなのも嬉しいです。ストレートで飲むのがほとんどですがホッと一息入れたいときは牛乳をいれてミルクティーテイストにして飲むのも美味しいです。
10,B01N4DUIMX,オーガニック ルイボスティー 特級エクストラファイン 有機JAS ティーバッグ 3g×50包,Angel bean,Nanashiさん,2020年1月24日,4.0,甘みがすごく強い！！,ルイボスティーは風味豊かなのにカフェインが入っていないので、子どもが沢山飲んでも安心だし、アトピーに効果があると聞いて、数年前から毎日煮出して飲んでいます。こちらのルイボスティーはエクストラファインのティーバッグなのにお手頃価格なので、半年前にまるもから乗り換えました。まるもに比べると色はたしかに淡いですね。正直 香りもまるもより弱いです。 でも、煮出し方を工夫すれば遜色なく出ます。2リットルのやかんにティーバッグ1つ、火に掛ける前に入れ、沸騰したら弱火で7〜8分、火を止めて10分ほど放置しています。沸騰したお湯にいきなりティーバッグを入れると何かクセが出ますね。ルイボスティー特有の赤っ！という感じはないです。でも、いい香りだし飲みやすく、とても美味しいですよ。これからもお世話になろうと思ってます。
11,B01N4DUIMX,オーガニック ルイボスティー 特級エクストラファイン 有機JAS ティーバッグ 3g×50包,Angel bean,のあ,2018年10月3日,5.0,ルイボスティー,ルイボスティーのオーガニック　早速届きました。2㍑のミネラルウォーターを沸かして飲みました。これといって他のと比較しても分かりませんが苦みもなく癖もないので飲みやすいかもしれませんね。お安くてしかもオーガニックなので良いかも知れません。ルイボスティーの中には亜鉛とマグネシウムが含まれてるそうで人間の体にとっては必要なミネラルです。　更に脂肪を燃焼してくれるとか？
