,ASIN,product,brand,name,date,score,title,comment
0,B01NCHEDWQ,富永貿易 BPL セイロンティーガーデンズ フルーツセレクション ティーバック 100袋 [ 自社農園 ディンブラ茶葉 100%,BPL,my point of view,2020年4月11日,2.0,香料強め,フルーツティーなどだけど，ほとんど香りはしない．ティーとしての味も薄い．量は多いけど，個包装されていない．
1,B01NCHEDWQ,富永貿易 BPL セイロンティーガーデンズ フルーツセレクション ティーバック 100袋 [ 自社農園 ディンブラ茶葉 100%,BPL,谷山,2020年11月13日,4.0,香は丁度良いですね,還元水の水出しで1p500MLで職場に持参して飲んでいます。夏場は1Lは500ML、ふんわり香る程度ですが、ゴクゴク飲めるので良いです。大変お安く助かって居ります‼︎友人に飲み方教えて、一箱分けたら物凄く喜んでくれました。これを飲んでいたら、何が入っているか解らない市販のペット飲料は飲めません。
2,B01NCHEDWQ,富永貿易 BPL セイロンティーガーデンズ フルーツセレクション ティーバック 100袋 [ 自社農園 ディンブラ茶葉 100%,BPL,Skywalker,2021年3月13日,4.0,個包装されていない,3種類のそれぞれの香の効いたフレーバーティーです。値段の割に高品質です。私は過剰包装が嫌いなので、個別包装でないところも好きです。また、買おうと思っています。
3,B01NCHEDWQ,富永貿易 BPL セイロンティーガーデンズ フルーツセレクション ティーバック 100袋 [ 自社農園 ディンブラ茶葉 100%,BPL,朋子,2019年12月30日,5.0,大変お手頃、ヘルシー,そりゃあマリアージュフレールのようなかぐわしさには劣りますが、十分にフレーバーを楽しめて、飽きない。我が家では普通の紅茶は飲まず、このアソートばかりなので、アマゾンで購入できて助かっている。
4,B01NCHEDWQ,富永貿易 BPL セイロンティーガーデンズ フルーツセレクション ティーバック 100袋 [ 自社農園 ディンブラ茶葉 100%,BPL,ANTONY.KOIZUMI,2020年12月21日,4.0,香の効いたフレーバーティーで、お勧めです。,フルーツの香り付き紅茶が4種類で飽きがきませんね。マグカップに1パック入れてのむと、薄くなるのでティーカップ1杯分のお湯を注ぐのがよいかと。
5,B01NCHEDWQ,富永貿易 BPL セイロンティーガーデンズ フルーツセレクション ティーバック 100袋 [ 自社農園 ディンブラ茶葉 100%,BPL,cns,2020年11月5日,4.0,我が家の定番,気に入ってリピ買い。値段が上がってきてるので、まとめ買いしましたが風味が落ちないか心配です。
6,B01NCHEDWQ,富永貿易 BPL セイロンティーガーデンズ フルーツセレクション ティーバック 100袋 [ 自社農園 ディンブラ茶葉 100%,BPL,わんおぶぜむ,2021年4月25日,4.0,1パックあたりティーカップ一杯分,毎年、ホワイトデーの贈り物として家族に購入。色々なフレーバーが楽しめて楽しいですよ‼️
7,B01NCHEDWQ,富永貿易 BPL セイロンティーガーデンズ フルーツセレクション ティーバック 100袋 [ 自社農園 ディンブラ茶葉 100%,BPL,たのき,2020年3月22日,4.0,リピート,毎日飲んでます。あっさりしています。コクのある紅茶を飲みたい時以外は飲んでますの。
8,B01NCHEDWQ,富永貿易 BPL セイロンティーガーデンズ フルーツセレクション ティーバック 100袋 [ 自社農園 ディンブラ茶葉 100%,BPL,WaffleAlly,2019年12月11日,5.0,林檎感が味わえる一杯。,フレバーティーとして、いろんな果物の味を楽しめるのでお勧めですが、ティーとしてもベースのセイロン茶があっさりとしていい感じです。冷めてしまってからも香料の味がアクセントとなって、最後まで美味しく飲めます。最近の安い紅茶には、インドやセイロン以外のお茶が使われていることがあり、ときにエグミを感じてしまいますが、このお茶は間違えがありません。インドティーの豊潤さやコクは無いけど、スッキリとした味わいは毎日の飲み物として最高です。
9,B01NCHEDWQ,富永貿易 BPL セイロンティーガーデンズ フルーツセレクション ティーバック 100袋 [ 自社農園 ディンブラ茶葉 100%,BPL,Amazon カスタマー,2020年1月28日,5.0,癒される香り,紅茶自体のクセがないので、香りが引き立つ。苦味や渋みが少なくて美味しい。
10,B01NCHEDWQ,富永貿易 BPL セイロンティーガーデンズ フルーツセレクション ティーバック 100袋 [ 自社農園 ディンブラ茶葉 100%,BPL,hello-kimtty,2020年4月13日,5.0,おすすめのセイロンティー！,香りもすごく良く、味も色々あり美味しいです。もう何年もリピートしてます。
11,B01NCHEDWQ,富永貿易 BPL セイロンティーガーデンズ フルーツセレクション ティーバック 100袋 [ 自社農園 ディンブラ茶葉 100%,BPL,バラック,2021年1月2日,5.0,癒される香り,ティーパック香りは良いが味が無い
12,B01NCHEDWQ,富永貿易 BPL セイロンティーガーデンズ フルーツセレクション ティーバック 100袋 [ 自社農園 ディンブラ茶葉 100%,BPL,近所の人,2020年6月22日,5.0,香りが凄くいい,とても美味で毎日4種の入れ替わりで飲んでます。
