,ASIN,product,brand,name,date,score,title,comment
0,B06VWFWL38,ヒルス コーヒー豆 (粉) ナイト カフェインレス モカ100% 170g,HILLS（ヒルス）,冬民,2018年9月5日,5.0,麦茶みたいで美味しい,コーヒー好きですが、カフェインレス生活を始めようとしてレビューが良かったのでこちらを飲んでみることに。カフェインが入っている方がコクがあると思いますが、これはこれで美味しいです！抽出方法が書いてないのが気になりますが。。
1,B06VWFWL38,ヒルス コーヒー豆 (粉) ナイト カフェインレス モカ100% 170g,HILLS（ヒルス）,ゆう,2020年5月24日,4.0,残念!,日本の有名メーカーのノンカフェインを買って大失敗した人にはぜひオススメ。しっかり香りと味があります。ただモカ特有の甘い香りは全く無いので普通のコーヒーとして飲むなら有りです。Amazonで売ってる他の1000円以下のノンカフェインコーヒーだと酸味や苦味が強かったりするので初めて買う人にオススメしたいですね。
2,B06VWFWL38,ヒルス コーヒー豆 (粉) ナイト カフェインレス モカ100% 170g,HILLS（ヒルス）,もん。,2020年3月27日,3.0,美味しいデカフェ。,カフェインレスはもう何種類も試していますが、こちらは酸味が強すぎてお手上げでした。全部飲みきるのにどうしようかと思案中です。しかしレビューを読むと絶賛の方もいらっしゃるので、完全に好みの問題なのでしょう。味はカフェインレスにしてはしっかりしていますので、酸味が強いコーヒーが好きな方は是非試してみて欲しいです。
3,B06VWFWL38,ヒルス コーヒー豆 (粉) ナイト カフェインレス モカ100% 170g,HILLS（ヒルス）,as,2019年5月19日,5.0,ノンカフェインの登竜門としては有り、常飲するなら飽きてくるかも,珈琲好きで以前は生豆を自分で焙煎して飲んでいたんですが、1年ほど前から珈琲を摂ると眠れなくなることが多くなったため、カフェインレスの珈琲を試してみることに。近所のスーパーで買った何種類かのカフェインレス珈琲はどれも物足りない感じでしたが、ある時 出先でこの商品を試しに買って帰ったところ それまでの他社のカフェインレス珈琲とはぜんぜん違い、香り豊かで美味しく、とても気に入りました。以降はamazonで定期購入しています。
4,B06VWFWL38,ヒルス コーヒー豆 (粉) ナイト カフェインレス モカ100% 170g,HILLS（ヒルス）,ega,2019年7月23日,5.0,酸味が強い！,コーヒーのカフェインが、気持ちの下降に繋がり夜も眠れないのでデカフェを購入。これにMCTオイルを小さじ1を撹拌して飲む幸せ。2019年5月末には554円で買えたのに、少し高くなってる。青いパッケージより、こっちの赤いモカの方が私は好きです。夜も気兼ねなく飲めるから良い。
5,B06VWFWL38,ヒルス コーヒー豆 (粉) ナイト カフェインレス モカ100% 170g,HILLS（ヒルス）,rosemary,2018年10月15日,3.0,美味しいカフェインレス,午後も気にせずコーヒーが飲みたいと思い、購入。カフェインレスコーヒー独特の「飲みごたえの無さ」は感じますが、味は普通のコーヒー（すっきりしてる）です。個人的にはもう少しだけのどごしのようなものがほしいです。蒸らすとかなり濃く出てしまうので、さっとドリップすることをおすすめします。
6,B06VWFWL38,ヒルス コーヒー豆 (粉) ナイト カフェインレス モカ100% 170g,HILLS（ヒルス）,うえひろ,2018年11月29日,2.0,おいしい！でも価格の変動に注意！,殆ど珈琲の香りしません。目をつむって飲んだら何を飲んでるかわからないでしょう。
7,B06VWFWL38,ヒルス コーヒー豆 (粉) ナイト カフェインレス モカ100% 170g,HILLS（ヒルス）,Jasmin,2020年12月14日,4.0,普通のカフェインレスコーヒー,日に5〜6杯は飲むのでカフェインを抑えたこの商品を継続して購入しています。Amazonで1回/月で定期購入設定しましたがその半分でなくなってしまいます。味的にはコクや酸味は感じません。お茶の代わりに飲む程度の「コーヒー通」なので何杯飲んでも飽きの来ない味です。
8,B06VWFWL38,ヒルス コーヒー豆 (粉) ナイト カフェインレス モカ100% 170g,HILLS（ヒルス）,なつまる,2019年9月16日,1.0,何もかも物足りない,賞味期限が短いので、買い置きはしないほうが良いです。回転が悪いのかも？夜は こくのあるコーヒーより あっさりめが好きなのに、カフェインレスでは見つかりません。UCCのカフェインレスが一番 あっているみたいですが 定期購入がありません。是非定期購入できるようにして下さい。
9,B06VWFWL38,ヒルス コーヒー豆 (粉) ナイト カフェインレス モカ100% 170g,HILLS（ヒルス）,もこ,2019年9月22日,5.0,軽めに飲めるノンカフェコーヒー,値段も手頃なカフェインレスコーヒーです。やっぱり普通のコーヒーと比べるとどうかな？と思いましたが遜色なく美味しいです。サイフォンで入れていますが言われなければカフェインレスかどうかわかりません。夜コーヒーを飲みたいのでとても満足しています。
