,ASIN,product,brand,name,date,score,title,comment
0,B06W2FSRLG,ネスカフェ ゴールドブレンド コク深め ボトルコーヒー カフェインレス 無糖 900ml×12本,ネスカフェ RTD,こみ,2021年3月18日,4.0,普通のコーヒーみたいです。,時々1000円切る時があるのでそれを狙って買っています。カフェインが効きすぎて眠れなくなる時があるのでカフェインレスコーヒーを常備しているのですがボトルコーヒーのカフェインレスではコレが1番美味しいです。ミルクで割ってもギリギリコーヒーの香りがするので重宝しています。
1,B06W2FSRLG,ネスカフェ ゴールドブレンド コク深め ボトルコーヒー カフェインレス 無糖 900ml×12本,ネスカフェ RTD,mech,2019年6月19日,4.0,UCCのよりこっちのほうがおいしい,アイスコーヒーが好きでカフェインを取りすぎないために購入。初めは香りがあまりしないので物足りなさを感じましたが慣れて今では毎日飲んでいます。「おいしい牛乳」と合わせると美味しいカフェオレになって◎。ガムシロを入れるのが面倒なので低糖があればそちらを買いたいです。
2,B06W2FSRLG,ネスカフェ ゴールドブレンド コク深め ボトルコーヒー カフェインレス 無糖 900ml×12本,ネスカフェ RTD,ガチレビューおじさん,2019年10月16日,1.0,ボトルのカフェインレスでは1番美味しい,これはAmazonさんが悪いわけではなく（笑）コク深めと書かれてるように、濃いです（笑）カフェインレスを求める人はここまでの濃さはいらないんじゃないかと思います。個人の好みですが。
3,B06W2FSRLG,ネスカフェ ゴールドブレンド コク深め ボトルコーヒー カフェインレス 無糖 900ml×12本,ネスカフェ RTD,たてよこななめ,2019年5月5日,5.0,良い商品だと思います。,カフェインレスで美味しいのに当たった事なく半信半疑で安くなってたので購入。珈琲の旨味も損なわず レスなど言われ無いとわからない深い味わい！牛乳で割りカフェ・オ・レにしても薄くならず 美味しい。めちゃくちゃ気に入りました。ただ 毎日の事なので、ちょっと値段高めがネックです（ ; ; ）
4,B06W2FSRLG,ネスカフェ ゴールドブレンド コク深め ボトルコーヒー カフェインレス 無糖 900ml×12本,ネスカフェ RTD,みーた,2021年1月22日,1.0,濃い。苦い。,ラーメンと同じで珈琲もかなり個々の好みが違いますよね。毎日２Lは飲むのですがアルコールを控えたいなと思って夜も飲めるようにカフェインレスを探してます。UCCがいまいちだったのでネスカフェのほうが美味しいだろうと箱買いしました。が…不味すぎ。私にはなんか変な雑味が強くて、生臭い。酸味すくなめの苦味強めが好きなんですが、私にはこれは論外でした。UCCのほうが飲みやすい。珈琲が好きな方にはカフェインレスは美味しいものがないかもしれませんけども。お湯で割って薄味にして飲んで減らしてます。
5,B06W2FSRLG,ネスカフェ ゴールドブレンド コク深め ボトルコーヒー カフェインレス 無糖 900ml×12本,ネスカフェ RTD,あっけちゃん,2021年7月13日,5.0,美味しい〜〜！！,カフェインレスのドリップコーヒーは以前から飲んでいましたが、この暑い時期にアイスコーヒーをゴクゴク飲みたくて、こちらの商品を購入。カフェインレスなのに、濃いめの味が気に入ってます。普通のコーヒーと比べてしまえば、もちろんカフェイン入りのコーヒーが美味しいですが、カフェインレスとして認識して飲むなら、このコーヒーは美味しいと思います。妊婦にとっては、嬉しいコーヒータイムを過ごせます。
6,B06W2FSRLG,ネスカフェ ゴールドブレンド コク深め ボトルコーヒー カフェインレス 無糖 900ml×12本,ネスカフェ RTD,ひゐろ,2020年9月25日,5.0,個人的にNG,カフェインレスとは思えないくらい濃いアイスコーヒーで好みもありますが自分はハマってとても気に入っています。冬はドリップのカフェインレスを飲んでましたが夏はやはり冷たいのが飲みたくて購入しました。いつもミルクで割ってカフェラテで飲んでます。とても暑い日は氷で割ってアイスコーヒーにします。ホットもできるようですご試したことがありません
7,B06W2FSRLG,ネスカフェ ゴールドブレンド コク深め ボトルコーヒー カフェインレス 無糖 900ml×12本,ネスカフェ RTD,田中屋,2020年3月25日,5.0,妊娠中のカフェインレス生活にピッタリ,１日に何杯もコーヒーを飲むため、飲み過ぎでお腹を痛める事が何度かありました。お腹を痛めなくても、飲み過ぎると気持ち悪くなりますよね。カフェインレスだと、何杯飲んでも後味も悪くなく、体調を崩さないので毎週頼んでいます。ケースだと重いですし、そもそもスーパーに置いてないです。味も他社のカフェインレスより断然美味しいです。
8,B06W2FSRLG,ネスカフェ ゴールドブレンド コク深め ボトルコーヒー カフェインレス 無糖 900ml×12本,ネスカフェ RTD,harukaze13,2020年6月16日,4.0,カフェオレに最高！,安いのでリピートしてるが、味・香り共に別段良いとは思わない、KEYコーヒーのノンカフェインが有れば乗り換えたいが、これとUCC以外は高くて買えない。今はKEYコーヒーとこれをブレンドして飲んでいます。
9,B06W2FSRLG,ネスカフェ ゴールドブレンド コク深め ボトルコーヒー カフェインレス 無糖 900ml×12本,ネスカフェ RTD,Amazon カスタマー,2021年7月8日,5.0,カフェインレスがいい！,ノンカフェインで無糖のこの商品が大好きで1年中飲んでいるのですが我が家の近所のお店ではなかなか置いてある所に出会えずAmazonに出てる事を息子から聞いて直ぐ購入しました。これから暑い夏には冷えた牛乳をたっぷり入れて飲んでます。美味しいですよ。
10,B06W2FSRLG,ネスカフェ ゴールドブレンド コク深め ボトルコーヒー カフェインレス 無糖 900ml×12本,ネスカフェ RTD,よっちゃん,2021年7月26日,5.0,評価程の物では無かった,カフェインレスはどこにでもあるわけではない。いつでも買いたいと近隣のすーばーでリクエストしましたが、却下されました。Amazonで見つけたときは感動。ケース買いしなければならないけど、値段はまあまあ。カフェイン入りの同じメーカーのものより、2倍近いけれど、購入できる遠いスーバーと、同じぐらい。1から2日で家まで届くので良かったです。
11,B06W2FSRLG,ネスカフェ ゴールドブレンド コク深め ボトルコーヒー カフェインレス 無糖 900ml×12本,ネスカフェ RTD,猫ママ,2020年9月6日,4.0,これからはAmazonで注文します。,普通に美味しい。カフェインを抜いていない普通の方に比べるとほんの少し味が薄い気がするけれどカフェインレスコーヒーでこの味は合格点です。
12,B06W2FSRLG,ネスカフェ ゴールドブレンド コク深め ボトルコーヒー カフェインレス 無糖 900ml×12本,ネスカフェ RTD,ひまわり,2020年10月9日,3.0,値段はまあまあ、家まで運んでくれるのはうれしい,正直あまり美味しくは無いのですが他のカフェインレスのアイスコーヒーよりはおいしい気がします。夏場は何回かリピートしてしまいますもう少し美味しくなると嬉しいです
13,B06W2FSRLG,ネスカフェ ゴールドブレンド コク深め ボトルコーヒー カフェインレス 無糖 900ml×12本,ネスカフェ RTD,モーニングフラッシュ,2021年7月23日,5.0,カフェインレスにしては美味しい,体質を考えてカフェインレスを愛用しています。ドリップする時間がない時、ボトルコーヒーは本当に助かります。更に無糖という有難さ！　この価格で手軽に購入できる事に感謝しています。
14,B06W2FSRLG,ネスカフェ ゴールドブレンド コク深め ボトルコーヒー カフェインレス 無糖 900ml×12本,ネスカフェ RTD,ミルク,2019年4月7日,5.0,企業努力待ってます,他のカフェインレスのボトルより濃いめで、カフェインレス感がなくて好きです。
15,B06W2FSRLG,ネスカフェ ゴールドブレンド コク深め ボトルコーヒー カフェインレス 無糖 900ml×12本,ネスカフェ RTD,Amazon カスタマー,2021年6月8日,5.0,満足です,暑くなるとこちらのコーヒーを注文します。ボトルのコーヒーなのでそれなりの味ですが、ボトルコーヒーの中では味も濃く、牛乳や豆乳などで割って飲むの方にはおすすめです。カフェインレスという感じはしなく、普通のボトルコーヒーと味は変わりません。手軽のカフェインレスのアイスコーヒーが飲めるのでおすすめです。
16,B06W2FSRLG,ネスカフェ ゴールドブレンド コク深め ボトルコーヒー カフェインレス 無糖 900ml×12本,ネスカフェ RTD,ももちゃんパパ,2020年11月21日,5.0,これならありかも,色々なカフェインレスコーヒーを試しましたが、これに落ち着きました。牛乳を入れてカフェオレにして飲んでいるのですが、とても美味しいので毎日飲んでいます。このお値段でこの味は大満足です。
17,B06W2FSRLG,ネスカフェ ゴールドブレンド コク深め ボトルコーヒー カフェインレス 無糖 900ml×12本,ネスカフェ RTD,いなうらゆうま @YumaInaura 稲浦悠馬,2019年6月13日,4.0,シンプルに美味しい,普通のコーヒーと何にも変わりません空きっ腹で飲むと必ず具合い悪くなりますが、ノンカフェインだとそんな心配もないので毎朝飲んでしますアイスにしてもホットにしてもおいしいです
18,B06W2FSRLG,ネスカフェ ゴールドブレンド コク深め ボトルコーヒー カフェインレス 無糖 900ml×12本,ネスカフェ RTD,Aya,2020年6月3日,5.0,濃いのでカフェオレ向きです,何度かリピートしてます、デカフェでここまでしっかりした味なのはまだコレ位なんだろうと思います。
19,B06W2FSRLG,ネスカフェ ゴールドブレンド コク深め ボトルコーヒー カフェインレス 無糖 900ml×12本,ネスカフェ RTD,エリコタ,2018年10月4日,4.0,遜色ありません,濃いめのアイスコーヒーが好きなのでこれにしましたが、期待通りです。価格との兼ね合いを考えると良い選択と思います。
20,B06W2FSRLG,ネスカフェ ゴールドブレンド コク深め ボトルコーヒー カフェインレス 無糖 900ml×12本,ネスカフェ RTD,野美田,2019年10月29日,5.0,美味しいです,カフェインで胃が荒れてしまうようになった母に購入。コーヒー好きで夏はアイスコーヒーをよく飲むのですが、カフェインレスでもわからないくらいとても美味しい！と絶賛。また購入したいです。
21,B06W2FSRLG,ネスカフェ ゴールドブレンド コク深め ボトルコーヒー カフェインレス 無糖 900ml×12本,ネスカフェ RTD,とーたん,2020年5月11日,2.0,期待通り,コク？何処に？コーヒー好きな私には、味しない香りもない。安い物は、買わない事にしました。
22,B06W2FSRLG,ネスカフェ ゴールドブレンド コク深め ボトルコーヒー カフェインレス 無糖 900ml×12本,ネスカフェ RTD,まる子,2019年2月24日,4.0,美味しい,コーヒーが飲みたいけど、授乳中なのでカフェインが心配でなかなか飲めず。他のカフェインレスのコーヒーは高くて味がいまいちでしたが、こちらのコーヒーは美味しかったです。手頃な価格で美味しいので、何度もリピートしてます。
23,B06W2FSRLG,ネスカフェ ゴールドブレンド コク深め ボトルコーヒー カフェインレス 無糖 900ml×12本,ネスカフェ RTD,流れ星,2021年5月2日,5.0,コーヒー好きには、只の水,カフェイン負けして　お腹が緩くなるので　　何年も　こちらを愛飲してます。　　　ノンカフェインなのにコクがあって普通のコーヒーと変わらない。　　　お気に入りです。
24,B06W2FSRLG,ネスカフェ ゴールドブレンド コク深め ボトルコーヒー カフェインレス 無糖 900ml×12本,ネスカフェ RTD,五老海　和幸,2019年5月19日,5.0,満足しています。,カフェインレスですが、個人的には味も気に入っているので夏には良く買います。ポリフェノールも表記されてるので、思い切り飲んでます。
25,B06W2FSRLG,ネスカフェ ゴールドブレンド コク深め ボトルコーヒー カフェインレス 無糖 900ml×12本,ネスカフェ RTD,キャトきち,2019年6月11日,5.0,もっとカフェインを減らして。,ネスレの定期便より安く、欲しい時に購入出来るのでネスレの定期便は止めます。味はカフェインレスコーヒーとは思えない美味しさです。
26,B06W2FSRLG,ネスカフェ ゴールドブレンド コク深め ボトルコーヒー カフェインレス 無糖 900ml×12本,ネスカフェ RTD,Amazon名前,2021年3月14日,1.0,美味しい,他のカフェインレスのペットボトルのものよりも、苦味が強く、私には全然合いませんでした。UCCの方は、より味がまろやかなので、同じようなものだと思って手を出すと、とても残念な結果になります。
27,B06W2FSRLG,ネスカフェ ゴールドブレンド コク深め ボトルコーヒー カフェインレス 無糖 900ml×12本,ネスカフェ RTD,亀元由美,2020年7月20日,2.0,安い。,残念ながら「コク」がありません。水っぽい。
28,B06W2FSRLG,ネスカフェ ゴールドブレンド コク深め ボトルコーヒー カフェインレス 無糖 900ml×12本,ネスカフェ RTD,Amazon Customer,2020年12月18日,5.0,正直に不味い,ノンカフェインとは思えないくらい濃厚で1番好きです！いつもリピートしてます。
29,B06W2FSRLG,ネスカフェ ゴールドブレンド コク深め ボトルコーヒー カフェインレス 無糖 900ml×12本,ネスカフェ RTD,TAKE,2018年12月10日,5.0,マズい、買うんじゃなかった,あまり商品のないカファインレスコーヒーなのでこの商品には本当に助かっています。カファインが入っていないだけで味は充分満足のいくものです。
30,B06W2FSRLG,ネスカフェ ゴールドブレンド コク深め ボトルコーヒー カフェインレス 無糖 900ml×12本,ネスカフェ RTD,Amazon カスタマー,2021年2月18日,4.0,いつもこれ,スーパーなどで購入商品を購入し飲料していましたが、Amazonでのネット販売を見ていたところカフェインレス無糖があったので、娘の家族に送ってあげました。また、機会を見てこちらでも購入したいと思っています。
31,B06W2FSRLG,ネスカフェ ゴールドブレンド コク深め ボトルコーヒー カフェインレス 無糖 900ml×12本,ネスカフェ RTD,ZOROPPY,2020年7月10日,5.0,数少ないカファインレス❗,無糖のカフェインレスで甘味料が入っていないもの、尚且つ濃いめを探していました。いつも牛乳で割って飲んでいます。元々濃いので丁度いいカフェオレが作れます。
32,B06W2FSRLG,ネスカフェ ゴールドブレンド コク深め ボトルコーヒー カフェインレス 無糖 900ml×12本,ネスカフェ RTD,TAKA,2019年1月9日,5.0,これはおいしいです,授乳中の弟のお嫁さんに差し入れにしました。牛乳入れて飲んでたら気分転換になってたみたいです。
33,B06W2FSRLG,ネスカフェ ゴールドブレンド コク深め ボトルコーヒー カフェインレス 無糖 900ml×12本,ネスカフェ RTD,やすきた,2018年10月27日,5.0,カフェインレスを感じさせない美味しさ,授乳中なので購入。デカフェなのに美味しい！夏が終わった後ですが、もう1ケース購入しました！普段行くスーパーには売っていないので助かります。
34,B06W2FSRLG,ネスカフェ ゴールドブレンド コク深め ボトルコーヒー カフェインレス 無糖 900ml×12本,ネスカフェ RTD,ワタナベ,2018年8月5日,3.0,気分転換に。,酸味と苦みが無い。コクと色は濃いから白砂糖入れて氷入れればそれなりにアイスコーヒーとして楽しめる。
35,B06W2FSRLG,ネスカフェ ゴールドブレンド コク深め ボトルコーヒー カフェインレス 無糖 900ml×12本,ネスカフェ RTD,わき,2019年11月2日,5.0,美味しいです。,授乳中なのでこちらを飲んでいます。罪悪感なく飲めて味もいいので満足です。
36,B06W2FSRLG,ネスカフェ ゴールドブレンド コク深め ボトルコーヒー カフェインレス 無糖 900ml×12本,ネスカフェ RTD,SteveRock-JAPAN,2019年9月30日,5.0,酸味と苦味が無いから足して欲しい。,軽さと安定性の項目の意味はわかりませんが……笑笑授乳中なのでかなりお世話になってます。ちょい濃いめなので氷をたくさん入れて飲むのにぴったり。
