,ASIN,product,brand,name,date,score,title,comment
0,Charlie,2021年3月14日,5.0,お気に入りのフレーバー,ノンカフェインの飲み物しか取れない時にルイボスティーを勧められましたが、プレーンのルイボスはちょっと飲みにくいと感じている時に出会ったキャラメルフレーバー。しっかりキャラメルの香りがしてとても美味しいです。,,,
1,Amazon カスタマー,2021年5月27日,5.0,キャラメル好きならこれは最高,これ、本当に美味しかったです。友達にもあげたら、好評でした。,,,
2,ともさん,2020年7月16日,5.0,香りがたかくおへやにキャラメルのかおりがいいです,ルイボスティーの中でも私の周りではＮo1の人気ですキャラメルの香りとてもおいしいです。最近はAmazonさんでしか買えなくなりました。,,,
3,ゆひぃ,2021年5月31日,5.0,甘味無し、香りは甘ーいキャラメルだよ。,冬にスーパーで買って、すごく甘ーい香りでお茶は甘味無しですが、美味しいです。私は糖質制限しなきゃならない為、とても気に入り探してたところ、コチラで見つけたので。ルイボスは良いことづくめなので良いものみつけたと思いました。,,,
4,やあ,2020年6月23日,4.0,美味しく癒される,お友達に頂き気に入り10px6箱を購入してお友達にもプレゼントしています。好評です。疲れた時、ちょっとリラックスしたい時私のお気に入りです。20p×5箱よりちょっと高めですがいいです。,,,
5,yuuk,2020年11月23日,5.0,お気に入り,とても気に入っているのですが、店でこのフレーバーだけ見かけなくなって探していたのでお安く買えてとても良かったです。,,,
6,み,2020年9月28日,4.0,美味しい,中々店頭では見つけられないのでネットで購入。キャラメルの匂いがとってもよいです。,,,
7,宮本夏菜実,2021年1月2日,5.0,甘いお菓子我慢できる！,ルイボスとキャラメルがマッチしてて本当に美味しい😆,,,
8,Amazon カスタマー,2020年4月4日,5.0,体に良いですよ,香りに癒され美味しく飲めて最高！✌️,,,
9,Amazon カスタマー,2021年3月1日,5.0,飲みやすいです。,キャラメルのかおりが癒されます♪とても　飲みやすいです。,,,
