,ASIN,product,variant,brand,name,date,score,title,comment
0,B06XFNVPX4,貝印 KAI アイスクリームメーカー ホワイト DL-5929,貝印(Kai Corporation),パターン名: アイスクリームメーカー,ままごん,2023年5月11日,5.0,カワイイフォルム,冷凍庫にも入りやすい大きさで重宝してます。
1,B06XFNVPX4,貝印 KAI アイスクリームメーカー ホワイト DL-5929,貝印(Kai Corporation),パターン名: アイスクリームメーカー,利用者,2023年4月20日,3.0,良かった,とても早くアイスクリームができます
2,B06XFNVPX4,貝印 KAI アイスクリームメーカー ホワイト DL-5929,貝印(Kai Corporation),パターン名: アイスクリームメーカー,Amazon カスタマー,2023年4月27日,5.0,オリジナルで良いですね。,自分の好きなアイスが作れて美味しく食べています。色々な種類のアイスが出来て良いですね。
3,B06XFNVPX4,貝印 KAI アイスクリームメーカー ホワイト DL-5929,貝印(Kai Corporation),パターン名: アイスクリームメーカー,中嶋勇貴,2023年2月15日,4.0,おもちゃ程度から、本格的風？,アイスを、作るのは、面倒くさいです。全自動が、便利だと思う。この商品は、半自動です。手混ぜ作業が、自動なだけです。本格的なのかなぁと思った感じです。
4,B06XFNVPX4,貝印 KAI アイスクリームメーカー ホワイト DL-5929,貝印(Kai Corporation),パターン名: アイスクリームメーカー,ぽぽ,2023年6月2日,2.0,おいしくできます,時間はかかりますが(容器を冷やしたりなど)とにかく美味しくできます。シンプルな材料でこんなに美味しくアイスクリームやフローズンヨーグルトが出来るのは魅力的です。1度に作れる量が2人分くらいなのでもう少し量が多く作れたら嬉しいなと思います。
5,B06XFNVPX4,貝印 KAI アイスクリームメーカー ホワイト DL-5929,貝印(Kai Corporation),パターン名: アイスクリームメーカー,たかちゃん,2023年3月23日,5.0,簡単にアイスクリームが作れる,いつもアイスクリームを作っている。簡単にできて便利。氷のようになってしまう。
6,B06XFNVPX4,貝印 KAI アイスクリームメーカー ホワイト DL-5929,貝印(Kai Corporation),パターン名: アイスクリームスクープ,tdmck,2023年1月13日,3.0,幅が少し狭い,沢山盛ると、アイスの温度の方が勝ってしまいます。
7,B06XFNVPX4,貝印 KAI アイスクリームメーカー ホワイト DL-5929,貝印(Kai Corporation),パターン名: アイスクリームメーカー,c,2022年10月4日,4.0,シンプルで初心者でもアイスが作れる,小ぶりでがさバリにくくて丁度いい
8,B06XFNVPX4,貝印 KAI アイスクリームメーカー ホワイト DL-5929,貝印(Kai Corporation),パターン名: アイスクリームメーカー,Amazon カスタマー,2022年9月1日,4.0,家庭向き,Play Video 氷菓が好きなのですが買うと割高なので自作するため購入しました。安売りのくだものを使って食後のシャーベットを作ってみました。舌触りはモーターで練っているため大変なめらかでした。700mlくらい作りましたが保冷ポットは12時間凍らせて、2回に分けて連組使用できました。作ったタネはタッパーにつめて冷凍庫で保存しています。このアイスクリームメーカーは分解もしやすく洗いやすいです。また軽いので扱いも楽です。自作で作れるので糖分を控えたり、日本酒アイスなど変わりダネ、市販で手に入りにくいような氷菓を作ってみたいと思います。
9,B06XFNVPX4,貝印 KAI アイスクリームメーカー ホワイト DL-5929,貝印(Kai Corporation),パターン名: アイスクリームメーカー,,2022年7月10日,4.0,廃棄牛乳を救え！！,Play Video コロナ禍の中、学級閉鎖で牛乳離れが進み、冬休みや春休みでたびたび牛乳廃棄の危機になるとニュースで見て購入。(動画は4月日中20時間程度冷凍したボール使用で30分撹拌した柔らかさ追加冷凍必要)牛乳をなるべく多く使うアイスレシピ牛乳400ml(鍋でかき混ぜながら弱火で200ml蒸発させる)生クリーム50ml砂糖50gバニラエッセンスいちごやキャラメルや抹茶を入れてアレンジ手軽にプレミアムアイスに近い味が楽しめます※中の羽がとても壊れそうなので安価でパーツ販売をしていただけないでしょうか
10,B06XFNVPX4,貝印 KAI アイスクリームメーカー ホワイト DL-5929,貝印(Kai Corporation),パターン名: アイスクリームメーカー,家電軍曹,2022年9月5日,4.0,普通の材料でおいしいアイスクリームができる,スーパーで普通に売っている牛乳・卵・生クリーム・グラニュー糖だけで、とてもおいしいアイスクリームができます。できたアイスクリームは柔らかいムース状のため、さらに冷凍庫で凍らせるとちょうどよい硬さになります。予冷が必要など多少手間はかかりますが、アイスクリーム好きならお勧めしたい製品です。もう少し容積が大きいタイプもあれば、なお良いと思います。
11,B06XFNVPX4,貝印 KAI アイスクリームメーカー ホワイト DL-5929,貝印(Kai Corporation),パターン名: アイスクリームメーカー,first fantasy,2022年11月5日,3.0,できあがりの量は少なめ,アイスが好きなので、低糖低脂肪のアイスを自作するために購入しました。欠点としては○12時間に１回しか作れない。○200cc程度でなければ固まらないように感じる。長所としては○材料を入れて20分放置すれば作れる。○洗浄は簡単（食器洗浄使用不可）美味しいアイスを作れるかは、結局、材料次第ですね。低糖は可能ですが、クリームとなると低脂肪はなかなか難しいです。試行錯誤中です。
12,B06XFNVPX4,貝印 KAI アイスクリームメーカー ホワイト DL-5929,貝印(Kai Corporation),パターン名: アイスクリームスプーン,Shinobu,2023年1月18日,5.0,かたいアイスにサイコウ,欠点は手が冷たくなる事
13,B06XFNVPX4,貝印 KAI アイスクリームメーカー ホワイト DL-5929,貝印(Kai Corporation),パターン名: バターナイフ ベーシック,ジジ,2023年1月8日,5.0,私とは、使う向きが違うようです。,手に持ってバターを掬う時、反対なのです。私の感覚では背中で無理矢理反対方向に動かすイメージです。せっかくの性能なのに、残念です。順手で使いたかったです。
14,B06XFNVPX4,貝印 KAI アイスクリームメーカー ホワイト DL-5929,貝印(Kai Corporation),パターン名: バターナイフ ベーシック,みみすけ,2022年8月10日,3.0,問題ありませんでした,問題ありませんでした。
15,B06XFNVPX4,貝印 KAI アイスクリームメーカー ホワイト DL-5929,貝印(Kai Corporation),パターン名: バターナイフ ベーシック,nick,2023年2月5日,2.0,長くも短くもナイ!よかサイズ,軽くて扱いやすく!　見た目もイイ!
16,B06XFNVPX4,貝印 KAI アイスクリームメーカー ホワイト DL-5929,貝印(Kai Corporation),パターン名: アイスクリームスプーン,ドドコ,2022年10月9日,3.0,シアバターを使う為に購入,アイスクリームではなくて、シアバターを使う為に購入。とても使いやすかったです。購入して良かったです。
17,B06XFNVPX4,貝印 KAI アイスクリームメーカー ホワイト DL-5929,貝印(Kai Corporation),パターン名: アイスクリームメーカー,Amazon カスタマー,2022年6月28日,4.0,色んなアイスが作れて大満足,これを買ってから毎日いろんなレシピでアイスを作っています。個人的には、公式レシピのバニラアイスは味は美味しいですがこれで作るには生地がゆるく、冷凍後カチカチになりがちなので、ジェラートを作ることの方が多いです。ジェラートだと、食べごろの状態で完成しますし、凍らせても柔らかくたべやすいです。それにヘルシー！お気に入りのレシピは、生クリーム40ml
18,B06XFNVPX4,貝印 KAI アイスクリームメーカー ホワイト DL-5929,貝印(Kai Corporation),パターン名: アイスクリームスプーン,syosyo,2022年6月15日,4.0,子供向けにはいいかも,小さくて子供向けにはいいかも。大人向けには小さすぎるし、それほど溶ける感じがしない。
19,B06XFNVPX4,貝印 KAI アイスクリームメーカー ホワイト DL-5929,貝印(Kai Corporation),パターン名: アイスクリームスプーン シャンパンゴールド,ミキブー,2022年6月9日,4.0,持っているところが冷たかなります,熱伝導の良さで、カチカチのアイスクリームも割とすぐに食べられます。ですが、その反面アイスクリームにスプーンを刺したまましばらく置いておくと持ち手が冷たくなるのでスプーンは蓋の上に出しておく方が良いと思いました。
20,B06XFNVPX4,貝印 KAI アイスクリームメーカー ホワイト DL-5929,貝印(Kai Corporation),パターン名: アイスクリームメーカー,Amazon カスタマー,2022年11月26日,5.0,商品説明がお粗末,折角の商品、説明が悪く、20分経ったら自動的にスイッチオフになると思ってしまいますよ。製品の良し悪しはともかく商品説明はパナソニックを学ぶべきですね。60年前、貝印の軽便剃刀で顔が傷だらけになったことを思い出してしまいました。
21,B06XFNVPX4,貝印 KAI アイスクリームメーカー ホワイト DL-5929,貝印(Kai Corporation),パターン名: アイスクリームメーカー,ころぺん,2022年3月29日,4.0,お値段以上の買い物でした,安かったので、正直あまり期待していなかったのですが買って正解でした。仕上がりは少し柔らかめなので、別容器に移し替えて冷凍庫につっこみます。牛乳、生クリーム、砂糖、バニラエッセンスで作るシンプルなアイスはソフトクリームのようだと好評です。
22,B06XFNVPX4,貝印 KAI アイスクリームメーカー ホワイト DL-5929,貝印(Kai Corporation),パターン名: アイスクリームスプーン ローズピンク,しろひな,2022年6月17日,3.0,しっかり溶けて食べやすい,お風呂上がりにアイスを食べることが多いので購入しました。手の温度が伝わりやすいので固くてもすくうことができてデザインも気に入っています。
23,B06XFNVPX4,貝印 KAI アイスクリームメーカー ホワイト DL-5929,貝印(Kai Corporation),パターン名: アイスクリームメーカー,Amazonカスタマー,2022年8月25日,3.0,蓋の締め方にコツがいる,コスパ抜群で大満足です。生クリームなしでも作れたりしますただ蓋が閉めにくく作動させると開きやすいのが唯一の難点ソケットに差し込んで、押さえ込みながらひねらずに電源を入れて動力の力ではめ込むとうまくいきます材料の投入順は牛乳→クリーム→砂糖→卵黄砂糖と卵黄は冷気で固まりやすいので、手早く入れてスプーンなどでしっかり撹拌してから作動させた方がいいです。特に卵黄はダマになりやすい
24,B06XFNVPX4,貝印 KAI アイスクリームメーカー ホワイト DL-5929,貝印(Kai Corporation),パターン名: アイスクリームスクープ,ヒロ,2022年7月1日,5.0,手が痛くなる,商品自体の性能には問題ないが、商品の加工処理に一点問題がある。持ち手部分の角が立っている為、少し力を入れると手が痛くなる角をもう少し丸くすると、完璧な商品になる。
25,B06XFNVPX4,貝印 KAI アイスクリームメーカー ホワイト DL-5929,貝印(Kai Corporation),パターン名: アイスクリームスプーン,ジェントスさん,2022年6月26日,3.0,使いやすい,デザインもシンプルで長さも適度にあり使いやすい
