,ASIN,product,brand,name,date,score,title,comment
0,B06XFPMBHJ,カフェインレス コーヒー豆 自家焙煎 エチオピア 珈琲 by Tokyo Coffee Decaf (豆のまま 200g （オススメ）),TOKYO COFFEE 東京コーヒー,生の声,2018年10月16日,5.0,薬品不使用のデカフェ。味良し、鮮度は不明。,妊娠しても大好きなコーヒーは毎日一杯だけ飲んでいたのですが、飲めなくなった一時入院した時に頭痛に悩まされ、「もしかしてカフェインの離脱症状かも？」と思ったため、美味しいデカフェを探していました。やっと、満足の行く味に出会えました！もう、チェーン店のデカフェは不味くて飲めません。妹も妊娠中なので、一袋プレゼントしたところ、コーヒーの味にうるさい義理の弟にも、「とてもデカフェとは思えないくらい美味しい」と喜んでもらえました。おかげさまで、これを飲み始めてから頭痛とも無縁です。授乳が終わるまでは、お世話になるつもりです。
1,B06XFPMBHJ,カフェインレス コーヒー豆 自家焙煎 エチオピア 珈琲 by Tokyo Coffee Decaf (豆のまま 200g （オススメ）),TOKYO COFFEE 東京コーヒー,毎日ワクワク,2018年9月22日,5.0,初めて膨らまなかった⤵︎,製品の誕生秘話を読んで納得。コーヒー好きなので、色々と試して見ますが、たまーに気分が悪くなって全く受け付けないものがあります。酸化したまめだったり、カビ？だったり、化学物質によるものだったのかもしれないと感じました。こちらのコーヒーは、香り、後味、飲んだ後の体の具合、勿論、ハンドドリップで入れる際の楽しみの、お湯を注いだ時の粉が生きているかのように、ムクムクと膨らむ様も素晴らしいです。リピートします！
2,B06XFPMBHJ,カフェインレス コーヒー豆 自家焙煎 エチオピア 珈琲 by Tokyo Coffee Decaf (豆のまま 200g （オススメ）),TOKYO COFFEE 東京コーヒー,veriteraison,2020年5月31日,1.0,デカフェは不味い、の常識を覆してくれる,いつも美味しいコーヒーをありがとうございます。今回は自家焙煎 ペルー 産を注文してみましたが、古そうな豆で香りもなく実際にドリップしても全然膨らみませんでした。お宅のコーヒーは新鮮で味もさることながらドリップするのも楽しいのに、今回の豆にはガッカリしてしまいました。もう一度注文するので焙煎したてを送ってください。
3,B06XFPMBHJ,カフェインレス コーヒー豆 自家焙煎 エチオピア 珈琲 by Tokyo Coffee Decaf (豆のまま 200g （オススメ）),TOKYO COFFEE 東京コーヒー,毎日ワクワク,2018年6月1日,5.0,納得！,食養生中なので、なるべく体に悪いものを避けるため「オーガニックコーヒー豆」で検索してみたらコチラがヒットしたので購入。汲んできた湧水を沸かし、ハンドドリップで飲んでます。ローストされて間もないからか、お湯を注ぐと豆がとても膨らみます。味は、さっぱりしているのにコクがあり、冷めてからも美味しいコーヒーです。他のオーガニックコーヒー豆も色々試していますが、こちらのコーヒー豆は美味したっかので、またリピート購入したいと思います。
4,B06XFPMBHJ,カフェインレス コーヒー豆 自家焙煎 エチオピア 珈琲 by Tokyo Coffee Decaf (豆のまま 200g （オススメ）),TOKYO COFFEE 東京コーヒー,ちろ,2018年5月30日,5.0,いつもと違った,ブルーボトルコーヒーのブレンド豆に似ているな、といつも思っています。オーガニックコーヒーという点がブルーボトルより良い点です。正直、頼むたびに味が違うですが、いつも好みの味です。「今回はもっとチョコレートな気分だったな」「いや、酸味はもう少し抑えてあるのがよかったかな」など思うことはあるものの、「おいしい」という保証がある中で、飲んでみないとわからないというのも、なかなか楽しいものです。豆をそのまま入れると機械が挽いてくれるヨーロッパ式のマシンを使用しているのですが、深煎りすぎると詰まるため、中深煎りというのがちょうど良いです。
5,B06XFPMBHJ,カフェインレス コーヒー豆 自家焙煎 エチオピア 珈琲 by Tokyo Coffee Decaf (豆のまま 200g （オススメ）),TOKYO COFFEE 東京コーヒー,きち,2019年1月29日,4.0,冷めてからも美味しいコーヒー,酸味が苦手で苦いコーヒーが好きな私ですが、最近カフェインの摂り過ぎが気になりだしたので、レビューがよかったこちらを試しに購入してみました。思ったより濃いです。カフェインレスなのでもっと味気ないのかと思ったら良い意味で裏切られました。ちょうどいい苦味で酸味も少なめで私の好みのお味でした。いつも飲んでるエスプレッソに比べればそりゃ薄いしコクもあまりないけど、カフェインレスでここまで美味しいならじゅうぶんです。またリピします。
6,B06XFPMBHJ,カフェインレス コーヒー豆 自家焙煎 エチオピア 珈琲 by Tokyo Coffee Decaf (豆のまま 200g （オススメ）),TOKYO COFFEE 東京コーヒー,山田　敦,2021年5月22日,1.0,おいしいです,コーヒーの香りと苦味はありますがコクと旨味が無いと思います。後味スッキリというよりは香料で香りをつけた黒い水という感じがします。試しに買ってみましたがリピは無しです。前から飲んでいた物に戻ります。豆のまま購入　他の方もレビューに書かれていましたが賞味期限の記載無しでした。御晒しの袋にそのまま豆が入っていて数回折っているだけでした。酸化防止用の袋に入れて機械でシールした方が良いのでは。スーパーで売っているコーヒー豆でもしているのに…。コーヒー豆をもっと大切に扱っていただきたいです。金額のことを考えるとインスタントを飲む方が腹が立たない。
7,B06XFPMBHJ,カフェインレス コーヒー豆 自家焙煎 エチオピア 珈琲 by Tokyo Coffee Decaf (豆のまま 200g （オススメ）),TOKYO COFFEE 東京コーヒー,ｔｉｎａ☆,2020年1月21日,1.0,ちょうどいい苦味,袋からいい香りがしたのですが、全自動のコーヒーメーカーで淹れてる最中はいい香りぜず…飲んでみると焦げた味しかしません。賞味期限は、２０２０年７月２日、豆は小粒(くず豆？）。スーパーで購入した（鍵のマーク）豆は、お値段1/3の方が美味しかった。田舎に越して来て、スーパーでコーヒー豆は２種類しかなく、こちらに期待したのですが・・・おいしいとレビューした方、失礼しました。
8,B06XFPMBHJ,カフェインレス コーヒー豆 自家焙煎 エチオピア 珈琲 by Tokyo Coffee Decaf (豆のまま 200g （オススメ）),TOKYO COFFEE 東京コーヒー,わっち,2018年10月22日,1.0,妊娠中の妻も大喜び！,写真や口コミを見て、中煎りでマイルドを想像して購入したが届いたのはフレンチかイタリアン。苦いのも好きなダンナは嫌いじゃないと言っていたが、苦みが苦手でマイルドを求める私は「あーまた失敗」とがっかりした。
9,B06XFPMBHJ,カフェインレス コーヒー豆 自家焙煎 エチオピア 珈琲 by Tokyo Coffee Decaf (豆のまま 200g （オススメ）),TOKYO COFFEE 東京コーヒー,Amazon カスタマー,2020年7月26日,4.0,クレマが出ない,夕食後に〆のコーヒーが飲みたいなあと常々思っていましたが、眠れなくなるのでいつも我慢していました。タイムセールでこちらのデカフェの豆を見つけて試しに購入。cores　ゴールドフィルターダブルウォールマグで入れてみましたが、あっさりとしていて、ほのかな酸味が最後に残る食後にはピッタリのコーヒーでした。最初は苦味を感じます。豆の量は少し多めに使いました。食後にコーヒーを飲むと、私の場合はその後の間食なども防げます。デカフェは色んなところのものを試しましたが、コーヒーとは別物というイメージでした。ここのデカフェは、ちゃんとコーヒーです。なくなったらまた買いたいです。
10,B06XFPMBHJ,カフェインレス コーヒー豆 自家焙煎 エチオピア 珈琲 by Tokyo Coffee Decaf (豆のまま 200g （オススメ）),TOKYO COFFEE 東京コーヒー,たむりん,2017年3月4日,2.0,深煎りですね,届いた直後の豆を全自動エスプレッソマシンで中挽き中濃で飲んだところ、香りクレマは良いのだけど始終 苦味が強過ぎて豆本来の味わいが感じられない。２杯目 やや粗挽き薄めに変えてみても印象は同じ。さらに粗挽きした３杯目も変わらず。 舌に残る嫌な苦味はフルシティとかフレンチローストの心地良い苦味ではなく、自分で焙煎失敗したときの焦げ感と同じなので、焙煎によるのではないだろうか。 念のため、手回しミル中粗挽きしてペーパードリップすると焦げ苦さは和らぎ、豆の甘味も感じられるものの、喉に苦味が残る。少なくとも高圧蒸気マシン抽出には向かないことと、ペーパードリップでも極粗挽きしないと苦味しか感じない残念な結果。 定期購入も視野に入れての試し買いだったが、比較して安物の豆より不味いものとなり、新鮮さを確認する焙煎日の印もなく、価格なりの期待を裏切られた印象が苦く残ってしまった。
