,ASIN,product,brand,name,date,score,title,comment
0,B06XKW3F84,キーコーヒー ドリップオン カフェインレスコーヒー 7.5g×5P×5箱,キーコーヒー,ぺぴー,2019年7月10日,5.0,おいしい,１パックで２杯分出しています。ストレートで飲みますが苦みも少なく香りも良く、またパックの作りもしっかりしいてとても使いやすいく大変気に入っています。
1,B06XKW3F84,キーコーヒー ドリップオン カフェインレスコーヒー 7.5g×5P×5箱,キーコーヒー,タンテ坊主,2020年11月4日,5.0,そんなにまずくはなってない,今まで試した中で一番美味しかった‼️
2,B06XKW3F84,キーコーヒー ドリップオン カフェインレスコーヒー 7.5g×5P×5箱,キーコーヒー,本物探し,2020年11月8日,5.0,苦み少なく飲みやすい,どうしても普通のコーヒーのような味にはならないですが、夜に飲むのには十分で、助かってます。
3,B06XKW3F84,キーコーヒー ドリップオン カフェインレスコーヒー 7.5g×5P×5箱,キーコーヒー,大庭,2020年9月10日,4.0,味がいい！,カフェインレスコーヒーとは思えないほど、香り、濃く絶品です。
4,B06XKW3F84,キーコーヒー ドリップオン カフェインレスコーヒー 7.5g×5P×5箱,キーコーヒー,Inoue Yuki,2019年3月6日,5.0,夜飲むのには充分,カフェインレスなのにコクがあり、とても良いコーヒーです。家内と就寝前にくつろぐ必須の小道具となっています。
5,B06XKW3F84,キーコーヒー ドリップオン カフェインレスコーヒー 7.5g×5P×5箱,キーコーヒー,中道廣子,2021年1月13日,5.0,今までになく美味しい,香りもコクも程よくあって、夜ブラックで飲む時、カフェインを気にせず飲めて気に入っています。
6,B06XKW3F84,キーコーヒー ドリップオン カフェインレスコーヒー 7.5g×5P×5箱,キーコーヒー,isop611,2021年4月25日,5.0,コスパ最高,カフェインレスですが、普通のコヒーに負けない香りと味があります。
7,B06XKW3F84,キーコーヒー ドリップオン カフェインレスコーヒー 7.5g×5P×5箱,キーコーヒー,K,2021年5月29日,5.0,おいしいと思います,妻が毎日飲んでます。他のカフェインレスも試しましたが、結局この商品に戻ってきました。コーヒーの味がしっかりします
8,B06XKW3F84,キーコーヒー ドリップオン カフェインレスコーヒー 7.5g×5P×5箱,キーコーヒー,水本　理恵,2017年5月2日,5.0,贅沢カフェインレス！,香りがよくてとても美味しいです。ノンカフェインと思えない。抽出も早い。他メーカーのも試しましたが、こちらがずっと良くて、すぐに戻ってきました。
9,B06XKW3F84,キーコーヒー ドリップオン カフェインレスコーヒー 7.5g×5P×5箱,キーコーヒー,ひらりー,2017年6月5日,2.0,かなり気に入りました,旧製品を知らなければ、こんなものかな、と思うところでしょうね。しかし、一杯分８グラムから7.5グラムになって、挽きが細かくなったようです。粉の量が減った分、挽き具合を細かくすれば、色は同じようになるかもしれませんけど、苦味が多く抽出されてしまいます。こんなことも考慮せずに、こんなものを出すなんて！　と吃驚しています。大幅値上げを回避する意図だったかどうかは知りませんが、私は旧製品がとても好きだったので、製品の質は変えずに堂々と値上げしてほしかったと思います。（さすがにメーカーさんも旧製品の改良品と言ってはいないようですが。）何年も旧製品を定期お得便で利用していましたが、他の製品を探します。
