,ASIN,product,brand,name,date,score,title,comment
0,B074M85YLD,【まとめ買い】ネスカフェ ゴールドブレンド カフェインレス スティックコーヒー 7P×6箱,ネスカフェ CCM,はる,2020年6月12日,4.0,表記をカフェオレに変えた方が良いのでは？,ブレンディのカフェオレと比較すると、しっかりコーヒーの苦味があります。なので、甘すぎるとは思いませんでした。甘味が添加されている商品のなかでは、甘さひかえめだと思います。
1,B074M85YLD,【まとめ買い】ネスカフェ ゴールドブレンド カフェインレス スティックコーヒー 7P×6箱,ネスカフェ CCM,maido,2020年5月16日,5.0,思ったより甘かった,私はコーヒー好きですが、体質的に午後にカフェインを飲むと夜寝れなくなります。そのため、カフェインレスのこの商品を購入しました。カフェインレスのため、味が落ちるようなことはなく甘くて美味しいコーヒーです。かなり気に入ったため定期購読にしています。
2,B074M85YLD,【まとめ買い】ネスカフェ ゴールドブレンド カフェインレス スティックコーヒー 7P×6箱,ネスカフェ CCM,Amazonカスタマー,2019年1月21日,5.0,甘さひかえめ,以前、ネスカフェさんのお湯を注ぐだけのゴールドブレンドスティック型のコーヒーの味が凄く好きで飲んでいましたが、飲み過ぎて夜寝つきが悪くなり(カフェイン入りだから当たり前ですよね)急遽、ネスカフェさんの商品でスティックタイプでカフェインレスのコーヒーはないか探していた所、あったので即購入！カフェインレスでも美味しいです！
3,B074M85YLD,【まとめ買い】ネスカフェ ゴールドブレンド カフェインレス スティックコーヒー 7P×6箱,ネスカフェ CCM,げろりん,2018年12月3日,5.0,すごく美味しい,コーヒーとクリームとお砂糖のバランスが抜群で美味しいです。カフェインが苦手な体質なので本当に感謝しかないです！こちらは程よくコーヒーの苦味があるところがお気に入りで、仕事中に飲むのに重宝しています。自宅用には甘さ強めのブレンディのスティックカフェオレを買っていますが、自宅でも飲みたくなってしまうほど気に入ってしまいました。
4,B074M85YLD,【まとめ買い】ネスカフェ ゴールドブレンド カフェインレス スティックコーヒー 7P×6箱,ネスカフェ CCM,ウォッカ,2020年11月3日,5.0,カフェインレスでも美味しいです。,いつもコンビニで購入していてアマゾンでの取り扱いがあることを知り購入しました。美味しく簡単に一杯を作れるし、何といっても6パックセットで安い。定期的に購入すると思います。
5,B074M85YLD,【まとめ買い】ネスカフェ ゴールドブレンド カフェインレス スティックコーヒー 7P×6箱,ネスカフェ CCM,ricca,2021年2月5日,4.0,抜群に美味しいカフェインレス,デカフェのStick coffeeで今のところ最高の商品。味のBALANCEが絶妙価格も安い。試す価値あるぜよ！
6,B074M85YLD,【まとめ買い】ネスカフェ ゴールドブレンド カフェインレス スティックコーヒー 7P×6箱,ネスカフェ CCM,yoosh,2021年5月13日,3.0,コンビニより安い,カフェインレスでいつでも飲めるので安心です。甘さ控えめというよりかは、しっかり甘さがあって、甘ったるく感じる時もあります。レビューに途中で止めてみると調節できると書かれていたのでやってみるとびっくり、スティックの半分近くはクリープのような粉。そりゃ甘ったるく感じるよな〜って感じです。甘いより苦味が欲しいのでもう少し減らしてくれたらいいのにな〜牛乳と割ってみると昔懐かしいコーヒー牛乳のようでした。
7,B074M85YLD,【まとめ買い】ネスカフェ ゴールドブレンド カフェインレス スティックコーヒー 7P×6箱,ネスカフェ CCM,KILL BURNER,2018年4月23日,4.0,Exactly Good 味がいい,通常のゴールドブレンドが好きでよく飲んでいるのですが、カフェインの摂りすぎを懸念してこちらも購入しました。味覚は人それぞれだと思いますが、個人的にはこちらの方が美味しく感じます。ただ、通常のゴールドブレンドに比べて1杯あたりの値段が2倍近いので(購入価格1345円で1杯あたり約32円)、朝は通常、夜はカフェインレスのように使い分けています。
8,B074M85YLD,【まとめ買い】ネスカフェ ゴールドブレンド カフェインレス スティックコーヒー 7P×6箱,ネスカフェ CCM,ぷりん,2020年10月11日,5.0,カフェインレスがいい,カフェインレスなので、いい。そして美味しいです。また、注目しようと思ってます。
9,B074M85YLD,【まとめ買い】ネスカフェ ゴールドブレンド カフェインレス スティックコーヒー 7P×6箱,ネスカフェ CCM,ことり,2020年6月23日,5.0,高齢の両親のために。,近くのお店では販売されていない為、遠くのコンビニまで買いに行ってました。ネットで見つけた瞬間、速攻で注目！カフェインレスだから、寝る前に飲んでます。
10,B074M85YLD,【まとめ買い】ネスカフェ ゴールドブレンド カフェインレス スティックコーヒー 7P×6箱,ネスカフェ CCM,Amazon カスタマー,2021年5月21日,4.0,カフェインレス,授乳中なので､カフェインレスの商品探してました。産後すぐで買い物にも行けなかったので助かりました。味も美味しく､毎日飲んでます。
11,B074M85YLD,【まとめ買い】ネスカフェ ゴールドブレンド カフェインレス スティックコーヒー 7P×6箱,ネスカフェ CCM,モモ,2020年12月27日,5.0,カフェインレス美味しい,ノンカフェインなので、寝る前でも気軽に飲めるので、嬉しいし、幸せな気分になりまーす！
12,B074M85YLD,【まとめ買い】ネスカフェ ゴールドブレンド カフェインレス スティックコーヒー 7P×6箱,ネスカフェ CCM,寺内 幸美,2020年10月25日,5.0,美味しかったです。,スティックコーヒーは甘いものが多いですが、少し控え目なので、コーヒーの味が引き立ちます。デカフェなので、夜でも飲めます。
13,B074M85YLD,【まとめ買い】ネスカフェ ゴールドブレンド カフェインレス スティックコーヒー 7P×6箱,ネスカフェ CCM,Amazon カスタマー,2020年11月5日,5.0,寝る前に飲めること。,美味しいです大好き
14,B074M85YLD,【まとめ買い】ネスカフェ ゴールドブレンド カフェインレス スティックコーヒー 7P×6箱,ネスカフェ CCM,バジル大好き,2018年12月11日,4.0,甘み控え目なデカフェ,コーヒーが好きなので格安になっていたこちらの商品を大量購入させていただきました。授乳中につきカフェインレスなのですが、カフェインレスでもネスカフェゴールドブレンドは美味しいですね。さすが、ネスカフェゴールドブレンドです！！
