,ASIN,product,brand,name,date,score,title,comment
0,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,ハゼドン,2019年2月5日,1.0,インスタントコーヒーの王道,定期的に購入していたが、おかしいことに気付いた！毎回バリスタにセットして豆を投入しているが毎回最後まで投入できない少しパッケージに残ってしまう。面倒だが、はさみでばらしてから再度投入いつも面倒くさかった。1年以上アマゾンで定期購入してるが、いつも同じ現象味は申し分ありません。ところが直近半年毎月2コペースで他のスーパー（コ〇ト〇）で購入、びっくりバリスタにセットしても最後まで豆が投入できる。早く気付けばよかった！よって定期便止めました。
1,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,Someday,2018年5月15日,5.0,80g瓶と違う気がする。追記,昨年から105gになってるんですが、今日届いた物は【期間限定増量中111g】で＋3杯分でしたー！ま、元の大きさですね(笑)価格設定がマチマチで、安い時もあれば高い時もあり…と落ち着かない商品。価格に幅があるので安い時は多めに買っています。増量中なら多めに買えば良かった〜。リピーターならご存知だと思いますが、以前よりは値上がりしていますよね。商品説明に増量中って書かれてなかったんで、いつまでかわかりませんが一応お知らせしておきます！
2,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,cisco,2018年11月29日,5.0,パッケージに難あり　投入できない！！,毎日の仕事中に何杯も飲む場合に定期便でオトク瓶のエクセラの方が好きだったけどゴールドブレンドいいですねただし、詰め替えパックのゴールドブレンド コク深めはちょっと合わなかったかも。なんかしっくりこないというかゴールドブレンドの偉大さを毎日味わうことができます味より香り？ティファールからお湯を注いだ時の香りがスキです私自身あまりコーヒーの味とか旨さとか細かいところがわからないタイプですが、この商品は安らぎというかリラックスというか精神衛生上というかなんというか。いつもおいしい小さな幸せコーヒーありがとうございますたまに白湯だけ飲みたくなったりしますけど
3,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,ちょこぱんだ,2018年12月28日,5.0,ラッキー☆増量中でした！,以前は瓶入りタイプの同製品を愛飲していましたが、開封後の酸化や香りが飛んでしまうのが悩みでした。しかしこちらは一杯分ずつの個別包装ですので、毎回開封したての味と香りを楽しめて大変満足しています。近所のスーパーで販売されている、本数の少ないものよりの断然お得でたくさん入っていますしこれからもお世話になるとおもいます。大好きな商品です。
4,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,オリエンタル製作所,2019年7月3日,5.0,１か月に２～３個あれば,コーヒーが好きで、毎日大量に飲みます。スーパーで売ってるインスタントコーヒーはひととおり試しましたが、味と価格のバランスが一番良いのはゴールドブレンドです。一番おいしいと思うのは香味焙煎ですが、セールになることがほとんどないし、量が少ない。逆に、これより安い商品は、ブラックで飲むのに堪えないし、ひどいものだと胸やけがします。ご存じのように、Amazonは価格が変動するので、安い時にまとめて購入するようにしています。400円台前半なら買いです。
5,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,pdm,2018年9月5日,4.0,瓶入りより断然こちらをおすすめします,ゴールドブレンド、違いが判る男のコーヒー。。。。。。ダバダー、、、ダバダ　懐かしのCMを思い出します。それ程の年月を我が家では定番として愛飲しています。
6,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,ハゼドン,2018年5月2日,5.0,味と価格のベストバランス,若い頃はいろいろとコーヒーにこだわり、インスタントなんてノー！という妙な主張をしていました。が、今となってはインスタントコーヒー、特にネスカフェゴールドブレンドがないと日々を過ごせない感じ。やはり、そのお手頃感が最高ですし、かつ、それなりに珈琲の味わいもある。というわけでこれからも定期購入をしたいと思います☆
7,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,アイアンマン,2019年2月6日,5.0,これがインスタントではポピュラーな我が家の定番です。,猫を飼っているため瓶入りのインスタントコーヒーが買えない方へのプレゼントとして買ってみました箱は猫の住処にされたそうですが中身に興味がなかったらしくいつでもコーヒーが飲めるようになったと喜んでくれました(ただ多すぎて飽きたとか言われたけど)ペットを飼われている家庭なら瓶より安全かと思うので試しに買うのもよいかと余ってしまったらスティックタイプだし人にあげてもいいし職場で使ってもいいし
8,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,レイ,2019年11月9日,5.0,とてもおいしい,家ではバリスタを愛用しています。職場で手軽に飲めるように、いろいろ試しました。結果、今のところこれが一番です。出先で飲むなら、味、手軽さ、価格、トータルでコレかなと。オススメ商品です！
9,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,mukurumi,2018年1月17日,5.0,とてもインスタントは思えないほど美味い　人によったら、黙って出されたら分らないかも？？,ネスカフェゴールドブレンドをの前は　某コーヒー会社のフリーズドライコーヒーを使用していましたが　最後瓶底近くに成ると　顆粒が壊れ粉状だったのですが、ゴールドブレンドは最後まで　顆粒の状態で　非常に使い易かった様に思います。
10,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,tantantan,2018年11月13日,4.0,出先のコーヒーならコレかな！,ネスカフェのプレジデントの販売が終了してから、これ一択で2個セット/月の定期おトク便です。当家の消費量からみて時々在庫過剰になるので、一時休止もありますが、飲み慣れた味で好みです。時にドリップコーヒーを使用したり、喫茶店も利用しますが、やはりお手軽な点ではこれに勝るものはありません。蛇足ですが当方独特の利用法をご紹介。本品3匙+黒糖(粉末)+シナモンをカップで少量の熱湯に溶かし、牛乳少々を入れて100均の電動マドラーで20秒ほど攪拌(飛沫拡散注意！)。後は牛乳を満杯に入れて電子レンジでチン。各量は適宜。邪道ですがこれで簡易カプチーノ完成。ってこれは単なるコーヒー入りミルクか？
11,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,ビバじい,2018年12月21日,5.0,めっちゃ良いです。,もうずーーっと何年も飲んでます。マグカップにこれ入れて水を：6くらい入れて、レンジで60度まで温めて、冷たい牛乳：4足して飲むのが好きです。ちょっとぬるくなりますが猫舌なのでちょうどいいです。夫はどこのコーヒーショップよりもこの飲み方が一番おいしいと言っています。貧乏舌で助かります。
12,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,SN-ON,2019年5月19日,3.0,好みの味で簡易カプチーノ,商品自体のレビューではなくて恐縮なのですが、梱包か配送の仕方により商品が横倒しか逆さになった場合、バリスタに豆を投入する際にこぼれ落ちる原因になるようです。そのせいで、幾分かを無駄にした上に、掃除する羽目になったため☆3としました。通販向けの商品ではないと思います。
13,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,wai ブログやってます,2021年1月17日,4.0,これがベスト,味や値段については多数のレビューがあったので別の視点からのレビュー。きっちり重量は65ｇぴったりと偽りのない容量でした。良かった点・専用品なので入れやすい。空気に触れにくく酸化しにくい。・少量なので常に新鮮。香ばしい香りが楽しめる。・紙ゴミなので地球にやさしい。瓶タイプもリサイクル率は高いですが…悪かった点・値段がやや高い。
14,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,カズヨ,2019年11月8日,5.0,通販では買わない方が良いと思います,来客用にバリスタマシーンを使ってましたが…操作方法の説明やら手入れやらがずさんになって来たのでこちらに変えました。まず誰でもスティック開けて入れてお湯注ぐだけで出来上がり。素晴らしいの一言です。ネスカフェさんいつもありがとう。
15,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,MAILER-DAEMON,2019年1月8日,5.0,重さに偽りなし。,Baristaのタンクへ最後の一欠片まで余すことなく補充できる仕組みは大したもの紙容器なので捨てる時潰すのも簡単Baristaはゴールドブレンドシリーズ専用なのですが、願わくば、エクセラが欲しいなエクセラは顆粒状なので目詰まりしてBaristaに不適合だからBarista買うまで、ゴールドブレンドは全くと言っていいほど飲まなかったから
16,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,パラかっぱ君,2021年2月25日,4.0,バリスタ詰め替えまずはこれから,毎月105gサイズを2～3本消費しています。味や香りなど、手軽に飲む分には申し分ないと思います。瓶やドリップだと味にばらつきが出やすいですが、バリスタで入れれば問題ないということもありますが、値段と味のバランスは良いように思います。スーパーで買うより安いこともあるのでよく飲まれる方は定期便がおすすめです。唯一難点をいうならば、専用容器に移す際にこぼれやすく、パックの底に残りやすいことでしょうか。とは言え総合的に優れた商品であると感じています。
17,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,zenryaku300,2020年1月8日,5.0,変わらない味,職場で飲むための購入しました。1日3～4杯のコーヒーを飲んでいますが、これだけの量があれば、2～3ヵ月は問題なく持ちます。味は、癖がないため、飲みやすいです。あまりの量の多さに共有スペースに置いていないはずの私のコーヒーをわざわざ取りに来る社員もいるほどです。また買わなければならないと思いますので、よろしくお願いします。
18,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,Amazonレビュアー,2019年1月16日,5.0,コスパ良し、定期便なら、なお良し,昔からある定番商品だが、年々容量が少なくなっていくのが残念。ここでは安く買える。
19,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,IP1984,2021年3月2日,1.0,コスパが良い,味は無難でコーヒーを淹れるのが簡単なので購入しましたが、近所のスーパーの毎月の特売で80g400円で売っていたので損した気分です。価格は高いです。
20,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,けんしろう,2018年9月23日,5.0,定番商品,毎朝ゴールドブレンドを飲むことが習慣になっています120gは近所の量販店に比べ価格差がないので購入していますAmazonで買うなら一番コスパもいい量です
21,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,a-m-a-z-o-n,2020年11月20日,4.0,価格が高い。,バリスタの機械を購入したきっかけで、システムパックお購入しました。バリスタの機械があるからネスカフェでも美味しいのではないかと口コミがありましたので、ネスカエフェの粉を確認。システムパックの中の粉粒の感じは瓶入りの粉コーヒーと見た目は同じでした、試しに瓶入りとシステムパックを別々のカップに入れて味比べをしたら、システムパックのほうが美味しいです。通常価格は少々高めなのは納得ができます。近所のスーパーで特売品がない限り、アマゾンさんのがお得とおもいます。
22,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,アパラチア,2020年6月27日,5.0,嗜好品なので多少高くても,この製品は普通の他の製品と違って紙での詰め替えなのでゴミ捨てなどはすごくいい点だと思います。中の構造として詰め替え部分に向かって狭まっているので全部しっかりと出てきてくると思っていましたがしかし、実際に使ってみるとこちらの使い方が悪いのかわかりませんが中身が残る事があります。内容量としては１回詰替をするのに１つで十分だと個人的にはおもいました。見た感じ２個入れるとあふれると思います。
23,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,アキピー,2021年1月8日,5.0,瓶入りネスカフェよりも美味しいです,瓶を初めて開けた時の香は続くわけもないが、他は飲めない。お茶・紅茶・杜仲茶・ハト麦茶も飲むが、アメリカンコーヒーが多い。目の前のドリップ専門店でラテも頂くが、家ではゴールドブレンド。スーパーで￥４９８の時に行けず在庫切れしたので、アマゾンが一番安く送料もプライムで無料。
24,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,🌸こなさくら🌸,2018年7月21日,5.0,コスパ良きのコーヒー,プライムデーで購入しました。もう何年もこのコーヒーを飲んでいます。豆から挽くコーヒーには勝てないのかもしれませんが、インスタントのなかでは一番美味しく感じます。
25,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,岡崎かなで,2019年2月27日,5.0,80gより120gが安くなるのはなんでだろう。,あまりコーヒーの味にうるさいわけではありません。喫茶店でコーヒーを頼むときはアメリカン以外味の違いはわかりません。しかし、缶コーヒーは不味くて飲む気がしません。コンビニのドリップコーヒーは美味しいですが、ちょっと高いです。そんな程度の舌をもつ人にとっては十分なおいしさだと思います。
26,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,ポチ,2020年6月4日,5.0,インスタントコーヒーの王様,夏に向けてホットコーヒーっていうのもどうかな？と思いつつ、まだ涼しい日があるので・・とリピート。この商品は１杯ずつ個包装なので、封を切るたびに香るアロマが癖になってしまいます。120gの瓶入りや詰め替え用を買うと、保存中に風味が落ちるし冷蔵庫保存など手間がかかるし、結局、余ったものは秋になると捨てるんですよね。便よりグラム当たり1.5円ほど高いですが、新鮮さと廃棄ロスなどを考慮したら気になりません。
27,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,Amazon カスタマー,2021年7月25日,5.0,手軽においしいコーヒーが楽しめます,私は本当にコーヒーがうるさく、カフェばっかり外で行ったのですが、機会を誕生日プレゼントしていただいてから3年前からこちらで購入、そして会話するのないように定期購入をしている、もう外でコーヒーやカフェに行かなくてもお家で満足だからこそ定期でいつも三つ購入している本当にこれは便利絶対におすすめをさせておいしい、私のボタンはエスプレッソでミルクを入れることがおすすめ
28,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,husan,2019年11月6日,3.0,満点です。特に新鮮さ・・これが強味です。,マシンは自前なのに直販で定期購入していた。５０００円位購入しないと送料が要るので二ヶ月から三ヶ月に変更しても余るくらいになった。ふとアマゾンの定期便で見つけ一個でも送料無料なので二個毎月購入している。同じ味、同じ品、直販の定価の大量まとめ買いをしなくなって大満足です。
29,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,emily,2021年2月2日,4.0,もうこれはハマりまくり、手放すことはないでしょう,一昔前はとてもじゃないがブラックでは飲めなかったが最近はブラックで十分いけるくらい美味しくなった。普段は気分でネスプレッソと併用してますが流石にネスプレッソの美味しさには負けるがコンビニコーヒーとなら互角と感じる。1杯の価格で言えば圧勝。我が家は夏場のアイスドリンクはネスカフェポーションだし、気がつけばコーヒー飲料は全部ネスレに支配されてます。
30,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,アマゾン太郎,2019年11月5日,5.0,直販からアマゾンに変更,スーパーで瓶の商品の方が同じ価格で多く入っているのを見て、地味にショックを受けました。自分は機械を通さずに瓶に詰め替えて容器を捨てています。上部のセロファンと紙の口の外側の隙間に、コーヒーの粉が溢れているので詰め替えの時には注意が必要です。配送の関係で仕方がないのかもしれません。スーパー等では数十個の此方の商品が一パックになり、ビニール等で動かない様に固定された素晴らしい状態にしてある筈です。私達は数個注文する位ですから、隙間が出来て衝撃が伝わってしまうのは仕方がない。
31,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,Mr.X,2019年11月23日,5.0,もはやインスタントの王者,普段は自宅でネスレバリスタにてゴールドブレンドわ、がぶ飲みしていますが、いま入院中だから久しぶりにお湯をいれて飲むフリーズドライを購入してみました。クレマ(泡)はありませんがバリスタでいれたものよりも香りがあり飲みやすく感じました。なにより長期入院のため個包装以外のゴミが出なくて良いです。たまには同じでゴールドブレンドでも目先を変えてみて正解でした。
32,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,ケロリン,2020年7月3日,4.0,ふたの色が変わってから味とコクが落ちた,出先で保温ボトルにコーヒーを足す時に使ってます。　このタイプとカフェオレの2本をボトルに入れてお湯を入れればコーヒーの完成です。　瓶タイプとの比較になりがちですが、鮮度と適量ではこちらが勝ちます。　コスパと微調整では瓶タイプでしょうね。　重い瓶を持ってきて大きいフタを開けてスプーンで何となくマグカップに入れる。もしくはスティックタイプのこの商品の封を切ってサラサラと入れる。　好みの問題ですね。　とても便利です。
33,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,マスクマン･Ｋ,2020年7月1日,5.0,味、香り、値段のバランスが良い,昔からインスタントコーヒーの中ではおいしかった（粉タイプの他社に比較して）。それでもこの上位製品の方が良かったりしたこともある。でも今はこれで十分な味です。進歩し続けてるところがすごいと思う。まあ、レギュラーソリュブル、というのは言い過ぎかもですけど。ふだんレギュラー飲む気がしないほどよくなってきたと思います。粉から入れるの面倒ですからね。
34,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,すーちゃん,2019年4月7日,4.0,使いやすいです。,医学的に言ってｲﾝｽﾀﾝﾄｺｰﾋｰは1日3杯飲むと良いという｡騙された気持ちで実践しています｡ｲﾝｽﾀﾝﾄと言えども､量の多少､湯の温度で味が変わります｡充分楽しめるｺｰﾋｰです｡ｱﾏｿﾞﾝでは､現在700円､2-3日前まで1.000円でした｡値段の大幅な動きはちょっと解せません｡
35,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,osmo2001,2019年1月7日,4.0,数十年の間、進歩しつづけてるところがある意味すごい。,数あるインスタントコーヒーの中でもネスカフェゴールドブレンドは、満足度が高い。レギュラーコーヒーや香味焙煎に香り、風味で敵わないものの、レベルは価格相応と思う。バリスタを使用していることからエコ&システムのパッケージを購入しているが、瓶入りの方が稀に特売で安価になっていることがあり、残念に感じる場合がある。
36,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,ＴＯＭＣＡＴ,2019年12月13日,4.0,家庭で飲むならこれでしょう,好きな味です。インスタントコーヒーは多数ジプシーしてきましたが、その中で一番美味しいと思いリピートしています。挽いたコーヒーのような味と香りでクオリティが高いと思います。我が家はバリスタを使っていないので、気に入っているコーヒーキャニスターに詰め替えて使っています。小さめ、よくあるサイズ(350ml前後)のキャニスターだとコーヒーが余るので注意です。タッパーで保存しても風味は落ちないと思います。簡単に美味しいコーヒーが飲めるのでオススメですが、若干お高いので星マイナス１です。
37,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,nene,2020年2月12日,5.0,インスタントコーヒーの定番,毎日会社で飲んでいます。100円の自販機でコーヒーを買っている方もいますが、これを買うだけでどれだけ飲めるか考えてみてください。とても経済的だと思いませんか？
38,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,Y氏,2021年1月5日,3.0,インスタントコーヒーで１番美味しい！,インスタントなので、ドリップより手軽にコーヒーが飲めて好きです。味や香りもいい感じですね。朝の一杯で、リラックスできて、目も覚めて、いい感じで一日を始められます。
39,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,田中,2018年9月6日,5.0,缶コーヒーを買わなくてすみ、経済的です。,安く購入できてうれしいです。インスタントの中では一番おいしいです。
40,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,こんたろう,2021年3月27日,3.0,常備しています,普段はプレジデントを飲んでますが、切らしてしまったため、こちらを購入。プレジデントに慣れてしまったので味がいまいちでした。値段は安くて量も多くてお得ですが、アイスコーヒーにして飲もうかなと思ってます。
41,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,あんころもち,2020年3月13日,5.0,詰め替えやすさが◎,ビンからスプーンですくってコーヒーを作るよりもお手軽につくれる。寝ぼけている時など良くこぼしますが、この製品は一杯ごとに小分けしているのでめったにこぼすことはありません。紙コップとstickクリープとの相性が抜群です。ゴミが出てしまいますが、紙コップ使用と併用して飲めば、洗う手間など減るので最速でコーヒーを飲めるのが良い感じです。
42,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,隊員,2020年2月4日,4.0,繋ぎで購入,ゴールドブレンドは、安定の美味しさです。個別包装になっていて、便利は便利です。が！今の時代、プラをこれだけ使ってしまう罪悪感も（笑）それはさておき、☆ -1 の理由は、包装の端がギザギザで痛いです！外箱に筆箱のように立てて収納できるのですが、取り出そうとすると他のスティックに指が当たり、地味に痛いです；これを改善してもらえるとありがたいです。
43,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,ロボット刑事,2018年12月9日,2.0,お手軽で美味しいと言える物,長年愛飲してきました。悲しいくらいかわってしまいました。あのマイルド感が全くありません。新たに探します。
44,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,りんご,2021年6月29日,3.0,味はばっちり,バリスタ用に購入しました。インスタントの種類によってはバリスタが詰まるというか湿るようになるため、使用した経験があるこちらを使用しました。味的にはエクセラの方がストレートなコーヒー感が味わえる気がします。
45,B074MWTKTR,ネスカフェ ゴールドブレンド エコ&システムパック 105g,ネスカフェ RSC,田野助,2020年1月4日,5.0,ゴールドブレンド？,職場用に購入しました。職場のコーヒーメーカーが壊れて、こちらを購入しました。お値段はAmazonが一番安いのでは。この大きさでこの金額はいいですね。定期購入を検討してます。
