,ASIN,product,brand,name,date,score,title,comment
0,B075942DRK,アールグレイ 紅茶 無糖 250g 業務用 インスタントティー 粉茶 粉末茶 パウダー茶 パウティー,パウティー,ぱなお★,2021年2月5日,2.0,香り高い紅茶に満足です！,個々人の「差」はあると思いますが・・・・・①　指定の分量配合では、「湯」を飲んでいるようです。②　「紅茶」らしい・渋み等を得るためには、指定の３倍程度の配合が必要です。③　「ベルガモット」の風味は、ごくわずかです。④　私的に・・・一度に200㏄のCupで飲みますので、指定の４倍の分量は必要でした。か・と言って、５～６倍の分量にすると、「渋み」や「苦味」と「粉」味がします。
1,B075942DRK,アールグレイ 紅茶 無糖 250g 業務用 インスタントティー 粉茶 粉末茶 パウダー茶 パウティー,パウティー,ATTENTION,2018年7月11日,3.0,最高♪瓶入りの濃縮タイプと大差ない,美味しいですが少し甘い感じがしますね、高いですが量を考えたらまあ安いのかな。煮出し時間がないのがメリットかな。このシリーズは水でもいけますし。
2,B075942DRK,アールグレイ 紅茶 無糖 250g 業務用 インスタントティー 粉茶 粉末茶 パウダー茶 パウティー,パウティー,J.J,2021年1月30日,5.0,ものたりない・・・・・↓,一人暮しで自炊をしているのですが、ネックだったのが飲み物の用意でした。最初はペットボトルをせっせと買っていたのですが、ごみがかさばるし、重くて運ぶのがめんどくさい。ティーパックにすればごみは少ない！と思っても、生ゴミの処理がめんどくさくなり…粉ならそのすべてが解決するのでは？と思いました。コンビニなどでよく売られている緑茶粉末は、時間がたつとボトルの底に沈殿していましたが、このパウティーは沈殿が全然ありません！しかも、豊かな風味がいつでも楽しめます。一人暮しの人、家族の飲み物を準備するのがめんどくさい主婦や主夫の方は、買いだと思います。
3,B075942DRK,アールグレイ 紅茶 無糖 250g 業務用 インスタントティー 粉茶 粉末茶 パウダー茶 パウティー,パウティー,カスタードクリーム,2021年3月27日,3.0,使える,アールグレイ紅茶がどんなものかよくわからないまま注文したのがダメだったのですが、柑橘系の風味があります。（後で調べてそういうもんだと知りました）お湯にサッと溶けるのでお好みの方には便利だと思います。酸っぱいのが苦手な私は苦手です(苦笑)
4,B075942DRK,アールグレイ 紅茶 無糖 250g 業務用 インスタントティー 粉茶 粉末茶 パウダー茶 パウティー,パウティー,ttrn,2021年3月28日,5.0,ものぐさの味方!,パウティーの烏龍茶と紅茶であまり言い印象無かったんですけど、アールグレイはなかなかいいです。香りが強いお茶に合ったパッケージなのかも知れませんね。ほんとにファーストフードなどのお店で使ってそうな味。自分的にはリピート確定ですね。
5,B075942DRK,アールグレイ 紅茶 無糖 250g 業務用 インスタントティー 粉茶 粉末茶 パウダー茶 パウティー,パウティー,むらやん,2021年4月11日,4.0,モノはいいと思います,本格的なリーフティーとは比べられませんがインスタントで無糖のものでは良い方だと思いますアールグレイ本来の香りは弱め、渋みはあまりありません
6,B075942DRK,アールグレイ 紅茶 無糖 250g 業務用 インスタントティー 粉茶 粉末茶 パウダー茶 パウティー,パウティー,にゃん亭,2019年2月13日,3.0,お手軽でわりと良い味してます,香りが薄いかな。パウダーだからと言えばそれ迄なのだけれどアールグレイというにはちょっとなぁと思う。
7,B075942DRK,アールグレイ 紅茶 無糖 250g 業務用 インスタントティー 粉茶 粉末茶 パウダー茶 パウティー,パウティー,小鉄,2021年7月4日,5.0,味はそこそこ,茶葉のパックが生ゴミとして出ないのが嬉しいところです。味や香りも普段飲みには十分です。
8,B075942DRK,アールグレイ 紅茶 無糖 250g 業務用 インスタントティー 粉茶 粉末茶 パウダー茶 パウティー,パウティー,Amazon Customer,2020年1月10日,5.0,手軽ですが,お湯にサッと溶けてすぐにのめます。濃いめに入れてミルクティーにすろのがお気に入り。量も沢山あって良いですね！
9,B075942DRK,アールグレイ 紅茶 無糖 250g 業務用 インスタントティー 粉茶 粉末茶 パウダー茶 パウティー,パウティー,らん,2020年5月2日,4.0,香りが良いです。,ホットでもアイスでも簡単に作れて便利でした。炭酸や、バニラアイスに混ぜても美味しくいただけました。
