,ASIN,product,brand,name,date,score,title,comment
0,B075K318Y3,リプトン ヘルシースタイル ローズヒップ・オレンジティー ティーバッグ 10袋×6個,リプトン,台風1号,2019年1月30日,4.0,味が変わった？,カモミールのスーとした感じと、ほのかにオレンジ香りがしてお砂糖なしでも飲めます。ノンカフェインなので子供と一緒に飲んでみましたが、カモミールのスーとする感じが苦手なようでした。寝る前や、スッキリしたい気分な時に飲んでいます。
1,B075K318Y3,リプトン ヘルシースタイル ローズヒップ・オレンジティー ティーバッグ 10袋×6個,リプトン,うえーい,2018年5月31日,5.0,香りよし,入眠障害なので寝る前に飲んでいます。ほんのりオレンジの風味がいいですね。精神安定効果？あるかどうかはあまり感じられませんが、あると思ってゆったりした気持ちで飲むのが大事かな？ｗ大箱があればいいのになぁ～
2,B075K318Y3,リプトン ヘルシースタイル ローズヒップ・オレンジティー ティーバッグ 10袋×6個,リプトン,Amazon カスタマー,2019年4月7日,3.0,カモミールのスーとした感じ,オレンジのテイストが写真のなかでは一番強いですかね。カモミールのニュアンスとしては２番目か３番目。リプトンという安心感と、コスト的に良い部類ですね。ただ、amazonでは10包*6で購入してますが、正直このテイストがそこまで続くと飽きます。他のも織り交ぜて寝る前の一杯として楽しんでいます。
3,B075K318Y3,リプトン ヘルシースタイル ローズヒップ・オレンジティー ティーバッグ 10袋×6個,リプトン,ふう,2018年6月3日,5.0,効果のほどはわかりませんが,毎朝、毎晩飲んでいます嫌味のないオレンジのしっかりとした味と爽やかカモミールの配分が素晴らしいと思います。今年はアイスティーにして飲んでみたいと思います
4,B075K318Y3,リプトン ヘルシースタイル ローズヒップ・オレンジティー ティーバッグ 10袋×6個,リプトン,いまじねぇたぁ,2021年6月20日,4.0,コスパは良いと思います。,優しい味でした。感じ方は人それぞれですが個人的には業務用タイプの味の方がハッキリしていて美味しく感じました。業務用の方がアルミパックになっていて香りを閉じ込められるからかもしれませんね。
5,B075K318Y3,リプトン ヘルシースタイル ローズヒップ・オレンジティー ティーバッグ 10袋×6個,リプトン,ナルト,2020年5月8日,4.0,本当にリラックス出来ます,上手に入れられる時と、やけに酸っぱい時がありますが、上手く出せるととっても美味しい。あまり欲張って長時間お湯に入れない方が美味しく飲めます
6,B075K318Y3,リプトン ヘルシースタイル ローズヒップ・オレンジティー ティーバッグ 10袋×6個,リプトン,Amazon カスタマー,2020年12月3日,5.0,優しい味,いろんなハーブティを飲みますが、旦那共々、寝付けない夜や落ち着かない気分の日はお世話になってます。うっかり朝飲むと、お昼仕事中に少し眠気が来るくらい、神経的な疲れに効果がある気がします。
7,B075K318Y3,リプトン ヘルシースタイル ローズヒップ・オレンジティー ティーバッグ 10袋×6個,リプトン,Amazon カスタマー,2018年10月23日,5.0,入れ方にコツ,カモミールティーはあまりお茶としてのクオリティーが高くないが、このお茶はさすがリプトン。美味しい。
8,B075K318Y3,リプトン ヘルシースタイル ローズヒップ・オレンジティー ティーバッグ 10袋×6個,リプトン,Amazon カスタマー,2020年10月23日,4.0,香り良し、ほど良い酸味、美味しいです,美味しくて、なおかつホッとしますオレンジの風味が強く、リフレッシュ感もあります。カモミールの風味がもうちょっと強ければ、もっと良いと思います
9,B075K318Y3,リプトン ヘルシースタイル ローズヒップ・オレンジティー ティーバッグ 10袋×6個,リプトン,カスタマー,2020年4月3日,5.0,クセのない優しい味です,コーヒーは飲めないので、ブレイクタイムに紅茶を頂きたく、女性の体にはローズヒップが良いと聞き注文しました。とてもスッキリした味で、癒されます。
10,B075K318Y3,リプトン ヘルシースタイル ローズヒップ・オレンジティー ティーバッグ 10袋×6個,リプトン,june,2019年11月10日,5.0,美味しい,職場で100均のボトルに入れて 年中飲んでます。ミントとレモンが 爽やかで いい気分転換になります🏵️
11,B075K318Y3,リプトン ヘルシースタイル ローズヒップ・オレンジティー ティーバッグ 10袋×6個,リプトン,hitominn,2021年5月22日,1.0,とても美味しい。会社のブレイクタイムに頂きます。,味が薄くて驚きました。一箱で購入した時においしいと感じたのでまとめて購入したところ…飲んでみると余りの味の薄さにびっくり。同じ品とは思えません。
12,B075K318Y3,リプトン ヘルシースタイル ローズヒップ・オレンジティー ティーバッグ 10袋×6個,リプトン,Amazon カスタマー,2020年12月22日,5.0,さわやか,爽やかなオレンジの香り、五歳の孫もお気に入りです。夕食後に毎日美味しく飲んでいます。
13,B075K318Y3,リプトン ヘルシースタイル ローズヒップ・オレンジティー ティーバッグ 10袋×6個,リプトン,Amazonカスタマー,2018年4月21日,5.0,まとめて購入はダメですね！,いつも買っていたス－パ－で無くなっていたのでAmazonで買いました。いつも美味しく飲んでいます特に花粉シ－ズンは重宝しています。ありがとうございました。
14,B075K318Y3,リプトン ヘルシースタイル ローズヒップ・オレンジティー ティーバッグ 10袋×6個,リプトン,Amazon カスタマー,2021年3月7日,5.0,夕食後に楽しみなティーです。,ローズヒップだけを探しても、この価格帯では見つけられないので…。きちんとローズヒップ、オレンジと明記してあるので文句はないです。
15,B075K318Y3,リプトン ヘルシースタイル ローズヒップ・オレンジティー ティーバッグ 10袋×6個,リプトン,アリス,2020年2月4日,5.0,カフェインレスで安心して飲めます！,とても いい香りでおやすみ前の一杯におすすめです。少し酸味がありますが、私は好きです。
16,B075K318Y3,リプトン ヘルシースタイル ローズヒップ・オレンジティー ティーバッグ 10袋×6個,リプトン,sironeko-moo,2020年7月4日,5.0,いつでも美味しい！,鉢植えのミントが枯れてしまったので、ミントティーを飲みたくて購入。手軽に飲めて、ポット1杯分たっぷり楽しめました。
17,B075K318Y3,リプトン ヘルシースタイル ローズヒップ・オレンジティー ティーバッグ 10袋×6個,リプトン,taksan,2020年12月13日,4.0,バランス絶妙！,カモミールのホッとできる香りとオレンジのほのかな甘みがマッチしています。ストレートでも美味しいのですが、はちみつなどを入れて甘くすると、疲れを癒してくれます。
18,B075K318Y3,リプトン ヘルシースタイル ローズヒップ・オレンジティー ティーバッグ 10袋×6個,リプトン,Amazon カスタマー,2019年7月10日,5.0,お手軽便利で良い香り,あとからレモンがほんのり香ってスッキリします。
