,ASIN,product,brand,name,date,score,title,comment
0,B075L72LV4,リプトン ピュア&シンプルティーバッグ 100袋×3個,リプトン,salad,2018年9月12日,5.0,たくさん飲む方にはオススメ,禁煙してから、毎日たくさん紅茶を飲むようになりました。無害な電子タバコはどれも甘味があるのですが、紅茶の味や香りが中和してくれます。夏の間も、1リットルのティーポットにパック2個をぶらさげて、麦茶の代わりに飲んでいました。PGチップスのほうはお湯を注げばすぐに飲めるのでイギリスではすごくポピュラーだそうですが、ティーバッグにヒモがないのと、コスパが悪いのとで、そちらは来客用にしています。フォションも一昔前と比べると味が落ちた気がして、値段の割にがっかりでした。自分用に毎日飲むならやっぱりリプトンです！保管のしやすさ、取り出しやすさ、ヒモが絡まらないなど、日用品としてとことん洗練された商品です。
1,B075L72LV4,リプトン ピュア&シンプルティーバッグ 100袋×3個,リプトン,Oomazon Customer,2018年5月26日,5.0,紅茶大好き,これを買おうと思う人は紅茶を大量にガブガブ飲みたい人だと思うのですが、そういう人にぴったりの飽きのこないすっきりした紅茶です。ミルクにもレモンにも合います。いわゆる「コク」は薄いので、豚肉の紅茶煮には向かないかもしれませんが、もちろん作れないことはありません。自分は紅茶を風呂に入れたり使い終わったティーバッグでフライパンを洗ったりするのですが、この商品はヒモをホチキス止めしていないので安心です。紙も破れにくい特別っぽい素材なのでいろいろ使いやすいです。
2,B075L72LV4,リプトン ピュア&シンプルティーバッグ 100袋×3個,リプトン,実存主義おじさん,2020年3月11日,5.0,毎日の基本,家族で毎日のように紅茶を飲む習慣があり、テーブル上にティーバッグを入れた缶を置いております。テトラティーバッグではなく、不織布のものになります。時々他のメーカーのアールグレイやオレンジペコ、フレーバーティーなども飲みますが、こちらは味の癖などもなく、ザ･デイリーTeaにはもってこいです。ロイヤルミルクティー、製菓にも使えて(先日紅茶味のシフォンケーキに使用しました)お値段も安価なので、オススメです👍
3,B075L72LV4,リプトン ピュア&シンプルティーバッグ 100袋×3個,リプトン,ひろ,2019年10月20日,4.0,安いよね!!,普段は日東の方を選んでいるのですが（茶葉が少し多い）購入時に高かった為久しぶりにこちらを購入しました。以前購入した時よりパッケージが良くなっていて驚きました。前から個別包装ではなかったのですが簡易チャック？で湿気対策がされており、ティーバッグもお湯切れの良いしかも微粉も出辛い物になっていました。糸の処理が接着？ではないにせよイマイチで気分が良くない（絡まないのはマル）自分は紅茶は薄いのが好みなのですがこちらはカナリ薄いかなと・・・ 日東に比べると少し酸味を感じる気もしました。（濃い紅茶は気分が悪くなるんで良いのですが^^;）茶葉の当たりハズレや淹れ方も有りますしその辺も楽しめれば良いかと思います。
4,B075L72LV4,リプトン ピュア&シンプルティーバッグ 100袋×3個,リプトン,やかしき,2021年1月1日,3.0,1箱100ティーバッグ入り×3箱セット購入しました,うちは、食事用として使ってます。別の容器に詰め替える際、開封すると苦く臭く鼻が痛くなり、さっさと詰め替えないと頭まで痛くなりそうです。匂いに敏感だからかもしれませんが、体に害無いんだろうか？と思わせる臭い。家族の食事用としてるだけで自分は飲んで無いのと、最近、どんな味なのか水出しをチビリと味見したけど紅茶とも思えないし香りも無く何も感じない。クッキーやケーキと一緒に1杯の紅茶として楽しむのには程遠い製品なのは、お値段とこのパック詰で一目瞭然な事は確か。お茶の時間を楽しみたい方、来客用には使えない代物です。
5,B075L72LV4,リプトン ピュア&シンプルティーバッグ 100袋×3個,リプトン,細かいぱんぴー,2020年4月1日,2.0,お安いので色々,沢山入っておトクです。毎日、ふんだんに使えるのは良いです。でも味と香りで、スーパーで購入したイエローラベルとの違いにガッカリ。リピは無いです。
6,B075L72LV4,リプトン ピュア&シンプルティーバッグ 100袋×3個,リプトン,rnn14,2021年2月6日,4.0,紅茶と書いてあるだけ。,書斎に置いて持ち帰り仕事等のお供として大活躍しています。しかし３００パックで一人で使うには多すぎって量ですな...(;^ω^)わりと飲んでる、飲みまくっている方ではありますが、それでも減ってる感がないｗえ、これって底から湧いているの？ｗとか思えるくらいには減りません。いっぱいあります。味はちょっと薄めなんでしっかり長めの時間浸けてた方が良いですね。総合的に満足してます。
7,B075L72LV4,リプトン ピュア&シンプルティーバッグ 100袋×3個,リプトン,アマゾネーゼ♪,2020年12月9日,5.0,無味無臭,100個入りのパックが3個で合計300個ものティーバッグが926円という破格のお値段でした。コーヒーと違い紅茶はどうしても高価なのですが、このお値段なら気軽にどんどん飲むことができます。味はちょっと薄めで本音ではもう少し濃い方が好みですが、そういうものはまた別に購入すれば良いですから。濃さや味、香りはフォートナム&メイソンなどの高級茶には敵いませんが、気兼ねなく毎日好きなだけ紅茶が飲める点では本当に良いお買い物でした。
8,B075L72LV4,リプトン ピュア&シンプルティーバッグ 100袋×3個,リプトン,Falke,2020年3月22日,4.0,コスパ最強の紅茶,今までイエローラベルのピラミッド型のティーパックタイプを愛用したいましたが紐の部分を本体部からはがす際に本体部を破ってしまうことが度々有り、こちらのタイプに変更しましたが、このタイプも同様に本体部へ紐が接着してあり同様のことが発生します。　イエローラベルの半額以下ですが、味的には薄くもなく問題ありません
9,B075L72LV4,リプトン ピュア&シンプルティーバッグ 100袋×3個,リプトン,うさぎ,2021年1月22日,4.0,毎日飲んでも飽きない味,ティーカップで飲む人、薄いのが好きな人には、いいのではないのでしょうか。でもポット派、濃いのが好きな人は、計算してバック量をふやしたほうがいいですね。茶葉そのものも、いくらか深みに欠けます。しかしこの値段なら文句はいいません。３０％増しで使っても、ずっとお安い。海外だとリプトンイエローラベルは決して高級品ではなく、１００個入り２００個入り箱で、バンバン安売りしています。そういうのに比べると、バッグ自体も高級だし、お値段も許せます。日本に滞在していると、紅茶代がかかるのにうんざりしていましたが、以降これにします。
