,ASIN,product,brand,name,date,score,title,comment
0,B075ZRGPC8,ルイボスティー オーガニック プレミアムグレード 54包 有機JAS 水出し,SUPER FOODS JAPAN,しゅん,2021年3月30日,4.0,お気に入りです。リピします。,500mlの水筒用に使ったり、1リットルのポットで使ったりしています。お湯注げば1リットルでもしっかり出てる感じです。いつも烏龍茶を常時飲んでいる我が子は好き嫌いが別れましたが、最初は違いに気づかず飲んでました…。私は飲みやすいと感じました。しばらく飲んでみたいと思います。
1,B075ZRGPC8,ルイボスティー オーガニック プレミアムグレード 54包 有機JAS 水出し,SUPER FOODS JAPAN,ノラネコ。,2021年6月8日,2.0,ノーマルなルイボスティ,@2g＊54幼少期からいろんなルイボスを飲んできましたが、本品は香りが薄め。苦手な方も飲みやすいかと思います。私はもっと強い香りが好きなので推奨よりもたくさん入れて飲みました。リピは無しかな。
2,B075ZRGPC8,ルイボスティー オーガニック プレミアムグレード 54包 有機JAS 水出し,SUPER FOODS JAPAN,rrrmm,2021年6月16日,5.0,飲みやすい！,水から作れて時短、仕事場で飲んでますとても美味しい
3,B075ZRGPC8,ルイボスティー オーガニック プレミアムグレード 54包 有機JAS 水出し,SUPER FOODS JAPAN,m.e,2020年4月17日,4.0,香り弱め,安いだけのルイボスティーと違い美味しい。けど、お腹に効く。自分には効きすぎて、お腹の調子がゆるくなり大量に便が出ました。おかげで少し痩せました☺️
4,B075ZRGPC8,ルイボスティー オーガニック プレミアムグレード 54包 有機JAS 水出し,SUPER FOODS JAPAN,Amazon カスタマー,2021年4月19日,4.0,美容,すっきりした味わいで　良かったです😃
5,B075ZRGPC8,ルイボスティー オーガニック プレミアムグレード 54包 有機JAS 水出し,SUPER FOODS JAPAN,まちゃはる,2021年6月4日,5.0,美味しいです,沢山入っていて、普通に美味しいです。常備してます。
6,B075ZRGPC8,ルイボスティー オーガニック プレミアムグレード 54包 有機JAS 水出し,SUPER FOODS JAPAN,未来に生きる,2021年5月17日,5.0,すっきりした味わい,以前からルイボス茶を飲んでいます　こちらの製品は飲みやすく　水出しも　お湯を少し入れて1分してから水を追加して作ります　1時間で飲む事が出来て便利です
7,B075ZRGPC8,ルイボスティー オーガニック プレミアムグレード 54包 有機JAS 水出し,SUPER FOODS JAPAN,maki,2021年4月4日,5.0,美味しいです,カフェインのない飲み物を探していて購入しました。ルイボスティはちょっと苦手だったのですが、こちらの商品は飲みやすく美味しいです。
8,B075ZRGPC8,ルイボスティー オーガニック プレミアムグレード 54包 有機JAS 水出し,SUPER FOODS JAPAN,daisy,2021年6月23日,4.0,匂い,クセがなく飲みやすかったです
9,B075ZRGPC8,ルイボスティー オーガニック プレミアムグレード 54包 有機JAS 水出し,SUPER FOODS JAPAN,a.k,2020年9月11日,5.0,お気に入り！,安いので麦茶みたいにガブガブ飲めて、しかも美味しいので最高です。
10,B075ZRGPC8,ルイボスティー オーガニック プレミアムグレード 54包 有機JAS 水出し,SUPER FOODS JAPAN,ひろみ,2020年5月1日,5.0,美味しい,色々なルイボスティーを試しましたが1番美味しかったしルイボスティー独特の癖もすくなくよかったです。
11,B075ZRGPC8,ルイボスティー オーガニック プレミアムグレード 54包 有機JAS 水出し,SUPER FOODS JAPAN,maeken,2021年6月27日,5.0,お得,とても美味しかったのでリピします
12,B075ZRGPC8,ルイボスティー オーガニック プレミアムグレード 54包 有機JAS 水出し,SUPER FOODS JAPAN,わーちゃん,2020年5月13日,5.0,美味しかった！,麦茶が苦手な子供達にルイボスティーを作って飲ませています。とても飲みやすくお気に入りです。
13,B075ZRGPC8,ルイボスティー オーガニック プレミアムグレード 54包 有機JAS 水出し,SUPER FOODS JAPAN,Amazon カスタマー,2021年4月10日,5.0,うまし,美味しい。飲みやすい。
14,B075ZRGPC8,ルイボスティー オーガニック プレミアムグレード 54包 有機JAS 水出し,SUPER FOODS JAPAN,Amazon カスタマー,2021年1月14日,5.0,水出しでも美味しい,飲みやすいです！
15,B075ZRGPC8,ルイボスティー オーガニック プレミアムグレード 54包 有機JAS 水出し,SUPER FOODS JAPAN,しおちお,2020年1月31日,5.0,リピートしたい,水筒にも入れて持ち歩きやすい
16,B075ZRGPC8,ルイボスティー オーガニック プレミアムグレード 54包 有機JAS 水出し,SUPER FOODS JAPAN,小原元,2020年12月29日,4.0,安いし美味い！,オーガニックなので安心して飲める
17,B075ZRGPC8,ルイボスティー オーガニック プレミアムグレード 54包 有機JAS 水出し,SUPER FOODS JAPAN,すがちゅん,2020年8月3日,5.0,ホットもアイスも美味しい,味もいいです
18,B075ZRGPC8,ルイボスティー オーガニック プレミアムグレード 54包 有機JAS 水出し,SUPER FOODS JAPAN,Amazon カスタマー,2020年4月23日,5.0,オーガニック,とても美味しいです！
19,B075ZRGPC8,ルイボスティー オーガニック プレミアムグレード 54包 有機JAS 水出し,SUPER FOODS JAPAN,Amazon カスタマー,2020年7月29日,5.0,普段づかいです,とてもいいお味で気に入りました。すぐに届いて、丁度無くなる寸前だったので、良かったです。
20,B075ZRGPC8,ルイボスティー オーガニック プレミアムグレード 54包 有機JAS 水出し,SUPER FOODS JAPAN,みちこ,2020年12月27日,3.0,飲みやすい‼️,ルイボスティーはよく飲んでいますが、こちらのルイボスティーは初めてです。こちらはひとパックの量が多いので、沢山作ってみんなで飲むには調度いいと思いました。
