,ASIN,product,brand,name,date,score,title,comment
0,B077Y6VWQ4,国太楼 プレミアムカフェインレスドリップコーヒー 100P,アバンス,TRIBU DEI CHIHUAHUA,2021年4月30日,4.0,おいしい,バターコーヒー用に購入。カフェインレスの方がより栄養素を阻害しないからという理由。すると、他のカフェインレスにはない味の濃さがありました！が、逆に濃すぎるｗ一杯分ではかなりの苦みです。カフェインレスでは味わったことの無い苦みなので、苦いのが好きな人にはおススメ。酸味は無く、カフェインレスコーヒーに物足りなさを感じていた人なら非常に良いかと。苦いのが苦手な方は他の物をおすすめします。とにかく安価、そこは◎！
1,B077Y6VWQ4,国太楼 プレミアムカフェインレスドリップコーヒー 100P,アバンス,ぶりぶりざえもん,2019年7月28日,3.0,オーガニックでこの価格、この味！,辻本珈琲のデカフェより安かったので購入しましたが味が苦手でした。辻本珈琲の方がコーヒーの香りがよくレギュラーコーヒーと遜色ありませんでした。
2,B077Y6VWQ4,国太楼 プレミアムカフェインレスドリップコーヒー 100P,アバンス,主婦目線,2020年3月27日,4.0,飲みやすいけど、1杯分だと濃い。,ノンカフェインのコーヒーは、大体が高いので、値段でこれ一択になっている現状。私はカフェインに耐性がないので、毎日愛飲しています。特に癖はないです。特別苦味もないし、飲みにくい味ではない。もちろんカフェインありのコーヒーのように風味豊かとはいきませんが、普段飲むには十分です。値段が徐々に上がってきているのが残念です。
3,B077Y6VWQ4,国太楼 プレミアムカフェインレスドリップコーヒー 100P,アバンス,ユーザー,2021年6月2日,5.0,苦手でした,毎日ブラックコーヒーを3
4,B077Y6VWQ4,国太楼 プレミアムカフェインレスドリップコーヒー 100P,アバンス,Ast,2021年1月11日,5.0,毎日何杯も飲みたい人向け,コロンビア豆の香りがやや弱い印象を受けたので、3:2 比率で生乳とミクスするとマイルドな味わいとなりました。他社ディカフェは香り豊かなのでブラックで深い味わいを楽しめますが、アバンス ディカフェドリップコーヒーはコストパフォーマンスがとにかく優れておりお買い得ですね。またフィルターストッパー工夫はなかなか良くできています。感心しました。
5,B077Y6VWQ4,国太楼 プレミアムカフェインレスドリップコーヒー 100P,アバンス,BulletProof,2021年3月20日,3.0,充分楽しめます,コーヒーを夫婦でよく飲みます。健康のためと就寝前にも飲みたいのでこのコーヒーをリピ買いしていましたが突然３００円以上の値上げ？？(T_T)悲しい・・。味は飛び抜けて美味しいわけではないけど、安定してコスパのいい商品だと思っていたのでとても残念です。これだとUCCのカフェインレス５０✕２の方が安くなってしまった。
6,B077Y6VWQ4,国太楼 プレミアムカフェインレスドリップコーヒー 100P,アバンス,斉藤之雄 / Yukio Saito,2021年4月19日,5.0,お買い得商品です。香りよりも味わい重視の方へ。,この商品を試すまでは、インスタントのデカフェで我慢していましたが、これは普通のレギュラーコーヒーと遜色なく美味しい。　価格も普通のレギュラーコーヒーと変わらず、驚くべきコスパだと思います。　2ヶ月に1回の定期購入していますが、デカフェなのでいくらでも安心して気にせず飲めるので、少し足りないぐらいです。商品自体は大満足で申し分ありませんが、アマゾンの定期購入は要注意です。今月分が届かないのでアマゾンのカスタマーサービスに問い合わせたところ、驚愕の事実が… 配送途中で商品に損傷が見つかったので、配達せずに持ち帰り注文キャンセルして返金したとのことでした。カスタマーサービスに問い合わせるまで何の連絡もなく、再発送はできないの一点張りで、最終的に商品が必要なら再発注しろとの事でした。　癪だったので、他サイトで追加購入しました。定期購入だからといって、安心はできません。
7,B077Y6VWQ4,国太楼 プレミアムカフェインレスドリップコーヒー 100P,アバンス,Amazon カスタマーaoy,2020年7月19日,5.0,気に入っていたけど突然の値上げ？！,飲んだ後も口や鼻のあたりに香りが残り、カフェインレスといえども、満足感があります！一つのドリップの中の粉の量は少し少なめかなと感じるものの、香り自体も上品で、とても気に入りました！！買って良かったです(^^)
8,B077Y6VWQ4,国太楼 プレミアムカフェインレスドリップコーヒー 100P,アバンス,ワンコ,2020年12月28日,5.0,ノンカフェインのドリップコ－ヒ－が好きです❗,アバンス８個入りと同じ様な気がします。とてもお買い得です。カフェインレスですが味は普通に美味しい珈琲です。朝一空腹状態でも気軽に飲めますし夜も気にせず飲めます。とても良い商品に出会えました。
9,B077Y6VWQ4,国太楼 プレミアムカフェインレスドリップコーヒー 100P,アバンス,Amazon カスタマー,2019年12月15日,5.0,酸味が少なく、美味しいコーヒー！,カフェインレスなのに香りが良い！自分の感覚ではちゃんとコーヒーしてます。味の主張は強くはありません。個別包装にしてこの価格！毎日飲むコーヒーにお勧めします。
