,ASIN,product,brand,name,date,score,title,comment
B077YFFXCD,nichie ルイボスティー スーペリア 南アフリカ産 ティーバッグ 2.5g×100個,ニチエー（nichie）,nanatokirara,2019年7月8日,5.0,使いやすい,ルイボスティーは他のところで購入していたのですが、2,5g×100個が2g×101個と総量が減ってしまい、何だか損をした気持ちになってしまったのでこちらに乗りかえました。味も色も良いし、何よりこの季節は水出しでいけるのが有り難いです。あと日本郵便でのポストイン配送も便利です。※パッケージがクラフトカラーでした。参考までに写真も載せます。
B077YFFXCD,nichie ルイボスティー スーペリア 南アフリカ産 ティーバッグ 2.5g×100個,ニチエー（nichie）,Shoko,2018年4月15日,5.0,飲みやすい,ノンカフェイン茶を要望した妻に購入しました。最初に入れるときは熱湯で急須から二杯、二煎目は冷めた湯から急須でまた二杯いれますが十分な濃さで飲めます。茶葉の質にもよりますが2.5gという絶妙な量加減のおかげで1パックで十分に楽しめます。甘味のある香りを感じ、味わいもシブミがなくまろやかな口当たりでほのかな甘味があります。いまでは妻以上に私がファンなのでまたリピートしたいと思います。。,
B077YFFXCD,nichie ルイボスティー スーペリア 南アフリカ産 ティーバッグ 2.5g×100個,ニチエー（nichie）,北浜東,2021年6月28日,5.0,コスパよし！水出しもいけます！,内側外側からの早めのエイジングケア！数年経つと必ず結果として残るはず！飲み心地、喉越し、香りに味とても飲みやすいです(o꒪ͧω꒪ͧo)5年以上愛用なルイボスティー！,
B077YFFXCD,nichie ルイボスティー スーペリア 南アフリカ産 ティーバッグ 2.5g×100個,ニチエー（nichie）,go-riki,2020年12月29日,5.0,絶妙な茶葉量,気の知れた関係の女性にプレゼントすると、喜びますよ。オシャレでも、気の利いたものでもないですが、100回分のティータイムを贈る気持ちでいかがでしょうか。ノンカフェインは、喜ばれます。,
B077YFFXCD,nichie ルイボスティー スーペリア 南アフリカ産 ティーバッグ 2.5g×100個,ニチエー（nichie）,らむらむ🐶,2020年6月12日,5.0,美肌の相棒,100p入ってお買い得です。4Lのやかんで沸して使っていますが、十分な濃さが出ます。コスパいいです。,
B077YFFXCD,nichie ルイボスティー スーペリア 南アフリカ産 ティーバッグ 2.5g×100個,ニチエー（nichie）,Amazon カスタマー,2021年5月2日,5.0,100回分のティータイム,飲みやすいです。続けて飲んでいます。,
B077YFFXCD,nichie ルイボスティー スーペリア 南アフリカ産 ティーバッグ 2.5g×100個,ニチエー（nichie）,マリモ,2019年8月3日,5.0,リピートです。,おいしいです。小パックなので、作る分に合わせて調整できるので、便利です。毎日飲んでいるので値段も経済的でいい。,
B077YFFXCD,nichie ルイボスティー スーペリア 南アフリカ産 ティーバッグ 2.5g×100個,ニチエー（nichie）,Amazon カスタマー,2020年1月2日,5.0,リピ買いです😊,ルイボスティー好きで探していました。量も多く、味もよくおいしく飲んでいます。,
B077YFFXCD,nichie ルイボスティー スーペリア 南アフリカ産 ティーバッグ 2.5g×100個,ニチエー（nichie）,Amazon カスタマー,2020年1月3日,5.0,すぐに味がなくなります。,本当に美味しく、ルビー色も美しいルイボス茶です。,
B077YFFXCD,nichie ルイボスティー スーペリア 南アフリカ産 ティーバッグ 2.5g×100個,ニチエー（nichie）,けんちん,2020年2月27日,5.0,お得で美味しい！,ありそうで無かった2.5g。価格もお手頃で、しっかり味がして実に善し。,
B077YFFXCD,nichie ルイボスティー スーペリア 南アフリカ産 ティーバッグ 2.5g×100個,ニチエー（nichie）,げんきなしょうちゃん,2019年2月2日,5.0,ニチエイだから安心,たっぷり入って、お買い得！おいしいしよかったです。ありがとうございました。,
B077YFFXCD,nichie ルイボスティー スーペリア 南アフリカ産 ティーバッグ 2.5g×100個,ニチエー（nichie）,ヘイキチ,2018年12月14日,5.0,大満足！！,美味しくいただいています。2リットル容器に1パック使ってます！いい感じです。もう一周(3リットルから4リットル分)煮出せるかなーって思う気もしますが、薄くなってしまうようで丁度よく美味しく飲めるのが2リットル容器かな。もしかしたら3リットル容器もありかもですが、、、,
B077YFFXCD,nichie ルイボスティー スーペリア 南アフリカ産 ティーバッグ 2.5g×100個,ニチエー（nichie）,Amazon カスタマー,2020年7月11日,3.0,おししいです。,いっぱい入っているのでミルクで割ったり、色んな飲み方を試してます。,
