,ASIN,product,brand,name,date,score,title,comment
0,B0784MZCXJ,国太楼 プレミアムマテ茶 ティーバッグ 100P,国太楼,なべたろう,2019年12月29日,4.0,毎日飲んでいます。美味しいです。,無くなりそうになると、注文します。味は、あたしに合いましたね・邪道ですけど、電気ケトルで一袋、水約1Lで沸かします。ペットボトルに入れ冷やしておき、ガブガブ飲んでます。必要に応じて電子レンジでお湯にします。飲み過ぎると発がん性がなんたらかんたら書かれているサイトも有りますが気にしません。コーヒーや緑茶や紅茶のように継続して引用してます。
1,B0784MZCXJ,国太楼 プレミアムマテ茶 ティーバッグ 100P,国太楼,酉二茶,2019年11月2日,1.0,かなりのお得用ではありますが,いつも麦茶やルイボスティーを飲んでいるので、たまには変わったお茶を飲んでみようと試しに買いました。以前コンビニのペットボトルで太陽のマテ茶を飲んだことがあり、美味しかったのでこちらも購入し飲んでみたところ、かなりクセが強く臭いも独特で、でもそのうち慣れると思いましたが半分ほど消費しても慣れない。それどころか頭痛や気持ち悪さ、吐き気が症状として現れ、このお茶のせいでした。向き・不向き、個人差はあるでしょうが、私には合いませんでした。
2,B0784MZCXJ,国太楼 プレミアムマテ茶 ティーバッグ 100P,国太楼,Amazon Customer,2018年4月1日,5.0,これ飲んで、体重が減少？（ウォーキングもしますけど）,以前のマテ茶ブームもさり忘れてましたが５００の水筒に１パックいれて職場で飲んでます水でもお湯でもOK５００飲み終わって追加です入れてもおＫ少し薄くなりますが美味しい
3,B0784MZCXJ,国太楼 プレミアムマテ茶 ティーバッグ 100P,国太楼,Amazon カスタマー,2019年6月5日,5.0,吐き気など、体調悪くなりました,マテ茶、それは太陽がくれた贈りもの。暑い夏の青空の下、思い出すあの日の香り。そう君がいたから僕はここまで来れたのさ、マテ茶。あのルイス・スアレスもマテ茶を試合前に飲んでたから、君に出会えた。君はなぜマテ茶なんだ？と何度聞いても、応えてくれない。振り向くまでまってるぜ、何度でも諦めないぜ。失敗の数なら誰にも負けない、そう考えたあの日の夜。マテ茶イズベター？イェス。
4,B0784MZCXJ,国太楼 プレミアムマテ茶 ティーバッグ 100P,国太楼,にしけんさん,2020年11月16日,4.0,いいですねこれ,ホットで飲んだのですがかなり濃くクセが強くおいしくないと思いました（初めてマテ茶飲んだ感想）。ホットは濃すぎたため水出しを試してみるとクセがやや弱まりだいぶ飲みやすくなりました（水出しは二つ）。体にも良いみたいなので、継続して飲もうと思っています。
5,B0784MZCXJ,国太楼 プレミアムマテ茶 ティーバッグ 100P,国太楼,日比谷 直哉,2019年8月27日,4.0,ルイス・スアレス,マテ茶が自律神経に良いらしいので飲んでみようと思い購入しました。味はくせもなく普通に美味しく飲めました。ホットもアイスもできるので１年中飲めます。脇見視線恐怖症の症状にも効いた方がいるレビューを見つけたの少しでも助けになればといいなと思ってます。病は気からと思って習慣にします＾＾
6,B0784MZCXJ,国太楼 プレミアムマテ茶 ティーバッグ 100P,国太楼,(;´･ω･),2020年9月24日,4.0,水出しで飲んでいます,100p入りでお得なので購入しました。暖かい方がすぐお茶が出ますが、冷たくても少し待てばしっかり味が出ます。どちらでもあっさりしていておいしく、脂っこい食事のお供にぴったりでした。
7,B0784MZCXJ,国太楼 プレミアムマテ茶 ティーバッグ 100P,国太楼,プシュケ,2021年5月6日,3.0,くせのないマテ茶,かなり濃く出るので多めの水量で早めに取り出しています。マテ茶、美味しく毎日飲んでいますが高いのが困ります。
8,B0784MZCXJ,国太楼 プレミアムマテ茶 ティーバッグ 100P,国太楼,Ktalisman,2018年6月13日,5.0,ティーバッグで便利,マテ茶にはローストされてるタイプとされてないタイプがあるみたいで、こちらはされてるタイプのようです。麦茶と緑茶みたいなものかな〜と感じてます。自分的には癖みたいなものは感じません。水に入れて冷やして飲むと美味しいです(^^)
9,B0784MZCXJ,国太楼 プレミアムマテ茶 ティーバッグ 100P,国太楼,葦,2018年8月11日,5.0,太陽のマテ茶を想像したものの,飲み比べたわけではないですが飲みやすいです。そこまでこだわりがない私は水出しでも十分飲めています。他のレビューにもある通り1パックで1Lはいけます。1Lあたり17円程度ですからコスパが良いです。夏なので2Lのボトルに2パック入れて冷蔵庫で寝かしています。お手軽です。
10,B0784MZCXJ,国太楼 プレミアムマテ茶 ティーバッグ 100P,国太楼,ポン太,2019年10月3日,3.0,ローストタイプ？,身体に良さそうで飲んでます。味もいいです。ただ、パッケージにある通りに水出しすると、時間がかかる割にかなり薄くできてしまいます。なので、アイスマテ茶を作るときは、まず少量の熱湯で特濃のマテ茶を作り、そこに氷水を入れて好みの濃さにして飲んでます。
11,B0784MZCXJ,国太楼 プレミアムマテ茶 ティーバッグ 100P,国太楼,Sassie,2019年7月12日,4.0,コスパが良いです,マテ茶が好きなので購入しました。すごくいいです。容量も多いので満足しております。欠点としてはティーバッグにひもがついてないので茶葉の取り出しが少し手間ですが、おおむね満足しております。
12,B0784MZCXJ,国太楼 プレミアムマテ茶 ティーバッグ 100P,国太楼,Amazon カスタマー,2019年4月10日,5.0,単純な水出しにすると薄いので裏技を,ティーバッグなので1杯分が適量でお湯を注ぐだけで簡単です。美味しいです。
13,B0784MZCXJ,国太楼 プレミアムマテ茶 ティーバッグ 100P,国太楼,はちまき,2019年4月1日,4.0,お得でいいです,美味しいです。マテ茶の苦味がクセになります。朝サーモスに一パック入れてお湯を注ぎ、職場で継ぎ足し、継ぎ足し楽しんでいます。
14,B0784MZCXJ,国太楼 プレミアムマテ茶 ティーバッグ 100P,国太楼,birdiebogey,2018年8月10日,5.0,簡単で美味しいです,一つで1リットル煮出して見たらかなり濃いめになります味も美味しいです(*'-`)無くなったらまた頼みます
15,B0784MZCXJ,国太楼 プレミアムマテ茶 ティーバッグ 100P,国太楼,ウルグアイ大好き,2021年5月7日,4.0,マテ茶に苦味がクセに,ひとつのテトラポットに入った茶葉の量が多くてとても良いです！
