,ASIN,product,brand,name,date,score,title,comment
0,B07B6HVDMT,グリコ アーモンド効果 砂糖不使用 アーモンドミルク 1000ml×6本 常温保存可能,アーモンド効果,nyanpu,2019年9月17日,4.0,甘くない方がいい　常温保存最高,愛飲していた「マルサンアーモンドミルク砂糖不使用」が品切れになって買えず、ちょっと高めの本品に替えたので主観にもとづき比較してみました。なお、自分の場合グビグビ飲むのではなくオートミール等の冷たいシリアルを浸して食べるための飲み物という使い方です。マルサンのほうは味がほとんど無くてアーモンド風味だけのアッサリ系という印象でしたが、それと比べるとこちらはよくある調整豆乳とあまり変わらないようなしっかりコクのある雑味が強いです。その代わりマルサンのほうで強く感じられたアーモンドぽい風味は味にかき消されて弱まってるかなという感じがしました。
1,B07B6HVDMT,グリコ アーモンド効果 砂糖不使用 アーモンドミルク 1000ml×6本 常温保存可能,アーモンド効果,Amazon カスタマー,2019年10月11日,5.0,低糖質、ケトジェニックの味方,アマゾンから届いたので、近所のダイエーイオンスタイル食品売り場で売っていたトップバリューアーモンドミルク（無糖）消費税込み322円と飲み比べてみました。グリコの方はミルクの味がして牛乳に近い感じです。トップバリューのほうはアーモンド味が強くミルクの感はしませんでした。グリコが星5個なら、トップバリューは星4個です。単価はトップバリューのほうが164円安いので、味を取るか価格を取るかで判断されては如何でしょうか？近くの西友も覗いてみましたが、品目数が少なく、マルサンは有りましたが、グリコは有りませんでした。
2,B07B6HVDMT,グリコ アーモンド効果 砂糖不使用 アーモンドミルク 1000ml×6本 常温保存可能,アーモンド効果,CSM-101,2020年8月6日,1.0,味がある,6個入りの外箱の角が落としてののか何かしらの衝撃で潰れてた。箱は空いた形跡がありテープで止められてた。中身の角もぐちゃぐちゃに潰れてた。
3,B07B6HVDMT,グリコ アーモンド効果 砂糖不使用 アーモンドミルク 1000ml×6本 常温保存可能,アーモンド効果,touch,2019年6月19日,4.0,味はとても良いです,砂糖不使用の方が安かったので箱買いしたのですが、砂糖ありの方が香りも味もグンと上がる印象です。飲んだあとの香りがあるのはどちらもそうなので、糖分が気になる方にはこの商品は合っています。どちらが好きか、飲み比べてから箱買いした方がいいと思います。
4,B07B6HVDMT,グリコ アーモンド効果 砂糖不使用 アーモンドミルク 1000ml×6本 常温保存可能,アーモンド効果,Amazon カスタマー,2019年7月22日,3.0,こんなの送ってくるなんて最低です。,夫が好きなのでタイムセールのときにときどきAmazonで購入してますシリアルに合います。健康志向で牛乳を控えてますがこちらも原材料を見るとなんとも健康飲料とは言えない感じですね。とはいえ、夫のリクエストなのでこれからもリピートすると思います。味はアーモンド風味の薄ーい豆乳と言った感じです砂糖不使用のほうが飲みやすい感じですスーパーよりお安いです
5,B07B6HVDMT,グリコ アーモンド効果 砂糖不使用 アーモンドミルク 1000ml×6本 常温保存可能,アーモンド効果,goodby347,2020年8月11日,5.0,砂糖ありの方が香りも味もグンと上がる印象,3社比較しましたが、これが一番おいしい。　おいしいから強気なのでしょうか？　値段が一番高い。　それでもこれにします。　カロリーを見れば濃さがわかりますが、アーモンドブリーズは薄い。　味がしない。　マルサンは濃いけれど少し青臭い。　豆乳の味が好きな人はマルサンがいいかも。　私は断然グリコが好き。
6,B07B6HVDMT,グリコ アーモンド効果 砂糖不使用 アーモンドミルク 1000ml×6本 常温保存可能,アーモンド効果,会員番号29番,2019年5月20日,5.0,健康の為というより嗜好品です,口当たりがよく飲みやすいアーモンドミルクです。最初に飲む時は豆乳のような味を想像していたのですが、豆乳よりもあっさりで、爽やかな味わいです。香りはアーモンドのよい香りがしますが、味はあっさりとした牛乳に近い感じです。そのまま飲んでも美味しいですし、フルーツグラノーラにかけて食べても美味しいです。
7,B07B6HVDMT,グリコ アーモンド効果 砂糖不使用 アーモンドミルク 1000ml×6本 常温保存可能,アーモンド効果,Amazon カスタマー,2019年6月21日,5.0,一番好き,アーモンドカフェラテが飲みたくて購入（〇JAPANの高速ドラマーが飲んでいたため（笑））最初はオリジナルを買って作ったが甘すぎたため砂糖不使用にしてみた。間違いないおいしさ。飲んだ後に香ばしい香りがして気分もよくなる。自分的にはブラックコーヒー6にアーモンドミルク4がちょうどよかったリピートしますがもう少し安ければ・・・
8,B07B6HVDMT,グリコ アーモンド効果 砂糖不使用 アーモンドミルク 1000ml×6本 常温保存可能,アーモンド効果,Ｎｅｗｔｏｎ　０２,2018年7月4日,5.0,そのままでは不味い！,アーモンド飲料を常飲しています。市価よりずっと安かったので購入しました。良かった。
9,B07B6HVDMT,グリコ アーモンド効果 砂糖不使用 アーモンドミルク 1000ml×6本 常温保存可能,アーモンド効果,774,2019年7月18日,4.0,個人的にはオリジナルに軍配があがるか,これ以上だとドロッとして「癖が有る」って事に成るのかも知れないです。海外在住中に、まだ一般的でない時に飲んだのは、癖が強く、美味しいが、長続きはしなかったので、この程度の濃さが良いのかも知れないが、特濃とか原液でも小さいパックで出してほしい。結局この数年はビックアイランド・コナのスーパーマーケットでも同じ濃さのを売っています。包装状態：一箱だと商品の箱を剥き出しのままの配送。　2箱だとアマゾンの箱入りが多い。つまり3箱だと一つはむき出し、2つのアマゾンの箱入だ。武漢コロナ以前から、Amazonの箱入りだと、６本入りの箱をそのままエレベーターに乗せてpenthouseのエレベーターホールにおいておけるのだが（リビングの納戸には持ち込まない。包装前の環境が分からないから）、１箱でむき出しで来ると、玄関に一晩置いて消毒して（２４時間Panasonicの次亜塩素酸水放出機と夜にオゾンを濃く発生させて）から次の日に中身だけだして保管している。神経質すぎるかと思われるだろうが、微生物学を齧れば誰でも此の程度はするように成るだろうと思う。
