,ASIN,product,brand,name,date,score,title,comment
0,B07BDRTW83,伊藤園 三角茶寮 抹茶入り緑茶 ティーバッグ 50袋,伊藤園,あっこちゃん,2020年9月15日,1.0,もう買わない,賞味期限が75日しかありませんでした。賞味期限を商品説明に記載すべきです。改善ください。
1,B07BDRTW83,伊藤園 三角茶寮 抹茶入り緑茶 ティーバッグ 50袋,伊藤園,はむ,2018年5月6日,1.0,スッキリとした上品な味わい,おーいお茶のプレミアムティーバッグは好きですが、このお茶は思ったより、味が薄い感じがしました。水筒で水出しをしましたが、ティーバッグ一つではあまり美味しく感じませんでした。おーいお茶のぞっこんの方が香りも良かったです。
2,B07BDRTW83,伊藤園 三角茶寮 抹茶入り緑茶 ティーバッグ 50袋,伊藤園,いるかさん,2021年1月24日,4.0,賞味期限短いです。,12月下旬に伊藤園 おーいお茶 プレミアムティーバッグ 宇治抹茶入り緑茶入りを購入し未だありますが、飲み比べてみたくて定期お得便にしました。伊藤園 おーいお茶 プレミアムティーバッグ 宇治抹茶入り緑茶入りの方は定期お得便にならないみたいです。賞味期限は2021/5月、そんなものかなと思いますしそれ迄には飲むとは思ってはいます。お味は正直微妙〜です。伊藤園 おーいお茶 プレミアムティーバッグ 宇治抹茶入り緑茶入りの方がめりはりのあるお味。こちらが甘いかと言われてもそうは思えません。分からないとしか言えないお味でした。伊藤園 おーいお茶 プレミアムティーバッグ 宇治抹茶入り緑茶入りも定期お得便に加えて頂きたいです。宜しくお願いします。追記します。慣れてくるとやはりこちらの方が風味があり良いと思えます。星は1つ増やしました。
3,B07BDRTW83,伊藤園 三角茶寮 抹茶入り緑茶 ティーバッグ 50袋,伊藤園,蒼空,2019年5月24日,3.0,思ったより…。,他のシリーズと比較すると薄いと感じました。色も味も香りもです。パッケージは高級感があっていいなと思いました。薄い感じが好きな人は合うと思います。濃い目のお茶が好きな人は、同シリーズの他のお茶を選んだ方がいいと思います。
4,B07BDRTW83,伊藤園 三角茶寮 抹茶入り緑茶 ティーバッグ 50袋,伊藤園,橘姫,2018年6月13日,5.0,慣れると美味しいです,どうしても、ペットボトルのお茶？の反響が家族からありましたが・・・THERMOSを使っている　夫　が「絶賛」　静岡県の茶処　出身の夫が言うので　本当に美味しい～～(笑)水出し、が人気です。
5,B07BDRTW83,伊藤園 三角茶寮 抹茶入り緑茶 ティーバッグ 50袋,伊藤園,SN,2019年3月5日,4.0,薄いかな,プレミアティーバッグのほうはペットボトルのおーいお茶に近いかな。こっちは急須で入れたお茶に近いかな。まあ好みですかねぇ。
6,B07BDRTW83,伊藤園 三角茶寮 抹茶入り緑茶 ティーバッグ 50袋,伊藤園,ぴーちゃん,2020年12月10日,3.0,美味しいお茶です。,抹茶の香りと入れたお茶の色が上品です少し味が薄い様に感じますが入れるお湯の量で調整すれば問題ないです
7,B07BDRTW83,伊藤園 三角茶寮 抹茶入り緑茶 ティーバッグ 50袋,伊藤園,Amazon カスタマー,2020年3月15日,5.0,おーいお茶ではない,緑茶も抹茶も好きなんで買って良かったです。1人分だけ飲みたい時、便利です。濃いめ飲みたいときは2個入れて飲んでます。
8,B07BDRTW83,伊藤園 三角茶寮 抹茶入り緑茶 ティーバッグ 50袋,伊藤園,Amazonカスタマー,2018年9月11日,2.0,病み付きの美味しさ,会社で飲むため二箱購入しました。一箱50袋と量も多く、コストはよかったのですが、賞味期限が2018年11月と記載してあり『えっ⁉賞味期限２ヶ月・・・短っ』生産してから時間が経った商品なのでしょうか？11月までに全部は飲めません・・・なんか残念です。
9,B07BDRTW83,伊藤園 三角茶寮 抹茶入り緑茶 ティーバッグ 50袋,伊藤園,虹の橋,2018年12月26日,5.0,最低,少し高いのですが、ティーバッグの中では、一番良い味をしているので、定期購入にしました。
10,B07BDRTW83,伊藤園 三角茶寮 抹茶入り緑茶 ティーバッグ 50袋,伊藤園,あだちあき,2020年10月1日,3.0,賞味期限が短すぎ！,お茶がとても薄かった
11,B07BDRTW83,伊藤園 三角茶寮 抹茶入り緑茶 ティーバッグ 50袋,伊藤園,ペガサス,2018年12月3日,4.0,毎月１箱購入しています。,二箱目ですとても香りが良く、味もしっかりと出ていて、飲みやすいですね、
12,B07BDRTW83,伊藤園 三角茶寮 抹茶入り緑茶 ティーバッグ 50袋,伊藤園,Amazon カスタマー,2021年1月8日,4.0,物足りない,安定した味です　少し高いですが茶葉が良い為煎茶の味です他社商品では番茶と抹茶で味を誤魔化していますが、この商品は大丈夫です
13,B07BDRTW83,伊藤園 三角茶寮 抹茶入り緑茶 ティーバッグ 50袋,伊藤園,ねこねこ,2020年3月8日,1.0,香りが良いです,おーいお茶ぞっこん、プレミアム以下の味でした　茶葉自体はプレミアムかプレミアム以下のものを使用して、そこに良質の抹茶を入れた感じがしました　本当は茶葉もいいものを使用してるのかもですが…　パッケージもおしゃれで高級感があり期待していた分、残念さも大きかったです
14,B07BDRTW83,伊藤園 三角茶寮 抹茶入り緑茶 ティーバッグ 50袋,伊藤園,BOBパパ,2019年12月5日,5.0,美味しい煎茶です,早くて美味しい
15,B07BDRTW83,伊藤園 三角茶寮 抹茶入り緑茶 ティーバッグ 50袋,伊藤園,Kindleのお客様,2018年7月1日,4.0,おーいお茶プレミアムの方が美味しい,あっさりとしています。抹茶が入っているので綺麗なグリーンのお茶。味も爽やかです。
16,B07BDRTW83,伊藤園 三角茶寮 抹茶入り緑茶 ティーバッグ 50袋,伊藤園,ictl_ishikawa,2019年2月2日,3.0,おいしいと思いますが,賞味期限が近いので格安とのことで購入しました。気のせいか香りが薄い。まあ値段なりでした。
17,B07BDRTW83,伊藤園 三角茶寮 抹茶入り緑茶 ティーバッグ 50袋,伊藤園,nori*,2019年2月26日,4.0,気に入ってくれました,綺麗な緑色で美味しかったです。昼間1人でのむのにいいです。もう少しお茶の味が濃いといいです。
18,B07BDRTW83,伊藤園 三角茶寮 抹茶入り緑茶 ティーバッグ 50袋,伊藤園,淡舟,2019年9月25日,1.0,そこそこ,思ったより味が薄かったです
19,B07BDRTW83,伊藤園 三角茶寮 抹茶入り緑茶 ティーバッグ 50袋,伊藤園,Amazon カスタマー,2018年10月6日,2.0,簡単に飲めます。,賞味期限が１か月強のものが届きました。返品したいです。箱は開けてしまった後気づきました。お茶はおいしいです。
20,B07BDRTW83,伊藤園 三角茶寮 抹茶入り緑茶 ティーバッグ 50袋,伊藤園,あや,2018年4月22日,4.0,味,ホット、アイスともに１袋で水１２０ｍｌということですので、まさに１人分ずつがパッケージされていることになります。ホットの場合、「９０度の湯で４０秒おいて、その後ティーバッグを上下に動かして出す」とパッケージに記載されていますので、そのとおりに淹れてみました。90度の温度は自分の緑茶のイメージからするとかなり温度が高く、４０秒はかなり短い時間との感じがします。パッケージには、(1) 鮮やかな緑色、(2) 深い味わい、(3) 甘い香りの３点が比較的大きな文字で記載されています。まず、(1) については、ほんとうにきれいな、爽やかな緑色です。(2) については、すごくいいお茶という感じはしませんが、まずまずの味わいでしょうか。ホテルなどで見かける業務用の機械のお茶サーバーで飲む緑茶を思い出すような味わいと思います。（けっして悪い味ではありません。）(3) については、確かに香り、味わいともに、ほんのりとした優しい甘みを感じます。この製品は、個包装なので、１人で１杯だけ飲むときなどには重宝する製品と思います。また、紙箱だけでなく、個包装のパッケージにも、英語で淹れ方が併記されていることからも、外国の人へのお土産を意識した製品と思います。テイーバックの製品としては、まずまずおいしいお茶ですので、１人のとき用、携帯しての出先用、外国の人へのお土産用などとしては良い製品と思います。（家庭用としては、普通の緑茶をポットや急須で淹れる方が当然おいしいです。）
21,B07BDRTW83,伊藤園 三角茶寮 抹茶入り緑茶 ティーバッグ 50袋,伊藤園,Last Paradise,2018年4月23日,5.0,え、たったの1か月,手軽なティーバッグ方式で、美味しい緑茶が手ごろなお値段ですぐに飲めるのは嬉しいです。それに加えて、出がらしになってしまったティーバッグをそのままただ捨ててしまうのももったいなく感じたのでお湯を含んだままのティーバッグを適当な枚数のティッシュで包みちょっとした部分の掃除に使ったりしています。あるいはそのままカラカラに乾燥させてから、あまり使わない靴等に入れて消臭剤がわりに使ったり。製品本来の用途での評価部分ではないのですがこの部分でもティーバッグに入ってるので使い勝手がよいです。本来自分は掃除はそんなにマメなほうではないのですが…この緑茶パックを捨てる前にはなんだか、これを活用しなきゃという気になってしまって結果的に美味しくいただきつつ、飲むたびに家のどこかがちょっとだけきれいになるという習慣になりつつあり気に入っています。
22,B07BDRTW83,伊藤園 三角茶寮 抹茶入り緑茶 ティーバッグ 50袋,伊藤園,ｍｆｈｔｙ,2018年3月26日,5.0,まずまずの品質の製品,個包装のパッケージを開けた瞬間、お茶の香りがします。それだけで、あ、良いお茶だ、と期待が高まると同時に、個包装による密封の効果を実感できます。お茶を飲み慣れていなくても、パッケージにお湯の量や温度、時間が書かれていて安心です。90℃のお湯の中で40秒、その後、パックを上下させると、きれいな緑色になり、香りも広がります。ただ、上下させ続けると、少しずつ色が濃くなってきます。普段から飲み慣れていないため、どの程度まで上下させるのかよく分かりませんでしたが、その辺りは、適当で良さそうです。味は、月並みですが、渋みのない、優しい甘みを感じます。例えが悪いかも知れませんが、ペットボトルのお茶のような、渋みのない、まろやかな甘味です。感心するのは、冷めてしまっても、渋みを感じないことです。こういう良いお茶、たまには良いですね、という感じました。水出しも可能だそうで、これなら、良い水で、という気持ちになるでしょう。１杯あたり二十数円、高いか安いか。個人的に、たまの贅沢用途でも、十分に釣り合うと思いました。
