,ASIN,product,brand,name,date,score,title,comment
0,B07DC31F9C,ドトールコーヒー ドリップパックやさしい香りのカフェインレス 8P×6袋,ドトールコーヒー,アムナプ,2021年5月12日,4.0,20Pの箱入りと同じ商品,ありがとうございます
1,B07DC31F9C,ドトールコーヒー ドリップパックやさしい香りのカフェインレス 8P×6袋,ドトールコーヒー,あまこ,2021年5月26日,5.0,優しい味だけどしっかりコーヒー,モンカフェのカフェインレスより好きかも
2,B07DC31F9C,ドトールコーヒー ドリップパックやさしい香りのカフェインレス 8P×6袋,ドトールコーヒー,廣谷,2020年12月6日,5.0,、,普通のコーヒーが飲めない体質なので、こちらのカフェンレスコーヒーはありがたいです。
3,B07DC31F9C,ドトールコーヒー ドリップパックやさしい香りのカフェインレス 8P×6袋,ドトールコーヒー,おはなちゃん,2021年1月14日,5.0,香りが良い,夜に珈琲を飲みたいときにカフェインレスがとても良いです。年を取ると眠れなくなるので
4,B07DC31F9C,ドトールコーヒー ドリップパックやさしい香りのカフェインレス 8P×6袋,ドトールコーヒー,でん子,2020年7月19日,5.0,カフェンレス,カフェインレスなので、夜も安心です。
5,B07DC31F9C,ドトールコーヒー ドリップパックやさしい香りのカフェインレス 8P×6袋,ドトールコーヒー,のりこ,2021年5月27日,5.0,美味しいカフェインレス,香りがとてもよくカフェインレスとは思えないしっかりした味で美味しい♪
6,B07DC31F9C,ドトールコーヒー ドリップパックやさしい香りのカフェインレス 8P×6袋,ドトールコーヒー,Macaron,2021年5月22日,4.0,安定のドトール,ノンカフェインのドリップ式は希少
7,B07DC31F9C,ドトールコーヒー ドリップパックやさしい香りのカフェインレス 8P×6袋,ドトールコーヒー,Amazon カスタマー,2019年9月12日,4.0,香り最高！,思いの外コーヒーらしいお味で、マイルドコーヒーとして美味しく飲めます
8,B07DC31F9C,ドトールコーヒー ドリップパックやさしい香りのカフェインレス 8P×6袋,ドトールコーヒー,Amazon カスタマー,2020年10月6日,4.0,飲みやすい,個人的にカフェインレスのコーヒーは初めての体験になります。あと、ドトールコーヒーの実店舗利用も何回もあります。まずは砂糖など入れずにストレートで飲んでみました。カフェインレスとのことでかなりあっさりしている印象です。ドリップパックタイプのコーヒーに限らず、今まで様々なタイプのコーヒーを飲んできましたが、それらに比べて酸味やコクなどがかなりあっさりしている気がします。普通のコーヒーが牛乳とすると、このコーヒーは低脂肪乳といった印象です。ただ、その分、強い癖などはなく飲みやすくなっているとは思います。カフェインにはメリットもかなりありますが、デメリットも多少あります。「カフェインのデメリットを気にしないで手軽に好きなだけ飲みたい」そんな方にはおすすめかなと思います。ただ、やはり普通のコーヒーとは深みやコクが違います。普通にカフェインが入っているコーヒーが好きな方には同社で「カフェイン入り」も販売されていますので、そちらの方をどうぞ。
9,B07DC31F9C,ドトールコーヒー ドリップパックやさしい香りのカフェインレス 8P×6袋,ドトールコーヒー,LUKE,2020年10月12日,3.0,個人的にはリピは無いと思った,コーヒーチェーン店では一番好きな店　ドトールドトールの珈琲～♪と、期待しすぎてはいけません…あくまでもカフェインレス香りも控えめ、味は苦みが強く、コクが薄い普通の珈琲のつもりで飲むと涙目状態になりますカフェインレスでないとコーヒーが飲めない事情が…等がない限り、個人的にはオススメしませんが、カフェインレスでもいい…　コーヒーを…！！飲みたい！！という方にはいい商品かもです
10,B07DC31F9C,ドトールコーヒー ドリップパックやさしい香りのカフェインレス 8P×6袋,ドトールコーヒー,さんばりかん,2020年10月3日,2.0,カフェインレスとのことで酸味やコクがかなりあっさりしている印象です。,カフェインレスのコーヒーは初めてではありませんが以前試した物と比べるとかなりライト....というか香りもコクもありません。長めに浸しても変わりません。これを「やさしい香り」と評するのは無理があるのでは？求めているのは「カフェインレスなのに美味しい」「カフェインレスなのに香り豊か」であると思いますがこちらは「カフェインレスだから仕方ない」と思わせてしまいます。失礼ながらもう少し研究が必要かと思います。
