,ASIN,product,variant,brand,name,date,score,title,comment
0,B07H81Q6T8,生活の木 おいしいハーブティー アサイーラズベリー(30ヶ入),生活の木,,こなみ,2023年4月28日,5.0,めちゃくちゃ美味しい,大好きです。味も香りもとても良いです。10個入りよりお得なので遠慮なく楽しめます。2回は十分出るので、お湯出しや水出し、いろいろ最後まで楽しめます。
1,B07H81Q6T8,生活の木 おいしいハーブティー アサイーラズベリー(30ヶ入),生活の木,,毎日楽しいママ,2023年4月14日,5.0,香りに癒される,ふわっと香る香りに癒されます
2,B07H81Q6T8,生活の木 おいしいハーブティー アサイーラズベリー(30ヶ入),生活の木,,ネットライフ,2022年12月1日,5.0,美味しい,とにかく手軽に使いやすく、美味しいのです
3,B07H81Q6T8,生活の木 おいしいハーブティー アサイーラズベリー(30ヶ入),生活の木,,伽依,2022年9月10日,5.0,小分けのものより割安だった,10包入りのを以前どこかの店で買ったのですが…そこがなかなかいけぬ場所で大袋がなかった。ここで見つけられてよかったです。小分け袋に一個ずつ入ってるわけではなくまとまって入っているので一部誰かにあげようとか考え照人には不向きかもしれません
4,B07H81Q6T8,生活の木 おいしいハーブティー アサイーラズベリー(30ヶ入),生活の木,,Amazon カスタマー,2022年4月3日,4.0,香りが良くほんのり甘い,色がきれいで気分が上がります。
5,B07H81Q6T8,生活の木 おいしいハーブティー アサイーラズベリー(30ヶ入),生活の木,,Amazonカスタマー,2022年6月14日,5.0,ノンカフェイン,何種類か味が違うものが有りますがベリー系が好きなので購入。味は酸味が多少効いてます。Ｈot、Coldその日によって変えて飲んでます。またリピしたいです。
6,B07H81Q6T8,生活の木 おいしいハーブティー アサイーラズベリー(30ヶ入),生活の木,,Amazon カスタマー,2022年5月27日,5.0,違いはわかりませんが美味しい,ローズガーネットと似てますが、こちらの方がベリーの風味が強いかも。アサイーが入ってるのも嬉しいポイントです。
7,B07H81Q6T8,生活の木 おいしいハーブティー アサイーラズベリー(30ヶ入),生活の木,,オタフク豆,2021年9月25日,4.0,ハーブティー,ほっとしたい時ラズベリーの酸味が美味しいです。ノンカフェインで職場の休憩時間に飲んでいます。30袋入ってお手頃価格が嬉しいです。リピしました。
8,B07H81Q6T8,生活の木 おいしいハーブティー アサイーラズベリー(30ヶ入),生活の木,,おとひめ,2021年2月7日,4.0,職場の人たちが口をそろえて「美味しい～。」と言ってくれます。,私の職場では、アサイーラズベリーが人気です。色がきれいで香りが良い、酸味が有るがほんのり甘い味が人気なのかもしれません。いろいろ飲んでみましたが、私の一番のお気に入りは、エキナセアベアです。そのままでも、食事と一緒でも美味しく飲めます。何時も100個入りを購入しています。味や香りの好みはそれぞれだと思います。
9,B07H81Q6T8,生活の木 おいしいハーブティー アサイーラズベリー(30ヶ入),生活の木,,SEX AND THE CITY,2021年3月1日,4.0,美味しい,気に入りました。ただもう少し際にように気をつけて欲しかった。オーガニックではない。
10,B07H81Q6T8,生活の木 おいしいハーブティー アサイーラズベリー(30ヶ入),生活の木,,ハリネズミ,2021年11月30日,3.0,おいしかったけど,リニューアルしたのかな前の方がおいしかった気がするのは私だけ?他のシリーズのほうもおいしい
11,B07H81Q6T8,生活の木 おいしいハーブティー アサイーラズベリー(30ヶ入),生活の木,,にんじん,2023年1月9日,1.0,うーん,味が好みじゃなかった。
12,B07H81Q6T8,生活の木 おいしいハーブティー アサイーラズベリー(30ヶ入),生活の木,,たぬき,2021年10月18日,5.0,甘いブレンドティー,酸味のある味を想像していましたが、酸味はなく、甘いブレンドティーでした。甘味は自然由来の味とのことです。美味しいです。
