,ASIN,product,variant,brand,name,date,score,title,comment
0,B07H82VYGJ,生活の木 おいしいハーブティー ムーンガーデン(100ヶ入),生活の木,,Kindleユーザー,2023年5月23日,5.0,たくさん入ってるので助かります。,毎晩のように、2人で飲んでいます。美味しくて、眠り易いです。
1,B07H82VYGJ,生活の木 おいしいハーブティー ムーンガーデン(100ヶ入),生活の木,,miemi,2023年2月2日,4.0,美味しかったです,美味しいので周りにも喜ばれました❣️
2,B07H82VYGJ,生活の木 おいしいハーブティー ムーンガーデン(100ヶ入),生活の木,,あの角を曲がったところ,2023年2月24日,5.0,美味しいです。,好みはあると思いますが、個人的には一番口当たりがよいです。
3,B07H82VYGJ,生活の木 おいしいハーブティー ムーンガーデン(100ヶ入),生活の木,,Marlane,2022年10月20日,4.0,飲みやすい,香料は気になりますがカモミール単体だけではどうも苦手で、そういう方にはこういうブレンドタイプがオススメです。寝る前やお腹の調子が悪いときに摂ってます。カモミールは糖化予防にもいいようですね。
4,B07H82VYGJ,生活の木 おいしいハーブティー ムーンガーデン(100ヶ入),生活の木,,あやね,2022年2月1日,4.0,よかった,つかいやすかった
5,B07H82VYGJ,生活の木 おいしいハーブティー ムーンガーデン(100ヶ入),生活の木,,てぃもん,2022年6月4日,5.0,美味しい,ホットでのむ
6,B07H82VYGJ,生活の木 おいしいハーブティー ムーンガーデン(100ヶ入),生活の木,,s-you t☆k☆,2022年5月5日,3.0,酸っぱすぎた,レビューや説明を読んで買ってみましたが、私には酸っぱすぎました。友達にあげたら、友達は、「とても美味しいのに…」と言ってました。
7,B07H82VYGJ,生活の木 おいしいハーブティー ムーンガーデン(100ヶ入),生活の木,,いもいも,2022年1月29日,5.0,とってもいい香り！,知人から少量頂いたことがあり、その香りが忘れられなくて買いました。30パックにするか100パックにするか悩みましたが、コスパを考えて毎日飲むと思って100パックに。味はほんのり酸味があり、ほんのりなのでスッキリと頂けて、私は何より香りが大好きです！優しいりんごの香りに癒されます。毎日飲んでも全然飽きないです。100パックにして良かったと大満足です！
8,B07H82VYGJ,生活の木 おいしいハーブティー ムーンガーデン(100ヶ入),生活の木,,Amazon カスタマー,2021年12月6日,5.0,美味しい〜,毎日カフェオレを飲んで一日中過ごしていたんですが、最近歳のせいか少し胃に重たく感じるようになって来て、、ふとハーブティーを思い出し、入っているハーブに馴染みもあり、飲みやすそうなので購入してみました^_^結果は大当たりでめちゃくちゃ美味しいです♡ほっと一息つきたい時に飲んでいます。柚子茶を少しだけ入れるのもおすすめです。
9,B07H82VYGJ,生活の木 おいしいハーブティー ムーンガーデン(100ヶ入),生活の木,,naokopi,2021年11月28日,5.0,優しい感じで美味しいです,りんごの香りがする優しい味わいのおいしいハーブティーです。ほっこりしたい時、一息つきつつ、楽しんでいます。美味しいですよ。
10,B07H82VYGJ,生活の木 おいしいハーブティー ムーンガーデン(100ヶ入),生活の木,,chiichii23,2021年11月21日,5.0,美肌ティー,ムーンガーデンはリラックス効果が高く、寝つきを良くするティーですが、実は美肌効果も高いです。ハイビスカスやローズヒップなどビタミンCの含有量が高い成分が入っているので😉私は毎晩寝る前に頂きます🫖
11,B07H82VYGJ,生活の木 おいしいハーブティー ムーンガーデン(100ヶ入),生活の木,,こうか,2021年8月29日,5.0,安くて美味しいです。,サッパリしてハーブティーです。いつも2包を水出しで瓶に入れて毎日1本飲む様にしています。100包入りなのでお安くハーブティーが作れるのはとても嬉しいですね。
12,B07H82VYGJ,生活の木 おいしいハーブティー ムーンガーデン(100ヶ入),生活の木,,ピピタン,2021年2月27日,5.0,大変満足‼️,私好みの味です。自然な甘さだから安心して飲めます。カフェインもないから夜にホッと一息できます。
13,B07H82VYGJ,生活の木 おいしいハーブティー ムーンガーデン(100ヶ入),生活の木,,ふじさんさん,2020年6月22日,5.0,飲みやすい,美味しい、ハーブティの中ではかなり飲みやすい方だと思います。私はさらに生のレモンバーム入れて飲んでいます寝付きは変わらずですが、朝から何回も飲んでいます。しばらく飽きるまで続けます！
14,B07H82VYGJ,生活の木 おいしいハーブティー ムーンガーデン(100ヶ入),生活の木,,anne,2020年6月21日,5.0,美味しい,以前より購入してて、久しぶりに頼みました。少し酸味があり青リンゴの香りもよく疲れた時に飲むと癒されます
15,B07H82VYGJ,生活の木 おいしいハーブティー ムーンガーデン(100ヶ入),生活の木,,山名　慶美,2020年5月27日,5.0,美味しい,このハーブティーを飲むと、質の良い眠りができ疲れなどがなくなります。
16,B07H82VYGJ,生活の木 おいしいハーブティー ムーンガーデン(100ヶ入),生活の木,,Amazon カスタマー,2019年1月29日,5.0,寒い冬に適切！飲みやすく美味しいです。,あるアロマトリートメントでムーンガーデンを出されました。寒い冬に適切！飲みやすくて美味しいです。義母や娘にも勧めて、愛飲しております。
17,B07H82VYGJ,生活の木 おいしいハーブティー ムーンガーデン(100ヶ入),生活の木,,月子,2022年3月4日,5.0,リラックスできる香り,疲れた日様に購入しました。とても優しい香りと味です。名前がピッタリだと思います。色は、通常のハーブティーと同じで特別綺麗という訳ではありませんが お疲れの方には、オススメのハーブティーだと思います。
18,B07H82VYGJ,生活の木 おいしいハーブティー ムーンガーデン(100ヶ入),生活の木,,おりょす,2023年5月10日,5.0,リラックス,これも美味しい！香りも良し！
