,ASIN,product,variant,brand,name,date,score,title,comment
0,B07H82W5R9,生活の木 おいしいハーブティー プリンセスタイム(30ヶ入),生活の木,サイズ: 2グラム (x 30),あきちゃん,2023年4月7日,4.0,優しい香り,色も綺麗で、優しいハーブティー。お気に入りです。
1,B07H82W5R9,生活の木 おいしいハーブティー プリンセスタイム(30ヶ入),生活の木,サイズ: 100袋 (x 1),結-YUI-,2023年1月2日,4.0,いい香りでほっと落ち着く,以前に飲んでいました。カフェインの摂りすぎかな？と思ったのと、寝る前に温まりたくて購入しました。相変わらず、ピーチのいい匂いです。飲んでみるとローズヒップが入っているので酸っぱさがあります。酸味が苦手な方は避けた方が良いかと。何しろ、100パックありますからね笑気になるのは、ティーバッグなので少し紙の味がすることです。でも、出がらしを捨てた後にダストボックスからお花のいい香りがします。
2,B07H82W5R9,生活の木 おいしいハーブティー プリンセスタイム(30ヶ入),生活の木,サイズ: 2グラム (x 30),あみ,2023年1月7日,4.0,これは飲みやすくて良いかも。,リコリスの甘さがちょうど良い。色々とハーブティーがありますが、これは飲みやすくて良いかも。
3,B07H82W5R9,生活の木 おいしいハーブティー プリンセスタイム(30ヶ入),生活の木,サイズ: 100袋 (x 1),scherie89,2023年2月20日,5.0,1番大好きなハーブティー,いつも通っているサロンに行った際にたまたま頂いたのがこのハーブティーですごく好みの味でお気に入りです！ノンカフェインで時間帯を気にせずに飲めるのが嬉しい商品です！ローズヒップの紅茶よりも少しだけ控えめな酸味でピーチの甘い香りに癒されてます。仕事に行く際に水筒に入れていったり、家事がひと段落した時や寝る前に飲んでます！
4,B07H82W5R9,生活の木 おいしいハーブティー プリンセスタイム(30ヶ入),生活の木,サイズ: 2グラム (x 30),スマイル笑顔,2022年12月26日,4.0,おいしいです,友達から勧められて飲んでいたものがいつの間にかパッケージが変わっていて購入しました。とてもおいしいハーブティーでオススメです。色も赤ピンクでほんのり甘酸っぱい。落ち着きますよ。リピします！
5,B07H82W5R9,生活の木 おいしいハーブティー プリンセスタイム(30ヶ入),生活の木,サイズ: 100袋 (x 1),齊藤将一,2022年12月15日,4.0,お気に入りの味,とにかくこの味に惚れました。リピート3回目です。無くなると困ります。
6,B07H82W5R9,生活の木 おいしいハーブティー プリンセスタイム(30ヶ入),生活の木,サイズ: 100袋 (x 1),Volna,2023年2月9日,3.0,前回と味が違う,食品だから仕方ないとは言え、前回の大容量パックと味が違って、今回あまり美味しくなかった。薄いです。商品にムラがあるのは困る。とは言いつつ（当たった時は）好きな味なので、またリピしそう。
7,B07H82W5R9,生活の木 おいしいハーブティー プリンセスタイム(30ヶ入),生活の木,サイズ: 2グラム (x 30),M K,2022年12月30日,5.0,友人へのプレゼント,パッケージが可愛いので喜んで貰えました♪安心のメーカーさんなのでお味は聞いてないですが多分美味しいはず！！
8,B07H82W5R9,生活の木 おいしいハーブティー プリンセスタイム(30ヶ入),生活の木,サイズ: 2グラム (x 30),のんたん,2022年11月2日,5.0,寒い季節に癒される香りの良いハーブティーでした^_^,美味しくて　またリピートしたいです
9,B07H82W5R9,生活の木 おいしいハーブティー プリンセスタイム(30ヶ入),生活の木,サイズ: 100袋 (x 1),Amazon カスタマー,2022年5月12日,4.0,体　が　温まる,袋が小さくなつた感じですね
10,B07H82W5R9,生活の木 おいしいハーブティー プリンセスタイム(30ヶ入),生活の木,サイズ: 2グラム (x 30),浅井由美,2022年7月22日,5.0,さわやかなピーチフレーバー,生活の木のハーブティーで一番好きです。
11,B07H82W5R9,生活の木 おいしいハーブティー プリンセスタイム(30ヶ入),生活の木,サイズ: 2グラム (x 30),ももクロ,2021年11月23日,4.0,ハーブというからもうちょっとさっぱりしているかと思いきや、普通のフルーツティーの様でした。,気に入らなかった事はないです。フルーティでこれはこれで良かった。
12,B07H82W5R9,生活の木 おいしいハーブティー プリンセスタイム(30ヶ入),生活の木,サイズ: 2グラム (x 30),じゃが,2021年11月24日,4.0,酸味の効いた爽快感,酸味の効いた爽快感があります。
13,B07H82W5R9,生活の木 おいしいハーブティー プリンセスタイム(30ヶ入),生活の木,サイズ: 2グラム (x 30),Nao,2022年4月27日,3.0,香りはピーチだけど、、、,香りはとってもピーチで癒される感じでしが味は全く違ってました。嫌いではないので飲んではいますが、ちょっと期待と違ったかな、という感じです。
