,ASIN,product,brand,name,date,score,title,comment
0,たてよこななめ,2019年7月20日,4.0,花のような香り,最初イエローラベルの風味かと思い購入しましたが全く違う花のような香りの紅茶だったので驚きましたが私は気持ちが落ち着くので気に入りました。台湾茶かハーブティーのような感じがします。人によっては好みが分かれるかも知れません。,,,
1,うさぎ,2018年12月29日,5.0,おお！買ってよかった！,カフェインレスとは思えない美味しさです。変わらない味。絶対リピします。2/8　箱の大きさがちょうどよかった、2個買いの方がよい。お勧めです,,,
2,Amazon カスタマー,2020年11月13日,5.0,寝る前にもってこい,私はカフェインにかなり敏感で、カフェイン入り紅茶を飲むとすぐに体調が悪くなったり眠れなくなったりします。それでも紅茶をいただきたい気持ちがあったので購入しました。カフェインレスなので上のようなことがなく、寝る前に飲んでも気持ちよく眠れています。,,,
3,田中洋子,2020年9月10日,4.0,カフェインレスは必要な私,味は想像していたより美味しさを感じられなかったです,,,
4,612875,2020年12月11日,5.0,美味しい,授乳でガブガブ飲むのにたくさん買っています。やっぱり紅茶はリプトンが一番美味しいです！,,,
5,w,2020年4月24日,5.0,美味しい,普通のリプトンティーバックと変わりません。お勧めです。,,,
6,A,2020年6月12日,5.0,美味しい紅茶,カフェインレスなのに、ちゃんと紅茶の味で美味しいです。,,,
7,ば,2020年2月15日,5.0,カフェインレス,カフェインレスのおかげで飲みたかった紅茶を楽しみました！カフェインアレルギーなので良かったです,,,
8,Amazon カスタマー,2019年5月23日,5.0,おいしい,普段飲んでいる紅茶より香りが良いのでお気に入りです。,,,
9,UH,2020年2月8日,5.0,紅茶,気に入りましたのでまた、無くなれば注文したい・,,,
