,ASIN,product,brand,name,date,score,title,comment
0,ｼｭﾝｼｭﾝ,2019年5月30日,5.0,カフェインレスとは思えない美味しさ,とにかく美味しいですね！本当にコレがカフェインレス⁈と疑うほどのコクが有ります！それとドリップペーパーの丈が短めなのでカップにお湯を注いでいる最中にコーヒーの中にペーパーが浸かる事なく淹れられてストレスを感じません。たまに長い物が有ってコーヒーが浸かりながらじゃ無いと淹れる事が出来ないものが有りますので。個人の意見ではありますが、誰にでもおススメ出来るドリップコーヒーです。,,,
1,Amazon カスタマー,2019年12月9日,5.0,美味しい!!,カフェインレスコーヒーを色々お試し中です。こちらは、その中でも一番コーヒーに近くて、ストレートでも美味しかったです。ほっとひと息の時は、やっぱりコーヒーの香りに癒されたいので、１日に何杯も飲んでしまいます。最近カフェインの取りすぎが気になっていたので、気にしないでほっとひと息が出来そうで、嬉しくて楽しみです。,,,
2,haru,2020年2月4日,5.0,もう何回買ってるか分からないくらい好き。,なぜ低評価がつくのか分からないくらい美味しい。UCCやドドールのカフェインレスも飲んだけど、これを飲んだら他が飲めないレベル。ただお値段が少し高い気もする…。コーヒーもいれやすい。妊娠中なのでリピートしまくってます。,,,
3,bsd,2020年2月18日,5.0,美味しいです！何度もリピートしています！,カフェインレス、色々試しましたが、これは非常に美味しいです。何回もリピートしています。おススメです。,,,
4,cozypoweller,2020年7月10日,5.0,デカフェなのにパンチがある,在宅ワークの比率が多くなってくるとコーヒーを飲むペースが高くなってしまい、あまり体に良くないかなと思い、この商品を買いましたこれまで飲んだデカフェのコーヒーはパンチが弱くてコーヒーを飲んだ気がしませんでしたが、この商品は味がしっかりしているので美味しいです！,,,
5,Amazon カスタマー,2021年5月21日,5.0,めちゃくちゃ美味しい,まずドリップバックになっているノンカフェインが貴重でありがたい。ノンカフェインコーヒーは味については妥協することが多いが、こちらは本当に美味しい。,,,
6,earlybird,2020年9月26日,4.0,美味しい,カフェインが苦手で、特に3時以降に飲むと寝られなくなるので我慢していましたが、これは美味しい。カフェインレスとは思えないくらい美味しい！,,,
7,moss,2020年3月16日,5.0,美味しいです,カフェインレスは少し風味が飛んじゃってる物が多いですが、この製品は違いがわからないくらいでした。また書います！！,,,
8,hana,2020年9月8日,5.0,プレゼントに,妊婦の方にプレゼントしました。とても美味しかったと喜んでいただけました。,,,
9,みー,2021年4月4日,5.0,程よい苦味,本当にデカフェかな？と思うような美味しさ。,,,
10,ttyk,2019年1月22日,5.0,美味しいデカフ,森の雫も美味しいけどこちらもおススメです妻が妊娠してるので助かります。,,,
11,ナナ&ミイ,2020年5月5日,5.0,円やかなカフェインレス,カフェインレス珈琲を色々試しています。持病があり、大好きな珈琲が飲めなくなりました。香りもまあまああり、円やかな味わいにホッとします。また注文します。,,,
