,ASIN,product,brand,name,date,score,title,comment
0,B07NDKMFHZ,UCC おいしいカフェインレス ボトルコーヒー 無糖 ペットボトル 930ml×12本,お・い・し・いカフェインレス,こざまる,2019年6月3日,3.0,カフェインレスの中では美味しい,レンジで温めると多少はコーヒーの香りがするが、アイスで飲むとコーヒーという感じがしない。決しておいしくはないが、手軽にカフェインレスが飲めると思えば仕方ないと半分あきらめて買っている。ちなみにネスカフェのカフェインレスは逆に濃すぎて、これもおいしくない。どちらか飲み続けているとおいしくない上に飽きてしまうので、交互に飲むようにしている。
1,B07NDKMFHZ,UCC おいしいカフェインレス ボトルコーヒー 無糖 ペットボトル 930ml×12本,お・い・し・いカフェインレス,あっけちゃん,2021年7月18日,1.0,美味しくない,味がとにかく悪いです。飲み口は普通なのですが、舌に残る後味が「戸棚」のよイヤな味がします。届いたものが悪いとも考えにくいので、そういう味なのだと理解した上で、低評価とします。繰り返しますが、酸味とか、苦味とかカフェインレスとかそういう話ではなく、とにかく味が悪い。どれも味なんて変わらないだろうと思い箱買いしましたが、これからの消費がすごく嫌です。ネスカフェにもデカフェがあり、そちらも糖類ゼロでわずかに繊維質でカロリーが入っています。が、そちらは普通のコーヒーと味に差異がほとんどなくオススメです。赤いパッケージです。
2,B07NDKMFHZ,UCC おいしいカフェインレス ボトルコーヒー 無糖 ペットボトル 930ml×12本,お・い・し・いカフェインレス,zzox,2019年7月27日,4.0,おいしくはない,ハッキリ言うと味は薄めです。ウチは全員アメリカン派なのでこれくらいで丁度いいです。夏は冷蔵庫でキンキンに冷やしてストレートで飲むのが一番いい飲み方かと思います。ネスカフェにもカフェインレスが有りますが、そちらは濃い目なので、濃いのが好きな方、牛乳で割って飲むなどの飲み方をする人はネスカフェの方がいいかと。氷を入れる人も。
3,B07NDKMFHZ,UCC おいしいカフェインレス ボトルコーヒー 無糖 ペットボトル 930ml×12本,お・い・し・いカフェインレス,TOPPY,2019年6月9日,5.0,戸棚の味？とにかく味が悪い。,普通のコーヒーと間違えて購入。カフェインレスとわかって、苦手だったのでショック。飲んでみたら、今までのカフェインレスコーヒーと違い、あっさりとしたコーヒーといった味で大変美味しかった。これは、いい！今までのカフェインレスコーヒーはお茶みたいな味だったのだが、これはコーヒーである。
4,B07NDKMFHZ,UCC おいしいカフェインレス ボトルコーヒー 無糖 ペットボトル 930ml×12本,お・い・し・いカフェインレス,Kindleユーザー,2021年5月12日,5.0,冷蔵庫で冷やしてゴクゴク飲む！,水筒に入れて持ち歩いたり、少量の牛乳で割ったりして、カフェインレスコーヒーをカフェで買わなくても毎日飲めてうれしいです。冷たいまま飲んでます。初めて飲んだ時は薄い！失敗した！と思ったけど、別のカフェインレスコーヒーを飲んでみると苦みしか感じなかったり、もっと薄味のものもあったりして、こちらの味が恋しくなりました。適度な苦みで一番おいしく感じます。カフェインレスコーヒーはこちらよりも高価なものが多く、高価だとそもそも日常的に飲めないし、部屋にボトル12本を置けるスペースさえあれば、こちらはコスパがかなり良いです。カフェインレスコーヒーもブラックだけじゃなく、普通のボトルコーヒーみたいに微糖タイプや加糖タイプと、どんどん種類が増えてほしいです。
5,B07NDKMFHZ,UCC おいしいカフェインレス ボトルコーヒー 無糖 ペットボトル 930ml×12本,お・い・し・いカフェインレス,Amazon カスタマー,2020年6月23日,1.0,これは、コーヒーである,一日にコーヒーを何杯も飲むのでレスにしてみましたとにかく薄い。味は酸味があって特段まずいわけではないがコーヒーを半分薄めたような感じネスカフェのゴールドブレンドのレスは美味しかったけどこれはありえない薄さ6本も購入してしまって本当に後悔している…
6,B07NDKMFHZ,UCC おいしいカフェインレス ボトルコーヒー 無糖 ペットボトル 930ml×12本,お・い・し・いカフェインレス,＿,2019年4月2日,3.0,適度な苦みがいい,カフェインレスはいろいろと試してみましたがその中で考えれば美味しいです。粉のカフェインレスだと香りも楽しめる物もあり満足感がありますが、このカフェインレスコーヒーは香りがせず味がコーヒーなだけなのが残念です。
7,B07NDKMFHZ,UCC おいしいカフェインレス ボトルコーヒー 無糖 ペットボトル 930ml×12本,お・い・し・いカフェインレス,Amazonカスタマー,2019年5月3日,5.0,薄い,粉じゃないカフェインレスコーヒーはちょっと前にコンビニに売ってたけど見当たらなくてなりました。。こちらの商品をAmazonでかえるの嬉しいです。これから暑い季節にはいるのでアイスコーヒーをカフェイン気にせずのめるのが楽しみです！
8,B07NDKMFHZ,UCC おいしいカフェインレス ボトルコーヒー 無糖 ペットボトル 930ml×12本,お・い・し・いカフェインレス,こちょうらん1231,2020年11月14日,4.0,デカフェ,在宅勤務の夫が１日に何回もコーヒーを飲むのですが、眠れなくなるというので、午後はカフェインレスコーヒーにしています。特にこだわりなければ手軽で美味しくておすすめです。牛乳で割ると少し薄く感じます。ドリップタイプのものに比べたら香りや風味は落ちるかもしれませんが、冷蔵庫に入れておけばすぐにアイスコーヒーが飲める手軽さは最高です。涼しくなってきてからはレンジで温めてホットでも飲んだりしています。近所ではこの商品が置いてある店があまりなく、アマゾンでまとめ買いしています。
9,B07NDKMFHZ,UCC おいしいカフェインレス ボトルコーヒー 無糖 ペットボトル 930ml×12本,お・い・し・いカフェインレス,鳥畑友子,2021年3月11日,5.0,美味しい^_^,以前までの私は頻尿に悩んでおりました。日中の頻尿はまだしも、夜中の尿意は熟睡できなくて、私は、まじで悩んでおりました（熟睡できないのは辛いです）しかし、１日５杯ほど飲むコーヒー量の3-4杯をカフェインレスに。すると、１、２週間程度で頻尿は劇的に改善されました。同じように悩んでる方は、ダメもとで飲んでみることを推します。ただ、ウマさは微妙です（笑）
