,ASIN,product,brand,name,date,score,title,comment
0,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,しずく,2015年5月10日,4.0,まずくて飲めないものが過半数入ってます。,カモミール好きなので初めてカモミールハーブを買いました。カモミールハーブとありますがハーブブレンドでした。手元に届いて裏の成分表を拝見して気がつきましたが発売当初から好きな「リプトン・リラックスナイト」と原材料の配合種類と配合順が、全く同一の商品だという事が分かりました。(※商品名変更・リプトンヘルシースタイル)【原材料】オレンジピール・カモミール・ローズヒップハイビスカス・甘草(リコリス)・オールスパイス・香料全く同じ？業務用いや違うよね...？でも原材料表は全く同じだしと思いながらも以前Amazonで注文したリラックスナイトと、カモミールハーブを同じ量と温度のお湯を注ぎ、同じ抽出時間でテイスティングしました。(1)香り(A)カモミールハーブは微香でオールスパスがやや強く柑橘感は少ない(B)リラックスナイトはオールスパイスの中に甘いオレンジの香りが強い。(2)抽出したお湯の色合い(A)カモミールハーブは色合いが濃く(B)リラックスナイトはそれよりも少し淡い色合い。(3)味・風味(A)カモミールハーブはオールスパイスの風味と苦みがやや強め甘いオレンジの風味はかなり少なく、酸味とビター感が目立つ味わい。水で口をリセットし(B)リラックスナイトをテイスティング。(B)リラックスナイトはスパイス風味が弱すぎず強すぎずオレンジの甘〜い風味がいっぱいで、酸味は程よくビター感も程よくバランスの良いフルーツティーのような、上品な飲みやすい味わいバランス。同じリプトンで同じ原材料表記でもカモミールハーブはリラックスナイトと違いハイビスカスなどが多く、逆に甘い味わいのオレンジ風味が少ない印象ですリラックスナイトを少しダウングレードさせコスパ重視にした商品かと...。全体的にカモミールハーブは味わい香りが薄い商品なので★一つマイナスとしました。個人的にはオレンジ風味が強いリラックスナイトの方が、香り味ともにオススメです。
1,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,綾子,2021年1月30日,4.0,何度目かのリピ購入です。,就寝前に温かい飲みものを飲みたくて、コーヒーや紅茶だとカフェイン摂取してしまい、白湯だと物足りないのでハーブティーに行き着きました。「飲めない味がある」「香りだけで味がない」というレビューもありますが、パックで手軽に楽しめるリプトンなので、高級品ではないことを考えると、お値段以上の良い商品です。香りが高いのと、5種類あるので気分によって変えられるので、ハーブティー初心者でも楽しめると思いますよ。【以下、香り別レビューです】※5種類あるうちの3種類は「ほとんど紅茶の風味」です。ハーブティ慣れしている方はガッカリされるかもしれません。・オレンジ：△甘味があり、ジュースのような風味です。(20パック)・レモンペパーミント：◎ペパーミントが強めでレモンのすっきりとした香りと合わさり、後味にも清涼感が残ります。(10パック)・カモミール：◎ローズヒップもブレンドされているため、甘味を強く感じます。香りもややローズヒップ寄り。・アップルシナモン：△りんごのフルーティーな香りと、強めのシナモンで、かなり紅茶のような風味です。(10パック)・レモン：△ほとんどレモンティーの風味です。ノンカフェインの紅茶という感覚。(10パック)
2,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,VIV†ACE,2021年2月6日,2.0,リプトンリラックスナイト(ﾘﾌﾟﾄﾝﾍﾙｼｰｽﾀｲﾙ)と原材料表が同じです,袋の口をホチキスで止めてるタイプのティーバッグです。ここ最近は圧着式の物しか見てなかったので、久々に見るとちょっと古臭く(または安っぽく)感じました。とりあえず開けてみて最初に気になった点でした。あとは味についてですが、大抵が匂いのするお湯か、渋味のあるお湯でした。最初に一通り飲んだときはたぶん300ml前後の湯量にしてました。その場合はほとんど、色がついて匂いのするお湯が出来上がりました。その後お湯を150ml前後に減らしたらまだお茶っぽい味になりました。でもすぐに渋くなってしまうので浸出時間に注意です。オレンジハーブとレモンハーブが一番マシな味と匂いでした。好みというよりはまともに飲用可能という意味です。シナモンアップルハーブとカモミールハーブは変な匂いのせいであまり美味しくないです。この2つだけに共通して入っているカモミールのせいでしょうか。えぐ味というか、美味しくない匂いがします。あとシナモンはお湯入れたらすぐどっかに消えます。(後日、スーパーでカモミールのハーブティーを購入しましたが、それは美味しく飲めました。好みではなく品質の問題じゃないかと思います)ペパーミントレモンハーブは私には飲用不可能でした。こちらが一番変な匂いです。青臭い？ような、庭の雑草？みたいな中々形容し難い匂いがします。実験として何回か淹れてみると銀杏のような香りになったときもありました。薄味で曖昧ですが、後味にペパーミントらしい清涼感があります。ハーブの特徴を感じられるのはこのお茶だけではないでしょうか。私はペパーミント苦手ですけど。とりあえず最初の1杯を飲み切った後、その後のお代わりを脳が拒否しました。好きなハーブティー探しのためにバラエティパックを買ってみましたが、ハーブの個性が全然出ていないので、これを飲んでもハーブティーに対する理解は深まりませんでした。ペパーミント以外は全部ハイビスカスかローズヒップがダブって入ってるので、酸っぱい系が苦手な人は要注意です。あとそもそも素材被りしてたら個性もへったくれもなかったですね。買ってしまったものはしょうがないので、適当に消費してさっさと次のハーブティーを探そうと思います。
3,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,59,2020年12月17日,1.0,お手軽ハーブティー(＋紅茶),おいしくとか、おいしくないとか以前に味がすごく薄くて香りだけを楽しむものです。味が濃くするために100mlにティーバック2つ入れたりしましたが香りだけが強まってあまり変化しませんでした。長く抽出しても次は渋みだけが強くなります。シナモンアップルが唯一味がしっかりしている、ような気がします。やはりティーバックでは限界を感じました。60袋も入ってるのでよく考えてから購入することをオススメします。
4,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,胡麻,2019年10月20日,3.0,匂いのするお湯,好みは人それぞれですが、私には結構パンチの効いたお味でした。でも、色んな味が試せるので良いと思います。
5,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,タルト,2021年4月24日,3.0,味が薄い,ペパーミントレモンは味も香りも好きでしたが、他はローズヒップが強いのか酸味が強く、オレンジハーブは5分とあるので5分蒸らすと苦く感じました。カモミールもオレンジピールの香りは良かったのですが、やはり苦味を感じました。ただ、ローズヒップは苦手と思っているので、オレンジの香りで緩和されて飲みやすいとも言えます。他社のインフュージョンを先に飲んだのもあり、カモミールハーブに関しては喉に良いとされるリコリスも入っていたのでとても期待したのですが、思ってたより好きになれず…
6,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,Amazon カスタマー,2020年1月8日,5.0,好きな味を見つけるのには良いと思います,レビューを参考に購入しました。期待以上で良い買い物をしたと満足しています！アマゾンの定期で購入しているイタリア産オレンジ有機ハチミツMielizia（ミエリッィア）を溶かして飲むと・・・ん～～美味しい～♪朝、出勤前に飲むと情緒が安定する効果もあります！おすすめです♪
7,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,Amazon カスタマー,2020年2月5日,5.0,私には合いませんでした。,リプトンのハーブティー、好きです。お買い得で、5種の味が楽しめます。5種の中には好きなものと少し苦手なものがあって、好きな味ばかり飲み切ってしまいました。個人的にはオレンジハーブが好きです。そろそろ在庫がなくなるので、また購入しようと思っています。
8,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,ミウコ,2020年10月15日,1.0,オレンジハーブはローズヒップの主張がかなり強めです,味とか以前に、袋が溶けてドロドロになって気持ちが悪いちゃんと品質の検査とかしてるんだろうか…まともな袋にしてから売ってほしい
9,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,30代女,2018年4月15日,5.0,甘甘アレンジ。,いっぱい入っているので、会社に毎日持って行っても２ヶ月持つのが嬉しいです。私は、野菜をめちゃくちゃいっぱい食べるので、ガスに悩んでいまして、オレンジのハーブティーを勧めているブログを読んだのをきっかけに飲み始めました。ガスですか？他にも整腸剤やカモミールも併用しているので、こちらが効いた！とは言えません。が、そもそも柑橘類が好きなので、香りや苦味を楽しめ満足しています。
10,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,ネコの足うら,2021年2月14日,1.0,袋が溶けてドロドロになる,個別包装のパックを開封したとたん、ジンジャーの香りがして期待できると喜んでいましたが、味が薄くがっかりしまさした。人工的な盛られた香りだったのでしょうか？味もあれば会社の差し入れに一箱追加購入して持っていこうかと思いましたが舌が肥えてるスタッフに恥ずかしい思いをすると思い断念しました。お値段なりというか以下というか…残念でした
11,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,すこーる,2021年3月4日,3.0,常温で飲んでいます。,量があるので、この味に慣れてる人、この味が好きな人は全然買って損は無いと思います。ただ、かなりオレンジピールの味が強く、他のアップルやカモミールなどの味を相殺してしまってて、夜落ち着いて飲むと言うより、眠気覚ましに飲む方が良いかと思います。カモミールを全面に押していますが、どちらかと言うとオレンジティーを飲んでる気分です。決して甘くは無いです。砂糖1杯入れると丁度いいかも気になる方は是非に
12,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,きんとき,2019年8月8日,5.0,香りだけは良かった…,リピート買いをしています。寝る前にリラックスするお茶を探していて、これに落ち着きました。カモミールブレンドですが、香りが良い。冷やして飲んでも美味しい。夏はポットに入れて枕元に置いています。熱中症対策用に水分取ってリラックスです。
13,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,ぽんずんずん,2016年10月3日,3.0,オレンジティーを飲んでる感じの味。決して甘くない,最初に飲んだ時に？が出てしまいました。カモミールが薄く、オレンジが強いです。カップ1杯が原則とありますが マグカップ（250㎜くらい？）だとオレンジの香りがする酸っぱい白湯になってしまいました。レビューをよく読めばわかった事ですがファミレスのドリンクバーにあるティバックです。デザート系のお茶なので おいしいですがカモミールティが飲みたい時にはちょっと違いました。
14,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,海老ごはん,2021年2月16日,5.0,ポットでも、冷やしても香りがいい。,わたしはケチなので普通の紅茶のティーパックは2回ほど使用してしまうのですがこのティーパックは1度目はとても綺麗な赤色が出て香よし味よしですが2回目は青いお湯になるだけでちっとも美味しくないです。ティーパックは1度使いが良いようです。
15,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,coral,2020年6月9日,3.0,おいしいですが カモミール感は薄いです。,オレンジピールきつ過ぎ苦いです。私は、紅茶にオレンジピール入れオレンジティー飲みますが、こんなに、苦く成らないです。マーマレード食べた後見たいに、苦いです。高級な外国のマーマレードの時に感じる独特の痺れる苦さなんか残念です。そして説明通りティーバック１つで、カップ１杯しか出ません。沢山有りますが、お得感無いし
16,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,shima,2018年6月15日,5.0,ブレンド率のセンスの問われる商品,ﾎﾃﾙの朝食ﾋﾞｭｯﾌｪで知りました。朝用のお茶。ｵﾚﾝｼﾞの良い香りでﾉﾝｶﾌｪｲﾝ。味にﾊﾟﾝﾁは無いけど、その分ﾏｲﾙﾄﾞで飲み易い。ﾊｰﾌﾞﾃｨｰはどうしても地味だし香りだけ…の物が多い中、色や味も考えられています。
17,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,いちご,2020年12月23日,3.0,味は好き嫌いが別れるが、すごくいい香りがします。,気軽にハーブティーをと思い、アソートのティーバッグを。味は、まぁ無難な味です。本格的な味を求める人には物足りないですが、気分転換で他のものを飲みたいという人にはコスパがいいと思います。
18,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,Kindleのお客様,2021年2月3日,4.0,ﾘﾋﾟｰﾄ買い,授乳期のお茶として購入しました。美味しくないというレビューもありましたが、どれも美味しく飲んでいます。ミントは母乳の出に影響する様なので、卒乳まで我慢です。チョコミント好きでミントも1袋だけ飲みましたが、美味しかったです♪
19,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,食いしん坊くまごろう,2020年10月30日,4.0,気軽に飲むにはちょうどいい,ブレンドされていて、酸味や味に個性のあるものも多く、イメージしていたものとは違ったのですが、これはこれで。少なくとも、まずくて飲めないと言うようなことはありませんでした。
20,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,イワシ,2018年4月3日,5.0,授乳中はミントに注意,シャンプーでもコロンでも、香りは柑橘系が一番好きです。飲み物もアール・グレイやレディ・グレイが好きなので、こちらもためしに買ってみました。いい香り……。それにおいしい……。色合いも綺麗……。女子力高い感じ……。家族にも好評だったのでリピします。
21,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,Forestry,2021年2月27日,1.0,アソートで、量が多いのでお得。,全体的に美味しくなく、消費するのに難儀している。買わなければよかった。以前Amazonで買った他メーカーのハーブティーの方がずっとよかったです。
22,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,あずき,2021年1月5日,5.0,柑橘系好きにはたまらない味,シナモンが柔らかい感じで、誰にも飲みやすいと感じました。　私自身にはもう少し強烈なシナモン味がいいので「4」と評価しました。　くつろぐ時に飲用してます。
23,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,rrr,2021年2月24日,4.0,どの味も美味しくない,とても美味しく頂いております。ビッグセールの時に約1000円で購入し、とてもお買い得でした。ただ1種類だけ、どうしても苦手な味がありましたので⭐️4です。
24,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,アマゾンよ消費者を裏切らないで,2021年5月18日,3.0,手軽に飲むバーブティーです。,迅速な対応有難うございます、香りは良いのですか私の口には酸っぱ過ぎました。長年愛飲しているミックスベリーが、最高です！！
25,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,aya,2020年5月6日,2.0,ボリューミー！,カモミールがオレンジの強さでわずかしか感じられない。シンプルにカモミールティーだけのほうが良かった。
26,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,イモリ,2018年1月17日,5.0,私の勘違いです,以前ファミレスで飲んでおいしかったのですが置かれなくなってしまい探していました。50パックも一人で飲めるかなと思いましたが、毎日飲んでいるのでなくなってしまいそうです。オレンジの爽やかな香りとローズヒップの甘酸っぱい味わい、それと真っ赤な色で見た目も味も香りも大満足です。また購入すると思います。
27,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,好奇心,2013年1月17日,5.0,オレンジが強すぎ,リラックス系のハーブティで、手軽なティーバッグを探していました。近くのスーパーに日東の『リラックスカモミールブレンド』と言うのは売っているのですが、これはカモミールにペパーミントがブレンドされ、ちょっとスースーする感じ。それに対して、今回購入したリプトンの『カモミールハーブ』はカモミールにオレンジピール、ローズヒップがブレンドされ、色も赤っぽく、酸味のある味です。私はこちらの方が美味しく感じました。好みで砂糖や蜂蜜などの甘みをプラスしたらもっと飲みやすくなります。酸味が苦手な人には向かないかもしれません。あまり店頭には置いて無いものらしく、ネットで購入出来て良かったです。
28,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,匿名希望,2020年6月5日,5.0,探していました,味も香りもとても良いです。ハーブティーにありがちな酸っぱさなども無く飲みやすくて大好きです。無くなったらまた買おうと思います。
29,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,ハピマ,2019年12月20日,5.0,ちょっと酸味があり、おいしいです。,バーブティーがちゃんとブレンドされているので、普通に美味しくて飽きない味です。夜飲んでもカフェインレスなので安心です。穏やかな気持ちになれます。
30,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,まあさん,2018年2月17日,5.0,とっても美味しいです,赤ちゃんのためにノンカフェインの飲み物を探していて購入。最初は飲み慣れないからか手が遠いていましたが、冬になり温かい飲み物を良く飲んでいたら気づけばこちらばかり。スッキリしたハーブティですがほのかに甘みも感じられて美味しいです。高いのでリピートは躊躇いますが美味しいです。
31,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,Amazon カスタマー,2021年5月19日,3.0,美味しい！,ローズヒップやハイビスカスよりレモンの感じが強く感じます。色はあまり濃くなく、味は普通だと思います。
32,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,のこ,2020年12月19日,3.0,美味しい,The flavor is not bad
33,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,Yui,2021年3月8日,5.0,入っているフルーツの比率が違う,ハーブティーデビューの品でした。その後カモミールなど他のメーカーの品も試しましたがこちらが気に入ってしまい、早く在庫をさばいてリピートしたいとおもっています
34,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,E. Landon,2021年3月6日,2.0,Orange peel, not chamomile
35,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,Amazon カスタマー,2020年1月22日,5.0,わたしにはベスト,安くて、ひとつひとつの個包装のパッケージデザインがすごくおしゃれでよかったです。お味も少しスパイシーな感じもあって体が暖まつて来そうな気がするので、それもいいかな。たくさん入ってたので、お得感があります。
36,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,平野俊美,2020年6月18日,4.0,リプトンハーブティー5種,ふわっと柑橘系のいい香り、あっさりとした酸味が爽やかなハーブティーです。レストランのフリードリンクでとても美味しかったので探して注文しました。スーパーでは見かけることがなく、パッケージから業務用のようでしたが、バラエティセットの中では一番気に入りました！
37,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,ミミ プレイリー,2021年4月1日,5.0,個包装がおしゃれ❗,数年前からのお気に入りのお茶です。市販はされていないようでこちらで購入出来るのは助かります。味や香りはまさにアップルパイ。シナモンの香りが好きな方にはオススメです。
38,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,laula,2017年5月12日,5.0,酸味と香りのバランスが絶妙,あら～これ　なんだのさ　おいしいね。　と一口飲んで、感想を言った方がいます。苦手という人もいますがハマる人も少なくありません。私は大好きです。暖かい方が香りが良く美味しいなと思いますが、煮出して冷やしておくといつでもすぐに飲めるので嬉しいです。砂糖を少し入れるとまた違う味になるという感想の方もいました。詳しい色の名前はわかりませんが綺麗な赤色です。
39,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,ジュジュ,2015年4月1日,4.0,なかなか売ってない,カモミール以外にもいろいろブレンドされてるのでそれらの癖が苦手な人には合わないと思います。電子レンジでマグカップにお湯をつくって三分ぐらい蒸らすと手軽にほっと一息つけます。とくにおいしいものではありませんが微妙な加減でまずくはなりますので濃いめに作りたい方は注意('・ω・`)
40,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,satorin,2021年1月4日,5.0,美味しく飲みきりました。,種類が多いので自分が好きな味や臭いの好みが見つけられます！自分はシナモンアップルがお気に入りです！
41,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,くまご,2019年12月5日,5.0,美味しかったです,オレンジの香りのバーブティーです。とても美味しく気に入っています。１パックは１杯分ですね。２杯目は使えなかった｡お勧めします。ユーチューブで、ハーブは薄毛に効くと言っていたので買いました。
42,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,カペル,2021年1月6日,3.0,自分の好みが見つけられる,紅茶の味がきつすぎて不味いがそれなりの効果はある。眠気覚ましになった
43,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,小池信之,2020年5月28日,2.0,とても美味しいです。,ミントティー以外は全て苦手な味でした。お値段的にはお得感がありますが、Twiningsやポンパドールのハーブティーと比較すると安っぽく、エグみのある味です。うっかり長時間浸すと飲めたものではなくなります…。コスパを求める人向けだと思います。
44,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,サルタ,2021年4月28日,2.0,美味しくないが効果あった,初めて購入。柑橘系が好きなので味はOKです。しかし今どきのホチキス使用は残念。企業努力をお願いします。改善されたらリピートしたい商品です。
45,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,rom,2020年8月11日,5.0,お値段相応,楽しんでます。嫌いな味がないので、代わる代わる飲んでいます。今は、作って冷やして飲んでいます。
46,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,アマゾン大好きAmazon カスタマー,2020年5月12日,2.0,企業は時代にあった商品提供するべき！,ペパーミント以外は全部ハイビスカスが入ってます。苦手なので残念ながらほとんど飲めません。普通のカモミールやレモングラスのが欲しかった…入っているハーブをしっかり確認するべきでした。ハイビスカスが好きな方ならいいと思います。
47,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,kiyotaro,2021年1月16日,5.0,いろんな味を楽しめます,昔、ホテルで飲んでネットで探しました。皮っぽい味？苦味？が好きなのでだいまんぞくです。
48,B07PGTLGLW,リプトン ハーブティー 5種アソート アルミティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,Kindleのお客様,2017年12月26日,5.0,喘息の人は悪化,ティーバッグをなるべく長めに入れておくと、シナモンとアップル、スパイスの味が濃くなっておいしいです。早めに出してしまうと薄くて少し残念。甘味料は入ってませんがほんのり甘さを感じられます。ノンカフェイン飲料なので、寝る前も安心して飲めます。
