,ASIN,product,variant,brand,name,date,score,title,comment
0,B07PGTLGLW,リプトン ハーブティー 5種アソート ティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,,結城セリカ,2023年5月5日,4.0,ノンカフェだし、ハーブティー代わりに♪,カフェインレスだし他のレモネードや、合わせてのハーブティーとして購入🎵気分で飲んでます♪満足
1,B07PGTLGLW,リプトン ハーブティー 5種アソート ティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,,鈴木,2023年5月6日,4.0,美味しいです,ハーブとフルーツが合って美味しいです。
2,B07PGTLGLW,リプトン ハーブティー 5種アソート ティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,,ちょこくん,2023年5月5日,5.0,気分転換にいい,５種類あるので、気分に応じて飲んでいます。結局、アップルが好きだということになり、アップルばかりへってますが、この辺は好みによります。
3,B07PGTLGLW,リプトン ハーブティー 5種アソート ティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,,Amazon カスタマー,2023年5月7日,3.0,酸っぱめ！,酸っぱいハーブティーが多め、アップルシナモンは、酸っぱくなくアップルパイっぽくてよかった、ただ数が少なめ。
4,B07PGTLGLW,リプトン ハーブティー 5種アソート ティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,,ゴウキ,2023年2月25日,4.0,美味しいと思います。,美味しいと思います。１人カップのみだと味は濃いです。リーズナブルです。
5,B07PGTLGLW,リプトン ハーブティー 5種アソート ティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,,M.Ｔ,2023年4月2日,3.0,味見と気分転換にはピッタリ,いろんな味を試してみたく購入。オフィスで気分転換にその都度味を変えると仕事がはかどります、笑カモミールは草感が強かったものの他の味はおおむね満足。アソートじゃなきゃ試さないであろうアップルシナモンが予想より良かった。レモン、オレンジ、ローズヒップが入ってるものはホントにおいしいです。気分転換にお勧めします。
6,B07PGTLGLW,リプトン ハーブティー 5種アソート ティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,,みかんおれんじ,2023年4月16日,5.0,満足,ハーブティが好きだがティーバッグ状でないと面倒なのと、胃の調子がよくなくカフェインを控えているので購入してみた。同様のものは何種類も購入してきたが一番飲みやすくすっきり美味しいと感じる。仕事中リフレッシュしたい時にも最適。リピートしたい。以前梱包状態が悪く酷い箱潰れがあったが、今回は内容に適した梱包材で綺麗な状態で届いた。
7,B07PGTLGLW,リプトン ハーブティー 5種アソート ティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,,KSC,2023年4月1日,3.0,ノンカフェインハーブティー,カモミールが好きですが、試しにアソートで購入、オレンジが10個入ってます。アルミ個包装は良いのですが、なぜか切り込みからうまく開けられません。色々な味が楽しめてお得です。
8,B07PGTLGLW,リプトン ハーブティー 5種アソート ティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,,nekofuku,2023年4月12日,5.0,ハーブティー初心者にも！,ハーブティーですが、そこまでハーブ感が強くないのでハーブティー初心者でも飲みやすいと思います。レモンとオレンジがとても美味しかったです。
9,B07PGTLGLW,リプトン ハーブティー 5種アソート ティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,,もちこ,2023年1月26日,4.0,寒い日の夜にぴったり,この商品の他にもアソートパックをストックしています。色々な種類の中からその日の気分で好きなフレーバーを選ぶのが楽しいです。
10,B07PGTLGLW,リプトン ハーブティー 5種アソート ティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,,ゆうちゃん,2023年3月9日,3.0,クセがあるので,緑茶や紅茶とは違うから好き嫌いがあると思います、私はウィスキーを少しだけ入れて楽しんでます。
11,B07PGTLGLW,リプトン ハーブティー 5種アソート ティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,,o-tan,2023年3月6日,3.0,ハーブティーは好みが出るので、お試しで購入。苦手な味はやっぱり飲めない。,どんなハーブティーを飲もうか、お試しで買ってみるなら良い。個人的にはシナモンアップルハーブ×10袋とペパーミントレモン×10袋が苦手で飲むのが辛かった。オレンジハーブは美味しい。価格の割に高くつくか、安くつくかは好み次第。あまりオススメしません。
12,B07PGTLGLW,リプトン ハーブティー 5種アソート ティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,,ちこ,2023年3月31日,5.0,手軽な楽しめる,5種の味が手軽に楽しめるのは嬉しい。お湯を注いでから説明書通りいれると、しっかり味が出る。どれもクセが強くないので手軽にハーブティーを楽しみたい方にはおすすめだと思います。
13,B07PGTLGLW,リプトン ハーブティー 5種アソート ティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,,Amazon Customerしゅな,2023年1月10日,4.0,美味しい,さすがリプトンさん、どの味も美味しい。毎晩寝る前にリラックスして頂いてます。
14,B07PGTLGLW,リプトン ハーブティー 5種アソート ティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,,おもち,2023年3月25日,5.0,リフレッシュできます,カフェインを控えており、白湯ではやり過ごせないとき飲んでます。冷える時はアップルシナモン、スッキリしたい時はオレンジ、レモン、寝る前はカモミールと使い分けたりしてます。最近はオレンジをよく飲みます。気分転換にもなるし、美味しく水分補給できるのでいいです。
15,B07PGTLGLW,リプトン ハーブティー 5種アソート ティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,,Amazon カスタマー,2023年3月16日,5.0,んまい,普段は、あまり飲まないハーブティーですが、紅茶のストックが無くなったので、買ってみました。アップルティーの様なフレーバーティーではなく、ハーブティーが色々入ってます。普段、ハーブティーを飲まない私にとって、珍しい味ばかり。。。しかも美味しい。そこそこお手頃で、しかもサー・トーマス・リプトン、、、その辺の、よくわからないお茶ではありません。オススメです。
16,B07PGTLGLW,リプトン ハーブティー 5種アソート ティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,,ちぃ。,2022年12月20日,4.0,好みの味,アルミの個包装なので新鮮です。オレンジは自分にはとても美味しいのですが他のフレーバーがあまり口に合いませんでした。
17,B07PGTLGLW,リプトン ハーブティー 5種アソート ティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,,ひまわり,2022年12月3日,4.0,夜の癒しの時間に！！,夕食後の一息つく時間に飲んでいます！コーヒーだと寝つきが悪くなったり、夜中目が覚めてしまうので、ノンカフェインのこちらを購入してみました！お気に入りはオレンジハーブです！シナモンは好きなのですが、シナモンアップルハーブは好みの味ではありませんでした。好き嫌いがハッキリ分かれると思います。今日は何にしようかなーと気分に合わせて選べるのは、楽しいです！
18,B07PGTLGLW,リプトン ハーブティー 5種アソート ティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,,とも,2023年3月11日,5.0,色んな味が楽しめて良かったです！,初めてハーブティーを飲んでみたくて何がおいしいか試したくてこちらの商品を購入しました！全部おいしくて、毎日色んなハーブティーを飲んでます。かなりオススメです！
19,B07PGTLGLW,リプトン ハーブティー 5種アソート ティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,,アンジュ,2023年2月10日,5.0,美味しい！,種類が5種類もあって60パックでお買い得！安眠を期待して購入しましたが、効果抜群！ぐっすり眠れます。少しトイレが近くなりますが…買って損はないと思います。現在のが無くなったらリピートしたい。
20,B07PGTLGLW,リプトン ハーブティー 5種アソート ティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,,nakasato,2023年1月31日,5.0,色々なフレーバーが楽しめる,何度もリピートしています。カフェインがだめなので、ノンカフェインのこちらで色々なフレーバーが楽しめて満足しています。ただ、アップルシナモンは好みがわかれるかなぁと思います。シナモンが強く、これを飲むと子供がにおいだけでいやがります＾＾；
21,B07PGTLGLW,リプトン ハーブティー 5種アソート ティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,,K.ケイ,2022年12月18日,3.0,初めてのハーブティー,初めて自分で入れてハーブティーを飲んでみました。入れ方を守れば、ハーブの良い香りを楽しめると思います。濃く出しすぎると飲みきれませんでした(笑)
22,B07PGTLGLW,リプトン ハーブティー 5種アソート ティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,,0707ちか,2023年2月2日,5.0,大満足です,美味しいし味のバリエーションがあってお得感があります
23,B07PGTLGLW,リプトン ハーブティー 5種アソート ティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,,ゆきぽん,2023年1月3日,5.0,体がぽかぽか温まります,毎朝起きてすぐに体を温める為に飲んでいます。香りも良く目覚められます。
24,B07PGTLGLW,リプトン ハーブティー 5種アソート ティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,,ママンガ,2022年12月29日,5.0,安心感のあるリプトンハーブティーアソート,ノンカフェインなのにしっかりと香りが良いのと自然に含まれるエッセンシャルオイルが魅力的だと思います。ずっと購入したい商品なのでよろしくお願いします♪
25,B07PGTLGLW,リプトン ハーブティー 5種アソート ティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,,Kindleユーザー,2022年12月8日,5.0,妊婦のかたに,カフェインが入っておらずバリエーションも豊富なので妊婦さんにもよいと思います。喜ばれました。
26,B07PGTLGLW,リプトン ハーブティー 5種アソート ティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,,にゃんこ.,2022年12月15日,5.0,美味しい,カモミールが飲みたくて。でも色んな味を試してみたくアソートにしました。カモミールは柑橘の香りがして癒されますが、カモミール？って感じでした。
27,B07PGTLGLW,リプトン ハーブティー 5種アソート ティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,,餃子,2022年9月29日,3.0,好き嫌い分かれる味,お手軽にハーブティーを楽しめると思い購入しました。オレンジとレモンは好みの味でした。シナモンがボトルに匂いが残るぐらいキツくて苦手でした。好き嫌い分かれそうです。
28,B07PGTLGLW,リプトン ハーブティー 5種アソート ティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,,000,2022年11月24日,5.0,妻が愛飲しています,私は代理で購入しているだけなので味はわかりませんが、たびたび依頼されるということは美味なのでしょう。紅茶は歯が変色するからという理由でこちらを愛飲しているようです。
29,B07PGTLGLW,リプトン ハーブティー 5種アソート ティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,,Amazon カスタマー,2022年11月18日,5.0,ノンカフェイン,とても美味しく大好きになりました。リピート確定です。
30,B07PGTLGLW,リプトン ハーブティー 5種アソート ティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,,Amazon カスタマー,2022年11月13日,5.0,手軽においしい,非常においしいですが 抽出しにくい種類もあります
31,B07PGTLGLW,リプトン ハーブティー 5種アソート ティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,,自由優子,2022年11月9日,5.0,寝る前に飲んでます,疲れた身体に、適度に浸透してくれそう。リラックス効果もありそうですね。とにかくリプトンは手軽で安価だし助かります！！！
32,B07PGTLGLW,リプトン ハーブティー 5種アソート ティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,,Amazon カスタマー,2022年11月7日,5.0,お得感,妊婦の娘が購入したものですが、美味しく頂いているようです。
33,B07PGTLGLW,リプトン ハーブティー 5種アソート ティーバッグ [紅茶 ノンカフェイン] ×60袋,リプトン,,もにもにがじがじ,2022年3月18日,4.0,ただ上手い,美味しい。もう少し安いと尚良い
