,ASIN,product,brand,name,date,score,title,comment
0,B07PM3F6WH,低カフェイン 緑茶 静岡県茶葉100％使用 【緑茶本来の甘み】まろやかで優しい味わい ポリフェノールたっぷり カフェインレス,馬油STORE,O2,2021年4月15日,4.0,しっかり緑茶の味！,水出しコーヒーみたいに、カフェインのパンチはない。でも色はしっかり出るし、味や香りもそこそこです。カフェインレス緑茶のティーパックもあまり商品がないので、有りだと思いました。
1,B07PM3F6WH,低カフェイン 緑茶 静岡県茶葉100％使用 【緑茶本来の甘み】まろやかで優しい味わい ポリフェノールたっぷり カフェインレス,馬油STORE,Amazon Customer,2021年2月21日,4.0,緑茶っぽいお茶,低カフェインでも味はしっかり緑茶。本当はカフェインレスだと嬉しいのですが、緑茶のカフェインレスで美味しく作るのは難しいのでしょうか。以前別のカフェインレス緑茶(粉末タイプ)を買って飲んだら全く緑茶じゃなくて謎の飲み物でした…。この商品の粉タイプがあったら便利でいいな。
2,B07PM3F6WH,低カフェイン 緑茶 静岡県茶葉100％使用 【緑茶本来の甘み】まろやかで優しい味わい ポリフェノールたっぷり カフェインレス,馬油STORE,古,2021年7月3日,5.0,カフェインのパンチはないが、不味くはない,低カフェインですが、普通にカフェインが含まれている緑茶と変わらず美味しいです。次回も購入したいです。
3,B07PM3F6WH,低カフェイン 緑茶 静岡県茶葉100％使用 【緑茶本来の甘み】まろやかで優しい味わい ポリフェノールたっぷり カフェインレス,馬油STORE,わらびもち,2021年2月15日,5.0,普通に美味しい緑茶,家族で一人だけ、夕方以降は　デカフェでないと寝れない者がいます。こういった商品がありあり難い様です。
4,B07PM3F6WH,低カフェイン 緑茶 静岡県茶葉100％使用 【緑茶本来の甘み】まろやかで優しい味わい ポリフェノールたっぷり カフェインレス,馬油STORE,だだ,2021年1月28日,3.0,美味しい,特に御座いません。
5,B07PM3F6WH,低カフェイン 緑茶 静岡県茶葉100％使用 【緑茶本来の甘み】まろやかで優しい味わい ポリフェノールたっぷり カフェインレス,馬油STORE,シロクマ,2021年4月7日,5.0,ティーパックが便利,色もしっかり出るし、美味しいです妊娠中でカフェインを控えたいので助かります
6,B07PM3F6WH,低カフェイン 緑茶 静岡県茶葉100％使用 【緑茶本来の甘み】まろやかで優しい味わい ポリフェノールたっぷり カフェインレス,馬油STORE,あらたか,2020年1月6日,2.0,特に御座いません。,ﾃｨｰﾊﾞｯｸﾞより粉末ﾀｲﾌﾟの方が良いと思います
7,B07PM3F6WH,低カフェイン 緑茶 静岡県茶葉100％使用 【緑茶本来の甘み】まろやかで優しい味わい ポリフェノールたっぷり カフェインレス,馬油STORE,にゃんこ,2021年2月26日,5.0,普通のお茶と変わらず美味しい！,苦味、渋み、は薄いですが、カフェインコントロールにしては、お茶本来の味、風味が有ります。お茶の味がします。
8,B07PM3F6WH,低カフェイン 緑茶 静岡県茶葉100％使用 【緑茶本来の甘み】まろやかで優しい味わい ポリフェノールたっぷり カフェインレス,馬油STORE,Amazon カスタマー,2021年2月23日,3.0,子供のために,味に関しては満足ですが、ティーバッグがとにかく破けやすい事と、取り出す度に細かい茶葉がバラバラと飛び散る事が気になります。小さい事ですが、毎回まわりを拭いたりするのは結構ストレスなので、改善いただければうれしいです。
9,B07PM3F6WH,低カフェイン 緑茶 静岡県茶葉100％使用 【緑茶本来の甘み】まろやかで優しい味わい ポリフェノールたっぷり カフェインレス,馬油STORE,yoppy,2019年5月22日,4.0,低カフェインなのに美味しい★,甘味があり、とても美味しい冷たいお茶が飲めました！友達にだしてもお茶の甘味、旨味があって美味しいと評判！！
10,B07PM3F6WH,低カフェイン 緑茶 静岡県茶葉100％使用 【緑茶本来の甘み】まろやかで優しい味わい ポリフェノールたっぷり カフェインレス,馬油STORE,もんたろう,2019年9月8日,4.0,味は満足だけど、ティーバッグが破けやすい。,期待通りでした。
11,B07PM3F6WH,低カフェイン 緑茶 静岡県茶葉100％使用 【緑茶本来の甘み】まろやかで優しい味わい ポリフェノールたっぷり カフェインレス,馬油STORE,ぱんまんまん,2021年4月27日,5.0,また買いたいな！,妊婦です　静岡育ちで物足りなさはありますが、飲めない苦しさよりはいいです。ありがたい商品です。
