,ASIN,product,brand,name,date,score,title,comment
0,B07QBCNHNQ,UCC おいしいカフェインレスコーヒー スティックコーヒー 30P 60g インスタント(スティック),お・い・し・いカフェインレス,00two,2020年1月21日,5.0,苦味強めだがフラットに調整されている軽く飲みやすいカフェインレスコーヒー,ブラックでは飲まないから正しい評価かは分からないけど、砂糖とミルク入れて飲む私でも美味しいと思うカフェインレスです。最初に飲んだ時から、あ！これ美味しいって思いました。砂糖ぬきだとより美味しい。お高いけど。(意見には個人差があります)
1,B07QBCNHNQ,UCC おいしいカフェインレスコーヒー スティックコーヒー 30P 60g インスタント(スティック),お・い・し・いカフェインレス,あるま,2020年12月26日,4.0,これはまずいお茶？,規定量(1包をお湯140cc)だと薄く感じました。少しお湯を減らして作ったほうが良い感じがします。やや苦味と薄い酸味、香りはあまり感じません。後味はサッパリしています。味は普通のインスタントコーヒーというよりコンビニのコーヒーっぽさを感じました。
2,B07QBCNHNQ,UCC おいしいカフェインレスコーヒー スティックコーヒー 30P 60g インスタント(スティック),お・い・し・いカフェインレス,Amazon カスタマー,2020年6月4日,3.0,買って良かった,今までドリップタイプを飲んでいましたが、ゴミと手間の削減のために買ってみました。手軽に飲めるのはとてもいいのですが、やはり味が少し独特に感じました。牛乳を入れてカフェオレにすれば美味しいです。自分はドリップタイプの袋を開けた瞬間の香りが好きだったんだと気付きました。次はまたドリップタイプに戻ると思います。
3,B07QBCNHNQ,UCC おいしいカフェインレスコーヒー スティックコーヒー 30P 60g インスタント(スティック),お・い・し・いカフェインレス,sakamoto,2020年3月30日,4.0,サッパリした味,苦すぎず、香りもボチボチあってすごーく平均的なコーヒーという感じがします。個人的にはコーヒーを飲みたいとかは香りとコクを感じたいので物足りなさを感じて星は３つにしてますが、飲みやすいコーヒーではあると思います。
4,B07QBCNHNQ,UCC おいしいカフェインレスコーヒー スティックコーヒー 30P 60g インスタント(スティック),お・い・し・いカフェインレス,猫式,2021年4月22日,5.0,手軽に飲めるけど…,私の個人的な味の好みですが、酸味がなくて香りが良く、苦味もきつすぎず、とても好きな種類の味でした。眠る直前になると飲みたくなってしまう習慣がやめられず、これに変えてみました。リピートしようと思います。
5,B07QBCNHNQ,UCC おいしいカフェインレスコーヒー スティックコーヒー 30P 60g インスタント(スティック),お・い・し・いカフェインレス,デプス太郎,2020年12月8日,5.0,丁度いい感じの苦味,ブラックで飲みたいときはドリップのやつで、ミルク入れたいときはインスタントで使い分けてます。普通のインスタントコーヒーの味だと思います。味がうすい等の違和感はありませんでした。開封後の湿気の心配もないし、手軽で楽チンで気に入ってます。
6,B07QBCNHNQ,UCC おいしいカフェインレスコーヒー スティックコーヒー 30P 60g インスタント(スティック),お・い・し・いカフェインレス,Amazon カスタマー,2021年1月21日,5.0,いい香り,カフェインレスでこのクオリティーなら充分です。会社に持っていきランチと休憩に2度飲んでます。又夜にコーヒーが飲みたくなった時は必ずこのカフェインレスにしています。もう少しお値段が下がると助かります。
7,B07QBCNHNQ,UCC おいしいカフェインレスコーヒー スティックコーヒー 30P 60g インスタント(スティック),お・い・し・いカフェインレス,もこもこ,2020年1月26日,5.0,普通のインスタントコーヒー,カフェインレスのコーヒーは色々試しましたが、このコーヒーが一番クセがないので飲みやすいです。苦味もほぼ感じないので、物足りなく感じる方もいると思います。が、カフェインレス初めてで試してみたい方にはオススメだと思います。
8,B07QBCNHNQ,UCC おいしいカフェインレスコーヒー スティックコーヒー 30P 60g インスタント(スティック),お・い・し・いカフェインレス,tkmahalo,2021年5月19日,4.0,美味しかったです。,カフェインレスで夜でも安心して飲めます。それに美味しいです。
9,B07QBCNHNQ,UCC おいしいカフェインレスコーヒー スティックコーヒー 30P 60g インスタント(スティック),お・い・し・いカフェインレス,amason,2019年8月1日,5.0,角のとれた優しい味わい,授乳中でカフェインレスを探していました。インスタントとは思えない美味しさでリピート決定です。
10,B07QBCNHNQ,UCC おいしいカフェインレスコーヒー スティックコーヒー 30P 60g インスタント(スティック),お・い・し・いカフェインレス,やまちゃん,2021年6月26日,3.0,美味しい,カフェインとり過ぎを気にして、購入。コーヒーを求めて買うと、満たされない。でもデカフェの中では1番良いと思う。でもコーヒーじゃない。
11,B07QBCNHNQ,UCC おいしいカフェインレスコーヒー スティックコーヒー 30P 60g インスタント(スティック),お・い・し・いカフェインレス,kate,2021年1月16日,4.0,美味しい！,デカフェですがおいしいです。コスパがよくなればもっといいですね。
12,B07QBCNHNQ,UCC おいしいカフェインレスコーヒー スティックコーヒー 30P 60g インスタント(スティック),お・い・し・いカフェインレス,Amazon カスタマー,2021年2月9日,3.0,コーヒーを求めて買うと…,カフェインレスなので夜でも飲める。ただ、もう少し大きい箱かと思っていたらかなり小さめ。ま、いいか…。
13,B07QBCNHNQ,UCC おいしいカフェインレスコーヒー スティックコーヒー 30P 60g インスタント(スティック),お・い・し・いカフェインレス,Amazonカスタマー,2020年3月20日,5.0,おいしい,夜しか飲まないので、瓶だとしけって塊になってしまうので個包装は有り難いです。
14,B07QBCNHNQ,UCC おいしいカフェインレスコーヒー スティックコーヒー 30P 60g インスタント(スティック),お・い・し・いカフェインレス,discovery,2019年12月9日,5.0,まあまあの味です,カフェインが入っていないようには感じません。寝る前でも飲めるのでリピします。
15,B07QBCNHNQ,UCC おいしいカフェインレスコーヒー スティックコーヒー 30P 60g インスタント(スティック),お・い・し・いカフェインレス,しぃ,2021年4月14日,5.0,個放送,コンパクトで可愛い外装と、一杯づつのスティックなので湿気る事なく楽しめるのが魅力です。
16,B07QBCNHNQ,UCC おいしいカフェインレスコーヒー スティックコーヒー 30P 60g インスタント(スティック),お・い・し・いカフェインレス,はちはち,2021年4月20日,1.0,個別の包装で扱いやすい,思ってた以上に、美味しいかったですよーただお値段が少々高いですね。次回は考えますね。
17,B07QBCNHNQ,UCC おいしいカフェインレスコーヒー スティックコーヒー 30P 60g インスタント(スティック),お・い・し・いカフェインレス,ヨッコ,2021年2月14日,5.0,まろやかで飲みやすい,リピーターです。渋みが無く美味しかった。
18,B07QBCNHNQ,UCC おいしいカフェインレスコーヒー スティックコーヒー 30P 60g インスタント(スティック),お・い・し・いカフェインレス,nobu,2019年12月6日,5.0,美味しいですよー,正直味には期待していませんでしたが、さすがUCCさんですね。美味しくてカフェインレスなので安心して結構なスピードで無くなってしまいました。箱もコンパクトで可愛い。
19,B07QBCNHNQ,UCC おいしいカフェインレスコーヒー スティックコーヒー 30P 60g インスタント(スティック),お・い・し・いカフェインレス,理香,2021年3月6日,5.0,カフェインレス,想像していたより美味しいです。事務所に置いているので便利に使えてます。
20,B07QBCNHNQ,UCC おいしいカフェインレスコーヒー スティックコーヒー 30P 60g インスタント(スティック),お・い・し・いカフェインレス,Jessie,2021年3月28日,5.0,美味しいカフェインレス,カフェインレスわりには、味は美味しいと思います。箱も小さくて会社の狭い給湯室にも置き場所も考えることなくとてもよかったです。粉はよく溶けるので、スプーンで混ぜることなく飲むことが出来、忙しい時もさっと入れる事ができていいと思います。
21,B07QBCNHNQ,UCC おいしいカフェインレスコーヒー スティックコーヒー 30P 60g インスタント(スティック),お・い・し・いカフェインレス,Amazon カスタマー,2020年7月12日,2.0,扱い易さと味との折り合い,私の思っていた味ではなく少し薄いように思います。
22,B07QBCNHNQ,UCC おいしいカフェインレスコーヒー スティックコーヒー 30P 60g インスタント(スティック),お・い・し・いカフェインレス,めー,2020年8月29日,5.0,カフェインレスだけと美味しい,とても美味しいカフェインレスとは思えない
