,ASIN,product,brand,name,date,score,title,comment
0,B07QGSXKZC,有機 ルイボスティー ティーパック 最上級グレード JAS認定 大容量 Honjien tea ほんぢ園 健康茶 オーガニック 2g×100包,Honjien tea ほんぢ園,Kindleのお客様,2020年5月16日,3.0,規定の1リットルに1パックじゃ薄い,味は問題なく美味しく飲めたと聞いておりますが、対応が遅いので急ぎの人は別の方から買った方がいいかも。連絡もないしね。梱包なども普通だったようだし、商品に問題はないようでした。
1,B07QGSXKZC,有機 ルイボスティー ティーパック 最上級グレード JAS認定 大容量 Honjien tea ほんぢ園 健康茶 オーガニック 2g×100包,Honjien tea ほんぢ園,Sethijan,2020年12月26日,5.0,飲みやすいです。,こんなにたくさん入っていてこのお値段。お腹が痛くなるわけでもなく、毎日快便です。このお茶のおかげです。
2,B07QGSXKZC,有機 ルイボスティー ティーパック 最上級グレード JAS認定 大容量 Honjien tea ほんぢ園 健康茶 オーガニック 2g×100包,Honjien tea ほんぢ園,Amazonカスタマー,2020年4月30日,2.0,遅い,煮出しが必要で、ティーパックのルイボスティーと思って購入したので、使い勝手が悪かったです。
3,B07QGSXKZC,有機 ルイボスティー ティーパック 最上級グレード JAS認定 大容量 Honjien tea ほんぢ園 健康茶 オーガニック 2g×100包,Honjien tea ほんぢ園,ピケ35,2021年4月6日,4.0,コスパ最高です！,美味しくいただきました。
4,B07QGSXKZC,有機 ルイボスティー ティーパック 最上級グレード JAS認定 大容量 Honjien tea ほんぢ園 健康茶 オーガニック 2g×100包,Honjien tea ほんぢ園,emuemu,2019年9月12日,5.0,煮出し必要なルイボスティー,コスパ的にはイマイチかもですが、美味しいのでリピートしています
5,B07QGSXKZC,有機 ルイボスティー ティーパック 最上級グレード JAS認定 大容量 Honjien tea ほんぢ園 健康茶 オーガニック 2g×100包,Honjien tea ほんぢ園,英ちゃん,2020年2月28日,5.0,ルイボスティー,飲みやすいです。オーガニックでこのお値段。お値打ちです。
6,B07QGSXKZC,有機 ルイボスティー ティーパック 最上級グレード JAS認定 大容量 Honjien tea ほんぢ園 健康茶 オーガニック 2g×100包,Honjien tea ほんぢ園,姐御っ,2021年2月3日,4.0,美味しい,味もとても飲みやすくパックが薄いので　水筒に入れてお湯を足しながらも何回か飲めるのでとてもよかったです。
7,B07QGSXKZC,有機 ルイボスティー ティーパック 最上級グレード JAS認定 大容量 Honjien tea ほんぢ園 健康茶 オーガニック 2g×100包,Honjien tea ほんぢ園,Amazon カスタマー,2020年8月1日,5.0,美味しい,以前はルイボスティに甘味料を加えてしか飲めませんでしたが、現在は何も加えずにおいしく飲めるようになりました。ずっと飲み続けたいと思っています。
8,B07QGSXKZC,有機 ルイボスティー ティーパック 最上級グレード JAS認定 大容量 Honjien tea ほんぢ園 健康茶 オーガニック 2g×100包,Honjien tea ほんぢ園,Amazon カスタマー,2019年8月25日,5.0,味がいい,この量が入っていて、このお値段で、えぐみもなく本当においしかったです。大変満足しています(*'▽')
9,B07QGSXKZC,有機 ルイボスティー ティーパック 最上級グレード JAS認定 大容量 Honjien tea ほんぢ園 健康茶 オーガニック 2g×100包,Honjien tea ほんぢ園,Amazon カスタマー,2020年10月7日,5.0,ルイボスティー,美味しいです。
10,B07QGSXKZC,有機 ルイボスティー ティーパック 最上級グレード JAS認定 大容量 Honjien tea ほんぢ園 健康茶 オーガニック 2g×100包,Honjien tea ほんぢ園,小河那夜姫,2019年11月28日,5.0,とってもお得です！,内容量が多いのに安く、味もクセがなく美味しいです。無くなったらまたリピします。
