,ASIN,product,brand,name,date,score,title,comment
0,B07S69YHK9,キリン 午後の紅茶 おいしい無糖 500mlPET×24本,午後の紅茶,Amazonカスタマー,2018年4月14日,4.0,ダージリンが 2016年 は 73% でしたが、2019年 は もはや 20% しか使われていません。リニューアルのたびに劣化しており、とても残念。,あくまで個人の感想ですが、2018年春のリニューアルで、味は苦みが増してお茶らしくなったのですが、ダージリンらしい香りは弱くなったように思います。良くも悪くも他社の無糖紅茶製品と近くなった印象です。
1,B07S69YHK9,キリン 午後の紅茶 おいしい無糖 500mlPET×24本,午後の紅茶,もんとふるす,2018年8月19日,2.0,日本にあんパンあり、午後の紅茶あり,リニューアルして明らかに不味くなったので★２つジャワティ試してアッチが昔通りならうつる予定ここ数回のリニューアルで最悪の劣化でした
2,B07S69YHK9,キリン 午後の紅茶 おいしい無糖 500mlPET×24本,午後の紅茶,Amazon Customer,2020年2月24日,1.0,リニューアル,何か味が薄くなったなぁ…と思っていたら、他者様のレビューを見て納得です。ダージリン茶葉の比率が20%って！20%で堂々と使用って書くのもどうかと思います。(個人的には50%以上で初めて書けるのでは？と思います。)味と価格の優位性が無くなったので、他社製品に切り替えます。今まで長い間ありがとうございました。
3,B07S69YHK9,キリン 午後の紅茶 おいしい無糖 500mlPET×24本,午後の紅茶,Amazon カスタマー,2018年6月6日,5.0,不味くなったのでジャワティに移ります,タイムセールで破格のお値段になってた時に購入。もともと、「午後の紅茶」シリーズは、どれを飲んでも美味。そして香りもよいですし。これからの時期は、熱中症対策やらで持ち運びに便利な500mlは買い時ですね。特に、「午後の紅茶」のコレはおススメ。お食事はなんでも合いますし。口がサッパリする、癖がなく飲みやすいというのも万人受けするところではないかな。常温で保存もききますから、買い置きもおすすめです。なお、「午後の紅茶ストレートティー」（赤ラベル）もありますが。同じストレートティになる赤いラベルのものは、微糖で甘みがあります。少しでも甘みがあるほうが好きな人は、赤いラベルの「午後の紅茶」をおすすめします。この「無糖」と、間違う人もいるそうなので、購入される前によくご確認を。
4,B07S69YHK9,キリン 午後の紅茶 おいしい無糖 500mlPET×24本,午後の紅茶,すいぎょーざ,2019年7月15日,5.0,20%！だから薄いのか！,健康診断であまりよい結果ではなかったので甘い飲み物を制限することとしました。そんな中で、何を飲むかといろいろ飲み比べした結果この商品に行き着きました。糖類0なのに口にいれた瞬間にほんのりとした甘味を感じ、あわてて成分を見ました(笑)糖質制限の味方？ですね！とても飲みやすく、かれこれ１ヶ月間甘いジュース類は飲んでおりません。飽きないし何にでも合います。飲み物の評価で軽さと安定性･･･謎です(笑)軽さは500mlですからそのまんまです。安定性はちゃんとしたペットボトルなので、何もしなきゃ倒れたりしません。(あたりまえか)
5,B07S69YHK9,キリン 午後の紅茶 おいしい無糖 500mlPET×24本,午後の紅茶,Amymaria,2021年5月8日,2.0,口当たりサッパリするダージリン（無糖）,配送された段ボール見たら側面(面積小さい方)の部分がテープで補修されてました。中身は無事だったので一々この程度で返品返金の苦情は出しませんがレビューには書きます。キリンのこの商品や生茶の箱は未開封でも側面に四角い穴の開いてる開放状態で、この穴に手をかけて持ち上げると一瞬で箱が破れてボトルが床に散らばってしまいます(体験談）おそらくamazon倉庫か宅配業者のどこかの段階で同じように穴に手をかけてしまったんでしょうね。キリンが段ボールを全周密閉式にするだけでこの被害はゼロになります。難しい事でもなんでもないので即改善してください。
6,B07S69YHK9,キリン 午後の紅茶 おいしい無糖 500mlPET×24本,午後の紅茶,いくら,2021年2月20日,4.0,うまい！,無糖かつクセのないスッキリとした紅茶です。安いだけあって紅茶本来の香りや味わいみたいなものは求められません。ただその分クセがなく、何にでも合わせやすいのは○。私は普段の水分補給はこれで少し贅沢をしたいときはジャワティー、といった感じで飲みわけています。コスパは高いですので、常飲できる紅茶飲料としては悪くないのではないかと思います。※商品そのものの話ではありませんが、梱包のダンボールはもう少し厚く作って欲しい。本当に破れやすいです。普通に持ったら持ち手がちぎれるのはダメだと思います…。
7,B07S69YHK9,キリン 午後の紅茶 おいしい無糖 500mlPET×24本,午後の紅茶,sumitomomatsui,2018年3月22日,5.0,段ボールが弱すぎて配送中に破れやすい要改善,えっ？リニューアルしちゃうの？今のすごく気に入ってるから、変えないで欲しいな。爽健美茶、六条麦茶・・・リニューアルして不味くなったもの数知れず・・・嫌な予感しかしない
8,B07S69YHK9,キリン 午後の紅茶 おいしい無糖 500mlPET×24本,午後の紅茶,andrea,2021年5月26日,5.0,気軽に紅茶のみたいときはこれにしてます,この紅茶に出会って以来、数十回箱買いして毎日飲んでいます。無糖なのに飲みやすいし、ご飯とも合う。冷やしても、常温でも美味しい。リニューアルする度に風味が落ちてる気もするけど、それでもこれに勝る無糖紅茶は存在しない。セールで買うと1本あたり70円前後で買えるので、セールの時を狙うとお得です。
9,B07S69YHK9,キリン 午後の紅茶 おいしい無糖 500mlPET×24本,午後の紅茶,くろがね,2018年5月20日,4.0,無糖ダージリン,紅茶の香りが良くて、後味もスッキリしています。ただ、リニューアル前の方がもっと美味しかった気がします。なので、星一つマイナスです。ただ、ラベルが随分オシャレになりました。
