,ASIN,product,brand,name,date,score,title,comment
0,B07SN1TF8D,イリー ブレンド エスプレッソ 粉 デカフェ 250g デカフェ・ノンカフェイン レギュラー(粉),illy(イリー),ひん,2020年12月26日,5.0,爆発します！,Your browser does not support HTML5 video. 味は良いです。
1,B07SN1TF8D,イリー ブレンド エスプレッソ 粉 デカフェ 250g デカフェ・ノンカフェイン レギュラー(粉),illy(イリー),Amazon カスタマー,2019年6月13日,4.0,爆発すると低レビュー書いた方、ちゃんと注意書き読んでますか？,味は良いが、開けるときに気をつけてください。窒素かなにかが充填されているため、開けるときにゆっくり開けたのに、ボンッ！と爆発したようになり、粉が飛び散りえらいめにあいました。でも味は美味しいのでまた買いますが、今度は屋外で開けます...笑
2,B07SN1TF8D,イリー ブレンド エスプレッソ 粉 デカフェ 250g デカフェ・ノンカフェイン レギュラー(粉),illy(イリー),Emu,2019年7月29日,5.0,濃い目で良い！缶の開封の仕方を動画にしました,毎朝、ビアレッティのマキネッタ3杯用で二人分、20gくらいずつ使って淹れてます。氷を張ったグラスに入れて急冷し、ミルクを加えてアイスラテとして飲んでいますが、某シアトル系カフェよりも美味しく感じるのは、恐らく自己満足だと思いますｗ開封時注意です！密閉した中蓋のプルリングに指を入れて、引っ張って開封しますが、そのリングが簡単に外れてしまい、結局缶切りを使って開けました。また、その際に穴を開けましたが、「シューーーッ」と結構な勢いで芳醇な香りのガスが吹き出しましたので、普通に開けていても粉が飛び散った可能性があります。お気をつけください。
3,B07SN1TF8D,イリー ブレンド エスプレッソ 粉 デカフェ 250g デカフェ・ノンカフェイン レギュラー(粉),illy(イリー),けんちゃん,2020年5月4日,1.0,開けるときに気をつけて！,缶のフタを見たときに少しサビのようなものが付いていたので。気になってましたが・・・まいっかと思いフタを開けると爆発するような大きな音がするのと同時に粉が飛び散りました。ひどい・・・これにより中のコーヒーも半分ぐらいしか残っていません。GWとコロナのせいなのかamazonとカスタマーサービスもAIとしかつながらないため対応してもらうには少々時間がかかりそうです。この商品は二度と買わないつもりです。
4,B07SN1TF8D,イリー ブレンド エスプレッソ 粉 デカフェ 250g デカフェ・ノンカフェイン レギュラー(粉),illy(イリー),ip4,2020年3月29日,5.0,マキネッタにピッタリ,マキネッタで飲んでいます。クラシコとインテンソを併飲しています。苦味の強いインテンソよりも酸味を感じられるクラシコを私は気に入っています。レビューでデカフェの味も大差ないと読んで、夜からはデカフェに切リ変えようと購入しました。21年10月の缶を開封したところですが、開けたてだからか、クラシコ、インテンソより香りはいいです。味も、インテンソより苦味が少なくクラシコ寄りで私には飲みやすくとても美味しかったです。デカフェなんて飲めるかと飲みもせず思っていましたが、これからは、夜はデカフェにして睡眠がよく取れるようになるか比較してみます。一杯目はとても美味しかったです。
5,B07SN1TF8D,イリー ブレンド エスプレッソ 粉 デカフェ 250g デカフェ・ノンカフェイン レギュラー(粉),illy(イリー),Amazon カスタマー,2019年1月5日,5.0,開ける時に爆発した感じで粉が飛び散りました。ひどい商品です。,20年もののオンボロエスプレッソマシンを使っており、ふつーのハンドドリップ用の挽きの粉でエスプレッソを作ってました案の定、さっぱり美味しくなかったので、今回エスプレッソ用の豆を購入。するとびっくり、普通に美味しいエスプレッソですしかもこの粉でハンドドリップしても普通に美味しいです香りが比較的早めに飛びますが、極細挽きなのでしょうがないでしょう
6,B07SN1TF8D,イリー ブレンド エスプレッソ 粉 デカフェ 250g デカフェ・ノンカフェイン レギュラー(粉),illy(イリー),santa,2020年6月12日,5.0,思い込み、デカフェは美味しくない？,イタリアに住んでいる時からこのコーヒーを飲んでいて日本に帰ってきてからもこちらがいちばん私にはしっくりくる味です。コクもあり、香りもよく、これがエスプレッソ。弱火で時間をかけて淹れるのが鉄則、火加減でも味は変わります。火を強めて短時間で入れてしまうと雑な味になるし、香りもイマイチになるので早めに起きて準備し、弱火にかける。その間に朝の支度をし、準備ができた頃にコーヒーもボコボコ音を立てて出来上がります。イタリア人の知り合いは30分かけて作るのがベストだと言ってました。コーヒーは新鮮な物が入っていればガスが発生するので缶を開ける時は一気に開けないで少し開けた状態でガス抜きしてから全開すると良いですよ。
7,B07SN1TF8D,イリー ブレンド エスプレッソ 粉 デカフェ 250g デカフェ・ノンカフェイン レギュラー(粉),illy(イリー),Amazon カスタマー,2020年7月21日,4.0,ドリップでも美味しい,KIMBOのナポレターノが好きだったのですが、品切れが続いたので応急的にイリ―を買ってみました。好みからいうとイリ―はいまひとつです。苦みが強すぎます。KIMBOと比べ粉が湿っぽく、マキネッタのバスケットにサラサラと入れることができません。粉がかたまりになってボタッ・ボタッと落ちる感じで、よくこぼします。マキネッタでおいしいコーヒーができないと訴える人がいますが、どこか方法が間違っているのだと思います。うちで使っているのは6人用。それを3～4杯で飲み切っています。【写真1】粉はすり切りいっぱいに、押さえつけずにフワッと入れます。その前に水を内側の線まで入れておきます。うちは普通の水道水を使っています。【写真2】沸騰するまでは強火。お湯の湧く音がし始めたら弱火にします。フタを開けて下からコーヒーが上がってくるのを眺めるのが楽しいです。でもコーヒーが蒸気とともに強く噴き出してきたら必ずフタを締めましょう。【写真3】しばらくは沸騰するゴロゴロという音と蒸気のシューッという音が混ざり合っていますが、そのうちに音がカン高くなってシューッが9割、たまにゴロゴロ音が入るくらいになったら火を止めます。写真では蒸気が勢いよく出ているのが分かります。【写真4】KIMBOはミルクなしでも飲めましたが、苦みの強いイリ―はミルク多めで飲んでいます。KIMBOが市場に戻ってきたものの、値段が400円ほど高くなってしまったのが残念です。
8,B07SN1TF8D,イリー ブレンド エスプレッソ 粉 デカフェ 250g デカフェ・ノンカフェイン レギュラー(粉),illy(イリー),モウさん,2020年1月20日,2.0,クラシコ,香り・風味に乏しく、やや苦いだけで期待外れでした。（賞味期限2021年4月のロット）開缶の際の、コーヒーの香りに包まれる幸福感を得られませんでした。とてもがっかりです。１カップ用の（普通の）マッキネッタ、２カップ用のブリッカ（ビアレッティ）で淹れていますが、周りにコーヒーの香りが満ちることはありません。本品は初めて購入しました。イタリアのコーヒーを話題にしたサイトやこのレヴューページでの評判が良いので期待したのです。購入したパッケージはMOKA用ではなく、ESPRESSOのための粉でした。粒度・用途が異なるので、正当な評価にはならないかもしれませんが、開缶時の失望感が評価のすべてです。ただ、ブリッカにおいて、適切な水量で淹れればクレマ状の泡は形成され、それなりの雰囲気は味わえました。したがって、総合的におまけの★★です。同じイッリの「 デカフェ・ノンカフェイン レギュラー(豆)」の満足度が高かった割に、本品の残念感が強かったのでこの低評価になったのかもしれません。（2020年2月追加）
9,B07SN1TF8D,イリー ブレンド エスプレッソ 粉 デカフェ 250g デカフェ・ノンカフェイン レギュラー(粉),illy(イリー),はる,2020年9月7日,4.0,ラテアートもできた,イタリア製のベストセラーだけに、マキネッタとの相性はばっちりです。日々おいしくいただいております。が、皆さんおっしゃっているように開封時爆発します。イタリア人の友達に聞きましたが、本国でも爆発物扱いだそうです（笑）。従いまして、できるだけ屋外で開けられることをお勧めします。そっと気を付けて開けようとしても、プルタブを持ち上げて隙間が空いた途端にそこを押し広げるように噴出しますので。
