,ASIN,product,brand,name,date,score,title,comment
0,B07SNXJBGZ,イリー ブレンド 豆 デカフェ 250g デカフェ・ノンカフェイン レギュラー(豆),illy(イリー),hanne,2019年12月23日,5.0,カフェイン60％カット?!(写真を見てください),粉のつもりでいくつもぽちってしまって届いたときに「じゃらっ」と音がして。ああ、これで二回目ではないか。何してんだ自分きーっ！となって思いっきり細引きでミル回して取っ手が溶けた（萌えた、いや燃えた）モカエキスプレスに押し込んでぶわーっと沸かして飲んだらウマイでやんの。くっそー。この先半年くらい（たくさん買ってしまった）腕が疲れる予感。でもまあおいしいから許す。そんな感じ。でも朝、５分余計に時間がかかるな・・・
1,B07SNXJBGZ,イリー ブレンド 豆 デカフェ 250g デカフェ・ノンカフェイン レギュラー(豆),illy(イリー),おっとっと,2021年4月14日,5.0,ひどい状態でした,「カフェイン含有量0.1％以下」と、写真の通り、缶に記載されています。(日本語のラベルには書かれていませんが。)豆の絵は煎りの深さを表しているのでは？開けたてはそれなりに美味しいです。この価格帯で、豆で売っているデカフェとしては悪くないです。
2,B07SNXJBGZ,イリー ブレンド 豆 デカフェ 250g デカフェ・ノンカフェイン レギュラー(豆),illy(イリー),モウさん,2021年1月6日,1.0,豆だった（当たり前）,10 年以上、ずっと愛飲している Illy のコーヒー豆が入っている缶。そのままエスプレッソとして飲んでも、ラテにしても、アイスにかける等何しても美味しい。特に、ミルクで割ってラテにした際、Illy の味がミルクに負けず、しっかりと味わえる。ただし、2020 年ころから、Amazon が発送した場合、ひどい梱包で届きます。一度は梱包に問題を指摘したものの、数か月たっても改善されず、複数個の缶を、固定もせずただ袋に詰めて発送されます。そのため、缶の損傷が酷く、来客時に見えないところに置かないと恥ずかしいレベル。コーヒーの味を気に入った知人にプレゼントなんてできない。味には問題ないが、缶の見た目を気にする場合、間違いなくほかで買ったほうが良いです。
3,B07SNXJBGZ,イリー ブレンド 豆 デカフェ 250g デカフェ・ノンカフェイン レギュラー(豆),illy(イリー),Amazon カスタマー,2020年2月6日,5.0,カフェイン含有量0.1％以下,illyは世界140ヵ国で販売され、50
4,B07SNXJBGZ,イリー ブレンド 豆 デカフェ 250g デカフェ・ノンカフェイン レギュラー(豆),illy(イリー),StMk,2019年12月3日,5.0,味は間違いないが、缶の見た目気にする場合、Amazon 直で買ってはいけない商品。,豆にこだわり無しでしたが、この度バターコーヒーデビューすることになり、色々な豆を試してみています。選んだ理由としては、どちらかというと保存缶が欲しくて。あとはお店で飲んだillyのエスプレッソがすごく美味しかった記憶があったので。ボダムのフレンチプレスで抽出し（蒸らし4～5分）、グラスフェッドバター（ギー）と合わせクリーマーで撹拌しバターコーヒーとして飲んでいるのですが、すごく合う！気がしている。ミディアム（クラシコ）も試しましたが断然ダークロースト (インテンソ) の方がバターコーヒーとしては好みでした。そのままでも濃い目コーヒーが好きな人にはぴったりかと。ええ、本来の飲み方とは違いますが・・・。あまりに美味しいのでエスプレッソメーカー買おうかな？とか思い始めています。他のエスプレッソ豆も購入したので、比較検証が済んだら追記します。
5,B07SNXJBGZ,イリー ブレンド 豆 デカフェ 250g デカフェ・ノンカフェイン レギュラー(豆),illy(イリー),河合計洋,2020年5月8日,5.0,うまいです！,夜の睡眠の質を上げるために、夕方以降コーヒーを飲むときはなるべくデカフェにしています。ただしなかなかおいしいものが見つけられずにいました。スタバのデカフェ豆もおいしいですが、これはもっと香り高く、デカフェと思えない。さすがイタリアンブランドのイリーですね。缶もしっかりしていて、保管しやすい。またリピートします。
6,B07SNXJBGZ,イリー ブレンド 豆 デカフェ 250g デカフェ・ノンカフェイン レギュラー(豆),illy(イリー),tfcc,2020年7月25日,4.0,初心者にはすごく美味,このての商品にありがちな欠点豆少ないですし味のバランスもなかなかいいですね。１杯当たりの値段も高くないですしエスプレッソ用の豆を探しているならイリーが手軽でいいですね。ドリップしても美味しく飲めますと缶に記載があったので試してみましたが、薄味でおすすめしません。追記トルココーヒーにしたら美味しかったです。
7,B07SNXJBGZ,イリー ブレンド 豆 デカフェ 250g デカフェ・ノンカフェイン レギュラー(豆),illy(イリー),Nishi,2019年8月29日,4.0,デカフェと思えない位おいしい！,パッケージが新しくなり商品名が「インテンソ」に替わっただけで風味は変わらず…と思いきや、コクがやや弱くなったような気がします。アラビカ100％を謳っているけどもアラビカ種だけで200種以上あるので、大人の事情でより安価な豆に走っているのかと勘ぐってみたり。とはいえ、しっかりハンドピックされているようで豆の揃い具合は文句なしです。
8,B07SNXJBGZ,イリー ブレンド 豆 デカフェ 250g デカフェ・ノンカフェイン レギュラー(豆),illy(イリー),きくた,2020年12月23日,4.0,王道の味,Amazon、まあまあのヘビーユーザーです。この商品のお味、、大好きなのですが、、缶が凹んで届きました。味には問題なしと思いますが、やっぱり買ったものがこれだと気分は良くないなぁと思いました。でも、缶を開けた時の珈琲の香りはやっぱり最高です。新鮮なのかなぁ。豆の揃いとかよく分かりませんが、デロンギのマシンで淹れたラテはこの缶が一番美味しいです。
9,B07SNXJBGZ,イリー ブレンド 豆 デカフェ 250g デカフェ・ノンカフェイン レギュラー(豆),illy(イリー),ぱしふぁ〜,2020年7月25日,5.0,欠点豆13gと不揃いの豆達が一緒にロースト,セミコマーシャルのグラインダを購入したのに合わせて入手。開けた瞬間の香りも良く、アイスカフェラテで飲みましたが申し分ない味です。10日くらいで飲み切るので豆は缶に入れたままで使いましたが、最後の方は少し味が落ちたような気がしました。焙煎店で購入する豆と違いが分からなかったです。詳しくないのとマシンは家庭用なのでありきたりのことしか書けません。
