,ASIN,product,brand,name,date,score,title,comment
0,B07T9C93FJ,AHMAD TEA ( アーマッドティー ) コールドブリュー レモン&ライム ティーバッグ 20袋 ×2個 [ 英国ブランド 水出し紅茶,AHMAD TEA (アーマッドティー),Amazon カスタマー,2021年5月3日,2.0,美味しい,コールドブリューは口に合いませんでした。砂糖を入れなければ飲めます。
1,B07T9C93FJ,AHMAD TEA ( アーマッドティー ) コールドブリュー レモン&ライム ティーバッグ 20袋 ×2個 [ 英国ブランド 水出し紅茶,AHMAD TEA (アーマッドティー),マルル,2020年5月10日,3.0,爽やかなお茶,コップに入れた冷水にティーパックを垂らすだけでサッとシトラス紅茶ができあがりました。手軽です。若干ポットより薄くでるようなので物足りなさを感じる人もいるかもしれません。私はおおむね気に入ってます。
2,B07T9C93FJ,AHMAD TEA ( アーマッドティー ) コールドブリュー レモン&ライム ティーバッグ 20袋 ×2個 [ 英国ブランド 水出し紅茶,AHMAD TEA (アーマッドティー),milk tea,2020年11月1日,5.0,暖かい紅茶がいい,いつもホットを購入して夏は冷やしていたのですがアイス用を見つけ即買いました。味はホットよりも濃く出て美味しい感じがします！
3,B07T9C93FJ,AHMAD TEA ( アーマッドティー ) コールドブリュー レモン&ライム ティーバッグ 20袋 ×2個 [ 英国ブランド 水出し紅茶,AHMAD TEA (アーマッドティー),Amazon カスタマー,2019年9月19日,5.0,さわやか,冷水でもしっかり味が出ます。爽やかな風味で、夏の定番になりそう。
4,B07T9C93FJ,AHMAD TEA ( アーマッドティー ) コールドブリュー レモン&ライム ティーバッグ 20袋 ×2個 [ 英国ブランド 水出し紅茶,AHMAD TEA (アーマッドティー),Amazon カスタマー,2020年7月30日,5.0,とても美味しいです。,短時間で、しっかり抽出できて、なおかつ美味しいです。麦茶が足りなくなった時に重宝しています。
5,B07T9C93FJ,AHMAD TEA ( アーマッドティー ) コールドブリュー レモン&ライム ティーバッグ 20袋 ×2個 [ 英国ブランド 水出し紅茶,AHMAD TEA (アーマッドティー),たま,2019年11月17日,5.0,美味しい！,とっても美味しいです。ゴールドブリューでもしっかり味があります。
6,B07T9C93FJ,AHMAD TEA ( アーマッドティー ) コールドブリュー レモン&ライム ティーバッグ 20袋 ×2個 [ 英国ブランド 水出し紅茶,AHMAD TEA (アーマッドティー),レレコ,2019年12月7日,5.0,すぐでて、美味しい,水だしで毎日飲んでます。美味しいです。
7,B07T9C93FJ,AHMAD TEA ( アーマッドティー ) コールドブリュー レモン&ライム ティーバッグ 20袋 ×2個 [ 英国ブランド 水出し紅茶,AHMAD TEA (アーマッドティー),常習者,2021年2月11日,5.0,美味しい,水出し便利。さわやかで美味しい。
8,B07T9C93FJ,AHMAD TEA ( アーマッドティー ) コールドブリュー レモン&ライム ティーバッグ 20袋 ×2個 [ 英国ブランド 水出し紅茶,AHMAD TEA (アーマッドティー),かわせみ,2020年4月12日,5.0,浸して5分でできあがります。,美味しかったので。6箱リピしました！水出しでも物凄く濃く出ます！
9,B07T9C93FJ,AHMAD TEA ( アーマッドティー ) コールドブリュー レモン&ライム ティーバッグ 20袋 ×2個 [ 英国ブランド 水出し紅茶,AHMAD TEA (アーマッドティー),Amazon カスタマー,2019年9月8日,5.0,香,手軽で美味しい！大好きです。本当はフレーバーではなく、オリジナルの方が好きですが、今年はどこを探しても見つからず。このフレーバーは2ヶ月で二箱飲み干しました。こちらで購入できてうれしい。
