,ASIN,product,brand,name,date,score,title,comment
0,B07V3GVGZ6,生姜 ルイボスティー 菊芋 巡りChaCha ノンカフェイン ブレンドティー 40包,巡りChaCha,ムクムク,2019年7月29日,5.0,簡単で美味しい,最近急に暑くなって、汗だくの毎日です。汗が流れ始めて数日後にこの商品が届き飲み始めました。これを飲むまでは、午後になるとなんだか自分でクサイ？って少し気になっていましたが、なた豆のお陰か気にならなくなりました。味も優しくて美味しいと思います。私的にはコーン茶のような香りがする気がします。
1,B07V3GVGZ6,生姜 ルイボスティー 菊芋 巡りChaCha ノンカフェイン ブレンドティー 40包,巡りChaCha,ポコひな,2019年9月8日,5.0,初めて購入してみました。,元々生姜は食べるのは好きですが、生姜を飲む、というのが、飲み物としての生姜味が苦手です。ただ今、夏場ですが職場でエアコンガンガンで…。体の冷えが深刻な為、温まる飲み物が必要だと思い、思い切って購入しました。正直、生姜味が薄い！(笑)これは私には嬉しい事です。ただルイボスの味もしない…。キクイモの味は分からないので何も言えませんが…、ここはちょっと残念です。なので、生姜風味のお湯です！薄い生姜風味では満足できない人はご注意下さい。逆に、飲み物としての生姜味が苦手な方にはオススメです。終わり際は結構生姜が来てピリ辛です。体は、意外と温まります！ルイボスの茶葉を持って居るので、好みで追加しながら飲みたいと思います。このお値段であれば、リピするかもです。
2,B07V3GVGZ6,生姜 ルイボスティー 菊芋 巡りChaCha ノンカフェイン ブレンドティー 40包,巡りChaCha,りん,2019年7月31日,5.0,優しいお味,ノンカフェインなので夜寝る前のお茶として飲んでいます。なた豆の効果で鼻の通りが良くなったのか、スッキリした感じで眠りにつくことができている気がします。寝起きの鼻づまりも改善されたので継続したいと思います。
3,B07V3GVGZ6,生姜 ルイボスティー 菊芋 巡りChaCha ノンカフェイン ブレンドティー 40包,巡りChaCha,eito,2019年12月24日,4.0,生姜風味で薄味が良い！,オーガニックのノンカフェインのお茶を探していて購入しました。根菜類なので土臭いのかな？と思っていたのですが、香りがよくて飲みやすくて好きです。今飲んでいるルイボスティーと兼用して愛飲していきます♪
4,B07V3GVGZ6,生姜 ルイボスティー 菊芋 巡りChaCha ノンカフェイン ブレンドティー 40包,巡りChaCha,春からニート,2019年7月25日,5.0,ノンカフェインで飲みやすいです,夏は室内で常に冷房で体が冷えるので購入しました。袋を開封するとしょうがの香りがしました。ティーポットに入れるとほのかな色で、クセが全くなくてとっても飲みやすかったです。じんわり体も温まるのでゆっくり飲みたいです。
5,B07V3GVGZ6,生姜 ルイボスティー 菊芋 巡りChaCha ノンカフェイン ブレンドティー 40包,巡りChaCha,MARICOCO,2019年11月7日,3.0,香りがいい！,生姜の味が濃いので苦手な人は飲めないかも！私は好きなので毎日飲んでいます！お小水の回数がふえました！デトックスされてるんでしょう。
6,B07V3GVGZ6,生姜 ルイボスティー 菊芋 巡りChaCha ノンカフェイン ブレンドティー 40包,巡りChaCha,saya,2020年5月20日,4.0,毎日飲みやすい！,ごぼう大好きです。土の匂いも好きです。ごぼうチップスも好きです。レンコンも好きです。でもこれは飲めませんでした。漠然と、香ばしい感じなのかな？と想像。味が香ばしくないのは分かっていましたが、まさかこんなにも薄味だとは思いませんでした。お風呂に入った生のごぼうののこり湯を飲んでる感じ笑味も匂いも個々ならだめというわけではありません。が、両方そろうと混乱します。匂いが結構ごぼうなのに、味がうすまったごぼう湯なので、舌と鼻と脳みそが混乱して、「（匂いで）ごぼうの香りー（飲んで）いや！お湯！！」となります。濃くだしてみましたが、あまり変わらず…。ごぼうのスープとかを買ったほうが自分には合うみたいです。姉にあげました。それと、私はかなり胃弱体質なのですが（神経性胃炎。胃酸過多。胃下垂のためすぐにもたれる）こちらを飲むと胃が重たくなりコップ1杯飲んだら吐くと思ったのも飲めなくなった理由です。匂いはしっかりしてますし味も良く言えば優しいお味です。これは本当にその人の味覚に合うか合わないかだけの問題な気がします。味が香ばしくないことを理解していれば問題ないと思います
7,B07V3GVGZ6,生姜 ルイボスティー 菊芋 巡りChaCha ノンカフェイン ブレンドティー 40包,巡りChaCha,ともみんみーん,2019年8月16日,5.0,デトックス！,年齢のせいなのか、カフェインが躰に合わなくなり、夕飯の時など緑茶を飲むと眠れなくなってしまいました。ルイボスティーを飲んでる時期がありましたが、味に飽きてました。そこで友人から、勧められたノンカフェインの「なた豆茶 菊芋 麦茶」を試してみました。国産 無農薬 オーガニック原料で、しかもティーパックも接着剤不使用・無着色の素材を使用というのに惹かれました。商品が届いて開封すると、独特の匂いが有るかと思っていたけど、全く無く、煮出すのはちょっと手間だと思ったので、マグカップに水とティーバックを入れてレンジでチンしてみました。味もクセが無くて、とても飲みやすい！食事の時、お風呂上がり、寝る前の水分補給にいつでも気軽に飲めます。
8,B07V3GVGZ6,生姜 ルイボスティー 菊芋 巡りChaCha ノンカフェイン ブレンドティー 40包,巡りChaCha,sonnadesiko,2020年1月11日,4.0,「あぁ美味しい」の一言です。,昔紅茶に生姜のすりおろしを入れて飲んでました。身体は温まりましたが、毎日すりおろすのが面倒くさくなったので止めました。しかし年齢を重ねる毎に冷えが気になり、また始める事にしました。今迄は通常のルイボスティーを飲んでましたが、生姜入りのこの商品を見つけて即注文して、届いて直ぐに飲み始めました。ノンカフェインだから安心して飲めるし、すりおろしの手間から解放、冷えは飲み始めてまだ日にちが浅いのですが、ほのかにじんわりと温まる感じがします。生姜は風邪対策にも良いのでまだまだ寒いこの冬、風邪にも負けないように飲み続けます。
9,B07V3GVGZ6,生姜 ルイボスティー 菊芋 巡りChaCha ノンカフェイン ブレンドティー 40包,巡りChaCha,mica,2020年1月5日,4.0,優しい甘みと辛み,【良かった点】・クセのない味で飲みやすい(私はルイボスティーや甜茶、濃い紅茶系は苦手です)・就寝前でも飲める(カフェインレスコーヒーも飲んでいますが、着色や匂いが気になります)・甘い紅茶やハーブティーとは違って、砂糖とか余分な成分が入ってないので、歯磨き後でも飲みやすい?(飲んでいいのかは不明)・においを軽減するなどの健康効果(個人的に起床時の口臭が抑えられてるような...? 関係あるか不明ですが、飲み続けると肌の状態が良い気がします)【良くなかった点】・味薄めで、何度もお湯を足して飲む...というのは難しい(やさしい麦茶みたいな味です)・量が少ないのか、割とあっという間になくなる(気のせいかもしれません)以前ハーブティー(ノンカフェインのやつ)を飲んで夜覚醒するという謎の現象に見舞われたのですが、こちらは大丈夫でした!
