,ASIN,product,brand,name,date,score,title,comment
0,B07VMSHP45,【Amazon.co.jp限定】 リプトン イエローラベル 120袋 ティーバッグ,リプトン,わん,2020年4月14日,5.0,激不味い！,大好きなリプトン。箱の100個入りもよく買っていましたが、味はこちらの三角タイプの方が断然良い香りです。中々無くならないかなと思いましたが、毎日3杯ほど飲むのですぐなくなりました。小分けのジップロックに入れて会社にも持って行っています。小さいサイズでも売ってますが、コスパはこちらが断然良いです。ちなみにコストコでも売ってますが、コストコの方がほんの少し安かったです。
1,B07VMSHP45,【Amazon.co.jp限定】 リプトン イエローラベル 120袋 ティーバッグ,リプトン,miyuki,2021年1月31日,4.0,普段使いなら何の問題もない。,色んな種類の紅茶を試したがイエローラベルのコスパとバランスの良いブレンドは他社では中々出来ない。アールグレイやダージリンやアッサムやセイロンの単体と違い癖が無く大人から子供まで誰でも受け入れられるブレンドだと思う。紅茶好きにはアールグレイのベルガモットの香りが好きという人もいるが安物だと到底飲める代物ではない事が多い。香り付けの配合が難しいからだと思う。その点このイエローラベルの味は本当の意味で紅茶らしいベーシックな真ん中の味だと思う。コスパも良く毎日飲むならこれをお勧めしたい。客人に紅茶を出して好みと違ったり種類やシュチュエーションを間違うなんてこともない。ちなみにお勧めの作り方はカップにティーバックを入れてお湯を注ぐので無くて、大きめのガラスポットや容器に高い所から90度のお湯を注ぎ空気を混ぜながら入れてお湯を注ぎ終わったらバックを3回ほどジャンピングさせて5分ぐらい放置してバックを抜くと渋みもなく香りの立った濃い深みのある味になります。蒸らしの時間は朝スッキリしたのが飲みたいなら短めで夕時に読書を嗜みながらという時は長めの蒸らしでシュチュエーションによって味の変化を出すのもいいです。変な高い茶を買うより入れ方一つでお茶は美味しくなるので自分に合った淹れ方を研究してもらいたい。
2,B07VMSHP45,【Amazon.co.jp限定】 リプトン イエローラベル 120袋 ティーバッグ,リプトン,Mimi,2020年11月20日,5.0,大容量！,でけー味はともかく、大量！リプトンの紅茶どこでも売ってんだから、飲んだことないのかい？と思うレビュー多いのにビックリ‼️紅茶1000円じゃ100gもかえないよ。味が付いてればなんでもいい！リプトンの紅茶に味を求めちゃいけないよ。
3,B07VMSHP45,【Amazon.co.jp限定】 リプトン イエローラベル 120袋 ティーバッグ,リプトン,モリゾー,2019年12月22日,5.0,淹れ方一つで美味しいコスパも良い,幼いころから飲み慣れた味と香りゆえ歳をとっても何故か選んで購入。本品は数多く入っておりコスパに優れているだけでなくジッパータイプなので保存性も考えられており良い。
4,B07VMSHP45,【Amazon.co.jp限定】 リプトン イエローラベル 120袋 ティーバッグ,リプトン,よっしー,2020年7月16日,3.0,リプトンだもん,正直味はそこまで美味しい訳ではありません。味や香りにこだわるのであればもっとお金を出して買うべきです。とりあえず安く毎日紅茶を飲みたい人にはオススメです。私は1カップにティーバック1袋では濃すぎるので2Ｌのお湯にティーバック1袋入れて紅茶を作っています。毎日2Ｌ飲むのでちょうどいいです。この価格で120袋入っているのでとてもリーズナブルです。
5,B07VMSHP45,【Amazon.co.jp限定】 リプトン イエローラベル 120袋 ティーバッグ,リプトン,たつのしん,2020年3月4日,1.0,昔から変わらない味と香り,香りはゼロ、味はダシガラ。こういう評価に賛同します。少量パッケージで確認してから納得して注文すべきです。
6,B07VMSHP45,【Amazon.co.jp限定】 リプトン イエローラベル 120袋 ティーバッグ,リプトン,しろねこ,2020年4月4日,1.0,普段飲むのにちょうどいい紅茶,色も香りも残念でリプトンイエローラベルとは思えませんでした。
7,B07VMSHP45,【Amazon.co.jp限定】 リプトン イエローラベル 120袋 ティーバッグ,リプトン,ＹＵＫＩ３,2019年12月24日,5.0,損した。不味い。,I always liked Lipton and this package is very practical. It uses zip lock.
8,B07VMSHP45,【Amazon.co.jp限定】 リプトン イエローラベル 120袋 ティーバッグ,リプトン,ke-ta,2019年12月19日,4.0,コスパ最高です,普段紅茶はあまり飲まないのですが寒くなってきて温かい飲み物が欲しかったのでちょうどいいものを見つけたと思い購入しました。量もたっぷり入っているけどジッパー付きなので安心です。普段飲むにはちょうどよかったです。
9,B07VMSHP45,【Amazon.co.jp限定】 リプトン イエローラベル 120袋 ティーバッグ,リプトン,TK,2020年3月24日,5.0,やっぱり紅茶はイエローラベル,いつでもリプトンの紅茶が飲めるのは魅力的です。とにかく大容量なのが嬉しい。またリピします。
10,B07VMSHP45,【Amazon.co.jp限定】 リプトン イエローラベル 120袋 ティーバッグ,リプトン,ai,2020年7月7日,2.0,たっぷり,我が家は麦茶の代わりに毎日アイスティーです。そんなにこだわりもないので、お手軽にいれられるものをと思い購入しましたが、色はでるけど味がしないです。匂いもほぼ感じない。やっぱり高くついても毎日飲むものだからこそ、良いものを買おうと思いました。
11,B07VMSHP45,【Amazon.co.jp限定】 リプトン イエローラベル 120袋 ティーバッグ,リプトン,FOX ★,2020年12月27日,5.0,大容量！！,数が多く、個別包装はされていないので開封後の劣化が気になりますが、紅茶をよく飲む人なら劣化を感じることなく120パック消費できます。美味いかと言われると普通って感じですが、特徴がない味なのでアレンジがしやすい。コストコで同じ物がよく売られてたんですが、見かけなくなったなーと思ったらAmazonにあったので購入しました。
12,B07VMSHP45,【Amazon.co.jp限定】 リプトン イエローラベル 120袋 ティーバッグ,リプトン,sumisu,2021年5月18日,5.0,味と匂いがしない,1日1杯の楽しみとして購入しました。1杯10円程なので、コスパ良く、心置きなく、しかし味はばっちりリプトンなのてまケチりすぎず、楽しむことができます。以前はコストコの180個入りを購入していましたが、最近はコストコにも行けなくなってしまったため、通販で手に入れられて助かります。購入したままのジップに入れたまま使用していますが、180個入りでも最後の方の風味など私は気にならず、最後まで美味しくいただけました。今回はまだ半分もいってないですが、そのまま使う予定です。
13,B07VMSHP45,【Amazon.co.jp限定】 リプトン イエローラベル 120袋 ティーバッグ,リプトン,M7,2021年6月23日,5.0,使いやすい紅茶,本品購入前にはトワイニングの5種類50バッグの物を2回ほど続けて購入したが、後味が少々クドく飽きるのでニュートラルなフレーバーの本品を購入。昔から慣れ親しんだ味で後味もスッキリしていて良い。内容量も多く個包装のゴミもないので良い。普通のティーバッグに比べてビラミッド型の方が茶葉がきれいに速く広がる気がする。
14,B07VMSHP45,【Amazon.co.jp限定】 リプトン イエローラベル 120袋 ティーバッグ,リプトン,だみほ,2019年12月23日,5.0,1日1杯の楽しみ,毎日飲むのでお買い得の時に購入できてよかったです。
15,B07VMSHP45,【Amazon.co.jp限定】 リプトン イエローラベル 120袋 ティーバッグ,リプトン,yama,2020年2月7日,5.0,毎日飲むのに丁度良い。,大容量パックなので、たまにうがい用としても利用。もちろん紅茶として楽しむのがほとんどですが、我が家は消費が激しいため、このくらいの容量が購入できるのは大変ありがたいです。
16,B07VMSHP45,【Amazon.co.jp限定】 リプトン イエローラベル 120袋 ティーバッグ,リプトン,Amazon カスタマー,2020年3月28日,3.0,美味しい,チャックがはめづらくて、気づいたら封が開いていることが多々あります。大きめの紅茶缶に詰め替えて使っています。
17,B07VMSHP45,【Amazon.co.jp限定】 リプトン イエローラベル 120袋 ティーバッグ,リプトン,はる,2020年1月7日,5.0,毎日飲む紅茶。コスパも良し、手間もかからず,毎朝飲むので、量、質共に大満足です
18,B07VMSHP45,【Amazon.co.jp限定】 リプトン イエローラベル 120袋 ティーバッグ,リプトン,あさ,2021年5月27日,4.0,値段も味も満足だが・・・,タイムセールで購入。毎朝ミルクティーを飲むので、この量は有難いです。あっさりした飽きのこない味。普通に飲む分には問題なし。こだわりのある人には物足りないかも。もうひとつのロイヤルミルクティー用の物も試してみたいです。
19,B07VMSHP45,【Amazon.co.jp限定】 リプトン イエローラベル 120袋 ティーバッグ,リプトン,とと,2021年5月26日,3.0,朝の紅茶,コストコで購入した180個入りがなくなったため、こちらを購入しました。うーん。コストコのほうがコスパ断然いいです。会社に持って行って飲んでいます。
20,B07VMSHP45,【Amazon.co.jp限定】 リプトン イエローラベル 120袋 ティーバッグ,リプトン,れーちん,2021年4月19日,4.0,大容量で普通に飲む分には問題なし。,以前、コンビニで購入していたので、同様に使ってます。ただす、１袋の内容量が少ないかと感じてますが、モーニングティーとして飲むには余り問題ではないと思いました。
21,B07VMSHP45,【Amazon.co.jp限定】 リプトン イエローラベル 120袋 ティーバッグ,リプトン,ちちち,2020年3月22日,5.0,コストコのほうが断然安い,１日に６個は使うので大容量は嬉しいです。
22,B07VMSHP45,【Amazon.co.jp限定】 リプトン イエローラベル 120袋 ティーバッグ,リプトン,jiji53,2020年4月12日,5.0,お湯を入れると、すぐに抽出されるにで、ワンカップドリンクには最適。,紅茶を毎日のように飲みます。高級なお茶はそれはそれは美味しいですが、結局このお手軽さと美味しさを考えたらイエローラベル最強です！
23,B07VMSHP45,【Amazon.co.jp限定】 リプトン イエローラベル 120袋 ティーバッグ,リプトン,Aki,2020年3月29日,5.0,大容量,たっぷり入っているうえに、安価で助かってます。
24,B07VMSHP45,【Amazon.co.jp限定】 リプトン イエローラベル 120袋 ティーバッグ,リプトン,山田龍弥,2021年4月17日,2.0,配送が最悪,沢山入っていてお得だと思い買いました。しかし、紅茶の香りも味もイマイチ！茶葉が良くないのだと思いました。Liptonさん信じていたのにガッカリです。
25,B07VMSHP45,【Amazon.co.jp限定】 リプトン イエローラベル 120袋 ティーバッグ,リプトン,みふみふ,2020年5月31日,3.0,美味しい紅茶です‼︎,お買い得で良かった！値段の割にはしっかり、味もしていると思う！
26,B07VMSHP45,【Amazon.co.jp限定】 リプトン イエローラベル 120袋 ティーバッグ,リプトン,椿好き子,2021年2月7日,4.0,ガッカリです。,完全在宅勤務になり1日家にいるので茶葉の消費量が増加してしまい、手頃なものがほしくて探したところこちらがヒット。味は特に個性なく飲みやすい標準の紅茶と思いますが、この量と値段なのでとにかくコスパが良いと思います。既にリピートしてます。特に味にこだわりがなく、たくさん消費する場合はとても良いと思います。
