,ASIN,product,brand,name,date,score,title,comment
0,B07VZZ2FH8,AGF ブレンディ カフェラトリー スティック 濃厚クリーミーカフェラテ デカフェ 6本×6箱 【 カフェインレスコーヒー 】【,AGF(エージーエフ),しんぺいた,2020年7月27日,2.0,クリーミー！,93％カフェインカットということで購入したが、1杯分のカフェインが5mg入っていて、飲むと胃が痛くなった。他のカフェインレスだと93％カットで4ｍｇなので、胃は痛まない。買った6箱全部廃棄します。残念でした。
1,B07VZZ2FH8,AGF ブレンディ カフェラトリー スティック 濃厚クリーミーカフェラテ デカフェ 6本×6箱 【 カフェインレスコーヒー 】【,AGF(エージーエフ),k,2020年6月14日,4.0,美味しい,ミルク感があるインスタントを探していて、たどりつきました。とってもミルク感があってクリーミー　もう少し甘さが控えめだと嬉しかったですが、ホットで飲むと他のインスタントには叶わない感じです。（個人的な感想です）アイスにしてしまうと、このクリーミーさが損なわれてしまうので残念ですが、個人的にはこれを実店舗でもっと扱ってほしいです。ブレンディで同じカフェインレスのカフェラテがありますが、こちらよりミルク感を求めるなら、こちらを注文したほうがいいです。
2,B07VZZ2FH8,AGF ブレンディ カフェラトリー スティック 濃厚クリーミーカフェラテ デカフェ 6本×6箱 【 カフェインレスコーヒー 】【,AGF(エージーエフ),toto,2021年1月3日,5.0,カフェインレスなのに胃が痛む,産後、授乳中に飲みたかったため購入。近隣のお店で購入するのとそこまで値段は変わらないので特にお得感はありませんが、まとめて送ってもらう事で買い物の手間が省けるのはありがたいです。産前はブラックコーヒー派でしたが、産後忙しい中で甘いものでホッとひと息つく時間に重宝しています。既に2度目の購入ですが、毎回梱包も綺麗にされています。
3,B07VZZ2FH8,AGF ブレンディ カフェラトリー スティック 濃厚クリーミーカフェラテ デカフェ 6本×6箱 【 カフェインレスコーヒー 】【,AGF(エージーエフ),Amazon カスタマー,2020年11月25日,4.0,とってもクリーミー,はじめてのカフェインレスだったけど、味もおいしいし満足！ただ、梱包がビニール袋だったからか、二箱ちょっと潰れてました。自分用だし、中身がとび出てるわけじゃないので別に問題はないけど、気になる人は購入時注意です。私はあんまり気にしないのできっとまた買います。
4,B07VZZ2FH8,AGF ブレンディ カフェラトリー スティック 濃厚クリーミーカフェラテ デカフェ 6本×6箱 【 カフェインレスコーヒー 】【,AGF(エージーエフ),Amazon カスタマー,2020年3月7日,5.0,産後のコーヒーブレイク用に購入、美味しい,他メーカーのカフェインレスコーヒーと違うところは、お湯を注ぐだけでカフェラテらしさが満点になるところです。デカフェとは思えない美味しさでした。コーヒーの味が全然薄くないので驚きました。まとめ買いして良かったと思いました。
5,B07VZZ2FH8,AGF ブレンディ カフェラトリー スティック 濃厚クリーミーカフェラテ デカフェ 6本×6箱 【 カフェインレスコーヒー 】【,AGF(エージーエフ),omusubimaru,2020年5月3日,4.0,おいしい！けど、おしい！,インスタントで、しかもカフェインレスなのに思った以上にコーヒー感があり驚きました。だいたいのカフェインレスはなんだか物足りない感じがするものが多い気がするので。おすすめいたします。
6,B07VZZ2FH8,AGF ブレンディ カフェラトリー スティック 濃厚クリーミーカフェラテ デカフェ 6本×6箱 【 カフェインレスコーヒー 】【,AGF(エージーエフ),Amazon カスタマー,2020年12月8日,3.0,授乳中でもカフェラテを安心して飲めます！,カフェインをとる事を禁止されてるので、ノンカフェインのコーヒーや紅茶は、飲んでますが、甘い味付きのを、飲んでみたいと買いましたが、普段ノンシュガーなので、私には、甘過ぎました
7,B07VZZ2FH8,AGF ブレンディ カフェラトリー スティック 濃厚クリーミーカフェラテ デカフェ 6本×6箱 【 カフェインレスコーヒー 】【,AGF(エージーエフ),JK,2020年4月26日,4.0,かなりコーヒー感あります,コーヒーはカフェラトリーのスティックを飲んでます。いろんなシリーズを飲みました。これはカフェインがないのでバセドウ病の私としてはしんどくない。味も普通通り美味しいです。ありがたい。一箱に入っている本数が少ないので星4つ。味は普通に美味しいです。
8,B07VZZ2FH8,AGF ブレンディ カフェラトリー スティック 濃厚クリーミーカフェラテ デカフェ 6本×6箱 【 カフェインレスコーヒー 】【,AGF(エージーエフ),ももきち,2021年3月7日,4.0,不思議な味…,コスパなどは抜群なのですが、一点だけ残念な点を感じるのは「味」です。やや「濃すぎる感」あり、甘みもやや「強すぎ」感あります。これが改善されれば、個人的にNo.1なのですが薄めにしようとすると「巨大カップ」が必要になってしまう。
9,B07VZZ2FH8,AGF ブレンディ カフェラトリー スティック 濃厚クリーミーカフェラテ デカフェ 6本×6箱 【 カフェインレスコーヒー 】【,AGF(エージーエフ),ぬぴ,2021年3月8日,4.0,味は好きだけど配送最悪。,デカフェで美味しい商品を探していました。もう少し甘みが少なくてもいいと思いますが十分納得できる美味しさです。カフェインレスのブラックコーヒーとミックスして飲んだりしてます。美味しくてすぐのんでしまうのでこちをよく購入します。
10,B07VZZ2FH8,AGF ブレンディ カフェラトリー スティック 濃厚クリーミーカフェラテ デカフェ 6本×6箱 【 カフェインレスコーヒー 】【,AGF(エージーエフ),わいわい,2020年2月9日,5.0,一点だけ意見,乳児を抱えて、なかなか飲みに行けないので、ほっと一息するために購入。甘めが好きなので、とても好きです。ただ、箱の合わせよりもまとまったものがあればいいですね
11,B07VZZ2FH8,AGF ブレンディ カフェラトリー スティック 濃厚クリーミーカフェラテ デカフェ 6本×6箱 【 カフェインレスコーヒー 】【,AGF(エージーエフ),Nana,2020年4月7日,4.0,デカフェが嬉しい,カフェインレスでスティックタイプのコーヒーが欲しくて購入しました。ふわっと泡立ち、程よい甘さとミルク感も味わえます。私は牛乳を足して飲むこともあります。やや値段は高めですが、自宅で泡立ちコーヒーが飲めるのでリピしてます。やや冷めたお湯を注ぐと、うまく泡立ちしないので熱湯を注ぐことをお薦めします。
12,B07VZZ2FH8,AGF ブレンディ カフェラトリー スティック 濃厚クリーミーカフェラテ デカフェ 6本×6箱 【 カフェインレスコーヒー 】【,AGF(エージーエフ),sirochan,2020年11月14日,5.0,手軽にカフェ気分,どうしてもコーヒー飲みたくて。1日1杯飲んでます。授乳中はどうしても甘い物を口にしたくなるのでカフェインレスはありがたいです。
13,B07VZZ2FH8,AGF ブレンディ カフェラトリー スティック 濃厚クリーミーカフェラテ デカフェ 6本×6箱 【 カフェインレスコーヒー 】【,AGF(エージーエフ),Amazon カスタマー,2021年2月10日,4.0,カフェインレスで泡立ちコーヒー飲むなら！,品物には問題ないのですが、梱包が雑でした。箱が潰れていて中身のカフェラテのステックが見えていました。
14,B07VZZ2FH8,AGF ブレンディ カフェラトリー スティック 濃厚クリーミーカフェラテ デカフェ 6本×6箱 【 カフェインレスコーヒー 】【,AGF(エージーエフ),zoe,2021年4月30日,5.0,授乳期に。,おいしい‼️ノンカフェインだし、すごくいいです。何回も買っていますよ。
15,B07VZZ2FH8,AGF ブレンディ カフェラトリー スティック 濃厚クリーミーカフェラテ デカフェ 6本×6箱 【 カフェインレスコーヒー 】【,AGF(エージーエフ),Amazon カスタマー,2020年10月25日,2.0,初めの購入です。,袋の発送のみで、パッケージの箱が潰れていました。中身に影響はないと思いますが、大変残念でした。
16,B07VZZ2FH8,AGF ブレンディ カフェラトリー スティック 濃厚クリーミーカフェラテ デカフェ 6本×6箱 【 カフェインレスコーヒー 】【,AGF(エージーエフ),トミ,2020年4月20日,5.0,美味しいです！,カフェインがダメな私はこちらを愛飲しています。味もとても美味しく気に入って度々購入しています。
17,B07VZZ2FH8,AGF ブレンディ カフェラトリー スティック 濃厚クリーミーカフェラテ デカフェ 6本×6箱 【 カフェインレスコーヒー 】【,AGF(エージーエフ),あずき,2020年5月1日,4.0,お湯を注ぐと泡立つ,友人から教えてもらいCVで購入したら　旨いので　即購入これにはまってます　甘さも　喉越しも　いいです
18,B07VZZ2FH8,AGF ブレンディ カフェラトリー スティック 濃厚クリーミーカフェラテ デカフェ 6本×6箱 【 カフェインレスコーヒー 】【,AGF(エージーエフ),キィちゃん,2020年4月3日,4.0,おいしい！,家にいることが多くなり、お手軽にカフェ気分。インスタントですがクオリティは高いです！すぐなくなるからこれくらい多い方がいい。栄養価の高いの粉ミルクと混ぜて飲んでます。
19,B07VZZ2FH8,AGF ブレンディ カフェラトリー スティック 濃厚クリーミーカフェラテ デカフェ 6本×6箱 【 カフェインレスコーヒー 】【,AGF(エージーエフ),山田英美,2021年5月7日,3.0,旨い,普段飲んでいるブレンディのカフェインレスよりも味が薄く感じた。うっすら甘いくらいで何か物足りなく感じた。
20,B07VZZ2FH8,AGF ブレンディ カフェラトリー スティック 濃厚クリーミーカフェラテ デカフェ 6本×6箱 【 カフェインレスコーヒー 】【,AGF(エージーエフ),わか,2021年4月5日,5.0,クオリティ高いインスタント,カフェインレスでこの濃厚ミルクを味わえるのは嬉しい！！近くのお店にも売ってないのでAmazonで定期的に購入してます！他のカフェインレスに比べると高く感じるかもしれませんが、それでも安いので◎
21,B07VZZ2FH8,AGF ブレンディ カフェラトリー スティック 濃厚クリーミーカフェラテ デカフェ 6本×6箱 【 カフェインレスコーヒー 】【,AGF(エージーエフ),ちゃむちん,2021年3月18日,5.0,カフェインレスでライトな味,テレワーク中、家でカフェっぽいものを飲みたくて購入。クリーミーでとてもおいしい！カフェインを取ると少し体調が悪くなるタイプなので、カフェインレスはとてもありがたいです。
