,ASIN,product,brand,name,date,score,title,comment
0,B07WLPD15H,AGF ブレンディ やすらぎのカフェインレス スティック 32本 【 スティックコーヒー 】【 水に溶けるコーヒー 】【,AGF(エージーエフ),ttt,2019年9月26日,1.0,ブラックでは飲めない,びっくりするぐらい不味い。コーヒーの味がしない。ブレンディとは思えない。1本飲んで捨てました。
1,B07WLPD15H,AGF ブレンディ やすらぎのカフェインレス スティック 32本 【 スティックコーヒー 】【 水に溶けるコーヒー 】【,AGF(エージーエフ),ポール,2021年1月11日,2.0,甘い香りのカフェインレスコーヒー,ブレンディの普通のインスタントは安いけど比較的美味しく飲めますが、カフェインレスになるとここまで味落ちるのかとビックリしました。珈琲の香りも風味もないただの黒い苦い液体ができます。レビューみたらカフェオレにしたら飲みやすくなったとあったのでやってみたら本当に飲みやすくなりました。ただ普段からノンシュガーでブラックで飲むので消費するのにかなり時間かかりそうです。インスタントのカフェインレスコーヒー買うならこちらではなくネ◯カフェおすすめします。星1にしたいところですが1杯分個包装な所は便利なので星2で。
2,B07WLPD15H,AGF ブレンディ やすらぎのカフェインレス スティック 32本 【 スティックコーヒー 】【 水に溶けるコーヒー 】【,AGF(エージーエフ),クレイジーピエロ,2019年12月10日,1.0,まず！！,カフェインレスコーヒーの飲み比べで買ってみました。本当にコーヒーなのか⁉️と突っ込まずにはいられないぐらいに【酸っぱい】😭ブレンディのカフェオレは美味しいのに、これは想像を越える異端です。味覚が敏感で、コーヒーにこだわる方には勧められません。ポーションやシュガーミルク入れて飲んでみましたが、コーヒーとは思えないぐらい不味かった((T_T)) カレーや料理の隠し味として使う分にはいいかも。
3,B07WLPD15H,AGF ブレンディ やすらぎのカフェインレス スティック 32本 【 スティックコーヒー 】【 水に溶けるコーヒー 】【,AGF(エージーエフ),みるく,2021年1月21日,3.0,珈琲とは？？？,他の方のレビューにもありますが、普通にお湯に溶かすとコーヒーでもない、美味しくない謎の飲み物が出来上がります。。一方、牛乳に溶かすと不思議とコーヒー牛乳の味が再現できますので、こちらの飲み方で消費できました。カフェインレスでコーヒー牛乳を飲みたい方にはおすすめです。アイスでも溶けやすいので私は5割牛乳に溶かしてお湯を足して飲みました。
4,B07WLPD15H,AGF ブレンディ やすらぎのカフェインレス スティック 32本 【 スティックコーヒー 】【 水に溶けるコーヒー 】【,AGF(エージーエフ),tukishi,2019年12月12日,2.0,まずい…二度と買わない,毎朝カフェ・オ・レ飲みます。妊娠したのでカフェインレスコーヒーさがして買ってみました。体質味覚が変わったのかカフェインレスだからなのか、あまり美味しくなくて飲めませんでした。また妊娠期間終わったら飲み始めます。少量のカフェインを気にせずBlendyのスティック紅茶オレと抹茶オレとココアオレ飲むことにしました。こちらは変わらず美味しいです。
5,B07WLPD15H,AGF ブレンディ やすらぎのカフェインレス スティック 32本 【 スティックコーヒー 】【 水に溶けるコーヒー 】【,AGF(エージーエフ),VRFJ,2021年1月25日,5.0,ブラックはオススメできません。飲み方を選びます,カフェインには強い体質だったのか？若い頃はよく寝るって事だけなのか？わかりませんが、勝手にコーヒー飲みまくっても、さっさと寝ちゃう！って気になってました。ブレンディ(水溶ける)購入以降、手軽に飲めるので飲み過ぎの傾向。なんだか寝付きが悪いな？って思ってましたが、コーヒー飲まなかったらいつも通り眠れました。　成る程っ！カフェインの取りすぎか！って事でデカフェタイプ。味はやはり変化します。でも飲めないわけじゃない。使い分けます。
6,B07WLPD15H,AGF ブレンディ やすらぎのカフェインレス スティック 32本 【 スティックコーヒー 】【 水に溶けるコーヒー 】【,AGF(エージーエフ),九十九,2019年12月20日,3.0,お口に合いませんでした,授乳中のため、カフェインレスコーヒーをいろいろと試しています。こちらは、作るのが非常に簡単で、子どもたちのお世話をしながら自分のコーヒーを入れる事ができます。味はインスタントだし、豆乳を入れると変な混ざり方するし、評価は別れるところかと思いますが、これ以上手間をかけて自分の飲み物を用意する余裕がないので良いと思います。若干値上げ傾向なのが気になります。私は定期便で600円弱で購入していたので、あまり上がるようなら考えます。
7,B07WLPD15H,AGF ブレンディ やすらぎのカフェインレス スティック 32本 【 スティックコーヒー 】【 水に溶けるコーヒー 】【,AGF(エージーエフ),KanB1579,2020年8月18日,1.0,お手軽なので…飲みすぎます。,まず、 水に溶けるのはいいけど。飲んで香りも風味もないし、やすらげるコーヒーの味ではなかったです。買って損をした。ハッキリ言って私は美味しくなくて飲めなかった。もう、この商品は買いません！
8,B07WLPD15H,AGF ブレンディ やすらぎのカフェインレス スティック 32本 【 スティックコーヒー 】【 水に溶けるコーヒー 】【,AGF(エージーエフ),トモス,2020年10月16日,4.0,手軽だが口には合わなかった,コーヒーの香りは好きなのですが？カフェイン？がダメみたいで普通のコーヒー飲むとえずいてしまします(-_-;)これにしたらえずく事もなくコーヒーを楽しめます。また栄養指導でカフェインを控えるように言われていたので渡しには、丁度良い感じです。コーヒーは好きなのに、飲むとえずいてしまう人には最適化と思います。ただパンチはないですね
9,B07WLPD15H,AGF ブレンディ やすらぎのカフェインレス スティック 32本 【 スティックコーヒー 】【 水に溶けるコーヒー 】【,AGF(エージーエフ),年中風邪をひいています,2020年9月11日,5.0,場所もとらないし常備してもいいかも,ポリフェノールはしっかり残しつつ、カフェインはしっかりCUTされてることがよく解ります。空腹時に飲んでもまったく胃痛or不快感が出ず。冷たい牛乳へもしっかり溶けてよし。ヘビーユースしていこうと思います
