,ASIN,product,brand,name,date,score,title,comment
0,B07WYWTBHN,スターバックス コーヒー ディカフェ ハウス ブレンド 140g ×2袋,Starbucks(スターバックス),奥島智和,2020年3月30日,1.0,ショック。,値段が安くて商品を購入しましたが、届いた商品の日付を見てびっくり？！新品未開封の賞味期限が切れているアウトレット商品を出すのは、本当に辞めてほしいです。
1,B07WYWTBHN,スターバックス コーヒー ディカフェ ハウス ブレンド 140g ×2袋,Starbucks(スターバックス),竹内　美津江,2021年2月10日,4.0,残念😣な買い物,デカフェを購入。1300円で、説明通りにきちんと2袋入っていた。先行レビューに１つしか入っていない！★１！と多いが、それは別のバージョンの模様。さて、本品のレビュー。当方「夜カフェ」がマイブームであり、これまで４種類ほど試してきた。ドリップとエアロプレッソを使ったエスプレッソ、そしてそれぞれ豆乳入りで。・illyのデカフェ：極細挽きのエスプレッソ専用品。なのに、エスプレッソで飲んでも今一つ。ドリップはエグ味ばっか。興味本位で（ベトナムコーヒー的にならないかなと）マキネッタをやったらザラザラの激マズができた。あと、極細挽＋金属缶で酸化が早い。・輸入食品店で買ったやつ（名前は忘れた）：いかにもデカフェ！で最初から最後まで違和感。飲み切るのに我慢が必要だった。・ここで諦めては負けと、続いてヒルスなるブランドのブラジルをアマゾンさんで買った。デカフェにやや違和感あるも、ドリップはかろうじてOK、エスプレッソは〇。豆乳との相性も悪くない。・続くヒルスのモカをアマゾンさんで購入。レビュワーの星評価はひどいが、違和感なく、ドリップのストレートでも言われるほど悪くなかった。本品は中挽きだが、エスプレッソでも良く、そして豆乳との相性が抜群だった。これぞ夜カフェ！と楽しんでいた。さて、そろそろスタバのレビューを書かねば。またヒルスのモカでも良いし、あるいはドリップにもエスプレッソにもできるよう豆で買って自分で挽こうかと考えたが（当方、ナイスカットミルを所有するどころか、月に１度ほど自分で焙煎して飲んでいる。デカフェじゃないやつを）あ、スタバ出てるじゃん。夜カフェで豆乳使うなら相性は良いはずだし、値段も高すぎず安すぎず。で、冒頭に記した通り、ちゃんと２袋入りがやってきた。パントリーではなく、たしか送料無料。他の注文品と一緒に来た。賞味期限は十分あるもの。包装に異常なし。肝心の味について、スペシャリティー的な旨味を感じるものではなく、高級感や味の透明感は全くなく、僅かにインスタント風（5%くらい）。香りはイマイチ（これはデカフェ共通。まぁ、夜中にプンプーンされても困りますが）とはいいつつも、ドリップで普通に飲めるレベル（６５点くらい）。デカフェの違和感はあまりなし。酸味や苦味に特化せず、どちらかといえばスタンダード。焙煎は標準か気持ち強め。深煎りではないが、抽出温度は気持ちぬるめが正解。好みによるが、８２°Cくらいがいいんじゃないのかな。（これは夜カフェマジックかもしれない）本品は中挽だが、エスプレッソで問題なし（気持ち多めに使ったほうがよろし）。悪ふざけでマキネッタをやったが、これまた激マズだった。マキネッタで夜カフェなんておしゃれーなインスタ映え映えーーーだが、その中身はなんてことはない。ただただ泥を口に含んでいるだけ。で、特筆すべきは本品はミルク・豆乳の相性は抜群によろしい。文句なしに華やかさがある。おそらくこれはパッケージとスタバのブランドイメージのプラセボ効果にやられているだけなのだろう。しかし、イメージや雰囲気もまた味のうち。夜に贅沢してるぜ！夜中なのに自宅でスタバの豆乳ラテだぜー！・・・馬鹿でごめんなさい。でも、いいですね。実質７０点、しかしその雰囲気はプライスレス。＊＊＊追記＊＊＊その後、ふらっとスタバに立ち寄って豆乳ラテを頼んでみた。そして、しっかり味わってみた。もちろん何度か飲んでいるが、今までたいして味を意識せず何となく飲んでいた。で、感想。・・・負けていない！ウチの豆乳ラテ、負けてないどころか勝ってるよ！夜中に本格ラテだなんて、贅沢だなーたまに高い生豆を買ったり、外でスペシャリティーを飲んでおふぉーーと悦に浸るが、自宅で夜スタバも良いぞ。やっぱり気持ち多めに使ってエアロプレス＋アツアツ豆乳がベストかなー？個人の好みによるが。豆の実力は普通なので（デカフェで普通とは誉め言葉）、パッケージを捨てぬよう（笑）みんなでプラセボ効果を愉しみましょう。（本当に旨いデカフェ探しの旅はまだ続く）＊＊＊＊追記＊＊＊＊豆の保存について、私は基本的に生豆は適当な袋のまま、自家焙煎した豆は丸筒形のパッキン付金属缶で保管するのですが、ふと雑貨店で角型のパッキン付き金属缶を発見。当たり前といえば当たり前なのだが、これが本品のような粉コーヒーにぴったり！開封後の切り口をくるくるっと巻いて目玉クリップで止め、それを放り込むだけ。アマゾンさんにもあるのかな？いい感じですよ。
2,B07WYWTBHN,スターバックス コーヒー ディカフェ ハウス ブレンド 140g ×2袋,Starbucks(スターバックス),Amazon カスタマー,2019年11月11日,4.0,賞味期限切れはありえない！！,近所にスタバ店舗がなく、スタバのオンラインではこの豆の粉は売ってないのでamazonで購入。梱包は商品が二つが一緒にビニールに入っていました。豆を挽いた日が分かりませんが、納品日が9/3となっており、購入の1ヶ月程前でした。挽いた豆なので、古いと嫌だなと思っていますがお急ぎ便で頼んだので仕方ないかな。賞味期限は10月に頼んで来年3月。味は好みの問題と思いますが、私は深入りの酸っぱくないブラックコーヒーが好きで、酸味も苦味も少なく、コンビニコーヒーよりまろやかで、喉通りもスッキリ香り良く飲みやすいと感じます。星−1評価としては納期遅くてもいいので、挽いた日がもっと新しいの買えたら嬉しいです。
3,B07WYWTBHN,スターバックス コーヒー ディカフェ ハウス ブレンド 140g ×2袋,Starbucks(スターバックス),tjihgh,2020年2月25日,1.0,【デカフェは２袋入りだった】THE 夜カフェを比較検討してみた,スタバの粉を購入したが全く香りがしない。焙煎時期と粉砕時期が不明なのでいつ香りが飛んだのかわからない点が今後は購入を勧めない。
4,B07WYWTBHN,スターバックス コーヒー ディカフェ ハウス ブレンド 140g ×2袋,Starbucks(スターバックス),Amazon カスタマー,2020年1月27日,2.0,スッキリ香り良く飲みやすい,スタバだと思い、安心して買ったらぜんぜんおいしくなかった。まあ、この値段ならしょうがないか。
5,B07WYWTBHN,スターバックス コーヒー ディカフェ ハウス ブレンド 140g ×2袋,Starbucks(スターバックス),kurara,2020年11月2日,4.0,香りがない,酸味が苦手で焙煎の深いものが好み、いつもは珈琲館‘炭火’がメイン。炭火と表示があるもの、焙煎の深い近いと思われるものを試しても豆（粉）の色味の濃さに反し苦味とコクが足りない、酸味も残っている。こちらはそんなことなく苦味・コクともにあります。酸味もいい感じに飛んで、後口もスッキリとした印象。ただ割と濃い抽出具合で、微妙にもったりとした感じになることもあり、粉と水の適量は試行錯誤中です。スタバのお店にあまり行ったことがないので‘お店の味’かは分かりませんが、手頃な値段、深焙煎らしい酸味のない飲み口で、美味しいと感じています。※ネスレから‘スタバブランド’での販売ですね。近所のスーパーにありました。
6,B07WYWTBHN,スターバックス コーヒー ディカフェ ハウス ブレンド 140g ×2袋,Starbucks(スターバックス),r,2019年11月11日,3.0,スタバとは思えないほどまずいです,自分的にはあまり美味しいコーヒーとは言えない。
7,B07WYWTBHN,スターバックス コーヒー ディカフェ ハウス ブレンド 140g ×2袋,Starbucks(スターバックス),purge,2019年12月9日,1.0,焙煎の深い、しっかりとした苦味。後口のスッキリ感もいい。,スタバのコーヒーはそのものですが、包装がとても雑でした。コーヒー6袋がゆうパックにぎゅうぎゅう詰めで、はち切れそうでした。
8,B07WYWTBHN,スターバックス コーヒー ディカフェ ハウス ブレンド 140g ×2袋,Starbucks(スターバックス),Amazon カスタマー,2020年5月14日,4.0,初めて,スタバやタリーズで色々な種類の粉を買って飲んだけど、やはり毎日安心して美味しく飲めるのはスタバのハウスブレンドという結論になった。それ以来、この160gのパックを購入し続けているけど、それはお店で挽いてもらうよりも粉が均一で薫り高く感じるから。普段はOKストアで買っているんだけど、欠品中なのでこちらで購入。1パックあたり718円。OKストアと比べると高いのと、入荷待ちが多いのでマイナス1点。
9,B07WYWTBHN,スターバックス コーヒー ディカフェ ハウス ブレンド 140g ×2袋,Starbucks(スターバックス),チョコ,2021年5月16日,5.0,お買い得だが香りが微妙に違う,アイスコーヒーマシンを購入して、一緒に購入しました。一袋が140ｇなので、普段コーヒーを購入しているKALDIよりは割高です。その分味が良いです。他にもデカフェのコーヒー粉を試しましたが、こちらは深めの味で好みなのでリピートしています。Amazonで売っているハリオのコーヒーキャニスターにちょうど入ります。
10,B07WYWTBHN,スターバックス コーヒー ディカフェ ハウス ブレンド 140g ×2袋,Starbucks(スターバックス),のりだー,2020年10月23日,3.0,やはりこれ！,商品名には「スターバックス コーヒー ハウスブレンド 250g レギュラー(豆)」挽いてあると表記ない？間際らしい。。。風味落ちるのが早いから、急いで飲まなきゃ；；
11,B07WYWTBHN,スターバックス コーヒー ディカフェ ハウス ブレンド 140g ×2袋,Starbucks(スターバックス),ぶらいと,2020年4月28日,5.0,夜のコーヒーに,カフェインレスだけど美味しい。香りもいい。デカフェはいくつか試したけど、私はこれがいちばん好き。もうちょっと値段が安かったら買いやすいけど、近所のスーパーよりも安いから、まあいっか。
12,B07WYWTBHN,スターバックス コーヒー ディカフェ ハウス ブレンド 140g ×2袋,Starbucks(スターバックス),アマゾン依存症,2020年3月2日,3.0,まさか挽いてあるとは。。。,朝飲むには、この可もなく不可もない薄めのコーヒーが合っていると思う。しかし、午後に飲むコーヒーだと物足りなくなってしまうので、「２種類を用意しないと」となってしまうことに今更ながら気がついた。
