,ASIN,product,brand,name,date,score,title,comment
0,Amazon カスタマー,2021年4月30日,5.0,ちょっとしたお礼に👌,お友達にお礼に渡しました。ラッピングして渡したところ、ご主人から、センスが良いね👍と言われたそうです。,,,
1,猫まんま,2020年5月14日,5.0,喜んで貰えましたよ❗私も買おう😋,値段も手頃だしカワユイにゃん🐱　コロナでイライラ😒💢💢、でも、お茶して笑いたいからプチプレゼントしました❗,,,
2,おすぎちゃん,2021年3月2日,5.0,かわゆいです。,アールグレイは友人にプレゼントして、アッサムティーはミルクティーで今日いただきました。変なクセも無く美味しくいただきました。生意気なわんこやにゃんこが楽しいです。ちょこっとお返しやプレゼントにピッタリだと思います。,,,
3,まりこ,2021年6月9日,4.0,可愛い,ギフト用に購入したのですが、ワンちゃんのパックが袋の中茶葉だらけだったので残念です。ネコちゃんは可愛くて喜ばれたので良かったです。飲んでないので味はわかりません。,,,
4,SAYA,2020年11月11日,5.0,プレゼントにぴったり,猫好きの同僚にプレゼントしたら、とても喜んでくれました♪ちょっとしたプレゼントに良いです♪,,,
5,marimari,2020年1月6日,5.0,可愛い,猫好きの知人にプレゼントしました。可愛くて飾っていると、とても喜ばれました。,,,
6,ぶのっち,2021年3月16日,5.0,猫好きさんへのプレゼントに最適！,いろんな味が楽しめるアソートパックになっているのが嬉しい。また、カップで抽出しているときの絵柄が温泉に入っているみたいで待っている時間も楽しめるのが良いですね。価格も内容に見合った適正な価格だと思います。,,,
7,mash,2020年7月7日,5.0,かわいいです,誕生日にあげました。喜んでくれました！かわいかったです！,,,
8,をどりん,2021年4月25日,5.0,いい感じ,美味しい、楽しい❣️ギフトにも最適かと思います。,,,
9,もっちぃ,2021年5月14日,5.0,対応が凄く丁寧でした。,無事商品到着致しました。美味しく頂きました。対応も凄く丁寧でした。また購入させて頂きたいと思います。,,,
10,A,2021年3月6日,5.0,ギフトで買いました,ギフトであげたので味はわかりませんが喜んでもらえました,,,
