,ASIN,product,variant,brand,name,date,score,title,comment
0,B07XKZ45Z9,クリッパー オーガニック ハーブティー レモン&ジンジャー ティーバッグ レモン 1 個,クリッパー,サイズ: 1個 (x 1),As,2020年9月25日,4.0,箱が潰れないように送付してほしい,甘みもありつつスッキリした生姜の味が好きで何回もリピートしています。ただ今回はいつもと違い、梱包用の箱に無理やり入れられぺっちゃんこになって届きました。商品の箱が潰れてぐちゃぐちゃ、中身もシワがよっていました。写真の通り梱包用の箱の厚みが、商品の箱の半分もありません。ティーパックなので、よれていても使えるため返品はしませんが、あまりにひどいのでレビューしました。改善をお願いします。
1,B07XKZ45Z9,クリッパー オーガニック ハーブティー レモン&ジンジャー ティーバッグ レモン 1 個,クリッパー,サイズ: 1個 (x 1),nobu,2023年1月3日,5.0,美味しい,安くて美味しいのでいつもお世話になっています。
2,B07XKZ45Z9,クリッパー オーガニック ハーブティー レモン&ジンジャー ティーバッグ レモン 1 個,クリッパー,サイズ: 1個 (x 1),🍊Orange!,2022年6月21日,5.0,疲れが取れる味,色々な紅茶を試したけど、この紅茶は疲れによく効く味だと思う。
3,B07XKZ45Z9,クリッパー オーガニック ハーブティー レモン&ジンジャー ティーバッグ レモン 1 個,クリッパー,サイズ: 1個 (x 1),桜,2021年10月17日,1.0,梱包に問題ありすぎ！！,紅茶のレビューでもよく見ますが、段ボール素材のレターパック？みたいなのに入っていて、これだと潰れますよね？レビューに書かれてる方がいらっしゃるのに、改善しないのでしょうか、、商品が良いものなのに、とても残念です。味は美味しいですし、蜂蜜を入れて飲むとほっとします。
4,B07XKZ45Z9,クリッパー オーガニック ハーブティー レモン&ジンジャー ティーバッグ レモン 1 個,クリッパー,サイズ: 1個 (x 1),チョコミント,2022年4月4日,5.0,爽やかで美味しい,レストランで初めてこの商品を飲んだ時に、レモンジンジャーのお茶ってこんなに美味しいんだ！と気付かされ、後日スーパーで売っていた別のレモンジンジャーのお茶を買ってみました。しかしあまり美味しいとは思えなかったので、改めてこの商品を自宅用にアマゾンで購入しました。他のレモンジンジャーのお茶よりも苦味が少なく、ちゃんと素材の味が感じられ爽やかな味です。
5,B07XKZ45Z9,クリッパー オーガニック ハーブティー レモン&ジンジャー ティーバッグ レモン 1 個,クリッパー,サイズ: 1個 (x 1),島袋 涼子,2022年2月13日,5.0,丁寧な梱包,味はほんの少しピリッときます。香りも良く大変気に入りました。梱包も丁寧に段ボール箱に入っていて商品潰れていなかったです。
6,B07XKZ45Z9,クリッパー オーガニック ハーブティー レモン&ジンジャー ティーバッグ レモン 1 個,クリッパー,サイズ: 1個 (x 1),kyon,2022年1月30日,5.0,癒される,オーガニックの香りで安心
7,B07XKZ45Z9,クリッパー オーガニック ハーブティー レモン&ジンジャー ティーバッグ レモン 1 個,クリッパー,サイズ: 1個 (x 1),CATCAT,2021年9月13日,5.0,美味しいですね。,レモンと多少ピリッとするジンジャーの組み合わせが丁度良いです。ハチミツを足してレモネードジンジャーとして飲んだりしています。オーガニックなので気に入っています。冷え性の方にもジンジャーは良いのでポカポカと体も温まるのでオススメです。
8,B07XKZ45Z9,クリッパー オーガニック ハーブティー レモン&ジンジャー ティーバッグ レモン 1 個,クリッパー,サイズ: 1個 (x 1),DON,2020年11月6日,5.0,美味しいです,酸味が強いのが好きなんですがこの商品はしょうが＆レモンの風味が程よく効いてこれはこれで飲みやすく美味しかったです。
9,B07XKZ45Z9,クリッパー オーガニック ハーブティー レモン&ジンジャー ティーバッグ レモン 1 個,クリッパー,サイズ: 1個 (x 1),na,2020年2月3日,5.0,あったまる,美味しい
10,B07XKZ45Z9,クリッパー オーガニック ハーブティー レモン&ジンジャー ティーバッグ レモン 1 個,クリッパー,サイズ: 1個 (x 1),うさぎっすさん,2020年3月5日,5.0,美味しい。,オーガニックレモンジンジャーティー。とても美味しいです。少しお値段高いですが後味甘みがすこしあるのでいいです。
