,ASIN,product,variant,brand,name,date,score,title,comment
0,B07XQ25M16,クリッパー オーガニック ハーブティー スノア&ピース 20P ティーバッグ,クリッパー,サイズ: 20個 (x 1),佐田かなこ,2023年5月2日,4.0,美味しいです。箱の造りは仕方ないかな。,カモミール主体でラベンダーの香りが就寝前のリラックスタイムに適していると思いました。味もgood。他にインディアンチャイも一緒に注文しましたが、様々なスパイスのブレンドが好みでまたリピートしたいと思います。届いた時に片方の紅茶パッケージの上部が空いている状態で、もしや粗悪品かと思いましたが問題なく大丈夫でした。もともと紅茶の箱の造りが緩いようです。そういう意味で星を一つ落としました😌
1,B07XQ25M16,クリッパー オーガニック ハーブティー スノア&ピース 20P ティーバッグ,クリッパー,サイズ: 20個 (x 1),chunhyang,2023年5月16日,5.0,ラベンダーやいろんな香り,夜だけにするのはもったいです美味しいので飲んでしまいアッと言う間になくなりいま注文しようと思うと売り切れでした人気ですね。カルディとかより安いし
2,B07XQ25M16,クリッパー オーガニック ハーブティー スノア&ピース 20P ティーバッグ,クリッパー,サイズ: 20個 (x 1),ぼんぬJAPAN,2023年5月7日,5.0,寝る前に最適です,ラベンダーの香りとカモミールの甘味を感じ、とてもリラックス出来ます。定期的に購入します。
3,B07XQ25M16,クリッパー オーガニック ハーブティー スノア&ピース 20P ティーバッグ,クリッパー,サイズ: 20個 (x 1),コト,2023年5月29日,3.0,ついで,カモミールのついで。味は普通
4,B07XQ25M16,クリッパー オーガニック ハーブティー スノア&ピース 20P ティーバッグ,クリッパー,サイズ: 20個 (x 1),こまいぬ,2023年5月6日,5.0,これは美味しい,美味しいので1日2回程飲んでます。ラベンダーの味が好きなら強くお勧めします。
5,B07XQ25M16,クリッパー オーガニック ハーブティー スノア&ピース 20P ティーバッグ,クリッパー,サイズ: 20個 (x 1),ケロヨン,2023年4月26日,5.0,おいしい,お店で飲んで美味しかったのでアマゾン検索して購入しました。とにかく香りが良くて癒されます。味は濃いめに出しても渋味がなくて美味しい。お店で一杯550円だったお茶が20Pで￥594で購入できてお得感もあり嬉しいです。
6,B07XQ25M16,クリッパー オーガニック ハーブティー スノア&ピース 20P ティーバッグ,クリッパー,サイズ: 20個 (x 1),nn,2023年5月3日,3.0,レビュー通り,他の方のレビュー通り、箱は潰れているし、梱包の段ボールが雨で湿っているにも関わらずビニールの保護もなくそのまま入っていて、飲食物とは思えない扱いで届きました。不快で気持ち悪かったですが、味自体は癖になる味で気に入りました。カフェインフリーで眠気を誘うような香りなので寝る前にぴったりだと思います。
7,B07XQ25M16,クリッパー オーガニック ハーブティー スノア&ピース 20P ティーバッグ,クリッパー,サイズ: 20個 (x 1),たほ,2023年4月15日,5.0,おいしい！,スーパーだと高いのでどうかなと買ってみましたが、とってもおいしいです。ハーブティー独特の強いクセはなく、飲みやすいし寝る前に飲むと香りに癒されてよく眠れる気がします。
8,B07XQ25M16,クリッパー オーガニック ハーブティー スノア&ピース 20P ティーバッグ,クリッパー,サイズ: 20個 (x 1),ときわ,2023年4月5日,5.0,穏やかに眠りに誘われる,睡眠導入剤を常用するのも良くないと思い「まぁ気休めになれば」くらいの軽い気持ちで購入したが、ゆっくり眠れた。飲み始めてこらは眠剤を服用していないが眠れている実感がある。残りが4包になったのでリピート購入した。コスパも良い。
9,B07XQ25M16,クリッパー オーガニック ハーブティー スノア&ピース 20P ティーバッグ,クリッパー,サイズ: 20個 (x 1),長谷川由佳,2023年2月18日,3.0,ラベンダー感が強いです,色んなハーブティーを試してみたくて購入しました。ブレンドされたハーブティーですが、飲んでみた感じ主体はラベンダーです。次にレモンバームの香りが来ます。ラベンダーティーが好きな方はたぶん好きなんじゃないかなと思います。
10,B07XQ25M16,クリッパー オーガニック ハーブティー スノア&ピース 20P ティーバッグ,クリッパー,サイズ: 20個 (x 1),ブルー,2023年2月6日,3.0,贈り物に,ハーブティーが好きな友人にプレゼントしたら喜ばれました。パッケージも可愛いのでオススメです。
11,B07XQ25M16,クリッパー オーガニック ハーブティー スノア&ピース 20P ティーバッグ,クリッパー,サイズ: 20個 (x 1),Amazon カスタマー,2023年2月10日,5.0,美味しい♡,寝る前に飲みます。やさしいハーブのブレンドで暖まりリラックスして眠れます。
