,ASIN,product,brand,name,date,score,title,comment
0,B07YF94CXY,デカフェ バター コーヒー MCTオイル 配合 カフェインレス（30包入り） ダイエット チャコール バター コーヒー (デカフェ),CHARCOAL BUTTER COFFEE,サマーリー,2018年6月3日,5.0,バターコーヒー好きには全然おすすめしない。量も少ない。,普通、インスタントコーヒーは美味しくないし独特の味で飲めないが、これは美味しい！それに、バターコーヒーをダイエットの為に始めようと思ったが、揃えたり面倒くさいなと思ってたらこの商品を見つけ！簡単にバターコーヒーが飲めるのでいいです。私はプラス、MCTオイルを数滴垂らして飲んでます。このバターコーヒーのおかげかどうかわかりませんが、無理なく3ヶ月で3キロ痩せました！毎朝飲むのが日課になってます。
1,B07YF94CXY,デカフェ バター コーヒー MCTオイル 配合 カフェインレス（30包入り） ダイエット チャコール バター コーヒー (デカフェ),CHARCOAL BUTTER COFFEE,白,2018年9月9日,5.0,バターコーヒーダイエットのために購入,昼食から３時間が過ぎて、ちょっと空腹感を感じ始めたころ届いたのでさっそく飲んでみました。低脂肪乳を1/4ほど入れて飲んだところ、あらふしぎ、満腹感があり、ちょっと苦しいくらいに（笑）。食事の置き換えとしてはまだ試していませんが、こんなに膨満感があるなら間食を抑えるくらいの役割は十分に果たしてくれそうです。香りはコクのあるバターの香り。ミルクをいれたせいもあるかと思いますが、味もコクがあっていい感じです。ダイエット目的なのてとりあえず一箱飲んでみようと思います。追記ダイエット目的で続けています。やはり飲んでから1〜2時間ぐらいはそれなりの満腹感があるので、空腹になりかけの時に飲むと、次の食事まで間食しなくてももちます。低脂肪乳を1/4ほど入れて飲んでますが、まだ数日なのにすでに１キロ減りました！続けます！
2,B07YF94CXY,デカフェ バター コーヒー MCTオイル 配合 カフェインレス（30包入り） ダイエット チャコール バター コーヒー (デカフェ),CHARCOAL BUTTER COFFEE,ゆうちゃん,2019年3月21日,2.0,美味しい！毎朝飲んでダイエット！,バターコーヒーを知ったばかりの半年前、コーヒーメーカーなど持ってない私がバターコーヒーを飲めるのか？その頃、このスティックの存在を知り、擬似バターコーヒーなんでしょうが、それでもバターをコーヒーに入れて飲むという違和感が何とも新鮮で数ヶ月ハマりましたwただ未だに2
3,B07YF94CXY,デカフェ バター コーヒー MCTオイル 配合 カフェインレス（30包入り） ダイエット チャコール バター コーヒー (デカフェ),CHARCOAL BUTTER COFFEE,Amazonカスタマー,2019年4月3日,5.0,満腹感あり！→ダイエット効果もあり！,年齢も50代前半になり、なかなか体重計の針が動いてくれない今日この頃。ところが、このバターコーヒーにMCTオイルを混ぜて飲み、4日ほど、午前中だけファスティングしたところ1キロ痩せておりました。今晩友人と少し重めのイタリアンを夕食で共にしたにもかかわらずです。なんか嬉しくてウキウキしてしまいました。バター風味のコーヒーは初めて飲みましたが、美味しくてこのまま続けてできればよいなと思いました。ありがとうございました。
4,B07YF94CXY,デカフェ バター コーヒー MCTオイル 配合 カフェインレス（30包入り） ダイエット チャコール バター コーヒー (デカフェ),CHARCOAL BUTTER COFFEE,nonny,2018年9月17日,5.0,もうバターコーヒーは珍しくないのに、まだ高い！,こちらのバターコーヒーを半年くらい続けておりますが、一年前の健康診断で中性脂肪のランクＤ(要再検査レベル)が直近ではA(問題なし)まで改善しました。見た目としてはウエストも細くなりました。元気も出るのでこれからも続けていきます。
5,B07YF94CXY,デカフェ バター コーヒー MCTオイル 配合 カフェインレス（30包入り） ダイエット チャコール バター コーヒー (デカフェ),CHARCOAL BUTTER COFFEE,PX-505B,2018年6月16日,4.0,飲み始めて4日で1キロ痩せました。,近場では取り扱いがないのでAmazonで購入。バターコーヒーといっても、この商品は油分は感じない軽い飲み心地です。ほんのりバターの香りを楽しみつつ飲むことができますよ。自分で泡立てたらまた違う口当たりになるのかな。1杯でも飲んだな～と何となくお腹が膨れた感じはあります。置き換えメニューとして上手くアシストしてもらえるといいなと思います。ちなみに1週間も経たないうちに2回もレビュー依頼のメールが来たのは少し引きました…覚えてるよちゃんと！(笑)私はこの商品をすぐ飲み出したので書けましたが、さすがにほんの数日では買った商品を使えてない方も沢山いるのでは…
6,B07YF94CXY,デカフェ バター コーヒー MCTオイル 配合 カフェインレス（30包入り） ダイエット チャコール バター コーヒー (デカフェ),CHARCOAL BUTTER COFFEE,ketyang,2019年8月16日,1.0,中性脂肪減少に,購入しましたが、バターっぽい香りがついた普通のインスタントコーヒーだと思いました。食品成分表示をみたら脂質0ｇ。えええ？脂質0ｇ？？？？これでバターコーヒーを標ぼうするのは問題があるのではないでしょうか？
7,B07YF94CXY,デカフェ バター コーヒー MCTオイル 配合 カフェインレス（30包入り） ダイエット チャコール バター コーヒー (デカフェ),CHARCOAL BUTTER COFFEE,708,2018年10月22日,1.0,気軽に飲めてそこそこの満腹感,バターコーヒーとの事で期待しておりましたが、ただの薄いコーヒーという感じでした。やはり、ちゃんとしたバターとココナッツオイルを入れないとだめですね、定期購入キャンセルしました。
8,B07YF94CXY,デカフェ バター コーヒー MCTオイル 配合 カフェインレス（30包入り） ダイエット チャコール バター コーヒー (デカフェ),CHARCOAL BUTTER COFFEE,3月うさぎ,2018年4月14日,5.0,当たり前ですが、バター風味のインスタントコーヒー,バターの香りに満足感があります。おかわりしたくなりますが　ダイエット目的なのでガマンしてます。効果のほどはまだわかりませんが、毎朝の日課になりました。インスタントを飲み慣れている人には　美味しいと思いますよ。オススメです。
9,B07YF94CXY,デカフェ バター コーヒー MCTオイル 配合 カフェインレス（30包入り） ダイエット チャコール バター コーヒー (デカフェ),CHARCOAL BUTTER COFFEE,peki,2019年3月24日,4.0,うん、無理。,姉のススメで　ＭＴＣオイル買ってコーヒーもあると知り購入しましたお湯を注ぐだけで飲めるので　ものぐさの私にはピッタリ朝飲んだら　お昼まで　空腹感じませんレビューにオイルを追加して飲んでる方がいたので　私も足して飲んでますお通じが良くなったように思いますしばらく　続けてみようと思ってます
